[94479] ['(4-4i)', '(6+5i)', '(7-3i)', '(7+2i)'] -> (((4-4i) + (6+5i)) + ((7-3i) + (7+2i)))
[78191] ['(4-7i)', '(4+4i)', '(7+7i)', '(9-4i)'] -> (((4-7i) + (4+4i)) + ((7+7i) + (9-4i)))
[78204] ['(4-7i)', '(4+4i)', '(7+8i)', '(8+4i)'] -> ((4+4i) * (((4-7i) + (7+8i)) - (8+4i)))
[78205] ['(4-7i)', '(4+4i)', '(7+8i)', '(9-5i)'] -> (((4-7i) + (4+4i)) + ((7+8i) + (9-5i)))
[78220] ['(4-7i)', '(4+4i)', '(7+9i)', '(8+5i)'] -> ((4+4i) * (((4-7i) + (7+9i)) - (8+5i)))
[78222] ['(4-7i)', '(4+4i)', '(7+9i)', '(9-6i)'] -> (((4-7i) + (4+4i)) + ((7+9i) + (9-6i)))
[78260] ['(4-7i)', '(4+4i)', '(8-6i)', '(8+9i)'] -> (((4-7i) + (4+4i)) + ((8-6i) + (8+9i)))
[78265] ['(4-7i)', '(4+4i)', '(8-5i)', '(8+8i)'] -> (((4-7i) + (4+4i)) + ((8-5i) + (8+8i)))
[78266] ['(4-7i)', '(4+4i)', '(8-5i)', '(9-9i)'] -> ((4+4i) * (((4-7i) + (8-5i)) - (9-9i)))
[78276] ['(4-7i)', '(4+4i)', '(8-4i)', '(8+7i)'] -> (((4-7i) + (4+4i)) + ((8-4i) + (8+7i)))
[78278] ['(4-7i)', '(4+4i)', '(8-4i)', '(9-8i)'] -> ((4+4i) * (((4-7i) + (8-4i)) - (9-8i)))
[78287] ['(4-7i)', '(4+4i)', '(8-3i)', '(8+6i)'] -> (((3-9i) + (5+3i)) + ((8-2i) + (8+8i)))
[78289] ['(4-7i)', '(4+4i)', '(8-3i)', '(9-7i)'] -> ((4+4i) * (((4-7i) + (8-3i)) - (9-7i)))
[78295] ['(4-7i)', '(4+4i)', '(8-2i)', '(8+5i)'] -> (((3-7i) - (9-i)) * ((6-4i) - (8-6i)))
[78298] ['(4-7i)', '(4+4i)', '(8-2i)', '(9-6i)'] -> (3 * ((5+5i) + ((1-4i) + (2-i))))
[78307] ['(4-7i)', '(4+4i)', '(8-i)', '(8+4i)'] -> (((4-7i) + (4+4i)) + ((8-i) + (8+4i)))
[78312] ['(4-7i)', '(4+4i)', '(8-i)', '(9-5i)'] -> (3 * ((7-3i) - ((1-4i) - (2-i))))
[78318] ['(4-7i)', '(4+4i)', '8', '(8+3i)'] -> (((4-7i) + (4+4i)) + (8 + (8+3i)))
[78322] ['(4-7i)', '(4+4i)', '8', '(9-4i)'] -> ((4+4i) * (((4-7i) + 8) - (9-4i)))
[78330] ['(4-7i)', '(4+4i)', '(8+i)', '(8+2i)'] -> (3 * ((9+3i) + ((1-4i) - (2-i))))
[78333] ['(4-7i)', '(4+4i)', '(8+i)', '(9-3i)'] -> ((4+4i) * (((4-7i) + (8+i)) - (9-3i)))
[78343] ['(4-7i)', '(4+4i)', '(8+2i)', '(9-2i)'] -> ((4+4i) * (((4-7i) + (8+2i)) - (9-2i)))
[78354] ['(4-7i)', '(4+4i)', '(8+3i)', '(9-i)'] -> ((4-4i) * (((5+6i) + (6-9i)) - (8-6i)))
[78363] ['(4-7i)', '(4+4i)', '(8+4i)', '9'] -> ((4+4i) * (((4-7i) + (8+4i)) - 9))
[78371] ['(4-7i)', '(4+4i)', '(8+5i)', '(9+i)'] -> (((1-8i) * ((1+3i) - -i)) - (9-4i))
[78380] ['(4-7i)', '(4+4i)', '(8+6i)', '(9+2i)'] -> ((4+4i) * (((4-7i) + (8+6i)) - (9+2i)))
[78381] ['(4-7i)', '(4+4i)', '(8+7i)', '(8+8i)'] -> (((7-2i) + (9-2i)) - (-4i * (1-2i)))
[78387] ['(4-7i)', '(4+4i)', '(8+7i)', '(9+3i)'] -> ((4+4i) * (((4-7i) + (8+7i)) - (9+3i)))
[78396] ['(4-7i)', '(4+4i)', '(8+8i)', '(9+4i)'] -> ((4+4i) * (((4-7i) + (8+8i)) - (9+4i)))
[78404] ['(4-7i)', '(4+4i)', '(8+9i)', '(9+5i)'] -> ((6+6i) * ((5-5i) - ((1-i) * 3)))
[78613] ['(4-7i)', '(4+5i)', '(5-8i)', '(8+7i)'] -> (((4+5i) + (8+7i)) * ((5-8i) - (4-7i)))
[78783] ['(4-7i)', '(4+5i)', '(5-2i)', '(6+8i)'] -> (((4-7i) * ((6+8i) - (4+5i))) - (5-2i))
[78789] ['(4-7i)', '(4+5i)', '(5-2i)', '(7+2i)'] -> (((2-8i) - (2-5i)) * ((3-i) - (3-9i)))
[78794] ['(4-7i)', '(4+5i)', '(5-2i)', '8'] -> (8 * (((4-7i) + (4+5i)) - (5-2i)))
[79028] ['(4-7i)', '(4+5i)', '(5+6i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((5+6i) - (4+5i)))
[79138] ['(4-7i)', '(4+5i)', '(5+9i)', '(8+9i)'] -> ((4+i) * ((6-i) - ((2-i) / (1-4i))))
[79196] ['(4-7i)', '(4+5i)', '(6-7i)', '(8-5i)'] -> ((4 * ((9-3i) - (2-5i))) - (4+8i))
[79339] ['(4-7i)', '(4+5i)', '6', '(6+6i)'] -> ((6+6i) * (((4-7i) + (4+5i)) - 6))
[79424] ['(4-7i)', '(4+5i)', '(6+5i)', '(8+7i)'] -> (((4-7i) + (8+7i)) * ((6+5i) - (4+5i)))
[79586] ['(4-7i)', '(4+5i)', '(7-7i)', '(9+9i)'] -> (((4-7i) + (4+5i)) + ((7-7i) + (9+9i)))
[79609] ['(4-7i)', '(4+5i)', '(7-6i)', '(9+8i)'] -> (-4i * (3 - ((1-i) + (2-5i))))
[79623] ['(4-7i)', '(4+5i)', '(7-5i)', '(9+7i)'] -> ((3 * (8-3i)) + ((9+9i) / (1-i)))
[79635] ['(4-7i)', '(4+5i)', '(7-4i)', '(9+6i)'] -> (((4-7i) + (4+5i)) + ((7-4i) + (9+6i)))
[79650] ['(4-7i)', '(4+5i)', '(7-3i)', '(9+5i)'] -> (((4-7i) + (4+5i)) + ((7-3i) + (9+5i)))
[79665] ['(4-7i)', '(4+5i)', '(7-2i)', '(9+4i)'] -> (((4-7i) + (4+5i)) + ((7-2i) + (9+4i)))
[79677] ['(4-7i)', '(4+5i)', '(7-i)', '(9+3i)'] -> (((4-7i) + (4+5i)) + ((7-i) + (9+3i)))
[79685] ['(4-7i)', '(4+5i)', '7', '(8+4i)'] -> ((7 * ((8+4i) - (4+5i))) - (4-7i))
[79690] ['(4-7i)', '(4+5i)', '7', '(9+2i)'] -> (((4-7i) + (4+5i)) + (7 + (9+2i)))
[79702] ['(4-7i)', '(4+5i)', '(7+i)', '(9+i)'] -> (((4-7i) + (4+5i)) + ((7+i) + (9+i)))
[79715] ['(4-7i)', '(4+5i)', '(7+2i)', '9'] -> ((2-2i) * ((2+2i) - (-4i * (1-i))))
[79727] ['(4-7i)', '(4+5i)', '(7+3i)', '(9-i)'] -> ((-4i / (1-i)) * ((2-2i) + (4+8i)))
[79741] ['(4-7i)', '(4+5i)', '(7+4i)', '(9-2i)'] -> (((4-7i) + (4+5i)) + ((7+4i) + (9-2i)))
[79760] ['(4-7i)', '(4+5i)', '(7+5i)', '(9-3i)'] -> (((4-7i) + (4+5i)) + ((7+5i) + (9-3i)))
[79776] ['(4-7i)', '(4+5i)', '(7+6i)', '(9-4i)'] -> (((4-7i) + (4+5i)) + ((7+6i) + (9-4i)))
[79789] ['(4-7i)', '(4+5i)', '(7+7i)', '(9-5i)'] -> (((4-7i) + (4+5i)) + ((7+7i) + (9-5i)))
[79800] ['(4-7i)', '(4+5i)', '(7+8i)', '(9-9i)'] -> (((4-7i) * ((7+8i) - (4+5i))) - (9-9i))
[79801] ['(4-7i)', '(4+5i)', '(7+8i)', '(9-6i)'] -> (((4-7i) + (4+5i)) + ((7+8i) + (9-6i)))
[79817] ['(4-7i)', '(4+5i)', '(7+9i)', '(9-7i)'] -> ((8 * (9+3i)) / (7 - (4-i)))
[79854] ['(4-7i)', '(4+5i)', '(8-7i)', '(8+9i)'] -> (((3-7i) + (6-2i)) + ((7+3i) + (8+6i)))
[79871] ['(4-7i)', '(4+5i)', '(8-6i)', '(8+8i)'] -> (((4-7i) + (4+5i)) + ((8-6i) + (8+8i)))
[79887] ['(4-7i)', '(4+5i)', '(8-5i)', '(8+7i)'] -> (((1-4i) + (5+8i)) + ((2-i) * (8+2i)))
[79901] ['(4-7i)', '(4+5i)', '(8-4i)', '(8+6i)'] -> (((4-7i) + (4+5i)) + ((8-4i) + (8+6i)))
[79916] ['(4-7i)', '(4+5i)', '(8-3i)', '(8+5i)'] -> (((4-7i) + (4+5i)) + ((8-3i) + (8+5i)))
[79929] ['(4-7i)', '(4+5i)', '(8-2i)', '(8+4i)'] -> (((1-4i) * (5+9i)) - ((2-i) * (9-i)))
[79949] ['(4-7i)', '(4+5i)', '(8-i)', '(8+3i)'] -> ((6-6i) * ((3+4i) - ((3+i) / (1-i))))
[79982] ['(4-7i)', '(4+5i)', '(8+i)', '(8+i)'] -> (((6-9i) * ((2-i) - (1-4i))) - (9+9i))
[80196] ['(4-7i)', '(4+6i)', '(5-8i)', '(8+6i)'] -> (((4+6i) + (8+6i)) * ((5-8i) - (4-7i)))
[80339] ['(4-7i)', '(4+6i)', '(5-2i)', '(6+9i)'] -> (((4-7i) * ((6+9i) - (4+6i))) - (5-2i))
[80373] ['(4-7i)', '(4+6i)', '(5-i)', '8'] -> (-4i * ((4-2i) - ((1-i) + (3-7i))))
[80428] ['(4-7i)', '(4+6i)', '(5+i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((4+6i) / (5+i)))
[80518] ['(4-7i)', '(4+6i)', '(5+4i)', '(8-9i)'] -> (((5+4i) * ((8-9i) - (4-7i))) - (4+6i))
[80614] ['(4-7i)', '(4+6i)', '(5+7i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((5+7i) - (4+6i)))
[80777] ['(4-7i)', '(4+6i)', '(6-7i)', '(8-6i)'] -> ((4 / (-i / (1-8i))) - (8+4i))
[80795] ['(4-7i)', '(4+6i)', '(6-6i)', '(6-3i)'] -> (8 * ((1-4i) + ((8+6i) / (2-i))))
[80922] ['(4-7i)', '(4+6i)', '(6+i)', '(6+6i)'] -> ((6+6i) * (((4-7i) + (4+6i)) - (6+i)))
[81021] ['(4-7i)', '(4+6i)', '(6+6i)', '(8+7i)'] -> (((3-7i) * 6) * ((6+2i) / (8-9i)))
[81150] ['(4-7i)', '(4+6i)', '(7-8i)', '(9+9i)'] -> (((3-7i) + 6) + ((6+7i) + 9))
[81165] ['(4-7i)', '(4+6i)', '(7-7i)', '(9+8i)'] -> (((4-7i) + (4+6i)) + ((7-7i) + (9+8i)))
[81181] ['(4-7i)', '(4+6i)', '(7-6i)', '(9-i)'] -> (((9-i) * ((7-6i) - (4-7i))) - (4+6i))
[81186] ['(4-7i)', '(4+6i)', '(7-6i)', '(9+7i)'] -> (-4i * (((4-4i) / (1-i)) - (4-6i)))
[81204] ['(4-7i)', '(4+6i)', '(7-5i)', '(9+6i)'] -> (((4-7i) + (4+6i)) + ((7-5i) + (9+6i)))
[81214] ['(4-7i)', '(4+6i)', '(7-4i)', '(9+5i)'] -> (((4-7i) + (4+6i)) + ((7-4i) + (9+5i)))
[81228] ['(4-7i)', '(4+6i)', '(7-3i)', '(9+4i)'] -> (((4-7i) + (4+6i)) + ((7-3i) + (9+4i)))
[81242] ['(4-7i)', '(4+6i)', '(7-2i)', '(9+3i)'] -> (((4-7i) + (4+6i)) + ((7-2i) + (9+3i)))
[81265] ['(4-7i)', '(4+6i)', '(7-i)', '(9+2i)'] -> (((4-7i) + (4+6i)) + ((7-i) + (9+2i)))
[81276] ['(4-7i)', '(4+6i)', '7', '(8+5i)'] -> ((7 * ((8+5i) - (4+6i))) - (4-7i))
[81280] ['(4-7i)', '(4+6i)', '7', '(9+i)'] -> (((4-7i) + (4+6i)) + (7 + (9+i)))
[81298] ['(4-7i)', '(4+6i)', '(7+i)', '9'] -> (((1-7i) * (2+2i)) + ((3+4i) + (5+8i)))
[81312] ['(4-7i)', '(4+6i)', '(7+2i)', '(9-i)'] -> (((4-7i) + (4+6i)) + ((7+2i) + (9-i)))
[81321] ['(4-7i)', '(4+6i)', '(7+3i)', '(9-2i)'] -> (((4-7i) + (4+6i)) + ((7+3i) + (9-2i)))
[81337] ['(4-7i)', '(4+6i)', '(7+4i)', '(9-3i)'] -> (((1-i) * ((5+9i) + (8+5i))) - (3+i))
[81346] ['(4-7i)', '(4+6i)', '(7+5i)', '(9-4i)'] -> (((4-7i) + (4+6i)) + ((7+5i) + (9-4i)))
[81349] ['(4-7i)', '(4+6i)', '(7+6i)', '(9-5i)'] -> (((4-7i) + (4+6i)) + ((7+6i) + (9-5i)))
[81362] ['(4-7i)', '(4+6i)', '(7+7i)', '(9-6i)'] -> (((4-7i) + (4+6i)) + ((7+7i) + (9-6i)))
[81370] ['(4-7i)', '(4+6i)', '(7+8i)', '(9-7i)'] -> (((4-7i) + (4+6i)) + ((7+8i) + (9-7i)))
[81388] ['(4-7i)', '(4+6i)', '(7+9i)', '(9-9i)'] -> (((4-7i) * ((7+9i) - (4+6i))) - (9-9i))
[81389] ['(4-7i)', '(4+6i)', '(7+9i)', '(9-8i)'] -> (((4-7i) + (4+6i)) + ((7+9i) + (9-8i)))
[81425] ['(4-7i)', '(4+6i)', '(8-8i)', '(8+9i)'] -> (((4-7i) + (4+6i)) + ((8-8i) + (8+9i)))
[81439] ['(4-7i)', '(4+6i)', '(8-7i)', '(8+8i)'] -> (((3+i) * (9-3i)) - ((6-6i) / (1-i)))
[81447] ['(4-7i)', '(4+6i)', '(8-6i)', '(8+7i)'] -> (((4-7i) + (4+6i)) + ((8-6i) + (8+7i)))
[81460] ['(4-7i)', '(4+6i)', '(8-5i)', '(8+6i)'] -> (((4-7i) + (4+6i)) + ((8-5i) + (8+6i)))
[81469] ['(4-7i)', '(4+6i)', '(8-4i)', '(8+5i)'] -> (((3-7i) * (2 - (1-4i))) - (7+5i))
[81480] ['(4-7i)', '(4+6i)', '(8-3i)', '(8+4i)'] -> (((4-7i) + (4+6i)) + ((8-3i) + (8+4i)))
[81493] ['(4-7i)', '(4+6i)', '(8-2i)', '(8+3i)'] -> (((4-7i) + (4+6i)) + ((8-2i) + (8+3i)))
[81502] ['(4-7i)', '(4+6i)', '(8-i)', '(8+2i)'] -> (((4-7i) + (4+6i)) + ((8-i) + (8+2i)))
[81507] ['(4-7i)', '(4+6i)', '8', '(8+i)'] -> (((4-7i) + (4+6i)) + (8 + (8+i)))
[81687] ['(4-7i)', '(4+7i)', '(5-9i)', '(8-9i)'] -> (((4-7i) + (4+7i)) * ((8-9i) - (5-9i)))
[81702] ['(4-7i)', '(4+7i)', '(5-8i)', '(5+8i)'] -> ((3-i) - ((1-4i) * (2 - (3+5i))))
[81720] ['(4-7i)', '(4+7i)', '(5-8i)', '(8-8i)'] -> (((4-7i) + (4+7i)) * ((8-8i) - (5-8i)))
[81727] ['(4-7i)', '(4+7i)', '(5-8i)', '(8+5i)'] -> (((4+7i) + (8+5i)) * ((5-8i) - (4-7i)))
[81756] ['(4-7i)', '(4+7i)', '(5-7i)', '(8-7i)'] -> (((4-7i) + (4+7i)) * ((8-7i) - (5-7i)))
[81789] ['(4-7i)', '(4+7i)', '(5-6i)', '(8-6i)'] -> (((9-4i) + (9+8i)) - ((3-4i) - (9-8i)))
[81821] ['(4-7i)', '(4+7i)', '(5-5i)', '(8-5i)'] -> (((4-7i) + (4+7i)) * ((8-5i) - (5-5i)))
[81829] ['(4-7i)', '(4+7i)', '(5-4i)', '(5+4i)'] -> (((4-7i) * (4+7i)) - ((5-4i) * (5+4i)))
[81841] ['(4-7i)', '(4+7i)', '(5-4i)', '(8-4i)'] -> (((4-i) * ((1-7i) + (5+9i))) - (2+2i))
[81867] ['(4-7i)', '(4+7i)', '(5-3i)', '(8-3i)'] -> (((4-7i) + (4+7i)) * ((8-3i) - (5-3i)))
[81904] ['(4-7i)', '(4+7i)', '(5-2i)', '(8-2i)'] -> (((4-7i) + (4+7i)) * ((8-2i) - (5-2i)))
[81935] ['(4-7i)', '(4+7i)', '(5-i)', '(8-i)'] -> (((4-7i) + (4+7i)) * ((8-i) - (5-i)))
[81958] ['(4-7i)', '(4+7i)', '(6-9i)', '(9-9i)'] -> (((1-4i) * (3+5i)) - (2 - (3+7i)))
[81983] ['(4-7i)', '(4+7i)', '(6-8i)', '(9-8i)'] -> (((4-7i) + (4+7i)) * ((9-8i) - (6-8i)))
[82007] ['(4-7i)', '(4+7i)', '(6-7i)', '(8-7i)'] -> (((4+7i) + (8-7i)) * ((6-7i) - (4-7i)))
[82013] ['(4-7i)', '(4+7i)', '(6-7i)', '(9-7i)'] -> (((4-4i) + (5+9i)) + ((7-7i) + (8+2i)))
[82022] ['(4-7i)', '(4+7i)', '(6-6i)', '(6-2i)'] -> (((3-7i) * (8+7i)) - ((6+i) * (7-7i)))
[82044] ['(4-7i)', '(4+7i)', '(6-6i)', '(9-6i)'] -> (((4-7i) + (4+7i)) * ((9-6i) - (6-6i)))
[82072] ['(4-7i)', '(4+7i)', '(6-5i)', '(9-5i)'] -> (((4-7i) + (4+7i)) * ((9-5i) - (6-5i)))
[82088] ['(4-7i)', '(4+7i)', '(6-4i)', '(9-4i)'] -> (((4-7i) + (4+7i)) * ((9-4i) - (6-4i)))
[82108] ['(4-7i)', '(4+7i)', '(6-3i)', '(9-3i)'] -> (((4-i) * (8+6i)) - ((7+7i) + (7+9i)))
[82138] ['(4-7i)', '(4+7i)', '(6-2i)', '(9-2i)'] -> (((4-7i) + (4+7i)) * ((9-2i) - (6-2i)))
[82159] ['(4-7i)', '(4+7i)', '(6-i)', '(9-i)'] -> (((4-7i) + (4+7i)) * ((9-i) - (6-i)))
[82182] ['(4-7i)', '(4+7i)', '(7-9i)', '(9+9i)'] -> (((4-7i) + (4+7i)) + ((7-9i) + (9+9i)))
[82205] ['(4-7i)', '(4+7i)', '(7-8i)', '(9+8i)'] -> (((7-2i) + (9+i)) - (-i * (1-8i)))
[82229] ['(4-7i)', '(4+7i)', '(7-7i)', '(9+7i)'] -> (((4-7i) + (4+7i)) + ((7-7i) + (9+7i)))
[82251] ['(4-7i)', '(4+7i)', '(7-6i)', '(9+6i)'] -> (8 * ((4+9i) + ((1-7i) - (2+2i))))
[82266] ['(4-7i)', '(4+7i)', '(7-5i)', '(9+5i)'] -> ((3-3i) * ((4+2i) - ((3-3i) - (3-i))))
[82287] ['(4-7i)', '(4+7i)', '(7-4i)', '(9+4i)'] -> (((3-7i) + (6+i)) + ((7+8i) + (8-2i)))
[82296] ['(4-7i)', '(4+7i)', '(7-3i)', '(9+3i)'] -> (((3-i) * (9-3i)) - ((3-3i) * (3-3i)))
[82319] ['(4-7i)', '(4+7i)', '(7-2i)', '(9+2i)'] -> ((2+6i) * ((3-4i) - ((2-8i) / (2-4i))))
[82341] ['(4-7i)', '(4+7i)', '(7-i)', '(9+i)'] -> (((4-7i) + (4+7i)) + ((7-i) + (9+i)))
[82354] ['(4-7i)', '(4+7i)', '(8-9i)', '(8+9i)'] -> (((4-7i) + (4+7i)) + ((8-9i) + (8+9i)))
[82368] ['(4-7i)', '(4+7i)', '(8-8i)', '(8+8i)'] -> (((4-7i) + (4+7i)) + ((8-8i) + (8+8i)))
[82379] ['(4-7i)', '(4+7i)', '(8-7i)', '(8+7i)'] -> (((1-7i) - (5-7i)) * ((2+2i) - (8+2i)))
[82389] ['(4-7i)', '(4+7i)', '(8-6i)', '(8+6i)'] -> (-4i * ((5+9i) - ((8-2i) / (1-i))))
[82411] ['(4-7i)', '(4+7i)', '(8-4i)', '(8+4i)'] -> (((4-7i) + (4+7i)) + ((8-4i) + (8+4i)))
[82417] ['(4-7i)', '(4+7i)', '(8-3i)', '(8+3i)'] -> (((3-9i) * 8) / ((6+4i) - (5+7i)))
[82427] ['(4-7i)', '(4+7i)', '(8-2i)', '(8+2i)'] -> (((4-7i) + (4+7i)) + ((8-2i) + (8+2i)))
[82437] ['(4-7i)', '(4+7i)', '(8-i)', '(8+i)'] -> (((4-7i) + (4+7i)) + ((8-i) + (8+i)))
[82582] ['(4-7i)', '(5-9i)', '(5-6i)', '(7-3i)'] -> (((5-9i) + (7-3i)) * ((5-6i) - (4-7i)))
[82654] ['(4-7i)', '(5-9i)', '(5-4i)', '(8+6i)'] -> (((5-9i) * ((5-4i) - (4-7i))) - (8+6i))
[82710] ['(4-7i)', '(5-9i)', '(5-2i)', '6'] -> (6 * ((5-2i) + ((4-7i) - (5-9i))))
[82718] ['(4-7i)', '(5-9i)', '(5-2i)', '(7-6i)'] -> (((4-7i) * ((7-6i) - (5-9i))) - (5-2i))
[82903] ['(4-7i)', '(5-9i)', '(5+5i)', '(5+6i)'] -> (((5-9i) * (5+6i)) - ((4-7i) * (5+5i)))
[83095] ['(4-7i)', '(5-9i)', '(6-9i)', '(9-9i)'] -> ((4+4i) * ((2-4i) - ((2-8i) / (3+5i))))
[83111] ['(4-7i)', '(5-9i)', '(6-8i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((6-8i) - (5-9i)))
[83127] ['(4-7i)', '(5-9i)', '(6-7i)', '(7+9i)'] -> (((5-9i) + (7+9i)) * ((6-7i) - (4-7i)))
[83145] ['(4-7i)', '(5-9i)', '(6-6i)', '(6-2i)'] -> (((6-6i) * (6-2i)) / ((5-9i) - (4-7i)))
[83192] ['(4-7i)', '(5-9i)', '(6-5i)', '(8+9i)'] -> (((4-7i) * ((6-5i) - (5-9i))) - (8+9i))
[83438] ['(4-7i)', '(5-9i)', '(6+7i)', '(9+9i)'] -> (((1-9i) * (3+4i)) - ((1-5i) * (5+2i)))
[83461] ['(4-7i)', '(5-9i)', '(6+8i)', '(9+8i)'] -> (((4-7i) + (5-9i)) + ((6+8i) + (9+8i)))
[83471] ['(4-7i)', '(5-9i)', '(6+9i)', '(9+7i)'] -> (((4-7i) + (5-9i)) + ((6+9i) + (9+7i)))
[83484] ['(4-7i)', '(5-9i)', '(7-9i)', '(8+7i)'] -> (((4-7i) + (8+7i)) * ((7-9i) - (5-9i)))
[83689] ['(4-7i)', '(5-9i)', '(7+7i)', '(8+9i)'] -> ((5+3i) + ((1-i) * ((3+2i) + (8+6i))))
[83699] ['(4-7i)', '(5-9i)', '(7+8i)', '(8+8i)'] -> (((2+2i) * ((1-7i) + (9+i))) - (8+8i))
[83714] ['(4-7i)', '(5-9i)', '(7+9i)', '(8+7i)'] -> (((4-7i) + (5-9i)) + ((7+9i) + (8+7i)))
[83744] ['(4-7i)', '(5-9i)', '(8-6i)', '(9-9i)'] -> (((4-7i) * ((8-6i) - (5-9i))) - (9-9i))
[83980] ['(4-7i)', '(5-8i)', '(5-6i)', '(7-4i)'] -> (-4i * ((3+i) - (1 + (2-5i))))
[84027] ['(4-7i)', '(5-8i)', '(5-4i)', '(5+7i)'] -> (((5-8i) * ((5-4i) - (4-7i))) - (5+7i))
[84085] ['(4-7i)', '(5-8i)', '(5-2i)', '(7-5i)'] -> (((4-7i) * ((7-5i) - (5-8i))) - (5-2i))
[84111] ['(4-7i)', '(5-8i)', '(5-i)', '6'] -> (((1-7i) * (2+3i)) - ((3-7i) - (4+4i)))
[84201] ['(4-7i)', '(5-8i)', '(5+3i)', '(7+9i)'] -> (((5-8i) - (4-7i)) * ((5+3i) + (7+9i)))
[84225] ['(4-7i)', '(5-8i)', '(5+4i)', '(7+8i)'] -> (((5-8i) - (4-7i)) * ((5+4i) + (7+8i)))
[84249] ['(4-7i)', '(5-8i)', '(5+5i)', '(7+7i)'] -> (((5-8i) - (4-7i)) * ((5+5i) + (7+7i)))
[84276] ['(4-7i)', '(5-8i)', '(5+6i)', '(7+6i)'] -> (((5-8i) - (4-7i)) * ((5+6i) + (7+6i)))
[84305] ['(4-7i)', '(5-8i)', '(5+7i)', '(7+5i)'] -> (((5-8i) - (4-7i)) * ((5+7i) + (7+5i)))
[84328] ['(4-7i)', '(5-8i)', '(5+8i)', '(7+4i)'] -> (((5-8i) - (4-7i)) * ((5+8i) + (7+4i)))
[84350] ['(4-7i)', '(5-8i)', '(5+9i)', '(7+3i)'] -> (((5-8i) - (4-7i)) * ((5+9i) + (7+3i)))
[84415] ['(4-7i)', '(5-8i)', '(6-7i)', '(7+8i)'] -> (((5-8i) + (7+8i)) * ((6-7i) - (4-7i)))
[84418] ['(4-7i)', '(5-8i)', '(6-7i)', '(8-5i)'] -> (((1-9i) - (1-5i)) * ((5+5i) - (5-i)))
[84483] ['(4-7i)', '(5-8i)', '(6-4i)', '(8+9i)'] -> (((4-7i) * ((6-4i) - (5-8i))) - (8+9i))
[84615] ['(4-7i)', '(5-8i)', '(6+3i)', '(6+9i)'] -> (8 * (((4-i) + (8+i)) - 9))
[84632] ['(4-7i)', '(5-8i)', '(6+4i)', '(6+8i)'] -> (((5-8i) - (4-7i)) * ((6+4i) + (6+8i)))
[84659] ['(4-7i)', '(5-8i)', '(6+5i)', '(6+7i)'] -> (((5-8i) - (4-7i)) * ((6+5i) + (6+7i)))
[84698] ['(4-7i)', '(5-8i)', '(6+6i)', '(6+6i)'] -> (((5-8i) - (4-7i)) * ((6+6i) + (6+6i)))
[84712] ['(4-7i)', '(5-8i)', '(6+6i)', '(9+9i)'] -> (((4-7i) + (5-8i)) + ((6+6i) + (9+9i)))
[84736] ['(4-7i)', '(5-8i)', '(6+7i)', '(9+8i)'] -> (((1-4i) * ((5+7i) - (2+i))) - (3-6i))
[84751] ['(4-7i)', '(5-8i)', '(6+8i)', '(9+7i)'] -> (((4-7i) + (5-8i)) + ((6+8i) + (9+7i)))
[84773] ['(4-7i)', '(5-8i)', '(6+9i)', '(9+6i)'] -> (((4-7i) + (5-8i)) + ((6+9i) + (9+6i)))
[84800] ['(4-7i)', '(5-8i)', '(7-8i)', '(8+7i)'] -> (((4-7i) + (8+7i)) * ((7-8i) - (5-8i)))
[84935] ['(4-7i)', '(5-8i)', '7', '(9-9i)'] -> ((7 * ((9-9i) - (5-8i))) - (4-7i))
[85009] ['(4-7i)', '(5-8i)', '(7+6i)', '(8+9i)'] -> (((4-7i) + (5-8i)) + ((7+6i) + (8+9i)))
[85024] ['(4-7i)', '(5-8i)', '(7+7i)', '(8+8i)'] -> (-4i * ((1 + (3+2i)) - (4-4i)))
[85035] ['(4-7i)', '(5-8i)', '(7+8i)', '(8+7i)'] -> (8 * (-7i - (-i * (7-3i))))
[85046] ['(4-7i)', '(5-8i)', '(7+9i)', '(8+6i)'] -> (((4-7i) + (5-8i)) + ((7+9i) + (8+6i)))
[85109] ['(4-7i)', '(5-8i)', '(8-5i)', '(9-9i)'] -> (((4-7i) * ((8-5i) - (5-8i))) - (9-9i))
[85143] ['(4-7i)', '(5-8i)', '(8-2i)', '(8+8i)'] -> (((4-3i) * (4+2i)) - ((1-i) - (3+3i)))
[85264] ['(4-7i)', '(5-8i)', '(9-i)', '(9+i)'] -> (((5-8i) * (9+i)) - ((4-7i) * (9-i)))
[85322] ['(4-7i)', '(5-7i)', '(5-6i)', '(7-5i)'] -> (((5-7i) + (7-5i)) * ((5-6i) - (4-7i)))
[85439] ['(4-7i)', '(5-7i)', '(5-3i)', '(6-i)'] -> (((5-7i) * (6-i)) - ((4-7i) * (5-3i)))
[85490] ['(4-7i)', '(5-7i)', '(5-2i)', '(7-4i)'] -> (((4-7i) * ((7-4i) - (5-7i))) - (5-2i))
[85495] ['(4-7i)', '(5-7i)', '(5-2i)', '(7+i)'] -> (((4-7i) * (7+i)) - ((5-7i) * (5-2i)))
[85555] ['(4-7i)', '(5-7i)', '5', '5'] -> (((4-7i) - (5-7i)) + (5 * 5))
