[219071] ['(2-2i)', '(4-8i)', '(5-3i)', '(5+i)'] -> ((2-2i) * ((5+i) - ((4-8i) - (5-3i))))
[259639] ['(2-2i)', '(6+6i)', '9', '(9+8i)'] -> ((9 - (9+8i)) / ((2-2i) / (6+6i)))
[259641] ['(2-2i)', '(6+6i)', '(9+i)', '(9+9i)'] -> (((2+i) * ((2-3i) + (9-3i))) - (4-i))
[259650] ['(2-2i)', '(6+7i)', '(6+7i)', '(6+8i)'] -> ((2-2i) * (((6+7i) + (6+7i)) - (6+8i)))
[259654] ['(2-2i)', '(6+7i)', '(6+7i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((6+7i) / (6+7i))))
[259662] ['(2-2i)', '(6+7i)', '(6+7i)', '(8+9i)'] -> (((2-2i) * (6+7i)) + ((6+7i) - (8+9i)))
[259666] ['(2-2i)', '(6+7i)', '(6+8i)', '(6+9i)'] -> ((2-2i) * (((6+7i) + (6+8i)) - (6+9i)))
[259686] ['(2-2i)', '(6+7i)', '(6+9i)', '(7-i)'] -> (((2-2i) * (7-i)) + ((6+7i) + (6+9i)))
[259694] ['(2-2i)', '(6+7i)', '(7-9i)', '(7-8i)'] -> ((2-2i) * (((6+7i) + (7-9i)) - (7-8i)))
[259703] ['(2-2i)', '(6+7i)', '(7-9i)', '(9-7i)'] -> (((2-2i) * (6+7i)) + ((7-9i) - (9-7i)))
[259704] ['(2-2i)', '(6+7i)', '(7-9i)', '(9+4i)'] -> (((2-2i) + (6+7i)) + ((7-9i) + (9+4i)))
[259706] ['(2-2i)', '(6+7i)', '(7-8i)', '(7-7i)'] -> ((2-2i) * (((6+7i) + (7-8i)) - (7-7i)))
[259710] ['(2-2i)', '(6+7i)', '(7-8i)', '(9-6i)'] -> (((2-2i) * (6+7i)) + ((7-8i) - (9-6i)))
[259712] ['(2-2i)', '(6+7i)', '(7-8i)', '(9+3i)'] -> (((2-2i) + (6+7i)) + ((7-8i) + (9+3i)))
[259714] ['(2-2i)', '(6+7i)', '(7-7i)', '(7-6i)'] -> (((2-3i) * (4+3i)) + ((2+i) + (5+5i)))
[259723] ['(2-2i)', '(6+7i)', '(7-7i)', '(9-5i)'] -> (((2-2i) * (6+7i)) + ((7-7i) - (9-5i)))
[259724] ['(2-2i)', '(6+7i)', '(7-7i)', '(9+2i)'] -> (((2-2i) + (6+7i)) + ((7-7i) + (9+2i)))
[259725] ['(2-2i)', '(6+7i)', '(7-6i)', '(7-5i)'] -> ((2-2i) * (((6+7i) + (7-6i)) - (7-5i)))
[259733] ['(2-2i)', '(6+7i)', '(7-6i)', '(9-4i)'] -> (((2-2i) * (6+7i)) + ((7-6i) - (9-4i)))
[259734] ['(2-2i)', '(6+7i)', '(7-6i)', '(9+i)'] -> (((2-2i) + (6+7i)) + ((7-6i) + (9+i)))
[259738] ['(2-2i)', '(6+7i)', '(7-5i)', '(7-4i)'] -> ((2-2i) * (((6+7i) + (7-5i)) - (7-4i)))
[259749] ['(2-2i)', '(6+7i)', '(7-5i)', '(9-3i)'] -> (((2-2i) * (6+7i)) + ((7-5i) - (9-3i)))
[259751] ['(2-2i)', '(6+7i)', '(7-5i)', '9'] -> (((2-2i) + (6+7i)) + ((7-5i) + 9))
[259753] ['(2-2i)', '(6+7i)', '(7-4i)', '(7-3i)'] -> ((2-2i) * (((6+7i) + (7-4i)) - (7-3i)))
[259762] ['(2-2i)', '(6+7i)', '(7-4i)', '(9-2i)'] -> ((-4i * ((8+7i) - (7-i))) - (8-4i))
[259763] ['(2-2i)', '(6+7i)', '(7-4i)', '(9-i)'] -> (((2-2i) + (6+7i)) + ((7-4i) + (9-i)))
[259766] ['(2-2i)', '(6+7i)', '(7-3i)', '(7-2i)'] -> ((2-2i) * (((6+7i) + (7-3i)) - (7-2i)))
[259772] ['(2-2i)', '(6+7i)', '(7-3i)', '(9-2i)'] -> (((2-2i) + (6+7i)) + ((7-3i) + (9-2i)))
[259773] ['(2-2i)', '(6+7i)', '(7-3i)', '(9-i)'] -> (((2-2i) * (6+7i)) + ((7-3i) - (9-i)))
[259776] ['(2-2i)', '(6+7i)', '(7-2i)', '(7-i)'] -> ((2-2i) * (((6+7i) + (7-2i)) - (7-i)))
[259782] ['(2-2i)', '(6+7i)', '(7-2i)', '(9-3i)'] -> (((8-i) + (9-2i)) - (-4i - (7-i)))
[259784] ['(2-2i)', '(6+7i)', '(7-2i)', '9'] -> (((2-2i) * (6+7i)) + ((7-2i) - 9))
[259788] ['(2-2i)', '(6+7i)', '(7-i)', '7'] -> ((2-2i) * (((6+7i) + (7-i)) - 7))
[259801] ['(2-2i)', '(6+7i)', '(7-i)', '(9-4i)'] -> (((2-7i) - (8-7i)) * ((3-5i) - (7-5i)))
[259803] ['(2-2i)', '(6+7i)', '(7-i)', '(9+i)'] -> (((2-2i) * (6+7i)) + ((7-i) - (9+i)))
[259806] ['(2-2i)', '(6+7i)', '7', '(7+i)'] -> ((2-2i) * (((6+7i) + 7) - (7+i)))
[259814] ['(2-2i)', '(6+7i)', '7', '(9-5i)'] -> (((2-2i) + (6+7i)) + (7 + (9-5i)))
[259815] ['(2-2i)', '(6+7i)', '7', '(9+2i)'] -> (((2-2i) * (6+7i)) + (7 - (9+2i)))
[259818] ['(2-2i)', '(6+7i)', '(7+i)', '(7+2i)'] -> ((2-2i) * (((6+7i) + (7+i)) - (7+2i)))
[259824] ['(2-2i)', '(6+7i)', '(7+i)', '(9-6i)'] -> (((2-2i) + (6+7i)) + ((7+i) + (9-6i)))
[259826] ['(2-2i)', '(6+7i)', '(7+i)', '(9+3i)'] -> (((2-2i) * (6+7i)) + ((7+i) - (9+3i)))
[259828] ['(2-2i)', '(6+7i)', '(7+2i)', '(7+3i)'] -> ((2-2i) * (((6+7i) + (7+2i)) - (7+3i)))
[259837] ['(2-2i)', '(6+7i)', '(7+2i)', '(9-7i)'] -> (((1-6i) + (2+3i)) * ((6+2i) - (2-2i)))
[259843] ['(2-2i)', '(6+7i)', '(7+2i)', '(9+4i)'] -> (((2-2i) * (6+7i)) + ((7+2i) - (9+4i)))
[259844] ['(2-2i)', '(6+7i)', '(7+3i)', '(7+4i)'] -> ((2-2i) * (((6+7i) + (7+3i)) - (7+4i)))
[259855] ['(2-2i)', '(6+7i)', '(7+3i)', '(9-8i)'] -> (((2-2i) + (6+7i)) + ((7+3i) + (9-8i)))
[259857] ['(2-2i)', '(6+7i)', '(7+3i)', '(9+5i)'] -> ((2-2i) * ((9+3i) - ((1-6i) + (2+3i))))
[259859] ['(2-2i)', '(6+7i)', '(7+4i)', '(7+5i)'] -> ((2-2i) * (((6+7i) + (7+4i)) - (7+5i)))
[259865] ['(2-2i)', '(6+7i)', '(7+4i)', '(9-9i)'] -> (((2-2i) + (6+7i)) + ((7+4i) + (9-9i)))
[259869] ['(2-2i)', '(6+7i)', '(7+4i)', '(9+6i)'] -> (((2-2i) * (6+7i)) + ((7+4i) - (9+6i)))
[259870] ['(2-2i)', '(6+7i)', '(7+5i)', '(7+6i)'] -> ((2-2i) * (((6+7i) + (7+5i)) - (7+6i)))
[259877] ['(2-2i)', '(6+7i)', '(7+5i)', '(9+7i)'] -> (((2-2i) * (6+7i)) + ((7+5i) - (9+7i)))
[259878] ['(2-2i)', '(6+7i)', '(7+6i)', '(7+7i)'] -> ((2-2i) * (((6+7i) + (7+6i)) - (7+7i)))
[259882] ['(2-2i)', '(6+7i)', '(7+6i)', '(9+8i)'] -> (((2-2i) * (6+7i)) + ((7+6i) - (9+8i)))
[259883] ['(2-2i)', '(6+7i)', '(7+7i)', '(7+8i)'] -> ((2-2i) * (((6+7i) + (7+7i)) - (7+8i)))
[259885] ['(2-2i)', '(6+7i)', '(7+7i)', '(9+9i)'] -> (((2-2i) * (6+7i)) + ((7+7i) - (9+9i)))
[259886] ['(2-2i)', '(6+7i)', '(7+8i)', '(7+9i)'] -> ((2-2i) * (((6+7i) + (7+8i)) - (7+9i)))
[259892] ['(2-2i)', '(6+7i)', '(7+9i)', '8'] -> (8 * ((7+9i) + ((2-2i) - (6+7i))))
[259897] ['(2-2i)', '(6+7i)', '(8-9i)', '(8-8i)'] -> ((2-2i) * (((6+7i) + (8-9i)) - (8-8i)))
[259900] ['(2-2i)', '(6+7i)', '(8-9i)', '(8+4i)'] -> (((2-2i) + (6+7i)) + ((8-9i) + (8+4i)))
[259908] ['(2-2i)', '(6+7i)', '(8-8i)', '(8-7i)'] -> (((2+i) * (5-8i)) - ((2-3i) - (8+8i)))
[259912] ['(2-2i)', '(6+7i)', '(8-8i)', '(8+3i)'] -> (((2-2i) + (6+7i)) + ((8-8i) + (8+3i)))
[259918] ['(2-2i)', '(6+7i)', '(8-7i)', '(8-6i)'] -> ((2-2i) * (((6+7i) + (8-7i)) - (8-6i)))
[259919] ['(2-2i)', '(6+7i)', '(8-7i)', '(8+2i)'] -> (((2-2i) + (6+7i)) + ((8-7i) + (8+2i)))
[259926] ['(2-2i)', '(6+7i)', '(8-6i)', '(8-5i)'] -> ((2-2i) * (((6+7i) + (8-6i)) - (8-5i)))
[259928] ['(2-2i)', '(6+7i)', '(8-6i)', '(8+i)'] -> (((6-9i) * (8+4i)) - ((1-9i) * (6+6i)))
[259934] ['(2-2i)', '(6+7i)', '(8-5i)', '(8-4i)'] -> ((2-2i) * (((6+7i) + (8-5i)) - (8-4i)))
[259935] ['(2-2i)', '(6+7i)', '(8-5i)', '8'] -> (((2-2i) + (6+7i)) + ((8-5i) + 8))
[259939] ['(2-2i)', '(6+7i)', '(8-4i)', '(8-3i)'] -> ((2-2i) * (((6+7i) + (8-4i)) - (8-3i)))
[259940] ['(2-2i)', '(6+7i)', '(8-4i)', '(8-i)'] -> (((2-2i) + (6+7i)) + ((8-4i) + (8-i)))
[259949] ['(2-2i)', '(6+7i)', '(8-3i)', '(9+4i)'] -> (((2-2i) * (9+4i)) + ((6+7i) - (8-3i)))
[259950] ['(2-2i)', '(6+7i)', '(8-2i)', '(8-i)'] -> ((2-2i) * (((6+7i) + (8-2i)) - (8-i)))
[259957] ['(2-2i)', '(6+7i)', '(8-i)', '8'] -> ((2-2i) * (((6+7i) + (8-i)) - 8))
[259963] ['(2-2i)', '(6+7i)', '8', '(8+i)'] -> ((-4i * ((7+8i) - 7)) - 8)
[259968] ['(2-2i)', '(6+7i)', '(8+i)', '(8+2i)'] -> ((2-2i) * (((6+7i) + (8+i)) - (8+2i)))
[259969] ['(2-2i)', '(6+7i)', '(8+i)', '(8+5i)'] -> (((2-2i) * (8+5i)) + ((6+7i) - (8+i)))
[259971] ['(2-2i)', '(6+7i)', '(8+2i)', '(8+3i)'] -> ((2-2i) * (((6+7i) + (8+2i)) - (8+3i)))
[259973] ['(2-2i)', '(6+7i)', '(8+2i)', '(9+6i)'] -> (((8+2i) * ((9+6i) - (6+7i))) - (2-2i))
[259975] ['(2-2i)', '(6+7i)', '(8+3i)', '(8+4i)'] -> ((2-2i) * (((6+7i) + (8+3i)) - (8+4i)))
[259987] ['(2-2i)', '(6+7i)', '(8+5i)', '(8+6i)'] -> ((2-2i) * (((6+7i) + (8+5i)) - (8+6i)))
[259993] ['(2-2i)', '(6+7i)', '(8+6i)', '(8+7i)'] -> ((2-2i) * (((6+7i) + (8+6i)) - (8+7i)))
[259999] ['(2-2i)', '(6+7i)', '(8+7i)', '(8+8i)'] -> ((2-2i) * (((6+7i) + (8+7i)) - (8+8i)))
[260003] ['(2-2i)', '(6+7i)', '(8+8i)', '(8+9i)'] -> ((2-2i) * (((6+7i) + (8+8i)) - (8+9i)))
[260008] ['(2-2i)', '(6+7i)', '(9-9i)', '(9-8i)'] -> ((2-2i) * (((6+7i) + (9-9i)) - (9-8i)))
[260011] ['(2-2i)', '(6+7i)', '(9-8i)', '(9-7i)'] -> ((4+4i) * ((7-5i) + (-7i - (4-9i))))
[260017] ['(2-2i)', '(6+7i)', '(9-7i)', '(9-6i)'] -> ((2-2i) * (((6+7i) + (9-7i)) - (9-6i)))
[260020] ['(2-2i)', '(6+7i)', '(9-6i)', '(9-5i)'] -> ((2-2i) * (((6+7i) + (9-6i)) - (9-5i)))
[260024] ['(2-2i)', '(6+7i)', '(9-5i)', '(9-4i)'] -> ((2-2i) * (((6+7i) + (9-5i)) - (9-4i)))
[260026] ['(2-2i)', '(6+7i)', '(9-4i)', '(9-3i)'] -> ((2-2i) * (((6+7i) + (9-4i)) - (9-3i)))
[260033] ['(2-2i)', '(6+7i)', '(9-3i)', '(9-2i)'] -> ((2-2i) * (((6+7i) + (9-3i)) - (9-2i)))
[260037] ['(2-2i)', '(6+7i)', '(9-2i)', '(9-i)'] -> ((2-2i) * (((6+7i) + (9-2i)) - (9-i)))
[260039] ['(2-2i)', '(6+7i)', '(9-i)', '9'] -> ((2-2i) * (((6+7i) + (9-i)) - 9))
[260041] ['(2-2i)', '(6+7i)', '9', '(9+i)'] -> ((2-2i) * (((6+7i) + 9) - (9+i)))
[260044] ['(2-2i)', '(6+7i)', '(9+i)', '(9+2i)'] -> ((2-2i) * (((6+7i) + (9+i)) - (9+2i)))
[260048] ['(2-2i)', '(6+7i)', '(9+2i)', '(9+3i)'] -> ((2-2i) * (((6+7i) + (9+2i)) - (9+3i)))
[260049] ['(2-2i)', '(6+7i)', '(9+3i)', '(9+4i)'] -> ((2-2i) * (((6+7i) + (9+3i)) - (9+4i)))
[260051] ['(2-2i)', '(6+7i)', '(9+4i)', '(9+5i)'] -> ((-4i + 7) + ((8+i) + (9+3i)))
[260053] ['(2-2i)', '(6+7i)', '(9+5i)', '(9+6i)'] -> ((2-2i) * (((6+7i) + (9+5i)) - (9+6i)))
[260054] ['(2-2i)', '(6+7i)', '(9+6i)', '(9+7i)'] -> (((8+2i) + (9-6i)) - (-4i - 7))
[260056] ['(2-2i)', '(6+7i)', '(9+7i)', '(9+8i)'] -> ((2-2i) * (((6+7i) + (9+7i)) - (9+8i)))
[260057] ['(2-2i)', '(6+7i)', '(9+8i)', '(9+9i)'] -> ((-4i + 7) + ((8+2i) + (9+2i)))
[260060] ['(2-2i)', '(6+8i)', '(6+8i)', '(7-i)'] -> (((2-2i) * (7-i)) + ((6+8i) + (6+8i)))
[260062] ['(2-2i)', '(6+8i)', '(6+8i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((6+8i) / (6+8i))))
[260080] ['(2-2i)', '(6+8i)', '(7-9i)', '(7-7i)'] -> ((2-2i) * (((6+8i) + (7-9i)) - (7-7i)))
[260092] ['(2-2i)', '(6+8i)', '(7-9i)', '(9+3i)'] -> (((2-2i) + (6+8i)) + ((7-9i) + (9+3i)))
[260094] ['(2-2i)', '(6+8i)', '(7-8i)', '(7-6i)'] -> ((8+8i) - ((1-3i) * ((2+3i) - (6+7i))))
[260100] ['(2-2i)', '(6+8i)', '(7-8i)', '(9+2i)'] -> (((2-2i) + (6+8i)) + ((7-8i) + (9+2i)))
[260102] ['(2-2i)', '(6+8i)', '(7-7i)', '(7-5i)'] -> ((2-2i) * (((6+8i) + (7-7i)) - (7-5i)))
[260103] ['(2-2i)', '(6+8i)', '(7-7i)', '(7-i)'] -> (((6+8i) + ((7-7i) * (7-i))) / (2-2i))
[260106] ['(2-2i)', '(6+8i)', '(7-7i)', '(9+i)'] -> (((2-2i) + (6+8i)) + ((7-7i) + (9+i)))
[260108] ['(2-2i)', '(6+8i)', '(7-6i)', '(7-4i)'] -> ((2-2i) * (((6+8i) + (7-6i)) - (7-4i)))
[260111] ['(2-2i)', '(6+8i)', '(7-6i)', '9'] -> (((2-2i) + (6+8i)) + ((7-6i) + 9))
[260113] ['(2-2i)', '(6+8i)', '(7-5i)', '(7-3i)'] -> ((2-2i) * (((6+8i) + (7-5i)) - (7-3i)))
[260118] ['(2-2i)', '(6+8i)', '(7-5i)', '(9-i)'] -> (((2-2i) + (6+8i)) + ((7-5i) + (9-i)))
[260119] ['(2-2i)', '(6+8i)', '(7-4i)', '(7-2i)'] -> ((2-2i) * (((6+8i) + (7-4i)) - (7-2i)))
[260125] ['(2-2i)', '(6+8i)', '(7-4i)', '(9-2i)'] -> (((2-2i) + (6+8i)) + ((7-4i) + (9-2i)))
[260126] ['(2-2i)', '(6+8i)', '(7-3i)', '(7-i)'] -> ((2-2i) * (((6+8i) + (7-3i)) - (7-i)))
[260133] ['(2-2i)', '(6+8i)', '(7-3i)', '(9-3i)'] -> (((2-2i) + (6+8i)) + ((7-3i) + (9-3i)))
[260140] ['(2-2i)', '(6+8i)', '(7-2i)', '7'] -> ((2-2i) * (((6+8i) + (7-2i)) - 7))
[260144] ['(2-2i)', '(6+8i)', '(7-2i)', '(9-4i)'] -> (((2-2i) + (6+8i)) + ((7-2i) + (9-4i)))
[260147] ['(2-2i)', '(6+8i)', '(7-i)', '(7+i)'] -> ((2-2i) * (((6+8i) + (7-i)) - (7+i)))
[260153] ['(2-2i)', '(6+8i)', '(7-i)', '(9-5i)'] -> (((2-2i) + (6+8i)) + ((7-i) + (9-5i)))
[260157] ['(2-2i)', '(6+8i)', '7', '(7+2i)'] -> ((2-2i) * (((6+8i) + 7) - (7+2i)))
[260163] ['(2-2i)', '(6+8i)', '7', '(9-6i)'] -> (((2-2i) + (6+8i)) + (7 + (9-6i)))
[260165] ['(2-2i)', '(6+8i)', '(7+i)', '(7+3i)'] -> ((2-2i) * (((6+8i) + (7+i)) - (7+3i)))
[260166] ['(2-2i)', '(6+8i)', '(7+i)', '(7+7i)'] -> ((2-2i) * ((7+7i) - ((6+8i) / (7+i))))
[260169] ['(2-2i)', '(6+8i)', '(7+i)', '(8+8i)'] -> ((8+8i) * ((2-2i) - ((7+i) / (6+8i))))
[260170] ['(2-2i)', '(6+8i)', '(7+i)', '(9-7i)'] -> (((2-2i) + (6+8i)) + ((7+i) + (9-7i)))
[260172] ['(2-2i)', '(6+8i)', '(7+2i)', '(7+4i)'] -> ((2-2i) * (((6+8i) + (7+2i)) - (7+4i)))
[260175] ['(2-2i)', '(6+8i)', '(7+2i)', '(9-8i)'] -> (((2-2i) + (6+8i)) + ((7+2i) + (9-8i)))
[260178] ['(2-2i)', '(6+8i)', '(7+3i)', '(7+5i)'] -> ((2-2i) * (((6+8i) + (7+3i)) - (7+5i)))
[260182] ['(2-2i)', '(6+8i)', '(7+3i)', '(9-9i)'] -> (((2-2i) + (6+8i)) + ((7+3i) + (9-9i)))
[260183] ['(2-2i)', '(6+8i)', '(7+4i)', '(7+6i)'] -> ((2-2i) * (((6+8i) + (7+4i)) - (7+6i)))
[260194] ['(2-2i)', '(6+8i)', '(7+5i)', '(7+7i)'] -> ((2-2i) * (((6+8i) + (7+5i)) - (7+7i)))
[260203] ['(2-2i)', '(6+8i)', '(7+6i)', '(7+8i)'] -> ((2-2i) * (((6+8i) + (7+6i)) - (7+8i)))
[260214] ['(2-2i)', '(6+8i)', '(7+7i)', '(7+9i)'] -> ((2-2i) * (((6+8i) + (7+7i)) - (7+9i)))
[260247] ['(2-2i)', '(6+8i)', '(8-9i)', '(8-7i)'] -> ((2-2i) * (((6+8i) + (8-9i)) - (8-7i)))
[260252] ['(2-2i)', '(6+8i)', '(8-9i)', '(8+3i)'] -> (((2-2i) + (6+8i)) + ((8-9i) + (8+3i)))
[260258] ['(2-2i)', '(6+8i)', '(8-8i)', '(8-6i)'] -> ((2-2i) * (((6+8i) + (8-8i)) - (8-6i)))
[260261] ['(2-2i)', '(6+8i)', '(8-8i)', '(8+2i)'] -> ((2-2i) * ((4-i) - ((1-6i) - (3+i))))
[260272] ['(2-2i)', '(6+8i)', '(8-7i)', '(8-5i)'] -> ((2-2i) * (((6+8i) + (8-7i)) - (8-5i)))
[260275] ['(2-2i)', '(6+8i)', '(8-7i)', '(8+i)'] -> (((2-2i) + (6+8i)) + ((8-7i) + (8+i)))
[260281] ['(2-2i)', '(6+8i)', '(8-6i)', '(8-4i)'] -> ((2-2i) * (((6+8i) + (8-6i)) - (8-4i)))
[260282] ['(2-2i)', '(6+8i)', '(8-6i)', '8'] -> (((2-2i) + (6+8i)) + ((8-6i) + 8))
[260285] ['(2-2i)', '(6+8i)', '(8-5i)', '(8-3i)'] -> ((2-2i) * (((6+8i) + (8-5i)) - (8-3i)))
[260287] ['(2-2i)', '(6+8i)', '(8-5i)', '(8-i)'] -> (((2-2i) + (6+8i)) + ((8-5i) + (8-i)))
[260307] ['(2-2i)', '(6+8i)', '(8-3i)', '(8-3i)'] -> (((2-2i) + (6+8i)) + ((8-3i) + (8-3i)))
[260308] ['(2-2i)', '(6+8i)', '(8-3i)', '(8-i)'] -> ((2-2i) * (((6+8i) + (8-3i)) - (8-i)))
[260317] ['(2-2i)', '(6+8i)', '(8-2i)', '8'] -> ((2-2i) * (((6+8i) + (8-2i)) - 8))
[260325] ['(2-2i)', '(6+8i)', '(8-2i)', '(9+4i)'] -> (((2-2i) * (9+4i)) + ((6+8i) - (8-2i)))
[260328] ['(2-2i)', '(6+8i)', '(8-i)', '(8+i)'] -> ((2-2i) * (((6+8i) + (8-i)) - (8+i)))
[260333] ['(2-2i)', '(6+8i)', '8', '(8+2i)'] -> ((2-2i) * (((6+8i) + 8) - (8+2i)))
[260337] ['(2-2i)', '(6+8i)', '(8+i)', '(8+3i)'] -> ((2-2i) * (((6+8i) + (8+i)) - (8+3i)))
[260344] ['(2-2i)', '(6+8i)', '(8+2i)', '(8+4i)'] -> ((2-2i) * (((6+8i) + (8+2i)) - (8+4i)))
[260345] ['(2-2i)', '(6+8i)', '(8+2i)', '(8+5i)'] -> (((2-2i) * (8+5i)) + ((6+8i) - (8+2i)))
[260348] ['(2-2i)', '(6+8i)', '(8+2i)', '(9+7i)'] -> (((8+2i) * ((9+7i) - (6+8i))) - (2-2i))
[260350] ['(2-2i)', '(6+8i)', '(8+3i)', '(8+5i)'] -> (8 * (((1-3i) * (2+3i)) - (8-3i)))
[260356] ['(2-2i)', '(6+8i)', '(8+5i)', '(8+7i)'] -> ((2-2i) * (((6+8i) + (8+5i)) - (8+7i)))
[260359] ['(2-2i)', '(6+8i)', '(8+6i)', '(8+8i)'] -> ((2-2i) * (((6+8i) + (8+6i)) - (8+8i)))
[260365] ['(2-2i)', '(6+8i)', '(8+7i)', '(8+9i)'] -> ((2-2i) * (((6+8i) + (8+7i)) - (8+9i)))
[260376] ['(2-2i)', '(6+8i)', '(9-9i)', '(9-7i)'] -> ((2-2i) * (((6+8i) + (9-9i)) - (9-7i)))
[260378] ['(2-2i)', '(6+8i)', '(9-8i)', '(9-6i)'] -> ((2-2i) * (((6+8i) + (9-8i)) - (9-6i)))
[260380] ['(2-2i)', '(6+8i)', '(9-7i)', '(9-5i)'] -> ((2-2i) * (((6+8i) + (9-7i)) - (9-5i)))
[260384] ['(2-2i)', '(6+8i)', '(9-6i)', '(9-4i)'] -> ((2-2i) * (((6+8i) + (9-6i)) - (9-4i)))
[260388] ['(2-2i)', '(6+8i)', '(9-5i)', '(9-3i)'] -> ((2-2i) * (((6+8i) + (9-5i)) - (9-3i)))
[260391] ['(2-2i)', '(6+8i)', '(9-4i)', '(9-2i)'] -> ((2-2i) * (((6+8i) + (9-4i)) - (9-2i)))
[260394] ['(2-2i)', '(6+8i)', '(9-3i)', '(9-i)'] -> ((2-2i) * (((6+8i) + (9-3i)) - (9-i)))
[260395] ['(2-2i)', '(6+8i)', '(9-2i)', '9'] -> ((2-2i) * (((6+8i) + (9-2i)) - 9))
[260398] ['(2-2i)', '(6+8i)', '(9-i)', '(9+i)'] -> ((2-2i) * (((6+8i) + (9-i)) - (9+i)))
[260401] ['(2-2i)', '(6+8i)', '9', '(9+2i)'] -> ((2-2i) * (((6+8i) + 9) - (9+2i)))
[260402] ['(2-2i)', '(6+8i)', '(9+i)', '(9+3i)'] -> ((2-2i) * (((6+8i) + (9+i)) - (9+3i)))
[260403] ['(2-2i)', '(6+8i)', '(9+2i)', '(9+4i)'] -> ((2-2i) * (((6+8i) + (9+2i)) - (9+4i)))
[260405] ['(2-2i)', '(6+8i)', '(9+3i)', '(9+5i)'] -> ((2-2i) * (((6+8i) + (9+3i)) - (9+5i)))
[260406] ['(2-2i)', '(6+8i)', '(9+4i)', '(9+6i)'] -> ((2-2i) * (((6+8i) + (9+4i)) - (9+6i)))
[260408] ['(2-2i)', '(6+8i)', '(9+5i)', '(9+7i)'] -> ((2-2i) * (((6+8i) + (9+5i)) - (9+7i)))
[260409] ['(2-2i)', '(6+8i)', '(9+6i)', '(9+8i)'] -> ((2-2i) * (((6+8i) + (9+6i)) - (9+8i)))
[260410] ['(2-2i)', '(6+8i)', '(9+7i)', '(9+9i)'] -> ((2-2i) * (((6+8i) + (9+7i)) - (9+9i)))
[260413] ['(2-2i)', '(6+9i)', '(6+9i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((6+9i) / (6+9i))))
[260419] ['(2-2i)', '(6+9i)', '(7-9i)', '(7-6i)'] -> ((2-2i) * (((6+9i) + (7-9i)) - (7-6i)))
[260424] ['(2-2i)', '(6+9i)', '(7-9i)', '(9+2i)'] -> (((2-2i) + (6+9i)) + ((7-9i) + (9+2i)))
[260426] ['(2-2i)', '(6+9i)', '(7-8i)', '(7-5i)'] -> ((2-2i) * (((6+9i) + (7-8i)) - (7-5i)))
[260433] ['(2-2i)', '(6+9i)', '(7-8i)', '(9+i)'] -> (((2-2i) + (6+9i)) + ((7-8i) + (9+i)))
[260434] ['(2-2i)', '(6+9i)', '(7-7i)', '(7-4i)'] -> ((2-2i) * (((6+9i) + (7-7i)) - (7-4i)))
[260441] ['(2-2i)', '(6+9i)', '(7-7i)', '9'] -> (((2-2i) + (6+9i)) + ((7-7i) + 9))
[260443] ['(2-2i)', '(6+9i)', '(7-6i)', '(7-3i)'] -> ((2-2i) * (((6+9i) + (7-6i)) - (7-3i)))
[260448] ['(2-2i)', '(6+9i)', '(7-6i)', '(9-i)'] -> (((8-3i) + (9-3i)) - (-4i - (7+2i)))
[260451] ['(2-2i)', '(6+9i)', '(7-5i)', '(7-2i)'] -> ((2-2i) * (((6+9i) + (7-5i)) - (7-2i)))
[260455] ['(2-2i)', '(6+9i)', '(7-5i)', '(9-2i)'] -> (((2-2i) + (6+9i)) + ((7-5i) + (9-2i)))
[260459] ['(2-2i)', '(6+9i)', '(7-4i)', '(7-i)'] -> ((2-2i) * (((6+9i) + (7-4i)) - (7-i)))
[260466] ['(2-2i)', '(6+9i)', '(7-4i)', '(9-3i)'] -> (((2-2i) + (6+9i)) + ((7-4i) + (9-3i)))
[260470] ['(2-2i)', '(6+9i)', '(7-3i)', '7'] -> ((2-2i) * (((6+9i) + (7-3i)) - 7))
[260481] ['(2-2i)', '(6+9i)', '(7-3i)', '(9-4i)'] -> (((2-2i) + (6+9i)) + ((7-3i) + (9-4i)))
[260485] ['(2-2i)', '(6+9i)', '(7-2i)', '(7+i)'] -> ((2-2i) * (((6+9i) + (7-2i)) - (7+i)))
[260494] ['(2-2i)', '(6+9i)', '(7-2i)', '(8+9i)'] -> ((1-3i) * ((2+6i) - ((4-4i) / (2+4i))))
[260495] ['(2-2i)', '(6+9i)', '(7-2i)', '(9-5i)'] -> (((2-2i) + (6+9i)) + ((7-2i) + (9-5i)))
[260499] ['(2-2i)', '(6+9i)', '(7-i)', '(7+2i)'] -> ((2-2i) * (((6+9i) + (7-i)) - (7+2i)))
[260503] ['(2-2i)', '(6+9i)', '(7-i)', '(8-8i)'] -> (((6+9i) * (8-8i)) / ((7-i) - (2-2i)))
[260508] ['(2-2i)', '(6+9i)', '(7-i)', '(9-6i)'] -> (((1-3i) * (2+6i)) - ((2+4i) - (6+4i)))
[260512] ['(2-2i)', '(6+9i)', '7', '(7+3i)'] -> ((2-2i) * (((6+9i) + 7) - (7+3i)))
