[168436] ['2/5', '4/7', '5/8', '9/8', '6'] -> 6 / 4/7 / (5/8 / 2/5 - 9/8)
[173107] ['3/4', '5/6', '7/6', '9/5', '5'] -> (5/6 + 7/6) * 5 / (3/4 / 9/5)
[173108] ['6/7', '8/7', '6/5', '3', '7/2'] -> (6/7 + 8/7) / (3 - 7/2 / 6/5)
[173109] ['1/6', '3/4', '4/5', '8/9', '1'] -> (1/6 + 1) / (3/4 / 4/5 - 8/9)
[173110] ['5/7', '5/7', '8/5', '7/4', '9'] -> 9 / (8/5 - 7/4 / (5/7 + 5/7))
[173111] ['1/9', '2/9', '2/7', '8/5', '9'] -> 9 / (2/9 / 2/7 / 8/5 - 1/9)
[173112] ['3/8', '7/9', '8/5', '9/5', '7'] -> 8/5 + (7 + 7/9 * 9/5) / 3/8
[173113] ['5/9', '3/2', '5/2', '5/2', '8'] -> 3/2 * 8 * (5/2 / 5/9 - 5/2)
[173114] ['4/7', '3/4', '4/5', '7/2', '6'] -> 4/5 * 7/2 * (4/7 + 6 / 3/4)
[173115] ['2/5', '5/7', '4/5', '5/4', '6'] -> 6 / (4/5 / 2/5 - 5/4 / 5/7)
[173116] ['6/7', '8/7', '5/4', '5/4', '3'] -> 8/7 * 3 / (5/4 / 5/4 - 6/7)
[173117] ['3/4', '5/6', '7/6', '7/3', '5'] -> 5 / (5/6 * (3/4 - 7/6 / 7/3))
[173118] ['4/7', '5/8', '5/8', '5/2', '3'] -> (5/8 + 5/2 / 4/7) / (5/8 / 3)
[173119] ['2/7', '7/8', '7/8', '3/2', '6'] -> (6 + 3/2 / (7/8 + 7/8)) / 2/7
[173120] ['1/9', '2/9', '2/7', '7/4', '9'] -> 9 / 7/4 / (1/9 / 2/9 - 2/7)
[173121] ['3/7', '1/2', '5/8', '7/6', '2'] -> 3/7 * 2 / (5/8 / 7/6 - 1/2)
[173122] ['4/7', '3/4', '4/5', '9/2', '6'] -> (9/2 / (3/4 - 4/7) - 6) / 4/5
[173123] ['2/5', '1', '8/5', '7/4', '8/3'] -> (2/5 + 8/5) / (1 + 7/4 - 8/3)
[173124] ['3/8', '7/9', '8/5', '9/4', '7'] -> 8/5 * (9/4 / 3/8 + 7 / 7/9)
[173125] ['1/4', '4/7', '6/5', '9/2', '7'] -> 7 * (1/4 - 4/7 + 9/2 / 6/5)
[173126] ['5/8', '6/5', '2', '7/2', '7/2'] -> 6/5 + (2 + 7/2 * 7/2) / 5/8
[173127] ['3/8', '7/9', '8/5', '7/3', '7'] -> 8/5 * (7 + 7/3 / (3/8 * 7/9))
[173128] ['4/7', '5/8', '5/8', '3', '7/2'] -> 3 / (4/7 - 5/8 + 5/8 / 7/2)
[173129] ['5/7', '5/7', '8/5', '7/2', '9'] -> 7/2 * (5/7 * (8/5 + 9) - 5/7)
[173130] ['1/9', '2/9', '2/7', '9/4', '9'] -> 9 / 9/4 / (1/9 / 2/7 - 2/9)
[173131] ['3/4', '5/6', '6/5', '9/7', '5'] -> 6/5 * 5 / (5/6 - 3/4 / 9/7)
[173132] ['4/7', '3/4', '5/6', '7/8', '6'] -> 6 / (3/4 * (5/6 - 4/7 * 7/8))
[173133] ['5/8', '6/5', '2', '9/2', '9/2'] -> 2 / (5/8 * 6/5) * (9/2 + 9/2)
[173134] ['3/8', '7/9', '8/5', '5/2', '7'] -> 5/2 * (3/8 * 8/5 + 7 / 7/9)
[173135] ['1/6', '3/4', '4/5', '1', '4/3'] -> (1/6 + 4/3) / (1 - 3/4 / 4/5)
[173136] ['4/7', '5/8', '2/3', '2/3', '3'] -> 3 / (5/8 + 2/3 - 2/3 / 4/7)
[173137] ['5/7', '5/7', '5/3', '5/3', '9'] -> 9 * 5/3 * 5/3 - 5/7 / 5/7
[173138] ['6/7', '8/7', '5/4', '7/3', '3'] -> (6/7 + 8/7) / (3 - 5/4 * 7/3)
[173139] ['1/6', '3/4', '4/5', '1', '7/4'] -> (7/4 + 1 / 4/5) / (1/6 * 3/4)
[173140] ['2/7', '7/8', '7/8', '7/3', '6'] -> (7/8 + 7/8) * (7/3 * 6 - 2/7)
[173141] ['5/9', '8/5', '8/5', '9/4', '8'] -> 8 / (8/5 - 5/9 - 8/5 / 9/4)
[173142] ['4/7', '3/4', '5/6', '7/6', '6'] -> 5/6 / 7/6 * 6 / (3/4 - 4/7)
[173143] ['4/5', '4/5', '5/4', '4', '9/2'] -> 4/5 / 4/5 + 4 * (5/4 + 9/2)
[173144] ['2/5', '5/7', '4/5', '9/5', '6'] -> (6 / (2/5 * 5/7) - 9/5) / 4/5
[173145] ['5/7', '5/7', '5/3', '7/2', '9'] -> 7/2 * (5/7 / 5/3 + 5/7 * 9)
[173146] ['4/5', '4/5', '9/7', '9/7', '4'] -> (4/5 + 4) / (9/7 / 9/7 - 4/5)
[173147] ['2/7', '7/8', '7/8', '8/3', '6'] -> (7/8 + 8/3) / (7/8 / 6) - 2/7
[173148] ['1/6', '3/4', '4/5', '1', '7/3'] -> (7/3 + 1 / (3/4 * 4/5)) / 1/6
[173149] ['5/7', '5/7', '5/3', '9/2', '9'] -> 9 + (5/7 + 5/3) / (5/7 / 9/2)
[173150] ['3/7', '1/2', '5/8', '7/4', '2'] -> 3/7 / (2 / 7/4 - (1/2 + 5/8))
[173151] ['5/8', '5/4', '5/4', '7/4', '2'] -> (5/4 + 7/4) / (2 - (5/8 + 5/4))
[173152] ['2/5', '5/7', '4/5', '8/3', '6'] -> 6 * (2/5 + 8/3 / 5/7) - 4/5
[173153] ['6/7', '8/7', '9/7', '5/3', '3'] -> 8/7 * 3 / (6/7 * 5/3 - 9/7)
[173154] ['5/9', '8/5', '8/5', '7/2', '8'] -> 5/9 * (8 * 8/5 * 7/2 - 8/5)
[173155] ['3/4', '5/6', '6/5', '7/2', '5'] -> 6/5 / (5 - (3/4 + 7/2 / 5/6))
[173156] ['2/5', '1', '8/5', '9/4', '7/2'] -> 1 + (9/4 + 7/2) / (2/5 / 8/5)
[173157] ['6/7', '8/7', '9/7', '7/4', '3'] -> 3 / ((6/7 + 9/7) / 8/7 - 7/4)
[173158] ['1/6', '3/4', '5/6', '6/7', '1'] -> 6/7 / (3/4 - 5/6 / (1/6 + 1))
[173159] ['5/9', '8/5', '8/5', '9/2', '8'] -> 8 / (5/9 - 8/5 / 8/5 / 9/2)
[173160] ['5/8', '5/4', '5/4', '2', '5/2'] -> 2 / (5/2 / (5/8 + 5/4) - 5/4)
[173161] ['4/5', '4/5', '9/7', '5/3', '4'] -> 4/5 / (4/5 - 9/7 / 5/3) - 4
[173162] ['1/4', '4/7', '9/7', '5/2', '7'] -> 9/7 / 1/4 / (4/7 - 5/2 / 7)
[173163] ['1/9', '2/9', '1/3', '7/4', '9'] -> (9 + 1/9 / 1/3) / (2/9 * 7/4)
[173164] ['2/7', '7/8', '8/9', '9/7', '6'] -> 6 / ((9/7 - 2/7) / 8/9 - 7/8)
[173165] ['3/4', '5/6', '5/4', '7/5', '5'] -> 7/5 * 5 / (5/6 * 5/4 - 3/4)
[173166] ['6/7', '8/7', '9/7', '7/3', '3'] -> 9/7 / (8/7 - 6/7) * (7/3 + 3)
[173167] ['2/5', '1', '8/5', '7/3', '7/3'] -> 8/5 / 7/3 / (1 / 7/3 - 2/5)
[173168] ['3/7', '1/2', '5/8', '2', '9/2'] -> 9/2 / (1/2 - 3/7) / (5/8 + 2)
[173169] ['1/4', '4/7', '4/3', '7/5', '7'] -> (4/7 + 4/3) * (7 + 7/5 / 1/4)
[173170] ['3/8', '7/9', '7/4', '8/3', '7'] -> 8/3 / (7/9 - 7/4 / (3/8 * 7))
[173171] ['4/7', '5/8', '2/3', '9/7', '3'] -> (4/7 + 9/7 / 3) / (2/3 - 5/8)
[173172] ['4/7', '3/4', '5/6', '7/4', '6'] -> (4/7 + 6) / (3/4 - 5/6 / 7/4)
[173173] ['2/7', '7/8', '8/9', '4/3', '6'] -> (8/9 * 6 + 4/3 / 7/8) / 2/7
[173174] ['6/7', '8/7', '9/7', '3', '9/2'] -> 6/7 * 9/2 / (9/7 - 8/7) - 3
[173175] ['3/4', '5/6', '9/7', '9/7', '5'] -> 5 / 5/6 / (9/7 / 9/7 - 3/4)
[173176] ['5/9', '8/5', '7/4', '9/5', '8'] -> 8/5 * (5/9 * 9/5 + 7/4 * 8)
[173177] ['1/4', '4/7', '4/3', '9/5', '7'] -> 9/5 * (7 / 4/7 - (1/4 - 4/3))
[173178] ['6/7', '8/7', '4/3', '4/3', '3'] -> 8/7 * 3 / (4/3 / 4/3 - 6/7)
[173179] ['2/5', '5/7', '5/6', '8/7', '6'] -> 2/5 / (5/6 - 5/7) * (8/7 + 6)
[173180] ['4/7', '5/8', '2/3', '7/5', '3'] -> (4/7 + 3) / (5/8 - 2/3 / 7/5)
[173181] ['2/7', '7/8', '8/9', '3/2', '6'] -> (6 + 3/2 / 7/8) / (2/7 / 8/9)
[173182] ['2/5', '1', '5/3', '5/3', '7/4'] -> 2/5 / (5/3 - (1 + 7/4) / 5/3)
[173183] ['6/7', '8/7', '4/3', '7/5', '3'] -> 8/7 / (6/7 + 4/3 - 3 / 7/5)
[173184] ['5/9', '8/5', '7/4', '7/3', '8'] -> 7/4 * (8 / 5/9 - 8/5 / 7/3)
[173185] ['2/5', '1', '5/3', '5/3', '9/4'] -> 2/5 / (1 / 5/3 + 5/3 - 9/4)
[173186] ['3/8', '7/9', '9/5', '8/3', '7'] -> 9/5 * (8/3 / 3/8 - (7/9 - 7))
[173187] ['1/9', '2/9', '3/8', '8/7', '9'] -> 3/8 + 9 / (8/7 * (1/9 + 2/9))
[173188] ['3/7', '1/2', '2/3', '5/4', '2'] -> 2 / (3/7 * (1/2 + 5/4) - 2/3)
[173189] ['1/4', '4/7', '7/5', '7/5', '7'] -> 7 * (7/5 / (1/4 * 7/5) - 4/7)
[173190] ['3/8', '7/9', '9/5', '7/2', '7'] -> 9/5 / (7/2 / (7/9 + 7) - 3/8)
[173191] ['3/7', '1/2', '2/3', '4/3', '2'] -> 4/3 / (1/2 - 2 + 2/3 / 3/7)
[173192] ['1/4', '4/7', '7/5', '3/2', '7'] -> (7 - 4/7) / (3/2 * 1/4 / 7/5)
[173193] ['5/7', '5/7', '9/4', '7/3', '9'] -> 5/7 * 9/4 * (7/3 + 9 / 5/7)
[173194] ['1/6', '3/4', '6/7', '1', '9/8'] -> 1 / 1/6 / (9/8 - 3/4 / 6/7)
[173195] ['5/8', '5/4', '9/7', '2', '7/3'] -> 9/7 * 7/3 / (2 - (5/8 + 5/4))
[173196] ['4/7', '3/4', '6/7', '7/5', '6'] -> 6 / (4/7 - 6/7 + 3/4 / 7/5)
[173197] ['6/7', '8/7', '4/3', '5/2', '3'] -> 3 / (6/7 + 8/7 - 5/2 / 4/3)
[173198] ['3/4', '5/6', '9/7', '9/5', '5'] -> (9/7 + 9/5) / (3/4 / (5/6 + 5))
[173199] ['4/7', '5/8', '2/3', '7/3', '3'] -> 3 / (5/8 - 2/3 / (4/7 * 7/3))
[173200] ['1/4', '4/7', '7/5', '5/3', '7'] -> 7/5 / 5/3 * (4/7 + 7 / 1/4)
[173201] ['4/5', '4/5', '4/3', '7/3', '4'] -> (4/5 + 4) / (7/3 - (4/5 + 4/3))
[173202] ['2/7', '7/8', '8/9', '7/2', '6'] -> 6 / (7/2 * 2/7 / 8/9 - 7/8)
[173203] ['3/7', '1/2', '2/3', '5/3', '2'] -> 2 / (1/2 / (3/7 * 2/3) - 5/3)
[173204] ['1/6', '3/4', '6/7', '1', '5/4'] -> (3/4 / (1 - 6/7) - 5/4) / 1/6
[173205] ['1/4', '4/7', '7/5', '7/4', '7'] -> (4/7 * 7/4 + 7 / 7/5) / 1/4
[173206] ['2/5', '5/7', '5/6', '5/3', '6'] -> 6 / (5/3 / 5/7 - 5/6 / 2/5)
[173207] ['1/9', '2/9', '3/8', '8/5', '9'] -> 8/5 / (2/9 / 3/8) * (9 - 1/9)
[173208] ['4/5', '4/5', '7/5', '7/5', '4'] -> (4/5 + 4) / (7/5 / 7/5 - 4/5)
[173209] ['1/6', '3/4', '6/7', '1', '4/3'] -> 4/3 / (1 - (3/4 + 1/6 / 6/7))
[173210] ['5/8', '5/4', '9/7', '2', '7/2'] -> 9/7 / (5/4 - 5/8 - 2 / 7/2)
[173211] ['6/7', '8/7', '7/5', '5/3', '3'] -> 8/7 / (6/7 / 5/3 - 7/5 / 3)
[173212] ['2/5', '1', '5/3', '7/4', '7/3'] -> 2/5 / (1 / 5/3 + 7/4 - 7/3)
[173213] ['4/5', '4/5', '7/5', '8/5', '4'] -> (4 / (8/5 - 7/5) - 4/5) / 4/5
[173214] ['5/9', '8/5', '9/4', '5/2', '8'] -> (5/2 + 5/9 * 9/4) * (8 - 8/5)
[173215] ['2/7', '7/8', '9/8', '7/6', '6'] -> (6 + 7/8 + 9/8) / (2/7 * 7/6)
[173216] ['3/8', '7/9', '5/2', '8/3', '7'] -> 8/3 / (3/8 / 5/2) - (7/9 - 7)
[173217] ['6/7', '8/7', '7/5', '7/4', '3'] -> 6/7 * 3 / (7/4 / 7/5 - 8/7)
[173218] ['3/7', '1/2', '2/3', '2', '5/2'] -> 2/3 + 2 * 5/2 / (3/7 * 1/2)
[173219] ['2/5', '1', '5/3', '7/4', '5/2'] -> (1 + 2/5 * 5/2) / (7/4 - 5/3)
[173220] ['4/7', '3/4', '7/8', '7/6', '6'] -> 6 / (3/4 / (4/7 * 7/6) - 7/8)
[173221] ['5/9', '8/5', '9/4', '7/2', '8'] -> 8/5 + 7/2 * 8 / (5/9 * 9/4)
[173222] ['2/7', '7/8', '9/8', '6/5', '6'] -> 6 * (7/8 / 2/7 + 9/8 / 6/5)
[173223] ['1/4', '4/7', '7/5', '8/3', '7'] -> 8/3 * (1/4 + 7 / (4/7 * 7/5))
[173224] ['3/8', '7/9', '5/2', '9/2', '7'] -> (9/2 - 5/2 / 7/9) / (3/8 / 7)
[173225] ['5/7', '5/7', '5/2', '7/2', '9'] -> 7/2 * (9 - (5/7 + 5/7)) - 5/2
[173226] ['5/8', '5/4', '4/3', '7/5', '2'] -> 2 / (5/4 - 7/5 * 5/8 * 4/3)
[173227] ['3/7', '1/2', '5/7', '5/7', '2'] -> 2 / (5/7 * 5/7 - 3/7) - 1/2
[173228] ['4/7', '5/8', '5/7', '5/6', '3'] -> (4/7 + 3) / (5/7 * (5/6 - 5/8))
[173229] ['3/4', '5/6', '4/3', '4/3', '5'] -> 5 / 5/6 / (4/3 / 4/3 - 3/4)
[173230] ['5/9', '8/5', '9/4', '9/2', '8'] -> 5/9 * (9/4 + 9/2) * (8 - 8/5)
[173231] ['4/5', '4/5', '7/5', '8/3', '4'] -> (4/5 + 4/5) / (7/5 + 8/3 - 4)
[173232] ['5/8', '5/4', '4/3', '9/5', '2'] -> 2 / (5/8 * (9/5 - 5/4 * 4/3))
[173233] ['2/7', '7/8', '9/8', '7/5', '6'] -> 2/7 * 6 / (7/8 - 9/8 / 7/5)
[173234] ['3/8', '4/5', '4/5', '4/5', '7'] -> (7 + (4/5 + 4/5) / 4/5) / 3/8
[173235] ['5/9', '8/5', '7/3', '7/3', '8'] -> 8 / (5/9 * (8/5 - 7/3 / 7/3))
[173236] ['4/5', '4/5', '3/2', '9/5', '4'] -> 4 / (4/5 / 4/5 - 3/2 / 9/5)
[173237] ['2/5', '5/7', '6/7', '6/7', '6'] -> 6/7 + (6/7 + 6 / 5/7) / 2/5
[173238] ['1/6', '3/4', '6/7', '1', '8/3'] -> (3/4 + 1) * 8/3 / (1/6 / 6/7)
[173239] ['4/7', '3/4', '7/8', '8/5', '6'] -> 6 / (3/4 - 4/7) / (7/8 * 8/5)
[173240] ['4/5', '4/5', '3/2', '7/3', '4'] -> 4 / (4/5 / 4/5 + 3/2 - 7/3)
[173241] ['3/8', '4/5', '4/5', '8/9', '7'] -> (7 + 4/5 / 4/5) / (3/8 * 8/9)
[173242] ['5/9', '8/5', '7/3', '7/2', '8'] -> (8/5 + 8 / 5/9) / (7/3 / 7/2)
[173243] ['3/4', '5/6', '7/5', '7/5', '5'] -> 5 / 5/6 / (7/5 / 7/5 - 3/4)
[173244] ['1/6', '3/4', '6/7', '1', '9/2'] -> 6/7 / (1/6 * 3/4) * (9/2 - 1)
[173245] ['4/5', '4/5', '8/5', '8/5', '4'] -> (4/5 + 4) / (8/5 / 8/5 - 4/5)
[173246] ['3/8', '4/5', '4/5', '9/8', '7'] -> (7 + 4/5 / 4/5) / (3/8 / 9/8)
[173247] ['6/7', '8/7', '3/2', '3/2', '3'] -> 8/7 * 3 / (3/2 / 3/2 - 6/7)
[173248] ['3/4', '5/6', '7/5', '3/2', '5'] -> 7/5 * 5 / (3/4 * 3/2 - 5/6)
[173249] ['2/7', '7/8', '9/8', '9/4', '6'] -> 6 / (9/8 / 9/4 - 2/7 * 7/8)
[173250] ['1/4', '4/7', '3/2', '9/5', '7'] -> 3/2 + 9/5 * (1/4 + 7 / 4/7)
[173251] ['5/9', '8/5', '7/3', '9/2', '8'] -> 8 * (8/5 * 9/2 - 7/3 / 5/9)
[173252] ['5/7', '3/4', '3/4', '5/6', '9'] -> 9 * (3/4 + 3/4 + 5/6 / 5/7)
[173253] ['4/7', '5/8', '5/7', '4/3', '3'] -> 5/7 / (4/7 + 4/3 - 5/8 * 3)
[173254] ['4/5', '4/5', '8/5', '5/3', '4'] -> 4/5 / (4 / 8/5 - (4/5 + 5/3))
[173255] ['1/9', '2/9', '2/5', '6/7', '9'] -> 9 / (2/9 / (6/7 - 2/5) - 1/9)
[173256] ['5/8', '5/4', '7/5', '8/5', '2'] -> (7/5 + 8/5) / (2 - (5/8 + 5/4))
[173257] ['2/5', '1', '5/3', '9/4', '7/3'] -> 2/5 / (1 - 7/3 + 9/4 / 5/3)
[173258] ['5/7', '3/4', '3/4', '6/7', '9'] -> (6/7 + 9 / 3/4) / (5/7 * 3/4)
[173259] ['3/7', '1/2', '5/7', '9/7', '2'] -> 2 / (1/2 - 5/7 / (3/7 + 9/7))
[173260] ['4/5', '4/5', '8/5', '7/4', '4'] -> (4/5 + 4) / (8/5 - 4/5 * 7/4)
[173261] ['1/6', '3/4', '7/8', '1', '6/5'] -> 1 / (1/6 * (7/8 - 3/4 / 6/5))
[173262] ['1/4', '4/7', '8/5', '5/3', '7'] -> 5/3 * (7 / (1/4 / 4/7) - 8/5)
[173263] ['5/7', '3/4', '3/4', '7/8', '9'] -> 9 / (3/4 / 3/4 - 5/7 * 7/8)
[173264] ['4/5', '4/5', '8/5', '9/4', '4'] -> (4/5 + 4) / (4/5 * 9/4 - 8/5)
[173265] ['2/7', '7/8', '8/7', '9/7', '6'] -> 6 * (9/7 / (2/7 * 7/8) - 8/7)
[173266] ['3/7', '1/2', '5/7', '7/5', '2'] -> 2 / (5/7 / 7/5 - 3/7) - 1/2
[173267] ['2/5', '1', '5/3', '9/4', '8/3'] -> 9/4 * 8/3 / (2/5 / 5/3) - 1
[173268] ['1/9', '2/9', '2/5', '8/7', '9'] -> 9 / (2/9 / 2/5 / 8/7 - 1/9)
[173269] ['3/8', '4/5', '4/5', '7/5', '7'] -> 4/5 + 4/5 + (7/5 + 7) / 3/8
[173270] ['1/4', '4/7', '8/5', '7/4', '7'] -> 4/7 * 8/5 * (7 / 1/4 - 7/4)
[173271] ['5/8', '5/4', '7/5', '9/5', '2'] -> 9/5 / (5/8 - 5/4 + 7/5 / 2)
[173272] ['4/7', '5/8', '5/7', '5/2', '3'] -> 3 / (5/8 - 5/7 / (4/7 * 5/2))
[173273] ['1/9', '2/9', '2/5', '7/6', '9'] -> 7/6 + 1/9 + 2/9 + 9 / 2/5
[173274] ['2/5', '5/7', '6/7', '7/4', '6'] -> 6/7 / (7/4 - 6 * 2/5 * 5/7)
[173275] ['1/6', '3/4', '7/8', '1', '7/5'] -> 1 / (1/6 - 3/4 + 7/8 / 7/5)
[173276] ['4/7', '5/8', '5/7', '8/3', '3'] -> 3 / (4/7 / 8/3 + 5/8 - 5/7)
[173277] ['5/8', '5/4', '7/5', '2', '9/4'] -> 9/4 / 5/4 / (7/5 / 2 - 5/8)
[173278] ['1/4', '4/7', '8/5', '9/5', '7'] -> (9/5 + 7 - 8/5 / 4/7) / 1/4
[173279] ['2/5', '1', '5/3', '9/4', '9/2'] -> (1 + 5/3) * (9/2 / 2/5 - 9/4)
[173280] ['3/7', '1/2', '5/7', '5/3', '2'] -> 2 / (1/2 / (5/7 - 3/7) - 5/3)
[173281] ['3/8', '4/5', '4/5', '7/4', '7'] -> (7 * 4/5 * 7/4 - 4/5) / 3/8
[173282] ['4/5', '4/5', '5/3', '9/5', '4'] -> 4 / (9/5 / 4/5 - 5/3 / 4/5)
[173283] ['1/6', '3/4', '7/8', '1', '8/5'] -> (7/8 + 1) * 8/5 / (1/6 * 3/4)
[173284] ['1/4', '4/7', '8/5', '9/4', '7'] -> 7 * (8/5 * (1/4 + 9/4) - 4/7)
[173285] ['2/5', '1', '5/3', '7/3', '7/3'] -> (5/3 + 7/3) / (1 / 2/5 - 7/3)
[173286] ['5/7', '3/4', '3/4', '6/5', '9'] -> (6/5 + 9 / (5/7 * 3/4)) / 3/4
[173287] ['3/4', '5/6', '7/5', '7/2', '5'] -> 7/5 / 7/2 * 5 / (5/6 - 3/4)
[173288] ['2/5', '5/7', '6/7', '7/3', '6'] -> 6 / (7/3 - 5/7 / (2/5 * 6/7))
[173289] ['1/6', '3/4', '7/8', '1', '5/3'] -> 1 / (5/3 * (7/8 - 3/4) - 1/6)
[173290] ['6/7', '8/7', '8/5', '7/3', '3'] -> 3 / (7/3 / 8/5 - 8/7 / 6/7)
[173291] ['3/4', '5/6', '7/5', '9/2', '5'] -> 5 * (3/4 * 7/5 + 5/6 * 9/2)
[173292] ['4/5', '4/5', '7/4', '7/4', '4'] -> (4/5 + 4) / (7/4 / 7/4 - 4/5)
[173293] ['1/9', '2/9', '2/5', '8/5', '9'] -> 8/5 / (2/9 - 1/9 - 2/5 / 9)
[173294] ['4/7', '5/8', '3/4', '4/5', '3'] -> 3 / (4/5 / (4/7 / 5/8) - 3/4)
[173295] ['2/5', '1', '5/3', '7/3', '7/2'] -> (5/3 + 7/3) * (7/2 + 1 / 2/5)
[173296] ['4/7', '3/4', '8/9', '9/7', '6'] -> 6 / (3/4 - 4/7 / 8/9 / 9/7)
[173297] ['3/7', '1/2', '5/7', '2', '9/4'] -> 2 / (9/4 - (1/2 + 5/7 / 3/7))
[173298] ['4/7', '3/4', '8/9', '4/3', '6'] -> 6 * (8/9 + 4/3 / (4/7 * 3/4))
[173299] ['4/5', '4/5', '7/4', '7/3', '4'] -> 4 / ((7/3 - 4/5) / 4/5 - 7/4)
[173300] ['5/7', '3/4', '3/4', '8/5', '9'] -> 8/5 + 9 / (3/4 * 5/7 * 3/4)
[173301] ['6/7', '8/7', '8/5', '3', '7/2'] -> (6/7 + 8/7 * 3) * 8/5 * 7/2
[173302] ['5/9', '5/3', '7/4', '7/2', '8'] -> 5/3 / (7/2 * (5/9 + 7/4) - 8)
[173303] ['4/7', '5/8', '3/4', '7/8', '3'] -> (3/4 + 3 / 4/7) / (7/8 - 5/8)
[173304] ['3/8', '4/5', '5/6', '5/6', '7'] -> 7 / (5/6 * (4/5 - 3/8 / 5/6))
[173305] ['5/7', '3/4', '3/4', '5/3', '9'] -> 5/3 * (3/4 + (3/4 + 9) / 5/7)
[173306] ['2/5', '1', '5/3', '5/2', '8/3'] -> 5/3 / 2/5 / (8/3 - 5/2) - 1
[173307] ['6/7', '8/7', '5/3', '5/3', '3'] -> 8/7 * 3 / (5/3 / 5/3 - 6/7)
[173308] ['2/5', '5/7', '7/8', '9/8', '6'] -> 2/5 * 6 / (7/8 / 5/7 - 9/8)
[173309] ['2/5', '1', '5/3', '5/2', '7/2'] -> (5/2 + 7/2) / (2/5 / 5/3) - 1
[173310] ['5/9', '5/3', '9/5', '7/2', '8'] -> 7/2 * 8 - 9/5 * (5/9 + 5/3)
[173311] ['6/7', '8/7', '5/3', '7/4', '3'] -> (6/7 + 8/7) / (3 - 5/3 * 7/4)
[173312] ['4/5', '4/5', '9/5', '9/5', '4'] -> (4/5 + 4) / (9/5 / 9/5 - 4/5)
[173313] ['1/4', '4/7', '5/3', '5/2', '7'] -> 7 / (1/4 / 4/7) / (5/3 / 5/2)
[173314] ['4/7', '5/8', '3/4', '8/9', '3'] -> 3 / 4/7 / (3/4 / 8/9 - 5/8)
[173315] ['5/9', '5/3', '9/4', '7/3', '8'] -> 9/4 * (5/9 / 5/3 + 7/3 + 8)
[173316] ['2/5', '1', '5/3', '5/2', '9/2'] -> (5/2 + 5/3 * 9/2) / 2/5 - 1
[173317] ['1/4', '4/7', '5/3', '7/2', '7'] -> 4/7 * 7/2 / (1/4 * 7 - 5/3)
[173318] ['2/7', '7/8', '7/6', '7/5', '6'] -> 6 / (7/8 / 7/6 / 7/5 - 2/7)
[173319] ['3/7', '1/2', '3/4', '5/6', '2'] -> 2 / (3/4 / 3/7 - 5/6 / 1/2)
[173320] ['2/5', '5/7', '7/8', '7/6', '6'] -> 6 / 5/7 / (7/8 / 7/6 - 2/5)
[173321] ['5/7', '3/4', '3/4', '5/2', '9'] -> 9 * (5/2 / 5/7 - 3/4) - 3/4
[173322] ['6/7', '8/7', '5/3', '9/4', '3'] -> 8/7 / ((6/7 + 3) / 9/4 - 5/3)
[173323] ['1/6', '3/4', '8/9', '1', '5/4'] -> (1/6 + 1) / (3/4 * 5/4 - 8/9)
[173324] ['3/4', '5/6', '5/3', '7/2', '5'] -> (5/6 / 5/3 + 7/2 * 5) / 3/4
[173325] ['2/5', '1', '5/3', '8/3', '7/2'] -> 7/2 / (2/5 / 8/3) - (1 - 5/3)
[173326] ['3/8', '4/5', '5/6', '9/8', '7'] -> 7 / (3/8 - 9/8 + 5/6 / 4/5)
[173327] ['3/7', '1/2', '3/4', '7/8', '2'] -> 3/4 / 7/8 * 2 / (1/2 - 3/7)
[173328] ['2/5', '1', '5/3', '8/3', '9/2'] -> 1 + (2/5 + 8/3) * 5/3 * 9/2
[173329] ['6/7', '8/7', '5/3', '5/2', '3'] -> 8/7 / (6/7 / (3 - 5/2) - 5/3)
[173330] ['3/4', '5/6', '7/4', '7/4', '5'] -> 5 / 5/6 / (7/4 / 7/4 - 3/4)
[173331] ['2/5', '5/7', '7/8', '5/4', '6'] -> 6 / (2/5 * (5/4 - 5/7 * 7/8))
[173332] ['4/7', '5/8', '3/4', '4/3', '3'] -> 3 / (5/8 / (4/7 * 3/4) - 4/3)
[173333] ['1/9', '2/9', '3/7', '4/5', '9'] -> (4/5 + 2/9 / 1/9) * (9 - 3/7)
[173334] ['4/5', '4/5', '9/4', '9/4', '4'] -> (4/5 + 4) / (9/4 / 9/4 - 4/5)
[173335] ['5/8', '5/4', '8/5', '9/5', '2'] -> 9/5 / (2 * (8/5 - 5/4) - 5/8)
[173336] ['3/4', '5/6', '7/4', '9/4', '5'] -> 5 / 5/6 / (3/4 + 7/4 - 9/4)
[173337] ['4/7', '3/4', '8/9', '7/3', '6'] -> 6 / (7/3 * (3/4 - 4/7 / 8/9))
[173338] ['2/5', '1', '5/3', '7/2', '9/2'] -> (7/2 + 9/2) / (1 - 2/5 * 5/3)
[173339] ['1/4', '4/7', '9/5', '9/5', '7'] -> 7 * (9/5 / (1/4 * 9/5) - 4/7)
[173340] ['4/5', '4/5', '9/4', '4', '9/2'] -> 9/2 / (4 - (4/5 + 9/4) / 4/5)
[173341] ['4/7', '3/4', '8/9', '5/2', '6'] -> 8/9 * (3/4 + 6 / (4/7 / 5/2))
[173342] ['1/6', '3/4', '8/9', '1', '7/4'] -> (7/4 + 1/6 + 3/4) / (1 - 8/9)
