[283681] ['1/3', '2/5', '5/9', '5/4', '3'] -> (1/3 + 3) / (5/9 / 2/5 - 5/4)
[288707] ['7/9', '4/5', '7/8', '9/5', '7'] -> 7 / (7/8 * (7/9 - 4/5 / 9/5))
[288708] ['2/5', '5/4', '7/5', '9/4', '5'] -> 5 * (2/5 + 5/4 + 7/5 * 9/4)
[288709] ['1/2', '5/7', '7/8', '9/5', '2'] -> 9/5 / (2 - (1/2 + 7/8) / 5/7)
[288710] ['2/7', '1/2', '5/7', '1', '7/3'] -> (5/7 + 1) / (2/7 - 1/2 / 7/3)
[288711] ['2/9', '5/7', '8/7', '8/7', '2'] -> 2 / (2/9 / 8/7) / (8/7 - 5/7)
[288712] ['2/7', '5/8', '7/5', '7/5', '9'] -> 9 / (7/5 - (5/8 + 2/7 * 7/5))
[288713] ['1/7', '2/9', '1/2', '7/6', '2'] -> ((2 - 7/6) / 1/7 - 1/2) / 2/9
[288714] ['2/3', '8/9', '1', '9/8', '4/3'] -> 1 / ((2/3 + 8/9) / 4/3 - 9/8)
[288715] ['7/9', '4/5', '7/8', '9/4', '7'] -> 7 / (7/9 - 7/8 / (4/5 * 9/4))
[288716] ['1/9', '3/7', '3/4', '1', '7/3'] -> (1 + 3/7 * 7/3) / (1/9 * 3/4)
[288717] ['2/7', '1/2', '5/7', '1', '5/2'] -> 5/2 / (1/2 - 2/7 / 5/7) - 1
[288718] ['1/9', '4/7', '3/5', '6/7', '8'] -> 8 / 3/5 / (4/7 / 6/7 - 1/9)
[288719] ['1/8', '2/9', '8/7', '8/7', '2'] -> (8/7 / 2/9 - 2) / 1/8 - 8/7
[288720] ['2/5', '5/4', '7/5', '5/2', '5'] -> (5/2 + 7/5 / 2/5) / (5/4 / 5)
[288721] ['2/7', '5/8', '7/5', '3/2', '9'] -> 9 / (2/7 * 5/8) / (7/5 * 3/2)
[288722] ['1/6', '3/5', '8/9', '9/4', '3'] -> 9/4 / 3/5 + 3 / (1/6 * 8/9)
[288723] ['1/7', '2/9', '1/2', '6/5', '2'] -> 2 / (2/9 * (1/2 - 1/7)) - 6/5
[288724] ['1/2', '5/7', '7/8', '2', '7/3'] -> 2 / (7/8 / 1/2 - 5/7 * 7/3)
[288725] ['4/9', '5/7', '7/9', '9/4', '8'] -> 7/9 * 8 * (9/4 + 5/7 / 4/9)
[288726] ['2/7', '5/8', '7/5', '5/3', '9'] -> 9 / (5/3 * (5/8 - 2/7 * 7/5))
[288727] ['2/5', '5/4', '7/5', '8/3', '5'] -> 2/5 / (5 - (5/4 + 7/5 * 8/3))
[288728] ['2/7', '1/2', '5/7', '1', '7/2'] -> (5/7 + 1) / (2/7 / (1/2 + 7/2))
[288729] ['1/7', '1/4', '3/4', '9/4', '8'] -> 3/4 * 8 * (9/4 + 1/4 / 1/7)
[288730] ['1/2', '5/7', '7/8', '2', '5/2'] -> (2 + 5/2) / (7/8 * (5/7 - 1/2))
[288731] ['1/9', '4/7', '3/5', '8/9', '8'] -> 8 * (1/9 / (3/5 - 4/7) - 8/9)
[288732] ['2/7', '5/8', '7/5', '7/4', '9'] -> 9 / (5/8 * 7/5 - 2/7 * 7/4)
[288733] ['1/9', '3/7', '3/4', '1', '7/2'] -> (1 - 3/7) * 7/2 / (1/9 * 3/4)
[288734] ['1/7', '2/9', '1/2', '9/7', '2'] -> (2 - 2/9 * 9/7) / (1/7 * 1/2)
[288735] ['4/9', '5/7', '7/9', '5/2', '8'] -> 8 * (5/2 + 5/7 * 7/9) - 4/9
[288736] ['2/9', '5/7', '8/7', '9/7', '2'] -> (9/7 + 2 / 2/9) / (8/7 - 5/7)
[288737] ['2/7', '1/2', '5/7', '1', '9/2'] -> (9/2 - 1/2) / (2/7 / (5/7 + 1))
[288738] ['1/7', '1/4', '3/4', '5/2', '8'] -> 8 * (1/4 - 5/2 + 3/4 / 1/7)
[288739] ['2/7', '5/8', '7/5', '9/5', '9'] -> 9 / (9/5 / 7/5 - (2/7 + 5/8))
[288740] ['1/2', '5/7', '7/8', '2', '8/3'] -> 7/8 / (2 / 8/3 - 5/7) - 1/2
[288741] ['7/9', '4/5', '7/8', '7/2', '7'] -> (7/2 - 4/5) / (7/8 / (7/9 + 7))
[288742] ['2/3', '8/9', '1', '9/8', '9/5'] -> 8/9 / (2/3 / 9/8 - 1 / 9/5)
[288743] ['1/8', '2/9', '8/7', '3/2', '2'] -> 8/7 * (3/2 / 1/8 + 2 / 2/9)
[288744] ['1/9', '3/7', '7/9', '7/9', '1'] -> (1 + 7/9 / 1/9) / (3/7 * 7/9)
[288745] ['1/7', '1/4', '7/9', '4/5', '8'] -> 8 / (7/9 * (1/4 + 1/7 / 4/5))
[288746] ['3/7', '4/9', '5/4', '5/4', '9'] -> (5/4 / 3/7 - (5/4 - 9)) / 4/9
[288747] ['1/6', '3/5', '9/8', '7/6', '3'] -> 3 / (3/5 * (7/6 + 1/6 - 9/8))
[288748] ['1/9', '4/7', '3/5', '6/5', '8'] -> 4/7 * (8 / (1/9 / 3/5) - 6/5)
[288749] ['2/3', '8/9', '1', '9/8', '5/2'] -> 1 / (5/2 - (9/8 + 8/9 / 2/3))
[288750] ['2/7', '5/8', '7/5', '7/3', '9'] -> 9 / 7/3 / (5/8 / 7/5 - 2/7)
[288751] ['1/6', '3/5', '9/8', '6/5', '3'] -> 3 / 1/6 / (9/8 * 6/5 - 3/5)
[288752] ['2/5', '5/4', '3/2', '5/2', '5'] -> (5 + 2/5 * 5/2) / (3/2 - 5/4)
[288753] ['2/7', '5/8', '7/5', '5/2', '9'] -> 9 / (5/2 * 2/7 * 7/5 - 5/8)
[288754] ['2/7', '1/2', '3/4', '5/6', '1'] -> 1 / ((3/4 - 1/2) / 2/7 - 5/6)
[288755] ['1/7', '2/9', '1/2', '7/4', '2'] -> (7/4 + 2) / 1/7 - 1/2 / 2/9
[288756] ['1/7', '1/4', '7/9', '7/8', '8'] -> 8 / (7/9 * (1/7 + 1/4 / 7/8))
[288757] ['1/4', '5/8', '7/9', '8/9', '6'] -> 7/9 / (5/8 - 8/9 / (1/4 * 6))
[288758] ['2/3', '8/9', '1', '9/8', '9/2'] -> 9/2 * 2/3 / 9/8 / (1 - 8/9)
[288759] ['2/9', '5/7', '8/7', '9/5', '2'] -> 8/7 / (2/9 * 2 - 5/7 / 9/5)
[288760] ['7/9', '4/5', '8/9', '8/7', '7'] -> 8/7 * 7 / (8/9 / 4/5 - 7/9)
[288761] ['1/9', '3/7', '7/9', '1', '7/6'] -> (7/9 + 1 / 3/7) / (1/9 * 7/6)
[288762] ['1/7', '1/4', '7/9', '9/8', '8'] -> 8 / (1/7 * 7/9 + 1/4 / 9/8)
[288763] ['2/7', '5/8', '7/5', '7/2', '9'] -> 9 / (2/7 * 5/8) / (7/2 - 7/5)
[288764] ['4/9', '5/7', '4/5', '9/8', '8'] -> (4/5 + 8 / 5/7) / (4/9 * 9/8)
[288765] ['1/8', '2/9', '8/7', '2', '7/3'] -> (8/7 * 7/3 - 2) / (1/8 * 2/9)
[288766] ['2/5', '5/4', '8/5', '9/5', '5'] -> (5/4 + 9/5) * 8/5 * 5 - 2/5
[288767] ['7/9', '4/5', '8/9', '6/5', '7'] -> (4/5 + 7) / (6/5 - 7/9 / 8/9)
[288768] ['2/7', '5/8', '3/2', '3/2', '9'] -> 9 / (2/7 * 3/2) / (3/2 - 5/8)
[288769] ['2/5', '5/4', '8/5', '7/3', '5'] -> 2/5 / (5 - (5/4 + 8/5 * 7/3))
[288770] ['2/3', '8/9', '1', '8/7', '5/4'] -> 2/3 / (1 - 5/4 * 8/9 / 8/7)
[288771] ['1/2', '5/7', '8/9', '4/3', '2'] -> 4/3 / (2 - (1/2 + 8/9) / 5/7)
[288772] ['2/7', '1/2', '3/4', '1', '4/3'] -> 1 / (4/3 / 1/2 - 3/4 / 2/7)
[288773] ['2/5', '5/4', '8/5', '8/3', '5'] -> 5 + (5/4 + 8/5) / (2/5 / 8/3)
[288774] ['2/3', '8/9', '1', '8/7', '4/3'] -> 2/3 / (8/9 / 8/7 - 1 / 4/3)
[288775] ['1/6', '3/5', '9/8', '7/3', '3'] -> 7/3 / (9/8 / 3 - 1/6 / 3/5)
[288776] ['3/7', '4/9', '5/4', '7/3', '9'] -> 7/3 * (5/4 * 9 - 3/7 / 4/9)
[288777] ['1/8', '2/9', '7/6', '7/6', '2'] -> 2 / (2/9 / 7/6 - 1/8 / 7/6)
[288778] ['2/3', '8/9', '1', '8/7', '7/5'] -> 8/7 / (1 - 8/9 / (2/3 * 7/5))
[288779] ['1/7', '2/9', '5/9', '5/9', '2'] -> (5/9 / 1/7 - (5/9 - 2)) / 2/9
[288780] ['1/6', '3/5', '9/8', '3', '7/2'] -> 7/2 / (9/8 / (3/5 + 3) - 1/6)
[288781] ['2/5', '5/4', '5/3', '9/5', '5'] -> (5/3 + 5) * 9/5 / (2/5 * 5/4)
[288782] ['1/9', '3/7', '7/9', '1', '5/3'] -> (5/3 / 7/9 - 1) / (1/9 * 3/7)
[288783] ['1/7', '1/4', '7/9', '5/3', '8'] -> (1/7 + 8 - 5/3 / 7/9) / 1/4
[288784] ['7/9', '4/5', '8/9', '8/5', '7'] -> (8/5 + 8/9 / 7/9) / (4/5 / 7)
[288785] ['1/7', '2/9', '5/9', '3/5', '2'] -> (2/9 / 5/9 + 2 / 1/7) / 3/5
[288786] ['1/8', '2/9', '7/6', '6/5', '2'] -> 2/9 + (2 + 7/6 / 6/5) / 1/8
[288787] ['2/9', '5/7', '7/6', '4/3', '2'] -> 4/3 / (2 - (2/9 + 7/6) / 5/7)
[288788] ['1/6', '3/5', '8/7', '8/7', '3'] -> (3 / 3/5 - 8/7 / 8/7) / 1/6
[288789] ['2/5', '5/4', '5/3', '9/4', '5'] -> 5 / ((9/4 - 5/3) / 2/5 - 5/4)
[288790] ['3/7', '4/9', '5/4', '7/2', '9'] -> 9 / (5/4 / (4/9 * 7/2) - 3/7)
[288791] ['1/7', '1/4', '7/9', '7/4', '8'] -> 1/4 + 8 + 7/4 / (1/7 * 7/9)
[288792] ['1/7', '2/9', '5/9', '5/8', '2'] -> ((2/9 + 2) / 1/7 - 5/9) / 5/8
[288793] ['4/9', '5/7', '4/5', '8/5', '8'] -> (8/5 / (4/5 - 5/7) - 8) / 4/9
[288794] ['2/7', '1/2', '3/4', '1', '7/4'] -> 7/4 / (2/7 * (1 - 3/4)) - 1/2
[288795] ['7/9', '4/5', '8/9', '9/4', '7'] -> 7 / (8/9 - 7/9 * 4/5) - 9/4
[288796] ['1/7', '2/9', '5/9', '3/4', '2'] -> 2 / (1/7 * 3/4) / (2/9 + 5/9)
[288797] ['1/7', '1/4', '7/9', '7/3', '8'] -> 8 / (1/4 - 1/7) / (7/9 + 7/3)
[288798] ['2/3', '8/9', '1', '8/7', '7/3'] -> 8/7 / (2/3 - 1 + 8/9 / 7/3)
[288799] ['3/7', '4/9', '9/7', '8/5', '9'] -> 8/5 / (4/9 * 9/7) * (9 - 3/7)
[288800] ['2/7', '1/2', '3/4', '1', '7/3'] -> 1 / (1/2 * (3/4 - 2/7 * 7/3))
[288801] ['2/7', '5/8', '8/5', '9/4', '9'] -> 8/5 + 9 / (9/4 * 2/7 * 5/8)
[288802] ['1/9', '4/7', '5/8', '2/3', '8'] -> 8 / (5/8 - 1/9 / 4/7 / 2/3)
[288803] ['1/6', '3/5', '8/7', '7/5', '3'] -> (8/7 * 7/5 - (3/5 - 3)) / 1/6
[288804] ['2/9', '5/7', '7/6', '7/4', '2'] -> (5/7 + 7/6 * 2) / (2/9 / 7/4)
[288805] ['2/7', '1/2', '3/4', '1', '5/2'] -> (5/2 + 1 / 2/7) / (3/4 - 1/2)
[288806] ['1/8', '2/9', '7/6', '2', '9/4'] -> 2 / (1/8 * (7/6 - 2/9 * 9/4))
[288807] ['3/7', '4/9', '9/7', '9/5', '9'] -> (9 + 9/7 / (3/7 * 9/5)) / 4/9
[288808] ['1/7', '2/9', '5/9', '4/5', '2'] -> (2 / 1/7 - 2/9) / 5/9 - 4/5
[288809] ['1/2', '5/7', '8/9', '2', '8/3'] -> 2 * 8/3 / (5/7 - 1/2) - 8/9
[288810] ['2/3', '8/9', '1', '8/7', '7/2'] -> 7/2 * 2/3 * 8/7 / (1 - 8/9)
[288811] ['4/9', '5/7', '4/5', '7/3', '8'] -> 4/5 * 7/3 * 8 / (4/9 / 5/7)
[288812] ['3/7', '4/9', '9/7', '7/3', '9'] -> 9/7 + 9 * (7/3 + 3/7 * 4/9)
[288813] ['7/9', '4/5', '8/9', '7/2', '7'] -> 7 / 7/2 / (7/9 / 4/5 - 8/9)
[288814] ['1/9', '4/7', '5/8', '5/7', '8'] -> (4/7 + 8 + 5/7 / 1/9) / 5/8
[288815] ['1/6', '3/5', '8/7', '3/2', '3'] -> (3 / 3/5 - 3/2) / (1/6 / 8/7)
[288816] ['2/7', '5/8', '8/5', '8/3', '9'] -> (8/5 + 2/7 / 5/8) * (8/3 + 9)
[288817] ['7/9', '4/5', '8/9', '9/2', '7'] -> 9/2 * (4/5 * (7/9 + 7) - 8/9)
[288818] ['4/9', '5/7', '4/5', '5/2', '8'] -> (4/9 + 4/5) * (5/2 * 8 - 5/7)
[288819] ['2/9', '5/7', '7/6', '2', '9/4'] -> (5/7 * 7/6 + 2 * 9/4) / 2/9
[288820] ['3/7', '4/9', '9/7', '5/2', '9'] -> (3/7 + 9) / (9/7 / 4/9 - 5/2)
[288821] ['1/6', '3/5', '8/7', '8/5', '3'] -> (3 + 8/5 / 1/6) / (3/5 / 8/7)
[288822] ['2/7', '5/8', '8/5', '7/2', '9'] -> 9 / (5/8 * (8/5 - 2/7 * 7/2))
[288823] ['2/5', '5/4', '7/4', '7/2', '5'] -> 5 * (7/2 + 2/5 + 5/4) - 7/4
[288824] ['1/7', '1/4', '4/5', '6/7', '8'] -> 8 / (4/5 * (1/4 + 1/7 / 6/7))
[288825] ['4/9', '5/7', '4/5', '9/2', '8'] -> 4/9 * 9/2 * (4/5 + 8 / 5/7)
[288826] ['2/9', '5/7', '7/6', '2', '5/2'] -> (5/7 * 7/6 + 2 + 5/2) / 2/9
[288827] ['1/6', '3/5', '8/7', '7/4', '3'] -> (8/7 + 3 / (3/5 * 7/4)) / 1/6
[288828] ['2/3', '8/9', '1', '7/6', '9/7'] -> (1 + 9/7) / (8/9 / 7/6 - 2/3)
[288829] ['7/9', '4/5', '9/8', '7/6', '7'] -> 7 / (9/8 - 7/9 / 4/5 / 7/6)
[288830] ['1/8', '2/9', '6/5', '3/2', '2'] -> (2/9 + 2) * (3/2 / 1/8 - 6/5)
[288831] ['1/4', '5/8', '4/5', '7/5', '6'] -> 5/8 * 6 * (4/5 + 7/5 / 1/4)
[288832] ['2/5', '5/4', '9/5', '7/3', '5'] -> 2/5 * 5 / (7/3 - 5/4 * 9/5)
[288833] ['4/9', '5/7', '5/6', '5/6', '8'] -> 8 / (5/7 / 5/6) / (5/6 - 4/9)
[288834] ['1/6', '3/5', '8/7', '9/4', '3'] -> 3 / (8/7 * 1/6 * 3/5) - 9/4
[288835] ['3/7', '4/9', '4/3', '5/3', '9'] -> 4/9 - 4/3 + (5/3 + 9) / 3/7
[288836] ['1/8', '2/9', '6/5', '5/3', '2'] -> (2/9 + 2 / (6/5 / 5/3)) / 1/8
[288837] ['2/5', '5/4', '9/5', '9/2', '5'] -> 9/2 / (2/5 / 9/5) - (5/4 - 5)
[288838] ['1/7', '2/9', '5/9', '9/7', '2'] -> (2 + 2/9 + 9/7) / 1/7 - 5/9
[288839] ['2/3', '8/9', '1', '7/6', '8/5'] -> 7/6 / (1 / (2/3 * 8/5) - 8/9)
[288840] ['4/9', '5/7', '5/6', '7/8', '8'] -> 5/6 / 7/8 * 8 / (4/9 * 5/7)
[288841] ['2/7', '1/2', '7/9', '8/9', '1'] -> 7/9 / 2/7 / (1 - 8/9) - 1/2
[288842] ['1/4', '5/8', '4/5', '7/3', '6'] -> (1/4 + 7/3) / (5/8 / 6) - 4/5
[288843] ['1/7', '2/9', '5/9', '4/3', '2'] -> 2 / (1/7 / 4/3) / (2/9 + 5/9)
[288844] ['1/7', '1/4', '4/5', '7/6', '8'] -> 8 / (4/5 * (1/4 + 1/7 * 7/6))
[288845] ['1/9', '4/7', '5/8', '8/9', '8'] -> (1/9 + 8/9 + 8 / 4/7) / 5/8
[288846] ['2/3', '8/9', '1', '7/6', '7/4'] -> 1 / (7/6 - 7/4 / (2/3 + 8/9))
[288847] ['1/8', '2/9', '6/5', '2', '5/2'] -> 2 / (1/8 * 2/9) / (6/5 * 5/2)
[288848] ['2/5', '5/4', '9/4', '7/3', '5'] -> 7/3 * (5 / 2/5 - 5/4) - 9/4
[288849] ['1/6', '3/5', '8/7', '8/3', '3'] -> 8/7 * (8/3 / 1/6 + 3 / 3/5)
[288850] ['2/5', '5/4', '9/4', '5/2', '5'] -> 5/2 * (9/4 * 5 - (2/5 + 5/4))
[288851] ['1/7', '1/4', '4/5', '9/7', '8'] -> 9/7 * 8 / (1/4 + 1/7 / 4/5)
[288852] ['3/7', '4/9', '4/3', '9/2', '9'] -> 3/7 * 9/2 * (4/9 + 4/3 * 9)
[288853] ['2/7', '5/8', '7/4', '7/4', '9'] -> 9 / (2/7 * (7/4 + 7/4) - 5/8)
[288854] ['2/3', '8/9', '1', '7/6', '7/3'] -> (2/3 + 7/3 / 7/6) / (1 - 8/9)
[288855] ['1/6', '3/5', '8/7', '3', '7/2'] -> (8/7 + 3) / (3/5 / 7/2) - 1/6
[288856] ['1/2', '5/7', '9/8', '5/3', '2'] -> 2 / (5/3 / 5/7 - 9/8 / 1/2)
[288857] ['4/9', '5/7', '5/6', '6/5', '8'] -> 8 / (5/7 * 6/5) / (5/6 - 4/9)
[288858] ['1/7', '1/4', '4/5', '4/3', '8'] -> 8 / 4/5 / (1/4 / 1/7 - 4/3)
[288859] ['1/8', '2/9', '5/4', '9/7', '2'] -> 2/9 + (2 + 5/4 / 9/7) / 1/8
[288860] ['1/4', '5/8', '5/6', '7/6', '6'] -> 5/6 / 5/8 / (1/4 - 7/6 / 6)
[288861] ['2/7', '5/8', '7/4', '9/4', '9'] -> 9 / (9/4 / 7/4 - (2/7 + 5/8))
[288862] ['1/7', '2/9', '5/9', '2', '9/4'] -> 2 / ((5/9 - 2/9) / 1/7 - 9/4)
[288863] ['1/2', '5/7', '9/8', '9/5', '2'] -> 9/5 / (1/2 - 2 + 9/8 / 5/7)
[288864] ['7/9', '4/5', '9/8', '5/3', '7'] -> (7 + 4/5 * 5/3) / (9/8 - 7/9)
[288865] ['2/5', '5/4', '7/3', '7/2', '5'] -> 2/5 * 5 / (5/4 + 7/3 - 7/2)
[288866] ['3/7', '4/9', '7/5', '8/5', '9'] -> (7/5 / 3/7 - (8/5 - 9)) / 4/9
[288867] ['1/6', '3/5', '7/6', '7/6', '3'] -> (3 / 3/5 - 7/6 / 7/6) / 1/6
[288868] ['1/7', '2/9', '5/9', '2', '7/3'] -> (2 - 2/9 / 7/3) / (1/7 * 5/9)
[288869] ['2/3', '8/9', '1', '6/5', '6/5'] -> 6/5 / 2/3 / (6/5 - 1 / 8/9)
[288870] ['1/7', '1/4', '4/5', '7/4', '8'] -> 8 / 4/5 + (1/4 + 7/4) / 1/7
[288871] ['2/7', '1/2', '7/9', '1', '4/3'] -> 4/3 / (7/9 * (1 - 2/7) - 1/2)
[288872] ['2/7', '5/8', '7/4', '5/2', '9'] -> (5/8 / 7/4 - (5/2 - 9)) / 2/7
[288873] ['2/3', '8/9', '1', '6/5', '5/4'] -> 6/5 / (1 / 5/4 - 2/3 / 8/9)
[288874] ['2/5', '5/4', '5/2', '5/2', '5'] -> 5/2 * (5 / (5/4 / 5/2) - 2/5)
[288875] ['1/6', '3/5', '7/6', '5/4', '3'] -> 5/4 * 3 * (7/6 / 1/6 - 3/5)
[288876] ['7/9', '4/5', '9/8', '9/5', '7'] -> 7 / ((4/5 + 9/8) / 9/5 - 7/9)
[288877] ['4/9', '5/7', '5/6', '8/5', '8'] -> (8/5 + 8 / 5/7) / (4/9 / 5/6)
[288878] ['1/9', '3/7', '4/5', '1', '9/4'] -> 1 / (4/5 * 1/9 * 3/7) - 9/4
[288879] ['1/8', '2/9', '5/4', '9/5', '2'] -> (2 + 2/9 * 9/5) / (1/8 / 5/4)
[288880] ['1/7', '1/4', '4/5', '7/3', '8'] -> 1/4 + (1/7 + 8) / (4/5 / 7/3)
[288881] ['1/7', '2/9', '5/9', '2', '9/2'] -> 5/9 / (1/7 * 2/9) + 2 + 9/2
[288882] ['1/9', '3/7', '4/5', '1', '7/3'] -> (3/7 + 1) * 7/3 / (1/9 / 4/5)
[288883] ['1/4', '5/8', '5/6', '9/4', '6'] -> 5/6 / (5/8 / 9/4 - 1/4) - 6
[288884] ['2/7', '5/8', '7/4', '7/2', '9'] -> 5/8 * 9 + (7/4 + 7/2) / 2/7
[288885] ['1/7', '1/4', '4/5', '8/3', '8'] -> 8 / (1/7 * 4/5) / (1/4 + 8/3)
[288886] ['1/7', '2/9', '4/7', '4/7', '2'] -> 2 + (4/7 + 4/7 / 2/9) / 1/7
[288887] ['1/8', '2/9', '5/4', '2', '7/3'] -> (5/4 / 1/8 - 2 * 7/3) / 2/9
[288888] ['2/3', '8/9', '1', '6/5', '7/5'] -> 6/5 / (7/5 * 2/3 / 8/9 - 1)
[288889] ['2/7', '5/8', '9/5', '9/5', '9'] -> 9/5 / (9/5 / (2/7 * 9) - 5/8)
[288890] ['1/7', '2/9', '4/7', '3/5', '2'] -> 4/7 / 3/5 * 2 / (2/9 - 1/7)
[288891] ['1/9', '3/7', '4/5', '1', '7/2'] -> 4/5 * 7/2 * (1 / 1/9 - 3/7)
[288892] ['4/9', '5/7', '5/6', '9/4', '8'] -> 9/4 * (8 / 5/7 - 4/9 / 5/6)
[288893] ['1/2', '5/7', '8/7', '8/7', '2'] -> 8/7 / (8/7 / (2 - 1/2) - 5/7)
[288894] ['1/8', '2/9', '5/4', '2', '7/2'] -> (2 - 2/9) * (7/2 + 5/4 / 1/8)
[288895] ['2/3', '8/9', '1', '6/5', '8/5'] -> 6/5 / ((8/5 - 2/3) / 8/9 - 1)
[288896] ['2/9', '5/7', '6/5', '2', '8/3'] -> ((2 + 8/3) / 5/7 - 6/5) / 2/9
[288897] ['3/7', '4/9', '7/5', '9/2', '9'] -> 9/2 * 4/9 * 7/5 * (9 - 3/7)
[288898] ['2/7', '5/8', '9/5', '7/3', '9'] -> (9 - 2/7 * 7/3) / (5/8 / 9/5)
[288899] ['1/8', '2/9', '9/7', '9/7', '2'] -> (9/7 + 2 - 2/9 * 9/7) / 1/8
[288900] ['1/9', '3/7', '5/6', '5/6', '1'] -> (5/6 + 5/6 / 3/7) / 1/9 - 1
[288901] ['2/3', '8/9', '1', '6/5', '5/3'] -> (2/3 + 6/5 * 5/3) / (1 - 8/9)
[288902] ['1/7', '1/4', '5/6', '9/8', '8'] -> 8 / (5/6 / (1/7 / 1/4) - 9/8)
[288903] ['1/9', '4/7', '5/8', '7/3', '8'] -> (7/3 + 8) / (5/8 - 1/9 / 4/7)
[288904] ['1/2', '5/7', '8/7', '9/7', '2'] -> (2 + 5/7 / 1/2) / (9/7 - 8/7)
[288905] ['2/5', '9/7', '9/7', '3/2', '5'] -> 3/2 + 5 * (9/7 + 9/7 / 2/5)
[288906] ['2/7', '5/8', '9/5', '5/2', '9'] -> (9 / (2/7 * 9/5) - 5/2) / 5/8
[288907] ['4/9', '5/7', '5/6', '8/3', '8'] -> 8/3 * (8 + 5/6 / 5/7) - 4/9
[288908] ['1/6', '3/5', '7/6', '8/3', '3'] -> 8/3 / (7/6 / 3 - 1/6 / 3/5)
[288909] ['7/9', '4/5', '8/7', '8/7', '7'] -> (7/9 + 7) * (8/7 + 4/5 + 8/7)
[288910] ['1/7', '2/9', '4/7', '7/8', '2'] -> 2 / (2/9 * 7/8) / (4/7 - 1/7)
[288911] ['2/5', '9/7', '9/7', '8/5', '5'] -> (5 + 9/7 / 9/7) / (2/5 / 8/5)
[288912] ['1/7', '1/4', '5/6', '6/5', '8'] -> 6/5 / (1/7 * 1/4) - 8 / 5/6
[288913] ['1/9', '4/7', '5/8', '5/2', '8'] -> 5/8 / 1/9 + (5/2 + 8) / 4/7
[288914] ['1/6', '3/5', '7/6', '3', '7/2'] -> (7/6 - 3 + 7/2 / 3/5) / 1/6
[288915] ['4/9', '5/7', '5/6', '9/2', '8'] -> 5/7 * 9/2 * (8 - 4/9 / 5/6)
[288916] ['1/9', '4/7', '5/8', '8/3', '8'] -> 8 / (4/7 * (5/8 - 1/9 / 8/3))
[288917] ['2/7', '5/8', '9/5', '9/2', '9'] -> (9 / 2/7 - 9/2) / (5/8 * 9/5)
[288918] ['3/7', '4/9', '3/2', '9/5', '9'] -> (9/5 - 3/7) * 9 * (4/9 + 3/2)
[288919] ['2/9', '5/7', '5/4', '4/3', '2'] -> 4/3 / 2/9 / (2 - 5/4 / 5/7)
[288920] ['1/8', '2/9', '9/7', '7/4', '2'] -> (2 - 2/9 * 9/7) / (1/8 / 7/4)
[288921] ['2/7', '5/8', '9/4', '9/4', '9'] -> (9/4 + 9 / 2/7) / (5/8 * 9/4)
[288922] ['1/9', '4/7', '5/8', '9/2', '8'] -> 8 / (1/9 / 4/7 + 5/8 / 9/2)
[288923] ['2/3', '8/9', '1', '6/5', '8/3'] -> 8/3 / (8/9 / (2/3 * 6/5) - 1)
[288924] ['3/7', '4/9', '3/2', '9/4', '9'] -> 9 / 4/9 - (3/2 - 9/4 / 3/7)
[288925] ['2/5', '9/7', '9/7', '7/3', '5'] -> 5 * (9/7 + 9/7 * (2/5 + 7/3))
[288926] ['1/9', '4/7', '2/3', '4/5', '8'] -> 4/5 / (1/9 - 2/3 / (4/7 + 8))
[288927] ['1/8', '2/9', '9/7', '2', '9/4'] -> (2 / 9/7 - 2/9) / (1/8 / 9/4)
[288928] ['1/7', '1/4', '5/6', '9/4', '8'] -> 8 / (1/4 / 1/7 + 5/6 - 9/4)
[288929] ['1/6', '3/5', '5/4', '5/3', '3'] -> (5/3 - 3/5) * 3 / (1/6 / 5/4)
[288930] ['4/9', '5/7', '6/7', '5/4', '8'] -> 5/4 * (6/7 / 5/7 + 8 / 4/9)
[288931] ['1/4', '5/8', '6/7', '7/2', '6'] -> (6 + 6/7 * 7/2) / (5/8 - 1/4)
[288932] ['1/7', '2/9', '4/7', '7/4', '2'] -> 4/7 / 2/9 / (2 - (1/7 + 7/4))
[288933] ['3/7', '4/9', '8/5', '8/5', '9'] -> (8/5 * 9 - 8/5 / 3/7) / 4/9
[288934] ['2/7', '5/8', '7/3', '7/3', '9'] -> (7/3 - 2/7 * 7/3) / (5/8 / 9)
[288935] ['1/8', '2/9', '9/7', '2', '5/2'] -> 9/7 * (2/9 + 5/2 / 1/8) - 2
[288936] ['1/6', '3/5', '5/4', '7/3', '3'] -> 5/4 / (1/6 / 3/5) * (7/3 + 3)
[288937] ['1/7', '1/4', '5/6', '9/2', '8'] -> 8 / 1/4 / (5/6 / 1/7 - 9/2)
[288938] ['4/9', '5/7', '6/7', '7/4', '8'] -> 7/4 * (6/7 + 8 / (4/9 / 5/7))
[288939] ['7/9', '4/5', '8/7', '5/3', '7'] -> 8/7 * 7 / (4/5 - 7/9 / 5/3)
[288940] ['1/6', '3/5', '5/4', '8/3', '3'] -> (3/5 * 8/3 + 3 / 5/4) / 1/6
[288941] ['1/2', '5/7', '7/6', '5/3', '2'] -> 2 / (7/6 * (1/2 - 5/7 / 5/3))
[288942] ['1/4', '5/8', '7/8', '8/7', '6'] -> 6 * (8/7 + 5/8 / (1/4 * 7/8))
