[19700] ['2', '7/3', '5/2', '5/2', '8/3'] -> (7/3 + (5/2 * (2 + (5/2 * 8/3))))
[30627] ['1/6', '4/7', '2/3', '8/5', '5'] -> (8/5 / ((2/3 / (4/7 * 5)) - 1/6))
[30628] ['5/4', '9/7', '7/3', '5/2', '4'] -> ((7/3 * 5/2) * ((4 * 9/7) / 5/4))
[30629] ['1/6', '2/5', '8/5', '8/5', '6'] -> (((2/5 / 8/5) + (6 / 8/5)) / 1/6)
[30630] ['1/4', '5/7', '9/5', '2', '5/2'] -> (9/5 / (1/4 * (2 / 5/7)) - 5/2))
[30631] ['2/7', '7/9', '6/7', '7/8', '8'] -> (8 / (7/8 * (7/9 * 6/7)) - 2/7))
[30632] ['8/9', '8/9', '7/4', '5/2', '6'] -> (6 / ((8/9 / 8/9) + (7/4 - 5/2)))
[30633] ['1/6', '4/7', '2/3', '5/3', '5'] -> (5 / (5/3 - ((1/6 + 2/3) / 4/7)))
[30634] ['2/9', '5/7', '3/2', '9/2', '5'] -> ((9/2 + (5 / (2/9 * 5/7))) / 3/2)
[30635] ['1/4', '5/7', '9/5', '2', '8/3'] -> (((9/5 * 5/7) / 1/4) * (2 + 8/3))
[30636] ['1/8', '5/9', '4/7', '7/8', '5'] -> (5 / (5/9 * (4/7 * 7/8)) - 1/8))
[30637] ['1/6', '4/7', '2/3', '7/4', '5'] -> (((5 + (4/7 * 7/4)) * 2/3) / 1/6)
[30638] ['5/4', '9/7', '5/2', '5/2', '4'] -> ((5/2 / (5/2 * 9/7) - 5/4)) - 4)
[30639] ['1/5', '1/5', '6/7', '7/4', '4'] -> ((4 + (1/5 / 7/4)) / (1/5 * 6/7))
[30640] ['1/9', '1/5', '2/7', '8/5', '3'] -> ((1/9 + 3) * ((8/5 / 1/5) - 2/7))
[30641] ['1/8', '5/9', '4/7', '8/9', '5'] -> (5 / ((1/8 - 8/9) + (5/9 / 4/7)))
[30642] ['1/9', '1/9', '4/5', '7/3', '4'] -> ((4 / (1/9 * 4/5)) - (7/3 / 1/9))
[30643] ['8/9', '8/9', '7/4', '7/2', '6'] -> ((8/9 / (7/4 - (6 / 7/2))) - 8/9)
[30644] ['1/4', '5/7', '9/5', '2', '7/2'] -> ((2 / 5/7) + ((9/5 + 7/2) / 1/4))
[30645] ['1/6', '4/7', '2/3', '9/5', '5'] -> ((9/5 * 5) / (2/3 - (1/6 / 4/7)))
[30646] ['3/8', '5/9', '3/5', '9/8', '3'] -> ((9/8 / (3/8 - (5/9 * 3/5))) - 3)
[30647] ['1/5', '1/5', '6/7', '9/5', '4'] -> (((4 - (1/5 - 9/5)) * 6/7) / 1/5)
[30648] ['3/8', '2/5', '7/9', '7/9', '4'] -> (((4 / 2/5) - (7/9 / 7/9)) / 3/8)
[30649] ['1/9', '1/5', '2/7', '5/3', '3'] -> (3 + (5/3 / (1/5 * (1/9 + 2/7))))
[30650] ['1/7', '5/9', '5/6', '5/3', '9'] -> ((((5/9 / 1/7) - 5/3) * 9) / 5/6)
[30651] ['5/4', '9/7', '5/2', '8/3', '4'] -> ((9/7 * 4) * (8/3 + (5/2 / 5/4)))
[30652] ['8/9', '8/9', '7/4', '9/2', '6'] -> (9/2 * ((8/9 + 6) - (8/9 * 7/4)))
[30653] ['1/6', '4/7', '2/3', '9/4', '5'] -> (2/3 + (5 / (9/4 * (1/6 * 4/7))))
[30654] ['1/2', '6/7', '1', '7/5', '8/5'] -> (1/2 / ((7/5 / (6/7 * 8/5)) - 1))
[30655] ['3/8', '2/5', '7/9', '4/5', '4'] -> (4 / (2/5 - (4/5 * (3/8 * 7/9))))
[30656] ['1/4', '5/7', '2', '9/4', '9/4'] -> (2 / ((9/4 / (1/4 + 5/7)) - 9/4))
[30657] ['3/8', '5/9', '3/5', '7/6', '3'] -> ((5/9 * 3/5) / ((7/6 / 3) - 3/8))
[30658] ['1/9', '1/5', '2/7', '9/5', '3'] -> (2/7 * (3 + (9/5 / (1/9 * 1/5))))
[30659] ['1/5', '1/5', '6/7', '7/3', '4'] -> (6/7 / ((1/5 / 7/3) - (1/5 / 4)))
[30660] ['5/4', '9/7', '8/3', '8/3', '4'] -> ((8/3 / (8/3 * 9/7) - 5/4)) - 4)
[30661] ['8/9', '8/9', '9/5', '9/4', '6'] -> (6 / ((9/4 / 9/5) - (8/9 / 8/9)))
[30662] ['1/7', '5/9', '5/6', '9/5', '9'] -> (5/6 * ((9/5 / 1/7) + (9 / 5/9)))
[30663] ['1/4', '5/7', '2', '9/4', '7/3'] -> (7/3 * ((9/4 / 1/4) - (5/7 - 2)))
[30664] ['3/8', '2/5', '7/9', '5/6', '4'] -> (4 / (3/8 * (7/9 - (2/5 * 5/6))))
[30665] ['1/6', '4/7', '2/3', '5/2', '5'] -> (2/3 + (((1/6 + 5/2) * 5) / 4/7))
[30666] ['1/6', '2/5', '7/4', '5/2', '6'] -> ((6 + (2/5 * 5/2)) / (1/6 * 7/4))
[30667] ['3/8', '5/9', '3/5', '5/4', '3'] -> (3 / (5/4 - (3/8 / (5/9 * /5)))
)[30668] ['8/9', '8/9', '9/5', '7/3', '6'] -> (9/5 * (8/9 + (6 * (8/9 * 7/3))))
[30669] ['1/2', '6/7', '1', '7/5', '7/4'] -> (6/7 / (((7/4 - 1) / 7/5) - 1/2))
[30670] ['5/4', '9/7', '7/2', '7/2', '4'] -> ((7/2 / (7/2 * 9/7) - 5/4)) - 4)
[30671] ['1/9', '1/9', '5/6', '7/8', '4'] -> (((4 * 7/8) / 1/9) - (5/6 / 1/9))
[30672] ['1/2', '6/7', '1', '7/5', '9/5'] -> ((7/5 / ((6/7 + 1) - 9/5)) - 1/2)
[30673] ['1/6', '2/5', '7/4', '9/2', '6'] -> (((9/2 / 1/6) + (6 / 2/5)) / 7/4)
[30674] ['1/9', '1/9', '5/6', '8/7', '4'] -> ((4 / (1/9 * 8/7)) - (5/6 / 1/9))
[30675] ['1/6', '4/7', '5/7', '5/7', '5'] -> (4/7 / ((5/7 / 5) - (1/6 * 5/7)))
[30676] ['5/4', '9/7', '4', '9/2', '9/2'] -> ((9/2 / (9/2 * 9/7) - 5/4)) - 4)
[30677] ['8/9', '8/9', '9/5', '7/2', '6'] -> ((9/5 * 6) * ((8/9 * 7/2) - 8/9))
[30678] ['1/7', '5/9', '5/6', '8/3', '9'] -> (((8/3 * 5/6) / 1/7) - (5/9 - 9))
[30679] ['2/9', '5/7', '8/5', '8/3', '5'] -> (((5 / 5/7) - (8/3 / 8/5)) / 2/9)
[30680] ['2/7', '7/9', '6/7', '5/2', '8'] -> ((6/7 * 8) * (2/7 + (5/2 / 7/9)))
[30681] ['5/4', '4/3', '4/3', '7/5', '4'] -> ((4 / (7/5 - 5/4)) - (4/3 + 4/3))
[30682] ['1/9', '1/9', '5/6', '5/4', '4'] -> (4 / (5/6 * (1/9 + (1/9 / 5/4))))
[30683] ['4/9', '4/7', '5/2', '8/3', '4'] -> ((5/2 - 4/7) * (4 * (4/9 + 8/3)))
[30684] ['1/9', '1/5', '2/7', '3', '7/2'] -> ((3 / 1/5) + ((7/2 * 2/7) / 1/9))
[30685] ['1/6', '4/7', '5/7', '7/8', '5'] -> (5 / ((5/7 / 4/7) - (1/6 + 7/8)))
[30686] ['1/4', '5/7', '2', '7/3', '5/2'] -> (2 / (7/3 * (5/7 / 5/2)) - 1/4))
[30687] ['8/9', '8/9', '9/4', '7/2', '6'] -> (6 / (7/2 - (9/4 + (8/9 / 8/9))))
[30688] ['5/4', '4/3', '4/3', '5/3', '4'] -> ((5/3 + (4/3 / 4)) / (4/3 - 5/4))
[30689] ['1/2', '6/7', '1', '7/5', '5/2'] -> (((7/5 * 5/2) / (1 - 6/7)) - 1/2)
[30690] ['8/9', '8/9', '7/3', '7/3', '6'] -> (((8/9 * 6) * (7/3 + 7/3)) - 8/9)
[30691] ['1/5', '1/5', '7/8', '6/5', '4'] -> (((4 / 1/5) - (1/5 - 6/5)) / 7/8)
[30692] ['1/4', '5/7', '2', '7/3', '8/3'] -> ((8/3 + (7/3 * (5/7 * 2))) / 1/4)
[30693] ['1/6', '2/5', '9/4', '7/3', '6'] -> (6 * (((1/6 + 7/3) / 2/5) - 9/4))
[30694] ['5/4', '4/3', '4/3', '9/5', '4'] -> ((4/3 + 4/3) * (4 * (5/4 * 9/5)))
[30695] ['1/9', '1/5', '1/3', '3/8', '3'] -> (3 / (1/3 - (3/8 * (1/9 / 1/5))))
[30696] ['1/9', '1/9', '5/6', '7/5', '4'] -> (4 / ((5/6 * 7/5) - (1/9 / 1/9)))
[30697] ['3/8', '2/5', '7/9', '5/4', '4'] -> (4 / (2/5 - ((3/8 * 7/9) / 5/4)))
[30698] ['2/9', '5/7', '5/3', '7/4', '5'] -> ((5/3 + 5) / (7/4 * (2/9 * 5/7)))
[30699] ['4/9', '4/7', '7/2', '4', '9/2'] -> ((4 - 4/7) * (9/2 * (4/9 * 7/2)))
[30700] ['1/5', '1/5', '7/8', '9/7', '4'] -> (((4 + (1/5 + 9/7)) * 7/8) / 1/5)
[30701] ['1/8', '5/9', '4/7', '5/3', '5'] -> (5/3 / ((5/9 / (4/7 * )) - 1/8))
[30702] ['2/7', '7/9', '7/8', '7/6', '8'] -> (8 / (7/8 * (7/9 / 7/6)) - 2/7))
[30703] ['1/2', '6/7', '1', '7/5', '7/2'] -> ((7/2 / (6/7 - (1 / 7/5))) - 1/2)
[30704] ['1/9', '1/9', '5/6', '7/4', '4'] -> ((4 - 1/9) / (7/4 * (1/9 * 5/6)))
[30705] ['1/7', '5/9', '6/7', '6/5', '9'] -> ((5/9 * 9) * ((6/7 / 1/7) - 6/5))
[30706] ['8/9', '8/9', '7/3', '7/2', '6'] -> ((8/9 * 6) / (8/9 - (7/3 / 7/2)))
[30707] ['3/8', '5/9', '3/5', '8/3', '3'] -> (((8/3 + (5/9 * 3/5)) * 3) / 3/8)
[30708] ['5/4', '4/3', '7/5', '7/5', '4'] -> ((5/4 + (7/5 / 4)) / (7/5 - 4/3))
[30709] ['3/8', '2/5', '7/9', '9/7', '4'] -> (((4 / 2/5) - (7/9 * 9/7)) / 3/8)
[30710] ['4/9', '3/5', '3/5', '3/5', '4'] -> (((4 / (4/9 * 3/5)) - 3/5) / 3/5)
[30711] ['1/9', '1/9', '5/6', '9/5', '4'] -> (1/9 / ((5/6 / (9/5 * )) - 1/9))
[30712] ['1/5', '1/5', '7/8', '3/2', '4'] -> (((7/8 * 4) - (1/5 - 3/2)) / 1/5)
[30713] ['1/7', '5/9', '6/7', '4/3', '9'] -> (((9 + (1/7 + 6/7)) * 4/3) / 5/9)
[30714] ['3/8', '5/9', '3/5', '3', '7/2'] -> (3/8 * ((3 / (3/5 - 5/9)) - 7/2))
[30715] ['1/6', '2/5', '7/3', '9/2', '6'] -> ((7/3 / (1/6 - (2/5 / 9/2))) - 6)
[30716] ['8/9', '8/9', '5/2', '5/2', '6'] -> (6 * ((5/2 + 5/2) - (8/9 / 8/9)))
[30717] ['1/9', '1/9', '5/6', '7/3', '4'] -> (4 / ((1/9 * 7/3) - (1/9 * 5/6)))
[30718] ['4/9', '3/5', '3/5', '5/8', '4'] -> (4 / (4/9 * (3/5 / 3/5)) - 5/8))
[30719] ['3/8', '5/9', '5/8', '5/8', '3'] -> (3 / ((5/8 / 5/9) - (3/8 + 5/8)))
[30720] ['1/5', '1/5', '7/8', '7/4', '4'] -> ((1/5 + 4) / (1/5 * (7/4 - 7/8)))
[30721] ['1/4', '5/7', '2', '8/3', '8/3'] -> ((8/3 + (5/7 * (2 + 8/3))) / 1/4)
[30722] ['1/2', '6/7', '1', '3/2', '5/3'] -> (1 / (1/2 * (3/2 / 6/7)) - 5/3))
[30723] ['2/7', '7/9', '7/8', '4/3', '8'] -> (8 / ((7/9 / 4/3) - (2/7 * 7/8)))
[30724] ['1/6', '2/5', '5/2', '7/2', '6'] -> ((6 - 2/5) / (7/2 * (1/6 / 5/2)))
[30725] ['3/8', '2/5', '7/9', '3/2', '4'] -> (4 / (3/8 * (7/9 / 2/5)) - 3/2))
[30726] ['4/9', '3/5', '3/5', '2/3', '4'] -> ((3/5 + (4 / 4/9)) / (3/5 * 2/3))
[30727] ['3/8', '5/9', '5/8', '2/3', '3'] -> (2/3 / ((3/8 - 5/9) + (5/8 / 3)))
[30728] ['1/7', '5/9', '6/7', '3/2', '9'] -> (((3/2 * 9) - (1/7 / 6/7)) / 5/9)
[30729] ['1/4', '5/7', '2', '8/3', '7/2'] -> (2 / ((1/4 - 8/3) + (5/7 * 7/2)))
[30730] ['1/9', '1/9', '6/7', '7/8', '4'] -> (4 / ((1/9 + 1/9) * 6/7) * 7/8))
[30731] ['1/5', '1/5', '7/8', '9/5', '4'] -> (9/5 / (1/5 * (7/8 / 1/5)) - 4))
[30732] ['1/2', '6/7', '1', '3/2', '9/5'] -> (6/7 / ((3/2 / (1 + 9/5)) - 1/2))
[30733] ['1/7', '5/9', '6/7', '8/5', '9'] -> ((8/5 * 9) / (6/7 - (1/7 / 5/9)))
[30734] ['1/6', '2/5', '8/3', '9/2', '6'] -> (((6 + (1/6 + 9/2)) / 2/5) - 8/3)
[30735] ['8/9', '8/9', '7/2', '7/2', '6'] -> ((8/9 + (8/9 / 7/2)) * (7/2 * 6))
[30736] ['1/9', '1/5', '1/3', '8/9', '3'] -> ((3 + ((1/9 + 8/9) / 1/5)) / 1/3)
[30737] ['5/4', '4/3', '3/2', '8/5', '4'] -> (4 / ((5/4 * 4/3) * 8/5) - 3/2))
[30738] ['1/5', '1/5', '7/8', '7/3', '4'] -> ((1/5 + 4) / ((7/8 / 7/3) - 1/5))
[30739] ['1/6', '4/7', '5/7', '7/3', '5'] -> ((7/3 / 1/6) + ((5/7 + 5) / 4/7))
[30740] ['1/6', '2/5', '7/2', '7/2', '6'] -> (((7/2 + 7/2) / (2/5 - 1/6)) - 6)
[30741] ['8/9', '8/9', '7/2', '9/2', '6'] -> (6 + (9/2 * (8/9 + (8/9 * 7/2))))
[30742] ['1/4', '5/7', '2', '7/2', '7/2'] -> (((7/2 * (5/7 + 2)) - 7/2) / 1/4)
[30743] ['3/8', '2/5', '7/9', '7/4', '4'] -> (4 * (3/8 + (7/4 / (2/5 * 7/9))))
[30744] ['3/8', '5/9', '5/8', '7/9', '3'] -> (3 / (5/8 - (3/8 * (5/9 + 7/9))))
[30745] ['4/9', '3/5', '3/5', '7/9', '4'] -> ((4 + (4/9 * 3/5)) / (7/9 - 3/5))
[30746] ['1/2', '6/7', '1', '3/2', '7/3'] -> (((3/2 * 7/3) / (1 - 6/7)) - 1/2)
[30747] ['8/9', '8/9', '9/2', '9/2', '6'] -> (8/9 * ((9/2 * 9/2) + (6 / 8/9)))
[30748] ['2/7', '7/9', '7/8', '5/3', '8'] -> (((7/8 * 8) - 5/3) / (2/7 * 7/9))
[30749] ['2/9', '5/7', '7/4', '7/3', '5'] -> ((7/3 + (5 / 5/7)) / (2/9 * 7/4))
[30750] ['1/2', '6/7', '1', '3/2', '5/2'] -> (1 / (3/2 - (5/2 * (1/2 / 6/7))))
[30751] ['1/7', '5/9', '6/7', '9/4', '9'] -> (6/7 / ((1/7 * 9) - (5/9 * 9/4)))
[30752] ['1/9', '1/9', '6/7', '5/4', '4'] -> ((4 - 1/9) / (5/4 * (1/9 / 6/7)))
[30753] ['3/8', '2/5', '7/9', '9/5', '4'] -> ((2/5 + (9/5 * (7/9 + 4))) / 3/8)
[30754] ['4/9', '3/5', '3/5', '5/6', '4'] -> (4 / ((3/5 * (4/9 + 5/6)) - 3/5))
[30755] ['1/6', '3/7', '3/7', '3/7', '6'] -> ((6 - ((3/7 + 3/7) / 3/7)) / 1/6)
[30756] ['1/9', '1/5', '1/3', '7/6', '3'] -> (((7/6 - 1/3) * (1/5 + 3)) / 1/9)
[30757] ['1/2', '6/7', '1', '3/2', '8/3'] -> (3/2 / (1/2 - (1 / (6/7 * 8/3))))
[30758] ['1/9', '1/9', '6/7', '9/7', '4'] -> (6/7 + ((9/7 * 4) / (1/9 + 1/9)))
[30759] ['8/9', '9/8', '9/8', '8/7', '6'] -> (6 / (9/8 - ((8/9 * 9/8) / 8/7)))
[30760] ['2/9', '5/7', '7/4', '8/3', '5'] -> (((5 + (5/7 - 8/3)) * 7/4) / 2/9)
[30761] ['1/9', '1/9', '6/7', '7/5', '4'] -> (7/5 * ((4 / (1/9 + 1/9)) - 6/7))
[30762] ['3/8', '2/5', '7/9', '7/3', '4'] -> (4 + (7/3 / (7/9 * (3/8 * 2/5))))
[30763] ['1/6', '4/7', '3/4', '7/9', '5'] -> (5 / (3/4 * (4/7 * 7/9)) - 1/6))
[30764] ['8/9', '9/8', '9/8', '7/6', '6'] -> (7/6 / ((9/8 - 8/9) - (9/8 / 6)))
[30765] ['1/2', '6/7', '1', '3/2', '9/2'] -> (((3/2 + (1 / 6/7)) * 9/2) / 1/2)
[30766] ['1/6', '3/7', '3/7', '5/8', '6'] -> ((((6 * 3/7) / 1/6) - 3/7) / 5/8)
[30767] ['1/5', '1/5', '8/9', '6/5', '4'] -> (((4 + (1/5 + 6/5)) * 8/9) / 1/5)
[30768] ['5/4', '4/3', '5/3', '7/3', '4'] -> (4 / ((5/4 - 7/3) + (5/3 / 4/3)))
[30769] ['1/9', '1/5', '1/3', '7/4', '3'] -> ((3 + (1/3 / 1/5)) / (1/9 * 7/4))
[30770] ['2/7', '7/9', '7/8', '9/4', '8'] -> (8 / (2/7 * (7/9 + (7/8 / 9/4))))
[30771] ['1/6', '4/7', '3/4', '4/5', '5'] -> (((3/4 + (5 / 4/5)) * 4/7) / 1/6)
[30772] ['4/9', '3/5', '3/5', '8/9', '4'] -> ((3/5 * 4) / (3/5 - (4/9 / 8/9)))
[30773] ['1/4', '3/4', '3/4', '8/7', '2'] -> ((1/4 + 2) / (3/4 - (3/4 / 8/7)))
[30774] ['2/9', '5/7', '7/4', '9/2', '5'] -> ((9/2 / 2/9) + (5 - (5/7 * 7/4)))
[30775] ['1/6', '3/7', '3/7', '4/5', '6'] -> (((6 - (3/7 / 3/7)) * 4/5) / 1/6)
[30776] ['1/9', '1/5', '1/3', '9/4', '3'] -> (((3 + (1/9 / 1/5)) * 9/4) / 1/3)
[30777] ['1/6', '4/7', '3/4', '5/6', '5'] -> (5 / ((1/6 / 4/7) + (3/4 - 5/6)))
[30778] ['1/4', '3/4', '3/4', '6/5', '2'] -> (2 / (((1/4 + 3/4) / 6/5) - 3/4))
[30779] ['3/8', '2/5', '7/9', '8/3', '4'] -> (8/3 / ((7/9 / (2/5 * 4)) - 3/8))
[30780] ['5/4', '4/3', '7/4', '7/4', '4'] -> ((7/4 / ((7/4 / 4/3) - 5/4)) - 4)
[30781] ['3/8', '5/9', '5/8', '7/6', '3'] -> ((3/8 / ((5/9 + 5/8) - 7/6)) - 3)
[30782] ['1/9', '1/9', '6/7', '7/4', '4'] -> (6/7 / ((1/9 / 7/4) - (1/9 / 4)))
[30783] ['5/4', '4/3', '7/4', '9/5', '4'] -> (9/5 * (4/3 + (4 * (5/4 + 7/4))))
[30784] ['1/4', '3/4', '3/4', '9/7', '2'] -> (2 / ((1/4 - 3/4) + (3/4 / 9/7)))
[30785] ['1/9', '1/5', '1/3', '8/3', '3'] -> (3 / (1/3 - (1/9 / (1/5 * /3)))
)[30786] ['2/7', '7/9', '7/8', '5/2', '8'] -> (7/9 * ((5/2 / 7/8) + (8 / 2/7)))
[30787] ['1/5', '1/5', '8/9', '8/5', '4'] -> (((4 - (1/5 - 8/5)) * 8/9) / 1/5)
[30788] ['3/8', '5/9', '5/8', '6/5', '3'] -> ((6/5 / ((3/8 / 5/8) - 5/9)) - 3)
[30789] ['1/9', '1/9', '6/7', '9/5', '4'] -> (6/7 + (4 / (1/9 + (1/9 / 9/5))))
[30790] ['8/9', '9/8', '9/8', '3/2', '6'] -> (6 / ((8/9 * 9/8) - (9/8 / 3/2)))
[30791] ['2/9', '5/7', '9/5', '7/3', '5'] -> (((7/3 * 5/7) / 2/9) * (5 - 9/5))
[30792] ['4/9', '3/5', '3/5', '5/4', '4'] -> ((3/5 * 4) / ((3/5 / 4/9) - 5/4))
[30793] ['3/8', '5/9', '5/8', '5/4', '3'] -> ((3 + (5/4 / 5/8)) / (3/8 * 5/9))
[30794] ['1/4', '3/4', '3/4', '8/5', '2'] -> (3/4 / ((1/4 * 2) - (3/4 / 8/5)))
[30795] ['1/7', '5/9', '7/8', '9/7', '9'] -> (9 / ((5/9 * 7/8) - (1/7 / 9/7)))
[30796] ['2/7', '7/9', '7/8', '9/2', '8'] -> ((8 / 2/7) - (9/2 * (7/9 / 7/8)))
[30797] ['1/9', '1/5', '3/8', '3/8', '3'] -> ((3/8 / (1/9 * 3/8)) + (3 / 1/5))
[30798] ['1/7', '5/9', '7/8', '7/5', '9'] -> (9 / (5/9 * (7/8 - (1/7 * 7/5))))
[30799] ['8/9', '9/8', '9/8', '7/4', '6'] -> (6 / ((8/9 * (9/8 + 9/8)) - 7/4))
[30800] ['5/4', '4/3', '9/5', '7/2', '4'] -> (((4 * 7/2) / 5/4) / (9/5 - 4/3))
[30801] ['3/8', '2/5', '4/5', '9/7', '4'] -> (4 / (2/5 - ((3/8 * 4/5) / 9/7)))
[30802] ['1/8', '5/9', '3/5', '5/4', '5'] -> (3/5 / ((5/4 / 5) - (1/8 / 5/9)))
[30803] ['3/8', '5/9', '5/8', '3/2', '3'] -> (((3/8 + 3/2) / (5/8 - 5/9)) - 3)
[30804] ['1/2', '6/7', '1', '8/5', '7/2'] -> ((6/7 * 7/2) / ((1 / 8/5) - 1/2))
[30805] ['1/6', '3/7', '3/7', '8/5', '6'] -> (8/5 * (((6 * 3/7) / 1/6) - 3/7))
[30806] ['1/6', '4/7', '3/4', '8/5', '5'] -> (((5 * 8/5) / 4/7) / (3/4 - 1/6))
[30807] ['1/9', '1/9', '7/8', '7/8', '4'] -> (4 * (((7/8 - 1/9) / 1/9) - 7/8))
[30808] ['8/9', '9/8', '9/8', '5/2', '6'] -> (9/8 + ((8/9 + 5/2) * (9/8 * 6)))
[30809] ['5/4', '4/3', '7/3', '4', '9/2'] -> ((4 * (5/4 + 9/2)) - (4/3 - 7/3))
[30810] ['4/9', '3/5', '3/5', '7/4', '4'] -> (((7/4 * 4) - 3/5) / (4/9 * 3/5))
[30811] ['1/5', '1/5', '9/8', '8/7', '4'] -> ((9/8 + ((1/5 + 4) / 8/7)) / 1/5)
[30812] ['2/7', '7/9', '8/9', '3/2', '8'] -> (8 / ((7/9 / 2/7) - (8/9 + 3/2)))
[30813] ['1/8', '5/9', '3/5', '7/5', '5'] -> (7/5 / (1/8 - ((5/9 * 3/5) / 5)))
[30814] ['1/2', '6/7', '1', '5/3', '7/4'] -> (1 / (7/4 * 6/7) - (1/2 * 5/3)))
[30815] ['1/5', '1/5', '9/8', '6/5', '4'] -> ((4 + (1/5 + 6/5)) / (1/5 * 9/8))
[30816] ['1/9', '1/5', '3/8', '3/4', '3'] -> (3 / (1/9 * (3/8 / 1/5)) - 3/4))
[30817] ['1/6', '4/7', '3/4', '7/4', '5'] -> ((5 - (4/7 + (3/4 / 7/4))) / 1/6)
[30818] ['8/9', '9/8', '8/7', '8/7', '6'] -> (((6 * 8/7) / 9/8) / (8/7 - 8/9))
[30819] ['1/4', '3/4', '7/9', '8/9', '2'] -> ((8/9 / (7/9 - 3/4)) - (2 / 1/4))
[30820] ['2/7', '7/9', '8/9', '8/5', '8'] -> (8 / ((8/9 / 8/5) - (2/7 * 7/9)))
[30821] ['1/6', '3/7', '3/7', '8/3', '6'] -> (8/3 * ((3/7 / 1/6) + (3/7 + 6)))
[30822] ['1/5', '1/5', '9/8', '9/7', '4'] -> ((1/5 + 4) * (9/7 / (1/5 * 9/8)))
[30823] ['1/9', '1/5', '3/8', '7/9', '3'] -> (((3 / (1/9 + 3/8)) * 7/9) / 1/5)
[30824] ['1/9', '1/9', '7/8', '5/4', '4'] -> ((5/4 * 4) / (1/9 + (1/9 * 7/8)))
[30825] ['2/7', '7/9', '8/9', '7/4', '8'] -> (8 / (7/9 - (7/4 * (2/7 * 8/9))))
[30826] ['2/9', '5/7', '9/4', '7/2', '5'] -> (((5 * 7/2) / 5/7) - (2/9 * 9/4))
[30827] ['5/4', '7/5', '7/5', '5/3', '4'] -> ((7/5 + (5/4 * 4)) / (5/3 - 7/5))
[30828] ['2/7', '7/9', '8/9', '9/5', '8'] -> ((8/9 + (8 / 9/5)) / (2/7 * 7/9))
[30829] ['4/9', '3/5', '5/8', '5/8', '4'] -> ((3/5 + (4 / (4/9 * 5/8))) / 5/8)
[30830] ['1/6', '3/7', '4/9', '5/9', '6'] -> (((6 / 3/7) - (5/9 / 1/6)) / 4/9)
[30831] ['1/9', '1/9', '7/8', '7/5', '4'] -> (4 / (7/8 * (1/9 + (1/9 / 7/5))))
[30832] ['3/8', '2/5', '5/6', '8/9', '4'] -> (((4 / 3/8) - (8/9 / 5/6)) / 2/5)
[30833] ['8/9', '9/8', '8/7', '9/7', '6'] -> ((8/7 * 6) / (9/7 - (8/9 * 9/8)))
[30834] ['1/5', '1/5', '9/8', '5/3', '4'] -> (1/5 / ((1/5 * (5/3 + 4)) - 9/8))
[30835] ['1/2', '6/7', '1', '5/3', '8/3'] -> (1 / ((5/3 / 8/3) - (1/2 / 6/7)))
[30836] ['2/9', '5/7', '7/3', '7/3', '5'] -> ((7/3 + (5 / (5/7 * 7/3))) / 2/9)
[30837] ['1/9', '1/9', '7/8', '3/2', '4'] -> (3/2 / (4 - (7/8 / (1/9 + 1/9))))
[30838] ['2/7', '7/9', '8/9', '9/4', '8'] -> (((8/9 + (9/4 * 8)) / 7/9) - 2/7)
[30839] ['1/5', '1/5', '9/8', '7/4', '4'] -> ((1/5 + 7/4) / ((9/8 / 4) - 1/5))
[30840] ['1/4', '3/4', '7/9', '9/7', '2'] -> (9/7 / ((3/4 / 2) - (1/4 / 7/9)))
[30841] ['1/6', '3/7', '4/9', '5/8', '6'] -> (6 / ((1/6 / (3/7 * /9)) - 5/8))
[30842] ['4/9', '3/5', '5/8', '7/9', '4'] -> (4 / (5/8 * (4/9 + 3/5)) - 7/9))
[30843] ['2/9', '5/7', '7/3', '8/3', '5'] -> (8/3 / (((5/7 * 7/3) / 5) - 2/9))
[30844] ['1/9', '1/9', '7/8', '9/5', '4'] -> ((1/9 + (4 / 9/5)) / (1/9 * 7/8))
[30845] ['1/8', '5/9', '5/8', '5/8', '5'] -> (5 / (5/8 - (5/9 * (1/8 + 5/8))))
[30846] ['5/4', '7/5', '7/5', '5/2', '4'] -> (4 * (5/2 + (5/4 * (7/5 + 7/5))))
[30847] ['1/7', '5/9', '8/9', '8/9', '9'] -> ((8/9 * 9) * ((5/9 / 1/7) - 8/9))
[30848] ['1/9', '1/9', '7/8', '9/4', '4'] -> (4 / ((7/8 / 9/4) - (1/9 + 1/9)))
[30849] ['1/2', '6/7', '1', '7/4', '7/4'] -> (((7/4 + 7/4) / (1 - 6/7)) - 1/2)
[30850] ['2/7', '7/9', '9/8', '8/7', '8'] -> ((8 / (2/7 * 9/8)) - (7/9 * 8/7))
[30851] ['3/8', '2/5', '5/6', '5/4', '4'] -> (4 / ((5/4 * (5/6 - 2/5)) - 3/8))
[30852] ['3/8', '5/9', '2/3', '7/6', '3'] -> (3 / (3/8 * (7/6 - (5/9 / 2/3))))
[30853] ['1/9', '1/5', '3/8', '9/7', '3'] -> (3 / ((1/9 + 3/8) * 1/5) * 9/7))
[30854] ['1/8', '5/9', '5/8', '2/3', '5'] -> (((2/3 / 1/8) + (5 / 5/8)) / 5/9)
[30855] ['1/7', '5/9', '8/9', '9/8', '9'] -> ((((5/9 / 1/7) - 8/9) * 9) / 9/8)
