[177301] ['4/7', '5/6', '5/3', '5/2', '6'] -> (5/2 + 6 / (4/7 / 5/3)) / 5/6
[182793] ['1/3', '2/5', '9/4', '9/4', '6'] -> 9/4 + 9/4 / 1/3 + 6 / 2/5
[182794] ['1/5', '1/5', '1/3', '1', '8/7'] -> 1 / (1/5 - 1/3 + 1/5 / 8/7)
[182795] ['5/6', '7/8', '9/4', '7/3', '4'] -> 4 / (7/8 * 7/3 - 5/6 * 9/4)
[182796] ['2/5', '2/5', '9/8', '9/2', '7'] -> (7 - 2/5 / 2/5) / (9/8 / 9/2)
[182797] ['2/3', '8/9', '7/6', '8/5', '2'] -> 2/3 / (7/6 / 2 - 8/9 / 8/5)
[182798] ['4/7', '6/7', '7/6', '9/5', '3'] -> 4/7 / ((3 - 6/7) / 9/5 - 7/6)
[182799] ['4/7', '4/5', '9/5', '8/3', '8'] -> 4/5 * 9/5 * (8/3 + 8 / 4/7)
[182800] ['5/7', '5/4', '4/3', '9/5', '9'] -> 5/4 * 4/3 * (9/5 + 9 / 5/7)
[182801] ['4/7', '7/5', '5/3', '5/2', '6'] -> 5/3 * (7/5 + 5/2 + 6 / 4/7)
[182802] ['7/9', '5/6', '5/4', '4/3', '5'] -> (4/3 + 5) / (5/6 * 5/4 - 7/9)
[182803] ['2/5', '2/5', '8/7', '7/6', '7'] -> 7 / (7/6 - 2/5 / 2/5 / 8/7)
[182804] ['1/4', '8/9', '8/5', '5/2', '7'] -> 5/2 * 8/9 * 8/5 * (7 - 1/4)
[182805] ['4/7', '7/5', '5/3', '8/3', '6'] -> 6 * (8/3 + 5/3 * 4/7 * 7/5)
[182806] ['5/7', '5/4', '4/3', '7/3', '9'] -> 9 * (4/3 + 7/3 * 5/7 / 5/4)
[182807] ['3/7', '5/9', '1', '5/3', '7/4'] -> (1 + 5/3) / (3/7 - 5/9 / 7/4)
[182808] ['7/9', '5/6', '5/4', '3/2', '5'] -> 5 / 3/2 / (7/9 * 5/4 - 5/6)
[182809] ['2/5', '2/5', '8/7', '5/4', '7'] -> (7 * 8/7 * 5/4 - 2/5) / 2/5
[182810] ['1/3', '2/5', '7/3', '7/3', '6'] -> 7/3 + (6 + 1/3 + 7/3) / 2/5
[182811] ['1/8', '4/5', '6/7', '1', '9/4'] -> (9/4 + 1 / 4/5) / (1/8 / 6/7)
[182812] ['2/5', '2/5', '8/7', '9/7', '7'] -> 7 * (2/5 / 2/5 + 8/7 + 9/7)
[182813] ['4/7', '7/5', '5/3', '9/2', '6'] -> 6 / (9/2 / 5/3 - 7/5 / 4/7)
[182814] ['5/6', '8/9', '8/9', '8/9', '4'] -> 8/9 * 4 / (8/9 - 5/6 * 8/9)
[182815] ['2/5', '2/5', '8/7', '4/3', '7'] -> 8/7 * 7 / (4/3 - 2/5 / 2/5)
[182816] ['1/9', '3/8', '7/9', '5/4', '9'] -> 9 * (1/9 - 7/9 + 5/4 / 3/8)
[182817] ['1/4', '8/9', '5/3', '5/3', '7'] -> 8/9 * (7 / 1/4 - 5/3 / 5/3)
[182818] ['4/7', '7/5', '7/4', '7/4', '6'] -> 6 / (7/4 / 7/5 - 4/7 * 7/4)
[182819] ['5/7', '5/4', '4/3', '9/2', '9'] -> 9/2 * (9 / 5/4 - 4/3 / 5/7)
[182820] ['3/7', '2/3', '4/5', '7/4', '2'] -> 2 / (2/3 / 4/5 - 3/7 * 7/4)
[182821] ['4/7', '7/5', '7/4', '9/5', '6'] -> 6 * (7/4 + 9/5 / (4/7 * 7/5))
[182822] ['1/4', '8/9', '5/3', '7/4', '7'] -> (1/4 + 7) / (7/4 / 8/9 - 5/3)
[182823] ['4/7', '4/5', '9/4', '8/3', '8'] -> 9/4 * (8 / 4/7 - 8/3 / 4/5)
[182824] ['2/5', '2/5', '8/7', '7/5', '7'] -> 8/7 * (7/5 / 2/5 + 7 / 2/5)
[182825] ['1/3', '2/5', '7/2', '7/2', '6'] -> (6 / 2/5 - (7/2 + 7/2)) / 1/3
[182826] ['5/6', '8/9', '8/9', '7/6', '4'] -> (8/9 + 4) / (8/9 * 7/6 - 5/6)
[182827] ['7/9', '5/6', '5/4', '9/4', '5'] -> 5 / (9/4 * 7/9 * 5/6 - 5/4)
[182828] ['5/7', '5/4', '7/5', '3/2', '9'] -> 9 / (3/2 * (5/4 - 5/7 * 7/5))
[182829] ['2/3', '8/9', '6/5', '7/5', '2'] -> 6/5 / (2/3 / 8/9 - 7/5 / 2)
[182830] ['3/7', '5/9', '1', '5/3', '8/3'] -> 8/3 / (1 / 3/7 - (5/9 + 5/3))
[182831] ['4/7', '7/5', '7/4', '7/3', '6'] -> 6 / 7/5 / (7/4 / 7/3 - 4/7)
[182832] ['7/9', '5/6', '5/4', '5/2', '5'] -> 5 / (5/6 - 7/9) / (5/4 + 5/2)
[182833] ['1/8', '4/5', '6/7', '1', '9/2'] -> 4/5 * 6/7 * (9/2 / 1/8 - 1)
[182834] ['4/7', '4/5', '7/3', '8/3', '8'] -> 4/5 * (8 / (4/7 / 7/3) - 8/3)
[182835] ['3/7', '5/9', '1', '5/3', '9/2'] -> 9/2 * (1 / 3/7 + 5/3 / 5/9)
[182836] ['1/3', '3/7', '3/7', '4/7', '6'] -> 4/7 / (3/7 - 1/3 - 3/7 / 6)
[182837] ['5/6', '8/9', '8/9', '7/5', '4'] -> 4 / (5/6 * 7/5 - 8/9 / 8/9)
[182838] ['2/5', '2/5', '8/7', '9/5', '7'] -> (7 - (2/5 - 9/5)) / (2/5 / 8/7)
[182839] ['4/7', '7/5', '7/4', '7/2', '6'] -> 6 / (7/2 - 7/5 * (4/7 + 7/4))
[182840] ['1/8', '4/5', '7/8', '7/8', '1'] -> (7/8 + 7/8 + 1 / 4/5) / 1/8
[182841] ['2/3', '8/9', '6/5', '2', '7/3'] -> 8/9 / 2/3 / (2 - 7/3 / 6/5)
[182842] ['4/7', '6/7', '6/5', '7/4', '3'] -> 3 / ((7/4 - 4/7) / 6/5 - 6/7)
[182843] ['7/9', '5/6', '9/7', '4/3', '5'] -> (9/7 + 5) / (4/3 - 5/6 / 7/9)
[182844] ['4/7', '4/5', '5/2', '5/2', '8'] -> (4/7 + 4/5) * (5/2 * 8 - 5/2)
[182845] ['1/4', '8/9', '7/4', '7/4', '7'] -> 8/9 * (7 / 1/4 - 7/4 / 7/4)
[182846] ['2/5', '2/5', '8/7', '7/3', '7'] -> 2/5 / (2/5 / 8/7 - 7/3 / 7)
[182847] ['2/3', '8/9', '6/5', '2', '5/2'] -> 6/5 / (2 / 5/2 - 2/3 / 8/9)
[182848] ['4/7', '6/7', '6/5', '9/5', '3'] -> (6/7 + 6/5) / (9/5 - 4/7 * 3)
[182849] ['1/3', '3/7', '3/7', '3/5', '6'] -> (3/7 + 6 / 3/5) / 3/7 - 1/3
[182850] ['1/5', '1/5', '3/8', '7/9', '1'] -> 1/5 / 3/8 / (1 - (1/5 + 7/9))
[182851] ['5/7', '5/4', '7/5', '7/3', '9'] -> (7/3 + 5/7 * 7/5) / (5/4 / 9)
[182852] ['5/6', '8/9', '8/9', '5/3', '4'] -> 4 / (5/6 - 5/3 + 8/9 / 8/9)
[182853] ['2/5', '2/5', '8/7', '5/2', '7'] -> 8/7 * (5/2 + (2/5 + 7) / 2/5)
[182854] ['1/8', '4/5', '7/8', '1', '9/8'] -> 9/8 / 1/8 / (1 / 4/5 - 7/8)
[182855] ['2/3', '8/9', '6/5', '2', '7/2'] -> 2/3 / (7/2 / 6/5 - (8/9 + 2))
[182856] ['4/7', '7/5', '9/5', '7/3', '6'] -> 6 * (9/5 + 7/3) - 4/7 * 7/5
[182857] ['4/7', '6/7', '6/5', '9/4', '3'] -> 6/7 / (4/7 - 9/4 / (6/5 + 3))
[182858] ['1/4', '8/9', '7/4', '7/3', '7'] -> (7/3 + 7) / (7/4 * 1/4 * 8/9)
[182859] ['1/9', '3/8', '4/5', '5/6', '9'] -> 9 * (5/6 / (3/8 * 4/5) - 1/9)
[182860] ['2/5', '3/2', '7/4', '8/3', '6'] -> 6 / (7/4 / (2/5 * 3/2) - 8/3)
[182861] ['2/5', '2/5', '7/6', '7/6', '7'] -> 7 / (7/6 / (2/5 + 2/5) - 7/6)
[182862] ['7/9', '5/6', '9/7', '8/5', '5'] -> 5 / (5/6 - 7/9 * 9/7 / 8/5)
[182863] ['3/7', '2/3', '5/6', '8/9', '2'] -> 8/9 / 2/3 / (2 - 5/6 / 3/7)
[182864] ['1/3', '3/7', '3/7', '4/5', '6'] -> 6 / (3/7 - 1/3 * 3/7 / 4/5)
[182865] ['2/3', '8/9', '5/4', '5/4', '2'] -> (2/3 + 2) / (5/4 / 5/4 - 8/9)
[182866] ['1/9', '3/8', '4/5', '6/7', '9'] -> 6/7 + 9 / (4/5 * (1/9 + 3/8))
[182867] ['2/5', '2/5', '7/6', '6/5', '7'] -> (2/5 + 6/5) * 7 / (2/5 * 7/6)
[182868] ['3/7', '2/3', '5/6', '9/8', '2'] -> 2 / (3/7 * 2/3) / (9/8 - 5/6)
[182869] ['5/7', '5/4', '7/5', '7/2', '9'] -> 9 / (5/7 * 7/2) / (7/5 - 5/4)
[182870] ['1/8', '4/5', '7/8', '1', '5/4'] -> 5/4 / (1/8 + 4/5 - 7/8) - 1
[182871] ['4/7', '4/5', '8/3', '9/2', '8'] -> 9/2 * (8 / 4/5 - 8/3 / 4/7)
[182872] ['5/6', '8/9', '8/9', '7/2', '4'] -> 8/9 / 8/9 / (7/2 / 4 - 5/6)
[182873] ['1/9', '3/8', '4/5', '7/8', '9'] -> 4/5 * (9 + 7/8 / (1/9 * 3/8))
[182874] ['2/5', '2/5', '7/6', '5/4', '7'] -> 7 / (7/6 * (5/4 - 2/5 / 2/5))
[182875] ['1/3', '3/7', '3/7', '8/9', '6'] -> 3/7 * 8/9 * 6 / (3/7 - 1/3)
[182876] ['4/7', '4/5', '7/2', '7/2', '8'] -> 4/5 * (4/7 * 7/2 + 7/2 * 8)
[182877] ['4/7', '7/5', '9/4', '5/2', '6'] -> 6 / (9/4 - 5/2 * 4/7 * 7/5)
[182878] ['2/5', '2/5', '7/6', '9/7', '7'] -> (7 + 2/5 * 7/6) / (2/5 / 9/7)
[182879] ['4/7', '6/7', '6/5', '3', '7/2'] -> 4/7 / (6/7 - 7/2 / (6/5 + 3))
[182880] ['5/7', '5/4', '3/2', '8/5', '9'] -> 9 / (5/7 * 3/2) / (8/5 - 5/4)
[182881] ['5/6', '8/9', '9/8', '6/5', '4'] -> 4 / (5/6 * (6/5 - 8/9 * 9/8))
[182882] ['3/7', '2/3', '5/6', '9/7', '2'] -> 3/7 * 2 / (9/7 - 5/6 / 2/3)
[182883] ['1/4', '8/9', '9/5', '9/5', '7'] -> 8/9 * (7 / 1/4 - 9/5 / 9/5)
[182884] ['4/7', '7/5', '9/4', '7/2', '6'] -> 7/2 * 6 / (4/7 * 7/5) - 9/4
[182885] ['2/3', '8/9', '5/4', '9/5', '2'] -> 2/3 / 5/4 / (9/5 - 8/9 * 2)
[182886] ['2/5', '2/5', '7/6', '7/5', '7'] -> 7 * (2/5 + 2/5) / (7/5 - 7/6)
[182887] ['1/8', '4/5', '7/8', '1', '5/3'] -> 5/3 * (1 + (4/5 + 7/8) / 1/8)
[182888] ['7/9', '5/6', '9/7', '7/3', '5'] -> 5 * (7/9 + 7/3) / (5/6 / 9/7)
[182889] ['3/7', '2/3', '5/6', '4/3', '2'] -> 4/3 / (5/6 - 2/3 / (3/7 * 2))
[182890] ['1/5', '1/5', '3/8', '1', '7/5'] -> (1 + (1/5 + 7/5) / 1/5) / 3/8
[182891] ['1/3', '3/7', '3/7', '8/5', '6'] -> (6 - 3/7 / 3/7) / (1/3 / 8/5)
[182892] ['1/4', '8/9', '9/5', '9/4', '7'] -> 9/5 * (8/9 + 7 / (1/4 * 9/4))
[182893] ['4/7', '5/6', '5/6', '6/7', '8'] -> 8 / (5/6 / 5/6 - 4/7 / 6/7)
[182894] ['1/9', '3/8', '4/5', '7/6', '9'] -> (9 + 7/6 / 1/9) / 4/5 - 3/8
[182895] ['5/7', '5/4', '3/2', '9/5', '9'] -> 9 / 5/4 / (3/2 / 5/7 - 9/5)
[182896] ['1/8', '4/5', '7/8', '1', '7/4'] -> (1/8 + 7/4) / (7/8 - 4/5) - 1
[182897] ['2/3', '8/9', '5/4', '2', '5/2'] -> 2 / (8/9 / 2/3 + 5/4 - 5/2)
[182898] ['5/6', '8/9', '9/8', '4/3', '4'] -> 4 / ((5/6 + 8/9) / 4/3 - 9/8)
[182899] ['2/5', '8/5', '8/5', '7/3', '6'] -> 2/5 / (6 / 8/5 - 8/5 * 7/3)
[182900] ['4/7', '6/7', '5/4', '8/5', '3'] -> 3 / (5/4 * (8/5 - 6/7 / 4/7))
[182901] ['7/9', '5/6', '9/7', '8/3', '5'] -> 8/3 * (9/7 + 5 / (7/9 * 5/6))
[182902] ['2/5', '2/5', '7/6', '5/3', '7'] -> (7 / (7/6 / 5/3) - 2/5) / 2/5
[182903] ['5/6', '8/9', '9/8', '7/5', '4'] -> 4 / (5/6 * 7/5 - 8/9 * 9/8)
[182904] ['1/9', '3/8', '4/5', '5/4', '9'] -> 3/8 * (9 / (1/9 * 5/4) - 4/5)
[182905] ['4/7', '6/7', '5/4', '5/3', '3'] -> 6/7 / (5/3 * (4/7 + 5/4) - 3)
[182906] ['1/4', '8/9', '9/5', '7/3', '7'] -> (7/3 + 7 / 9/5) / 1/4 - 8/9
[182907] ['1/8', '4/5', '7/8', '1', '9/5'] -> (7/8 + 9/5 / 4/5) / 1/8 - 1
[182908] ['1/5', '1/5', '3/8', '1', '7/3'] -> (1 / 3/8 - (1/5 - 7/3)) / 1/5
[182909] ['2/5', '2/5', '7/6', '9/5', '7'] -> (9/5 + 7) / (7/6 - (2/5 + 2/5))
[182910] ['4/7', '7/5', '7/3', '7/2', '6'] -> 7/2 / (7/5 / 4/7 - 7/3) - 6
[182911] ['1/5', '1/5', '3/8', '1', '5/2'] -> (1/5 + 1) / (1/5 - 3/8 / 5/2)
[182912] ['1/4', '8/9', '9/5', '5/2', '7'] -> 7 / 1/4 - 5/2 * 8/9 * 9/5
[182913] ['5/7', '5/4', '3/2', '7/2', '9'] -> 9 / (7/2 * (5/4 - 5/7) - 3/2)
[182914] ['1/5', '1/5', '3/8', '1', '7/2'] -> 7/2 * (1/5 + 1) / (3/8 - 1/5)
[182915] ['4/7', '5/6', '5/6', '7/6', '8'] -> 8 / (5/6 / 5/6 - 4/7 * 7/6)
[182916] ['1/9', '3/8', '4/5', '4/3', '9'] -> 4/3 / (4/5 * (1/9 - 3/8 / 9))
[182917] ['7/9', '5/6', '4/3', '7/5', '5'] -> 4/3 * 5 / (5/6 - 7/9 / 7/5)
[182918] ['4/7', '7/5', '5/2', '5/2', '6'] -> (5/2 + 5/2) * 6 * 4/7 * 7/5
[182919] ['2/3', '8/9', '9/7', '3/2', '2'] -> 8/9 / 2/3 / (2 / 9/7 - 3/2)
[182920] ['3/7', '5/9', '1', '9/4', '7/3'] -> (1 + 7/3) / (5/9 - 3/7) - 9/4
[182921] ['1/5', '1/5', '2/5', '4/9', '1'] -> (1/5 + 1) / (1/5 / 4/9 - 2/5)
[182922] ['5/6', '8/9', '9/8', '7/3', '4'] -> (7/3 + 5/6 * 4) / (9/8 - 8/9)
[182923] ['2/5', '2/5', '7/6', '5/2', '7'] -> 2/5 / (7/6 * 5/2 / 7 - 2/5)
[182924] ['1/3', '3/7', '4/9', '5/8', '6'] -> (1/3 / (4/9 - 3/7) - 6) / 5/8
[182925] ['4/7', '7/5', '5/2', '7/2', '6'] -> 4/7 * 6 * (7/2 + 7/5 * 5/2)
[182926] ['4/7', '5/6', '5/6', '7/5', '8'] -> 8 / (4/7 - 5/6 + 5/6 / 7/5)
[182927] ['1/9', '3/8', '4/5', '8/5', '9'] -> (8/5 / (1/9 * 4/5) - 9) / 3/8
[182928] ['1/8', '4/5', '8/9', '8/9', '1'] -> (8/9 / 4/5 + 8/9 + 1) / 1/8
[182929] ['3/7', '2/3', '5/6', '2', '7/3'] -> 2/3 / 7/3 / (3/7 - 5/6 / 2)
[182930] ['2/5', '5/3', '5/3', '7/2', '6'] -> 6 * (5/3 + 7/2 * 2/5 * 5/3)
[182931] ['2/3', '8/9', '9/7', '7/4', '2'] -> 2 / 7/4 / (8/9 / 2/3 - 9/7)
[182932] ['1/5', '1/5', '2/5', '4/7', '1'] -> (1/5 + 1) / (2/5 - 1/5 / 4/7)
[182933] ['4/7', '7/5', '5/2', '9/2', '6'] -> 5/2 * (6 + 9/2 * 4/7 * 7/5)
[182934] ['5/7', '5/4', '8/5', '9/5', '9'] -> 8/5 * (9 / (5/4 - 5/7) - 9/5)
[182935] ['7/9', '5/6', '4/3', '9/4', '5'] -> (7/9 + 5) / (5/6 - 4/3 / 9/4)
[182936] ['1/3', '3/7', '4/9', '4/5', '6'] -> (4/9 + 4/5) / (1/3 / (3/7 + 6))
[182937] ['2/5', '5/3', '5/3', '9/2', '6'] -> 5/3 * 9/2 * (6 / 5/3 - 2/5)
[182938] ['4/7', '6/7', '9/7', '8/5', '3'] -> (9/7 + 3) * 8/5 / (6/7 - 4/7)
[182939] ['1/3', '3/7', '4/9', '5/6', '6'] -> 6 / (5/6 - 4/9 / (1/3 + 3/7))
[182940] ['7/9', '5/6', '4/3', '5/2', '5'] -> (5/6 + 5/2 * 5) / (4/3 - 7/9)
[182941] ['3/7', '2/3', '5/6', '2', '8/3'] -> 8/3 / (5/6 * 2 - 2/3 / 3/7)
[182942] ['5/7', '5/4', '8/5', '7/3', '9'] -> 7/3 * (5/4 * 8/5 - (5/7 - 9))
[182943] ['4/7', '5/6', '5/6', '7/4', '8'] -> (4/7 + 8) / (5/6 - 5/6 / 7/4)
[182944] ['2/5', '5/3', '7/4', '9/4', '6'] -> 6 / (7/4 - 9/4 * 2/5 * 5/3)
[182945] ['2/3', '8/9', '9/7', '2', '9/4'] -> 2/3 / (8/9 * 2 - 9/4 / 9/7)
[182946] ['5/6', '8/9', '8/7', '4/3', '4'] -> 8/9 / (8/7 - 5/6 * 4/3) - 4
[182947] ['3/7', '2/3', '5/6', '2', '7/2'] -> (2/3 + 2) * (5/6 + 7/2 / 3/7)
[182948] ['5/7', '5/4', '8/5', '5/2', '9'] -> 9 / 5/2 / (5/4 / 5/7 - 8/5)
[182949] ['4/7', '5/6', '5/6', '9/5', '8'] -> (4/7 + 8) * (9/5 + 5/6 / 5/6)
[182950] ['2/5', '2/5', '6/5', '3/2', '7'] -> 6/5 * (3/2 + (2/5 + 7) / 2/5)
[182951] ['1/9', '3/8', '4/5', '7/3', '9'] -> 7/3 / (1/9 / 4/5 - 3/8 / 9)
[182952] ['2/3', '8/9', '9/7', '2', '5/2'] -> 8/9 / 2/3 / (2 - 5/2 / 9/7)
[182953] ['1/4', '8/9', '7/3', '9/2', '7'] -> ((7/3 + 7) / 8/9 - 9/2) / 1/4
[182954] ['7/9', '5/6', '7/5', '3/2', '5'] -> (3/2 + 5/6 + 7/5) / (7/9 / 5)
[182955] ['4/7', '6/7', '9/7', '7/3', '3'] -> 9/7 / (6/7 - 4/7) * (7/3 + 3)
[182956] ['3/7', '2/3', '6/7', '6/7', '2'] -> 2 / (2/3 - 3/7 / 6/7 / 6/7)
[182957] ['5/7', '5/4', '8/5', '7/2', '9'] -> 9 / (7/2 * (5/4 - 5/7 * 8/5))
[182958] ['1/9', '3/8', '4/5', '5/2', '9'] -> (5/2 / (1/9 / 4/5) - 9) / 3/8
[182959] ['4/7', '7/5', '9/2', '9/2', '6'] -> (9/2 / 7/5 + 9/2 + 6) / 4/7
[182960] ['4/7', '6/7', '9/7', '5/2', '3'] -> 3 / (9/7 / (4/7 * 6/7) - 5/2)
[182961] ['3/7', '2/3', '6/7', '7/8', '2'] -> 2 / (2/3 * 7/8 - 3/7 / 6/7)
[182962] ['4/7', '3/2', '3/2', '3/2', '6'] -> 6 / (3/2 / (4/7 * 3/2) - 3/2)
[182963] ['1/4', '8/9', '5/2', '7/2', '7'] -> 8/9 * (5/2 - 7/2 + 7 / 1/4)
[182964] ['1/8', '4/5', '8/9', '1', '4/3'] -> (1 + 4/3 / 4/5) / (1/8 * 8/9)
[182965] ['3/7', '2/3', '6/7', '8/9', '2'] -> (3/7 + 2/3 / 2) / (8/9 - 6/7)
[182966] ['2/5', '5/3', '9/4', '7/2', '6'] -> 6 / (2/5 - 9/4 + 7/2 / 5/3)
[182967] ['4/7', '6/7', '4/3', '4/3', '3'] -> 4/3 * 3 / (6/7 / 4/7 - 4/3)
[182968] ['7/9', '5/6', '7/5', '9/5', '5'] -> (7/5 + 9/5) / (7/9 / (5/6 + 5))
[182969] ['1/8', '4/5', '8/9', '1', '7/5'] -> (7/5 + 8/9 * (4/5 + 1)) / 1/8
[182970] ['2/5', '2/5', '5/4', '5/4', '7'] -> (5/4 * 7 - (2/5 - 5/4)) / 2/5
[182971] ['4/7', '3/2', '3/2', '5/3', '6'] -> 3/2 * (6 / (4/7 / 5/3) - 3/2)
[182972] ['1/3', '3/7', '4/9', '8/5', '6'] -> 8/5 * (1/3 / (4/9 - 3/7) - 6)
[182973] ['2/3', '8/9', '4/3', '3/2', '2'] -> 4/3 * 2 / (2/3 * 3/2 - 8/9)
[182974] ['5/7', '5/4', '5/3', '5/2', '9'] -> (5/3 + 9) * (5/2 / 5/7 - 5/4)
[182975] ['1/4', '8/9', '7/2', '7/2', '7'] -> 8/9 * (7 / 1/4 - 7/2 / 7/2)
[182976] ['4/7', '3/2', '3/2', '7/4', '6'] -> 6 * (4/7 * 7/4 + 3/2 + 3/2)
[182977] ['2/5', '5/3', '7/3', '9/2', '6'] -> 9/2 * 6 - (7/3 + 2/5 * 5/3)
[182978] ['1/8', '4/5', '8/9', '1', '3/2'] -> (1 / 8/9 + 3/2 / 4/5) / 1/8
[182979] ['3/7', '5/9', '1', '5/2', '7/2'] -> (5/2 + 7/2 / 3/7) / (1 - 5/9)
[182980] ['2/5', '2/5', '5/4', '4/3', '7'] -> 4/3 * (2/5 * 5/4 + 7 / 2/5)
[182981] ['5/7', '5/4', '5/3', '8/3', '9'] -> 9 / (5/4 - 5/3 / (5/7 * 8/3))
[182982] ['2/3', '8/9', '4/3', '9/5', '2'] -> 8/9 * 2 / (4/3 / 9/5 - 2/3)
[182983] ['3/7', '2/3', '6/7', '4/3', '2'] -> 6/7 * 2 / (2/3 / 4/3 - 3/7)
[182984] ['1/8', '4/5', '8/9', '1', '8/5'] -> 8/5 / (8/9 * (1 - (1/8 + 4/5)))
[182985] ['2/5', '2/5', '5/4', '7/5', '7'] -> 7 / (2/5 / 7/5) - 2/5 * 5/4
[182986] ['1/4', '9/8', '9/8', '8/7', '7'] -> 1/4 + 7 * (8/7 + 9/8 + 9/8)
[182987] ['4/7', '5/6', '6/7', '7/2', '8'] -> 4/7 / 6/7 + 8 * 5/6 * 7/2
[182988] ['1/3', '3/7', '4/9', '5/2', '6'] -> 6 / (3/7 * 4/9) - 5/2 / 1/3
[182989] ['4/7', '6/7', '4/3', '7/4', '3'] -> 3 / 7/4 / (6/7 / 4/3 - 4/7)
[182990] ['4/7', '3/2', '3/2', '8/3', '6'] -> 3/2 * 3/2 * (6 + 8/3 / 4/7)
[182991] ['1/9', '3/8', '5/6', '8/7', '9'] -> (1/9 + 5/6 / 3/8) * 8/7 * 9
[182992] ['3/7', '2/3', '6/7', '8/5', '2'] -> 2 / (3/7 / 6/7 - 2/3 / 8/5)
[182993] ['4/7', '5/6', '7/8', '7/8', '8'] -> 8 / 7/8 / (5/6 / 7/8 - 4/7)
[182994] ['2/3', '8/9', '7/5', '7/5', '2'] -> (2/3 + 2) / (7/5 / 7/5 - 8/9)
[182995] ['1/5', '1/5', '2/5', '1', '7/4'] -> (1/5 + 1) / (2/5 - 1/5 * 7/4)
[182996] ['7/9', '5/6', '3/2', '5/3', '5'] -> 3/2 / (5/6 - 7/9) - 5 / 5/3
[182997] ['4/7', '3/2', '8/5', '8/5', '6'] -> 6 / (8/5 / (4/7 * 8/5) - 3/2)
[182998] ['4/7', '5/6', '7/8', '8/9', '8'] -> 8 * 5/6 / 7/8 / (8/9 - 4/7)
[182999] ['3/7', '2/3', '6/7', '2', '9/4'] -> 6/7 / (3/7 * 2/3 + 2 - 9/4)
[183000] ['2/5', '2/5', '5/4', '9/4', '7'] -> 5/4 + 7 * (9/4 + 2/5 / 2/5)
[183001] ['4/7', '6/7', '4/3', '5/2', '3'] -> 4/7 / (6/7 - 4/3 - (5/2 - 3))
[183002] ['1/5', '1/5', '2/5', '1', '9/4'] -> (1/5 + 1) / (1/5 * 9/4 - 2/5)
[183003] ['5/7', '5/4', '7/4', '7/2', '9'] -> 7/2 * (9 - 5/7 * (5/4 + 7/4))
[183004] ['1/4', '9/8', '9/8', '7/5', '7'] -> (9/8 / 9/8 + 7 / 7/5) / 1/4
[183005] ['7/9', '5/6', '3/2', '9/5', '5'] -> 5 * (9/5 + (5/6 + 3/2) / 7/9)
[183006] ['2/3', '8/9', '7/5', '8/5', '2'] -> 2/3 / 2 / (8/9 - 7/5 / 8/5)
[183007] ['4/7', '3/2', '8/5', '5/3', '6'] -> 8/5 * 5/3 * (6 / 4/7 - 3/2)
[183008] ['1/3', '3/7', '1/2', '5/9', '6'] -> (6 / 3/7 - 1/3 / 1/2) / 5/9
[183009] ['1/8', '4/5', '8/9', '1', '7/3'] -> (1 + 7/3) / (8/9 * 1/8 / 4/5)
[183010] ['1/9', '3/8', '5/6', '9/7', '9'] -> (1/9 + 5/6 / 3/8) * (9/7 + 9)
[183011] ['4/7', '5/6', '7/8', '9/8', '8'] -> 8 / 4/7 / (5/6 + 7/8 - 9/8)
[183012] ['2/5', '2/5', '5/4', '7/3', '7'] -> 2/5 / (5/4 * 7/3 / 7 - 2/5)
[183013] ['5/6', '8/9', '7/6', '6/5', '4'] -> 7/6 * 4 / (8/9 - 5/6 / 6/5)
[183014] ['7/9', '5/6', '3/2', '5/2', '5'] -> 5 / (5/6 - 7/9) / (3/2 * 5/2)
[183015] ['1/3', '3/7', '1/2', '3/5', '6'] -> 1/3 / 1/2 + 6 / (3/7 * 3/5)
[183016] ['3/7', '2/3', '6/7', '2', '7/2'] -> 2/3 + (6/7 + 2) / (3/7 / 7/2)
[183017] ['2/3', '8/9', '7/5', '7/4', '2'] -> 2 / (8/9 / 2/3 - 7/4 / 7/5)
[183018] ['1/4', '9/8', '9/8', '7/4', '7'] -> 7 / 1/4 - (7/4 + 9/8 + 9/8)
[183019] ['2/5', '2/5', '5/4', '8/3', '7'] -> 8/3 * (2/5 + 5/4 * 7) - 2/5
[183020] ['5/6', '8/9', '7/6', '9/7', '4'] -> 4 / (7/6 / 9/7 - 5/6 * 8/9)
[183021] ['1/3', '3/7', '1/2', '5/8', '6'] -> 6 / (3/7 / 1/2) / (5/8 - 1/3)
[183022] ['1/5', '1/5', '3/7', '4/9', '1'] -> (1 / 3/7 - 1/5) / (1/5 * 4/9)
[183023] ['4/7', '6/7', '7/5', '3/2', '3'] -> 3 * (6/7 / (3/2 - 7/5) - 4/7)
[183024] ['2/5', '7/4', '9/5', '9/5', '6'] -> 9/5 * 6 / (9/5 + 2/5 - 7/4)
[183025] ['4/7', '5/6', '7/8', '5/4', '8'] -> 8 / (4/7 * 5/6) / (7/8 / 5/4)
[183026] ['7/9', '5/6', '8/5', '8/5', '5'] -> (8/5 + 8/5) / (7/9 / (5/6 + 5))
[183027] ['5/6', '8/9', '7/6', '7/5', '4'] -> 4 / (8/9 / 7/6 - 5/6 / 7/5)
[183028] ['1/9', '3/8', '5/6', '7/4', '9'] -> 1/9 + (7/4 + 9) / (3/8 / 5/6)
