[195031] ['3/4', '7/9', '8/7', '4/3', '8'] -> 8 / (3/4 * (4/3 - 7/9 * 8/7))
[198657] ['1/7', '1/5', '1', '9/8', '6/5'] -> 1 / (1/5 / (1/7 * 6/5) - 9/8)
[198658] ['2/5', '5/7', '7/9', '5/3', '7'] -> (7 - 5/3) / (7/9 * 2/5 * 5/7)
[198659] ['1/5', '2/5', '5/9', '3/5', '1'] -> (3/5 + 1 / (1/5 * 5/9)) / 2/5
[198660] ['3/4', '9/8', '4/3', '8/5', '8'] -> 4/3 * (3/4 + 9/8) * (8/5 + 8)
[198661] ['5/8', '5/8', '7/5', '3/2', '6'] -> 6 / (7/5 * (5/8 + 5/8) - 3/2)
[198662] ['3/7', '7/9', '9/8', '9/8', '6'] -> (9/8 + (9/8 + 6) / 7/9) / 3/7
[198663] ['1/5', '2/5', '5/9', '5/8', '1'] -> 1 / (1/5 + 2/5) / (5/8 - 5/9)
[198664] ['1/7', '1/5', '1', '9/8', '9/7'] -> 9/7 / (1/5 * (9/8 + 1/7 - 1))
[198665] ['1/3', '7/6', '9/7', '5/3', '6'] -> (5/3 / (9/7 - 7/6) - 6) / 1/3
[198666] ['7/9', '7/6', '5/4', '5/4', '9'] -> 7/6 / 7/9 + 9 * (5/4 + 5/4)
[198667] ['3/4', '9/8', '4/3', '9/5', '8'] -> 9/5 * (4/3 + 8 / (3/4 / 9/8))
[198668] ['5/7', '5/4', '4/3', '8/5', '2'] -> 2 / (5/4 - 4/3 / (5/7 * 8/5))
[198669] ['1/5', '2/5', '5/9', '2/3', '1'] -> (1 + 2/3 / 2/5) / (1/5 * 5/9)
[198670] ['1/7', '4/7', '3/2', '8/5', '7'] -> 7 / (4/7 / 3/2 - 1/7 / 8/5)
[198671] ['3/7', '7/9', '9/8', '8/7', '6'] -> (3/7 + 6) / (8/7 - 7/9 * 9/8)
[198672] ['5/8', '5/8', '7/5', '7/3', '6'] -> 6 / (5/8 - 5/8 * 7/5 / 7/3)
[198673] ['4/5', '9/7', '4/3', '7/3', '5'] -> 5 * (4/5 + 7/3 * 9/7 * 4/3)
[198674] ['4/5', '9/7', '4/3', '5/2', '5'] -> 9/7 * 5/2 * (4/5 + 4/3 * 5)
[198675] ['1/9', '2/3', '6/5', '7/5', '9'] -> 7/5 / (1/9 * 6/5) + 9 / 2/3
[198676] ['1/5', '2/5', '5/9', '3/4', '1'] -> 1 / (3/4 * (5/9 - 1/5 / 2/5))
[198677] ['1/6', '1/2', '3/4', '8/7', '2'] -> (2 + 3/4 / 1/2) / (1/6 / 8/7)
[198678] ['7/9', '7/6', '5/4', '7/5', '9'] -> 9 * 7/9 / 5/4 / (7/5 - 7/6)
[198679] ['5/8', '5/8', '7/5', '8/3', '6'] -> (5/8 + 5/8 * 7/5) * 8/3 * 6
[198680] ['3/4', '9/8', '7/5', '5/3', '8'] -> 8 * (3/4 / 9/8 + 7/5 * 5/3)
[198681] ['2/5', '5/7', '7/9', '7/3', '7'] -> (7 / 5/7 - 7/3) / (2/5 * 7/9)
[198682] ['3/7', '8/9', '1', '8/7', '5/3'] -> 1 / (5/3 - (8/7 + 3/7 / 8/9))
[198683] ['1/7', '4/7', '8/5', '8/5', '7'] -> (7 - 8/5 / 8/5) / (1/7 / 4/7)
[198684] ['1/6', '1/2', '3/4', '9/7', '2'] -> 2 / (1/6 + 1/2 - 3/4 / 9/7)
[198685] ['1/5', '2/5', '5/9', '7/9', '1'] -> 7/9 / (1/5 * (5/9 - 2/5)) - 1
[198686] ['3/7', '7/9', '9/8', '5/4', '6'] -> (5/4 + 9/8 * 6) / (3/7 * 7/9)
[198687] ['5/7', '5/4', '4/3', '9/5', '2'] -> 2 / 5/4 / (4/3 / 5/7 - 9/5)
[198688] ['7/9', '7/6', '5/4', '8/5', '9'] -> 9 * (7/9 / 7/6 + 5/4 * 8/5)
[198689] ['4/5', '9/7', '4/3', '9/2', '5'] -> (4/5 + 4/3 * 5) * (9/2 - 9/7)
[198690] ['5/8', '5/8', '3/2', '5/3', '6'] -> 3/2 * 6 * (5/3 + 5/8 / 5/8)
[198691] ['3/5', '8/9', '8/7', '7/6', '8'] -> 8/9 / (7/6 - 8/7) - 8 / 3/5
[198692] ['1/5', '2/5', '5/9', '5/6', '1'] -> (5/6 + 1 / (1/5 * 2/5)) / 5/9
[198693] ['1/3', '7/6', '7/5', '3/2', '6'] -> 6 * (3/2 + 7/6 / (1/3 * 7/5))
[198694] ['5/8', '5/8', '3/2', '9/5', '6'] -> 6 / (5/8 - 3/2 + 5/8 * 9/5)
[198695] ['3/7', '7/9', '9/8', '4/3', '6'] -> 7/9 * (3/7 + 6) / (4/3 - 9/8)
[198696] ['7/9', '7/6', '5/4', '9/5', '9'] -> 9 / (5/4 * (9/5 - 7/6 / 7/9))
[198697] ['3/5', '8/9', '8/7', '6/5', '8'] -> 8 / (6/5 * 8/9 / 8/7 - 3/5)
[198698] ['3/7', '8/9', '1', '8/7', '9/4'] -> 3/7 / (1 / 8/9 + 8/7 - 9/4)
[198699] ['1/3', '7/6', '7/5', '9/4', '6'] -> 6 / (7/6 / (1/3 * 7/5) - 9/4)
[198700] ['5/8', '5/8', '8/5', '9/5', '6'] -> 6 / (5/8 + 5/8) / (9/5 - 8/5)
[198701] ['1/9', '2/3', '5/4', '9/7', '9'] -> 2/3 / (1/9 * 9 - 5/4 / 9/7)
[198702] ['1/6', '1/2', '7/9', '9/8', '2'] -> (2 + 7/9 / 1/2) / (1/6 / 9/8)
[198703] ['5/7', '5/4', '4/3', '2', '7/2'] -> 2 / (5/4 + 4/3 - 5/7 * 7/2)
[198704] ['7/9', '7/6', '5/4', '5/2', '9'] -> 9 * (7/9 / 7/6 + 5/2 / 5/4)
[198705] ['3/7', '8/9', '1', '8/7', '5/2'] -> 8/7 / (1 - 5/2 * 3/7 * 8/9)
[198706] ['2/5', '5/7', '7/9', '9/2', '7'] -> 5/7 + 9/2 / 7/9 + 7 / 2/5
[198707] ['5/8', '5/8', '8/5', '9/4', '6'] -> 6 / (9/4 - 8/5 * (5/8 + 5/8))
[198708] ['1/7', '1/5', '1', '9/8', '7/3'] -> 9/8 * (1 / 1/5 + 7/3 / 1/7)
[198709] ['2/9', '5/8', '5/7', '6/7', '3'] -> 5/7 / 3 / (6/7 - (2/9 + 5/8))
[198710] ['1/3', '7/6', '7/5', '7/3', '6'] -> 7/3 / (1/3 * (7/5 - 7/6)) - 6
[198711] ['1/7', '4/7', '8/5', '7/3', '7'] -> (8/5 - 4/7) * (7 + 7/3 / 1/7)
[198712] ['5/7', '5/4', '4/3', '2', '9/2'] -> 4/3 * 9/2 / (2 - 5/4 / 5/7)
[198713] ['7/9', '7/6', '5/4', '9/2', '9'] -> 7/9 * 9 * (9/2 - 5/4 / 7/6)
[198714] ['2/5', '5/7', '4/5', '4/5', '7'] -> (4/5 + 5/7 * 4/5) / (2/5 / 7)
[198715] ['7/9', '7/6', '9/7', '9/7', '9'] -> 7/6 * 9 * (9/7 + 7/9 * 9/7)
[198716] ['3/4', '9/8', '7/5', '7/2', '8'] -> 8 * (9/8 + 7/2 * 3/4 / 7/5)
[198717] ['3/7', '8/9', '1', '8/7', '9/2'] -> (1 + 8/7 / 8/9) / (3/7 / 9/2)
[198718] ['1/6', '1/2', '7/9', '8/5', '2'] -> 1/6 * 2 / (1/2 - 7/9 / 8/5)
[198719] ['5/8', '5/8', '5/3', '9/5', '6'] -> 6 * (5/8 / 5/8 + 5/3 * 9/5)
[198720] ['2/5', '5/7', '4/5', '6/7', '7'] -> 7 * ((4/5 + 6/7) / 2/5 - 5/7)
[198721] ['4/5', '9/7', '7/5', '7/3', '5'] -> (7/5 + 5) * 7/3 / (4/5 / 9/7)
[198722] ['1/7', '4/7', '8/5', '9/2', '7'] -> (8/5 * (7 - 9/2) - 4/7) / 1/7
[198723] ['1/6', '1/2', '7/9', '5/3', '2'] -> (5/3 / (7/9 - 1/2) - 2) / 1/6
[198724] ['1/7', '4/7', '5/3', '5/3', '7'] -> (7 - 5/3 / 5/3) / (1/7 / 4/7)
[198725] ['4/5', '9/7', '7/5', '5/2', '5'] -> 5/2 * (4/5 + 7/5 * (9/7 + 5))
[198726] ['3/7', '7/9', '9/8', '9/4', '6'] -> (6 + 9/4 / 9/8) / (3/7 * 7/9)
[198727] ['7/9', '7/6', '9/7', '7/4', '9'] -> 9 / 7/4 / (7/6 / 7/9 - 9/7)
[198728] ['3/5', '8/9', '8/7', '7/4', '8'] -> (8 / 3/5 - 8/7) / (8/9 / 7/4)
[198729] ['3/7', '7/9', '9/8', '7/3', '6'] -> 6 / 9/8 / (3/7 * 7/3 - 7/9)
[198730] ['1/7', '1/5', '1', '8/7', '5/4'] -> 8/7 * 5/4 / (1/5 - 1/7) - 1
[198731] ['1/3', '7/6', '8/5', '5/2', '6'] -> 6 / (5/2 * (8/5 - (1/3 + 7/6)))
[198732] ['5/8', '5/8', '7/4', '7/4', '6'] -> 6 / (5/8 + 5/8 - 7/4 / 7/4)
[198733] ['2/5', '5/7', '4/5', '9/8', '7'] -> 7 * (2/5 + 5/7) / (9/8 - 4/5)
[198734] ['3/4', '9/8', '8/5', '7/3', '8'] -> 8/5 * 8 * (9/8 * 7/3 - 3/4)
[198735] ['4/5', '9/7', '7/5', '7/2', '5'] -> 7/2 * (4/5 / 7/5 + 9/7 + 5)
[198736] ['1/5', '2/5', '5/9', '1', '8/5'] -> 8/5 / (1/5 * 5/9) / (1 - 2/5)
[198737] ['5/8', '5/8', '7/4', '7/3', '6'] -> 6 / (5/8 / 5/8 - 7/4 / 7/3)
[198738] ['1/7', '1/5', '1', '8/7', '9/7'] -> (8/7 / 1/5 - (1 + 9/7)) / 1/7
[198739] ['3/4', '9/8', '8/5', '5/2', '8'] -> 5/2 / (3/4 / 9/8) * (8 - 8/5)
[198740] ['2/5', '5/7', '4/5', '8/7', '7'] -> 7 * (5/7 * 4/5 + 8/7 / 2/5)
[198741] ['7/9', '7/6', '9/7', '8/3', '9'] -> (9/7 + 9) * (7/6 * 8/3 - 7/9)
[198742] ['1/7', '4/7', '5/3', '7/2', '7'] -> (5/3 - 1/7) * (7/2 + 7 / 4/7)
[198743] ['1/5', '2/5', '5/9', '1', '5/3'] -> (1 + 5/3) / (5/9 * (2/5 - 1/5))
[198744] ['2/9', '5/8', '5/7', '9/7', '3'] -> 3 / (5/8 * 5/7 / 9/7 - 2/9)
[198745] ['1/9', '2/3', '9/7', '9/4', '9'] -> (1/9 + 9 / 9/7) / (2/3 / 9/4)
[198746] ['5/8', '5/8', '7/4', '8/3', '6'] -> 8/3 * (5/8 + 5/8 + 7/4 + 6)
[198747] ['3/5', '8/9', '8/7', '7/3', '8'] -> 8/9 + 7/3 * (8 + 8/7 / 3/5)
[198748] ['1/7', '1/5', '1', '8/7', '4/3'] -> 8/7 / (1 - 4/3 * 1/7 / 1/5)
[198749] ['1/3', '7/6', '5/3', '9/5', '6'] -> 5/3 * 9/5 + 6 / (1/3 / 7/6)
[198750] ['5/7', '5/4', '7/5', '2', '8/3'] -> 2 / (7/5 * (5/7 + 5/4) - 8/3)
[198751] ['3/4', '9/8', '8/5', '7/2', '8'] -> (9/8 + 3/4 * 7/2) * (8 - 8/5)
[198752] ['5/8', '5/8', '9/5', '9/5', '6'] -> 6 / (5/8 + 5/8 - 9/5 / 9/5)
[198753] ['1/9', '2/3', '9/7', '5/2', '9'] -> (9/7 + 9) * (5/2 - 1/9 / 2/3)
[198754] ['1/7', '4/7', '5/3', '9/2', '7'] -> 4/7 / (5/3 - 1/7 * (9/2 + 7))
[198755] ['1/7', '1/5', '1', '8/7', '7/5'] -> (1 + 8/7) / (1/7 / (1/5 + 7/5))
[198756] ['3/5', '8/9', '8/7', '5/2', '8'] -> 8/7 * 5/2 * (8 / 8/9 - 3/5)
[198757] ['1/5', '2/5', '5/9', '1', '9/5'] -> 5/9 / (2/5 / 9/5 - 1/5) - 1
[198758] ['2/9', '5/8', '5/7', '7/5', '3'] -> 5/7 * 7/5 / (2/9 * 3 - 5/8)
[198759] ['2/5', '5/7', '4/5', '5/4', '7'] -> (4/5 + 5/7 / 5/4) / (2/5 / 7)
[198760] ['1/7', '1/5', '1', '8/7', '3/2'] -> 8/7 / (1/7 / 1/5 - 1 / 3/2)
[198761] ['4/5', '9/7', '3/2', '5/3', '5'] -> 5 / (5/3 - 3/2 / (4/5 * 9/7))
[198762] ['5/8', '5/8', '9/5', '7/3', '6'] -> 9/5 * (7/3 / 5/8 + 6 / 5/8)
[198763] ['3/5', '8/9', '8/7', '8/3', '8'] -> 8 * (8/3 / (3/5 * 8/7) - 8/9)
[198764] ['3/7', '7/9', '8/7', '9/7', '6'] -> (9/7 + 6 / 7/9) / (3/7 / 8/7)
[198765] ['1/5', '2/5', '5/9', '1', '9/4'] -> 5/9 / (1/5 - 2/5 / 9/4) - 1
[198766] ['3/4', '9/8', '5/3', '7/3', '8'] -> (7/3 + 8 / 3/4) / (5/3 - 9/8)
[198767] ['1/7', '4/7', '7/4', '7/3', '7'] -> (7 + 4/7 * 7/4) / (1/7 * 7/3)
[198768] ['1/3', '7/6', '9/5', '7/3', '6'] -> 9/5 * 7/3 * (6 - 1/3 / 7/6)
[198769] ['5/8', '5/8', '9/5', '8/3', '6'] -> 9/5 * 8/3 * (6 - 5/8 / 5/8)
[198770] ['3/5', '8/9', '8/7', '7/2', '8'] -> (8 - 8/7 / 3/5) / (8/9 / 7/2)
[198771] ['7/9', '7/6', '4/3', '9/4', '9'] -> 9 / 9/4 / (7/6 / 7/9 - 4/3)
[198772] ['1/7', '4/7', '7/4', '8/3', '7'] -> 8/3 * (1/7 / 4/7 + 7/4 + 7)
[198773] ['3/4', '9/8', '7/4', '7/3', '8'] -> (3/4 + 8) / (7/3 - 9/8 * 7/4)
[198774] ['1/3', '7/6', '9/4', '9/4', '6'] -> (7/6 * 6 + 9/4 / 9/4) / 1/3
[198775] ['5/7', '5/4', '3/2', '7/4', '2'] -> 3/2 / 7/4 / (2 - (5/7 + 5/4))
[198776] ['3/5', '8/9', '8/7', '9/2', '8'] -> 8 / (8/7 - 8/9) - 9/2 / 3/5
[198777] ['1/6', '1/2', '4/5', '2', '9/4'] -> (1/2 + 2 * 9/4) / (1/6 / 4/5)
[198778] ['1/7', '1/5', '1', '8/7', '5/2'] -> (1/5 + 1) * 5/2 / (1/7 / 8/7)
[198779] ['5/8', '5/8', '9/4', '9/2', '6'] -> 9/2 + 6 * (9/4 + 5/8 / 5/8)
[198780] ['3/4', '9/8', '9/5', '7/3', '8'] -> 9/5 * 8 * (7/3 - 3/4 / 9/8)
[198781] ['3/7', '7/9', '8/7', '7/4', '6'] -> (6 + 8/7 * 7/4) / (3/7 * 7/9)
[198782] ['5/7', '5/4', '3/2', '9/5', '2'] -> 2 / (5/4 - 3/2 / (5/7 * 9/5))
[198783] ['7/9', '7/6', '7/5', '8/5', '9'] -> 7/9 * 9 / (7/6 - 7/5 / 8/5)
[198784] ['1/9', '2/3', '7/5', '7/4', '9'] -> 2/3 / (7/4 / (7/5 * 9) - 1/9)
[198785] ['1/7', '1/5', '1', '8/7', '8/3'] -> 8/7 / (1/7 * 1/5) / (8/3 - 1)
[198786] ['1/7', '4/7', '9/5', '9/4', '7'] -> (4/7 / 9/5 + 7 / 9/4) / 1/7
[198787] ['3/7', '8/9', '1', '7/6', '7/2'] -> (7/6 + 3/7 * 7/2) / (1 - 8/9)
[198788] ['5/8', '5/8', '7/3', '7/2', '6'] -> 6 / (7/2 / 7/3 - (5/8 + 5/8))
[198789] ['3/4', '9/8', '9/5', '7/2', '8'] -> 8 / (7/2 * 3/4 / 9/5 - 9/8)
[198790] ['2/5', '5/7', '4/5', '7/4', '7'] -> (7 - (5/7 + 4/5)) / (2/5 / 7/4)
[198791] ['7/9', '7/6', '7/5', '5/3', '9'] -> (7/9 + 7/5 * 5/3) / (7/6 / 9)
[198792] ['1/7', '1/5', '1', '8/7', '9/2'] -> (8/7 * 9/2 - 1/7) / 1/5 - 1
[198793] ['1/6', '1/2', '5/6', '8/7', '2'] -> 2 / ((5/6 - 1/6) / 8/7 - 1/2)
[198794] ['4/5', '9/7', '3/2', '7/2', '5'] -> 4/5 * 5 * (3/2 + 9/7 * 7/2)
[198795] ['1/9', '2/3', '7/5', '7/3', '9'] -> (1/9 + 7/3 / 7/5) / (2/3 / 9)
[198796] ['5/7', '5/4', '3/2', '2', '5/2'] -> 2 / (5/4 / 5/7 - 5/2 / 3/2)
[198797] ['3/7', '7/9', '8/7', '9/4', '6'] -> (8/7 * 9/4 + 6 / 7/9) / 3/7
[198798] ['3/7', '8/9', '1', '6/5', '6/5'] -> 6/5 / (3/7 * (1 - 8/9)) - 6/5
[198799] ['3/5', '8/9', '7/6', '7/5', '8'] -> 8 / (8/9 / 7/6 - 3/5 / 7/5)
[198800] ['3/4', '8/7', '8/7', '7/6', '8'] -> 8 / (7/6 * (8/7 - 3/4 * 8/7))
[198801] ['1/7', '1/5', '1', '7/6', '6/5'] -> (1 / (1/7 * 7/6) - 6/5) / 1/5
[198802] ['1/5', '2/5', '4/7', '3/4', '1'] -> (1/5 + 1) / (3/4 - 2/5 / 4/7)
[198803] ['5/8', '5/8', '8/3', '9/2', '6'] -> 9/2 * (6 / 5/8 - 8/3 / 5/8)
[198804] ['1/7', '4/7', '9/4', '9/4', '7'] -> (7 - 9/4 / 9/4) / (1/7 / 4/7)
[198805] ['1/9', '2/3', '7/5', '8/3', '9'] -> (2/3 + 7/5) * (8/3 + 9) - 1/9
[198806] ['3/5', '8/9', '7/6', '8/5', '8'] -> 8/5 * 8 / (3/5 / 7/6) - 8/9
[198807] ['3/4', '8/7', '8/7', '6/5', '8'] -> (8/7 + 8/7) * 6/5 * (3/4 + 8)
[198808] ['2/9', '5/8', '5/7', '3', '9/2'] -> 3 / (2/9 * 9/2 - 5/8 / 5/7)
[198809] ['2/5', '5/7', '4/5', '8/3', '7'] -> 8/3 * 7 * (4/5 / 2/5 - 5/7)
[198810] ['5/7', '5/4', '3/2', '2', '9/2'] -> (3/2 + 9/2) / (2 - 5/4 / 5/7)
[198811] ['3/7', '7/9', '8/7', '7/2', '6'] -> (3/7 + 6 / (7/9 / 7/2)) / 8/7
[198812] ['1/7', '4/7', '9/4', '5/2', '7'] -> 7 / (5/2 - 9/4) - 4/7 / 1/7
[198813] ['3/4', '8/7', '8/7', '7/5', '8'] -> (3/4 + 8) * (8/7 + 8/7 * 7/5)
[198814] ['5/7', '5/4', '8/5', '8/5', '2'] -> (8/5 + 2) / (5/4 / 5/7 - 8/5)
[198815] ['2/9', '5/8', '3/4', '4/5', '3'] -> (3 / 5/8 - 4/5) / (2/9 * 3/4)
[198816] ['1/5', '2/5', '4/7', '6/7', '1'] -> 6/7 / (1/5 * (4/7 - 2/5)) - 1
[198817] ['1/7', '1/5', '1', '7/6', '5/3'] -> 5/3 / (7/6 * (1/5 - 1/7)) - 1
[198818] ['1/7', '4/7', '9/4', '8/3', '7'] -> 8/3 * (9/4 + 7 - 1/7 / 4/7)
[198819] ['7/9', '7/6', '3/2', '3/2', '9'] -> 3/2 * (9 * (7/9 + 7/6) - 3/2)
[198820] ['3/5', '8/9', '7/6', '9/4', '8'] -> (8 / 3/5 - 8/9) / (7/6 / 9/4)
[198821] ['5/8', '2/3', '2/3', '8/7', '6'] -> 6 / (2/3 / 2/3 / 8/7 - 5/8)
[198822] ['3/7', '7/9', '7/6', '7/6', '6'] -> 6 / 3/7 / (7/6 * 7/6 - 7/9)
[198823] ['1/9', '2/3', '8/5', '9/5', '9'] -> 8/5 / 9/5 / (1/9 - 2/3 / 9)
[198824] ['2/9', '5/8', '3/4', '6/7', '3'] -> (3 / (2/9 * 6/7) - 3/4) / 5/8
[198825] ['2/5', '5/7', '5/6', '7/8', '7'] -> 7 / (5/7 * 7/8 - 2/5 * 5/6)
[198826] ['1/7', '4/7', '9/4', '9/2', '7'] -> 9/2 / (4/7 * 9/4) * (7 - 1/7)
[198827] ['5/8', '2/3', '2/3', '6/5', '6'] -> 6 / (2/3 / 2/3 - 5/8 * 6/5)
[198828] ['2/9', '5/8', '3/4', '7/8', '3'] -> 3/4 / (7/8 - (2/9 + 5/8)) - 3
[198829] ['3/7', '7/9', '7/6', '6/5', '6'] -> 6 / (7/9 / 7/6 - 3/7) - 6/5
[198830] ['1/3', '6/5', '9/7', '7/5', '6'] -> 6/5 / 7/5 + 6 / (1/3 / 9/7)
[198831] ['5/7', '5/4', '8/5', '9/5', '2'] -> 9/5 * 2 / (5/4 / 5/7 - 8/5)
[198832] ['1/5', '2/5', '4/7', '1', '9/8'] -> 1 / (1/5 / (4/7 - 2/5) - 9/8)
[198833] ['3/4', '8/7', '7/6', '7/6', '8'] -> 8 / (8/7 * (7/6 - 3/4 * 7/6))
[198834] ['7/9', '7/6', '8/5', '5/3', '9'] -> 9 / (5/3 / 8/5 - 7/9 / 7/6)
[198835] ['1/9', '2/3', '8/5', '7/2', '9'] -> 2/3 * 8/5 * (7/2 / 1/9 - 9)
[198836] ['3/7', '7/9', '7/6', '9/7', '6'] -> (9/7 + 6 / (7/9 / 7/6)) / 3/7
[198837] ['1/5', '2/5', '4/7', '1', '7/6'] -> 1 / (7/6 / 4/7 - 2/5 / 1/5)
[198838] ['4/5', '9/7', '8/5', '7/2', '5'] -> 8/5 / 4/5 + 7/2 * (9/7 + 5)
[198839] ['1/7', '4/7', '8/3', '8/3', '7'] -> (7 - 8/3 / 8/3) / (1/7 / 4/7)
[198840] ['2/5', '5/7', '5/6', '8/7', '7'] -> 7 / (5/7 / 8/7 - 2/5 * 5/6)
[198841] ['5/8', '2/3', '2/3', '7/5', '6'] -> 6 / (5/8 * (7/5 - 2/3 / 2/3))
[198842] ['1/6', '1/2', '6/7', '8/5', '2'] -> (2 / (6/7 - 1/2) - 8/5) / 1/6
[198843] ['1/5', '2/5', '4/7', '1', '5/4'] -> 5/4 / (2/5 - 1/5 / 4/7) - 1
[198844] ['3/4', '8/7', '7/6', '9/7', '8'] -> 8 / (9/7 / (3/4 * 8/7) - 7/6)
[198845] ['7/9', '7/6', '8/5', '9/4', '9'] -> 9 * (9/4 + 7/9 / 7/6 / 8/5)
[198846] ['3/7', '7/9', '7/6', '4/3', '6'] -> 6 / (3/7 * (7/6 - 7/9 / 4/3))
[198847] ['1/9', '2/3', '5/3', '7/4', '9'] -> (5/3 + 9) * 7/4 / (1/9 + 2/3)
[198848] ['4/5', '9/7', '8/5', '9/2', '5'] -> 5 * (9/2 / (9/7 / 8/5) - 4/5)
[198849] ['5/7', '5/4', '8/5', '2', '8/3'] -> 2 / (5/4 / 5/7 - 8/3 / 8/5)
[198850] ['2/9', '5/8', '3/4', '5/4', '3'] -> 5/4 / (5/8 * (3/4 - 2/9 * 3))
[198851] ['5/8', '2/3', '2/3', '7/4', '6'] -> 2/3 * (7/4 / (2/3 - 5/8) - 6)
[198852] ['1/3', '6/5', '9/7', '7/4', '6'] -> 7/4 * (6 / (1/3 * 6/5) - 9/7)
[198853] ['1/7', '1/5', '1', '7/6', '7/2'] -> (1/7 + 1 / 1/5) * (7/6 + 7/2)
[198854] ['1/9', '2/3', '5/3', '9/4', '9'] -> 2/3 * 9/4 * 9 * (1/9 + 5/3)
[198855] ['1/6', '1/2', '6/7', '9/5', '2'] -> 2 / (1/2 / 9/5 - 1/6 / 6/7)
[198856] ['1/7', '3/5', '3/5', '2/3', '7'] -> (3/5 + 1/7 * 7) / (2/3 - 3/5)
[198857] ['1/5', '2/5', '4/7', '1', '4/3'] -> 2/5 / (1/5 / 4/7 + 1 - 4/3)
[198858] ['5/8', '2/3', '2/3', '9/5', '6'] -> (6 / 2/3 - 2/3) / (5/8 / 9/5)
[198859] ['3/4', '8/7', '7/6', '5/3', '8'] -> (8 + 5/3 / 7/6) / (8/7 - 3/4)
[198860] ['1/7', '1/5', '1', '7/6', '9/2'] -> (1/5 + 1 / 1/7) * (9/2 - 7/6)
[198861] ['1/9', '2/3', '5/3', '7/2', '9'] -> 7/2 * (9 - 5/3 / (1/9 + 2/3))
[198862] ['7/9', '7/6', '8/5', '9/2', '9'] -> 8/5 * (7/6 / 7/9 + 9/2 + 9)
[198863] ['2/5', '5/7', '5/6', '4/3', '7'] -> 5/6 - 4/3 + 7 / (2/5 * 5/7)
[198864] ['1/3', '6/5', '9/7', '9/4', '6'] -> 6 / (9/7 / 9/4 - 1/3) - 6/5
[198865] ['3/7', '7/9', '7/6', '8/5', '6'] -> 8/5 * (6 / (7/6 - 7/9) - 3/7)
[198866] ['5/8', '2/3', '5/7', '3/4', '6'] -> 6 / (3/4 / 2/3 - 5/8 / 5/7)
[198867] ['2/5', '5/7', '5/6', '7/5', '7'] -> (7 + 5/7 * 7/5) / (2/5 * 5/6)
[198868] ['3/7', '8/9', '1', '6/5', '8/3'] -> 8/3 / (3/7 * (1 - 8/9 / 6/5))
[198869] ['1/7', '3/5', '3/5', '4/5', '7'] -> 4/5 * (3/5 + 7 / (1/7 / 3/5))
[198870] ['2/9', '5/8', '3/4', '8/5', '3'] -> (3 + 5/8 * 8/5) / (2/9 * 3/4)
[198871] ['1/9', '2/3', '7/4', '7/4', '9'] -> 9 + (2/3 + 7/4 / 7/4) / 1/9
[198872] ['3/5', '8/9', '6/5', '9/5', '8'] -> (3/5 + 8/9 * 6/5) * 9/5 * 8
[198873] ['1/5', '2/5', '4/7', '1', '8/5'] -> 8/5 / (1/5 / (1 - 4/7) - 2/5)
[198874] ['1/7', '3/5', '3/5', '5/6', '7'] -> 5/6 * (7 / (1/7 / 3/5) - 3/5)
[198875] ['5/7', '5/4', '5/3', '2', '7/3'] -> 2 / 7/3 / (5/4 / 5/3 - 5/7)
[198876] ['1/9', '2/3', '7/4', '9/5', '9'] -> 2/3 / (1/9 * 9 - 7/4 / 9/5)
[198877] ['3/7', '7/9', '7/6', '9/5', '6'] -> 9/5 * (6 / 3/7 - 7/9 / 7/6)
[198878] ['3/4', '8/7', '6/5', '4/3', '8'] -> (3/4 + 8) * (8/7 + 6/5 * 4/3)
[198879] ['1/5', '2/5', '4/7', '1', '5/3'] -> 2/5 / 1/5 / (1 / 4/7 - 5/3)
[198880] ['2/5', '5/7', '5/6', '8/5', '7'] -> 7 / (2/5 / 5/7) / (5/6 / 8/5)
[198881] ['4/5', '9/7', '5/3', '5/2', '5'] -> 9/7 * 5/2 * (5 + 4/5 + 5/3)
[198882] ['2/9', '5/8', '3/4', '9/5', '3'] -> 9/5 / 3/4 + 3 / (2/9 * 5/8)
[198883] ['1/7', '1/5', '1', '6/5', '4/3'] -> 6/5 / (1/5 / (1/7 * 4/3) - 1)
[198884] ['1/6', '1/2', '7/8', '9/7', '2'] -> (2 + 9/7 / 1/2) / (1/6 / 7/8)
[198885] ['3/7', '7/9', '7/6', '8/3', '6'] -> (7/6 + 3/7 * 7/9) * 8/3 * 6
[198886] ['4/5', '9/7', '5/3', '8/3', '5'] -> 8/3 * 9/7 * 5/3 * (5 - 4/5)
[198887] ['1/6', '1/2', '7/8', '7/5', '2'] -> (1/2 + 2) * 7/5 / (1/6 * 7/8)
[198888] ['1/7', '1/5', '1', '6/5', '7/5'] -> (1 / 1/5 - 7/5) / 1/7 - 6/5
[198889] ['3/5', '8/9', '5/4', '5/4', '8'] -> (5/4 + 5/4) * (3/5 + 8 / 8/9)
[198890] ['3/7', '8/9', '1', '5/4', '9/7'] -> 9/7 / (3/7 * (5/4 - 1 / 8/9))
[198891] ['1/3', '6/5', '4/3', '7/4', '6'] -> 6 / (6/5 * (1/3 + 4/3) - 7/4)
[198892] ['4/5', '9/7', '5/3', '9/2', '5'] -> (9/2 - 9/7) * (5 + 4/5 + 5/3)
