[106381] ['2/9', '9/8', '7/4', '7/2', '4'] -> (4 + 7/2 / 7/4) / (2/9 * 9/8)
[110919] ['1/8', '1/2', '6/7', '6/5', '6'] -> 6 / 6/7 / (1/2 / 6/5 - 1/8)
[110920] ['1/4', '1/4', '3/4', '7/9', '4'] -> 4 / 3/4 / (1/4 / 1/4 - 7/9)
[110921] ['2/3', '3/4', '4/5', '4/3', '3'] -> 3 / (3/4 - 2/3 / 4/5 / 4/3)
[110922] ['4/7', '7/3', '7/3', '8/3', '5'] -> 8/3 * (7/3 + 5 * 4/7 * 7/3)
[110923] ['1/4', '1/4', '3/4', '8/9', '4'] -> 4 / (3/4 * 8/9 - (1/4 + 1/4))
[110924] ['3/5', '7/8', '8/9', '5/4', '4'] -> 4 / (7/8 / 5/4 - 3/5 * 8/9)
[110925] ['2/3', '3/4', '4/5', '3/2', '3'] -> 3 / 3/2 / (2/3 / 4/5 - 3/4)
[110926] ['1/7', '2/9', '1/4', '9/4', '3'] -> (1/4 + 9/4 / 1/7) / (2/9 * 3)
[110927] ['2/7', '4/7', '6/5', '9/4', '7'] -> (7 - 4/7 * 9/4) / (2/7 / 6/5)
[110928] ['1/5', '3/4', '9/8', '7/2', '9'] -> 7/2 * 9 - 9/8 / (1/5 * 3/4)
[110929] ['1/4', '1/4', '3/4', '8/7', '4'] -> (4 / 1/4 - 1/4) / (3/4 / 8/7)
[110930] ['2/9', '3/7', '9/8', '4/3', '8'] -> 4/3 / (2/9 * 9/8) + 8 / 3/7
[110931] ['3/8', '3/7', '5/8', '7/4', '2'] -> 2 / (3/8 - 7/4 + 5/8 / 3/7)
[110932] ['5/9', '7/9', '8/7', '3/2', '9'] -> 9 * (3/2 + (5/9 + 7/9) / 8/7)
[110933] ['3/5', '7/8', '8/9', '4/3', '4'] -> 4 / 3/5 / (7/8 * 4/3 - 8/9)
[110934] ['2/3', '3/4', '4/5', '5/2', '3'] -> (4/5 + 3 / 5/2) / (3/4 - 2/3)
[110935] ['2/9', '3/7', '9/8', '7/5', '8'] -> (8 / 7/5 - 3/7 / 9/8) / 2/9
[110936] ['1/7', '1/6', '2/9', '7/5', '4'] -> 7/5 * (4 / 2/9 - 1/7 / 1/6)
[110937] ['5/9', '7/9', '8/7', '8/5', '9'] -> 9 / (8/5 - 7/9 / (5/9 * 8/7))
[110938] ['1/5', '9/8', '7/4', '9/4', '7'] -> (7 + (7/4 + 9/4) / 1/5) / 9/8
[110939] ['1/4', '1/4', '3/4', '8/5', '4'] -> 8/5 * (4 / 1/4 - (1/4 + 3/4))
[110940] ['1/8', '1/2', '6/7', '8/3', '6'] -> 6 / (1/2 / 6/7 - 1/8 * 8/3)
[110941] ['4/7', '7/3', '5/2', '9/2', '5'] -> 9/2 * (4/7 + 5) - 5/2 / 7/3
[110942] ['3/8', '3/7', '5/8', '2', '9/4'] -> 2 / ((3/8 + 5/8) / 3/7 - 9/4)
[110943] ['5/9', '7/9', '8/7', '5/3', '9'] -> 8/7 * 5/3 * 9 / (5/9 / 7/9)
[110944] ['1/7', '1/6', '2/9', '3/2', '4'] -> ((3/2 - 1/6) / 1/7 - 4) / 2/9
[110945] ['4/9', '4/7', '8/5', '9/5', '3'] -> 8/5 / 4/9 / (9/5 / 4/7 - 3)
[110946] ['1/5', '9/8', '7/4', '5/2', '7'] -> (7 - (7/4 + 9/8 / 5/2)) / 1/5
[110947] ['5/9', '7/9', '8/7', '7/4', '9'] -> 8/7 * 7/4 * 9 * (5/9 + 7/9)
[110948] ['4/7', '7/3', '8/3', '9/2', '5'] -> 8/3 * (9/2 + 5) - 4/7 * 7/3
[110949] ['2/7', '4/7', '5/4', '9/7', '7'] -> 9/7 / (5/4 / (2/7 * 7) - 4/7)
[110950] ['1/7', '2/9', '2/7', '2/5', '3'] -> (3 / 2/5 - 1/7 / 2/9) / 2/7
[110951] ['3/8', '3/7', '5/8', '2', '7/3'] -> 2 / (7/3 * (5/8 - 3/7) - 3/8)
[110952] ['3/8', '3/8', '3/7', '1', '5/3'] -> (3/8 + 1) / (3/7 - 3/8) - 5/3
[110953] ['1/8', '1/7', '8/9', '9/7', '7'] -> (7 - 9/7) / (8/9 * (1/8 + 1/7))
[110954] ['1/7', '1/6', '2/9', '5/3', '4'] -> 5/3 / (1/6 / (1/7 * 4) - 2/9)
[110955] ['2/9', '3/7', '9/8', '7/4', '8'] -> 8 / (2/9 / 3/7) / (9/8 / 7/4)
[110956] ['1/5', '3/4', '8/7', '9/7', '9'] -> 9 / (1/5 * (3/4 + 9/7 / 8/7))
[110957] ['1/7', '1/6', '2/9', '7/4', '4'] -> 1/6 * 4 / (1/7 * 7/4 - 2/9)
[110958] ['1/8', '1/2', '7/8', '9/5', '6'] -> 6 / (9/5 * (1/8 + 1/2) - 7/8)
[110959] ['4/9', '4/7', '8/5', '5/2', '3'] -> 5/2 * (8/5 / (4/7 - 4/9) - 3)
[110960] ['2/7', '4/7', '5/4', '8/5', '7'] -> (7 * 5/4 * 8/5 - 2/7) / 4/7
[110961] ['1/7', '2/9', '2/7', '3/5', '3'] -> ((2/7 + 3) / 3/5 - 1/7) / 2/9
[110962] ['1/5', '9/8', '9/5', '8/3', '7'] -> 9/5 + 8/3 * (7 + 1/5 + 9/8)
[110963] ['5/9', '7/9', '8/7', '7/2', '9'] -> 9 * (8/7 * 7/2 - (5/9 + 7/9))
[110964] ['1/4', '1/4', '7/9', '9/8', '4'] -> 7/9 / (1/4 - 1/4 / 9/8) - 4
[110965] ['1/7', '2/9', '2/7', '5/8', '3'] -> 2/7 / 3 / (1/7 - 2/9 * 5/8)
[110966] ['1/5', '9/8', '9/5', '7/2', '7'] -> (9/5 + 7/2 * (1/5 + 7)) / 9/8
[110967] ['3/8', '3/8', '3/7', '1', '5/2'] -> (1 / 3/7 + 5/2 / 3/8) / 3/8
[110968] ['4/9', '4/7', '8/5', '3', '7/2'] -> 8/5 * 7/2 * (3 + 4/7 / 4/9)
[110969] ['2/7', '4/7', '5/4', '9/4', '7'] -> 7 * (5/4 + 9/4) - 2/7 / 4/7
[110970] ['2/3', '3/4', '6/7', '4/3', '3'] -> 3 / (4/3 / (2/3 + 6/7) - 3/4)
[110971] ['1/8', '1/7', '8/9', '5/3', '7'] -> (5/3 + 1/7 * 7) / (1/8 * 8/9)
[110972] ['1/4', '1/4', '7/9', '7/6', '4'] -> 4 / (7/9 / 7/6 - (1/4 + 1/4))
[110973] ['1/7', '2/9', '2/7', '7/9', '3'] -> 2/9 + 7/9 + (2/7 + 3) / 1/7
[110974] ['3/8', '3/7', '2/3', '7/8', '2'] -> 2 / (3/8 - 2/3 + 3/7 * 7/8)
[110975] ['1/5', '9/8', '9/4', '9/4', '7'] -> (9/4 / 1/5 + 9/4 * 7) / 9/8
[110976] ['3/8', '3/8', '3/7', '1', '7/2'] -> 3/7 / ((3/8 + 1) / 7/2 - 3/8)
[110977] ['4/7', '5/2', '8/3', '7/2', '5'] -> 8/3 * 7/2 * (4/7 + 5 / 5/2)
[110978] ['2/7', '4/7', '9/7', '9/7', '7'] -> 7 * (2/7 + 4/7 + 9/7 + 9/7)
[110979] ['1/5', '9/8', '9/4', '7/3', '7'] -> (7 - 7/3) / (1/5 / 9/8) - 9/4
[110980] ['1/7', '2/9', '2/7', '4/5', '3'] -> (3 + 2/7 / 2/9) / (1/7 / 4/5)
[110981] ['2/3', '3/4', '6/7', '8/5', '3'] -> 8/5 * (3 / (6/7 - 2/3) - 3/4)
[110982] ['4/7', '5/2', '8/3', '9/2', '5'] -> 8/3 * (5 + 4/7 * (5/2 + 9/2))
[110983] ['2/7', '4/7', '9/7', '7/5', '7'] -> (4/7 + 9/7 + 7 / 7/5) / 2/7
[110984] ['1/5', '3/4', '8/7', '9/4', '9'] -> 8/7 * (3/4 + 9 + 9/4 / 1/5)
[110985] ['3/8', '3/8', '4/9', '4/9', '1'] -> 1 / (3/8 - 3/8 * (4/9 + 4/9))
[110986] ['1/8', '1/7', '8/9', '9/4', '7'] -> (1/7 * 7 + 8/9 * 9/4) / 1/8
[110987] ['2/7', '4/7', '9/7', '3/2', '7'] -> 4/7 * 7 * (3/2 + 9/7 / 2/7)
[110988] ['1/7', '2/9', '2/7', '7/8', '3'] -> (1/7 + 3) / (2/9 * (7/8 - 2/7))
[110989] ['1/5', '9/8', '9/4', '7/2', '7'] -> 7/2 / 1/5 + 7 - 9/8 / 9/4
[110990] ['3/8', '3/7', '2/3', '7/5', '2'] -> (3/7 + 2) / (2/3 / 7/5 - 3/8)
[110991] ['1/8', '1/2', '8/9', '7/3', '6'] -> 1/2 * 6 + 7/3 / (1/8 * 8/9)
[110992] ['1/4', '1/4', '7/9', '3/2', '4'] -> 4 / (7/9 * 3/2 - 1/4 / 1/4)
[110993] ['2/7', '4/7', '9/7', '7/4', '7'] -> 7/4 - 9/7 / 4/7 + 7 / 2/7
[110994] ['1/8', '1/7', '8/9', '7/2', '7'] -> 8/9 * (7/2 / 1/8 - 1/7 * 7)
[110995] ['2/3', '3/4', '6/7', '8/3', '3'] -> 3 / (6/7 - 3/4) - 8/3 / 2/3
[110996] ['3/5', '7/8', '9/8', '7/6', '4'] -> 4 / (7/8 + 7/6 - 9/8 / 3/5)
[110997] ['1/7', '2/9', '2/7', '5/4', '3'] -> (3 + 2/7 / 2/9) / (1/7 * 5/4)
[110998] ['1/5', '3/4', '8/7', '7/2', '9'] -> 9 + 8/7 * 7/2 / (1/5 / 3/4)
[110999] ['3/8', '3/8', '4/9', '3/4', '1'] -> 1 / (4/9 * (3/8 - 3/8 * 3/4))
[111000] ['4/9', '4/7', '5/3', '5/2', '3'] -> (5/2 + (5/3 + 3) / 4/7) / 4/9
[111001] ['3/8', '3/7', '2/3', '7/4', '2'] -> 2/3 + (7/4 + 2) / (3/8 * 3/7)
[111002] ['4/7', '8/3', '7/2', '7/2', '5'] -> 8/3 * (5 + 4/7 * (7/2 + 7/2))
[111003] ['2/3', '3/4', '6/7', '3', '7/2'] -> 7/2 * (6/7 + 3 / (2/3 * 3/4))
[111004] ['2/7', '4/7', '9/7', '9/5', '7'] -> (4/7 + 7 - 9/7 / 9/5) / 2/7
[111005] ['1/5', '3/4', '8/7', '9/2', '9'] -> 8/7 * (9/2 / (1/5 * 3/4) - 9)
[111006] ['5/9', '7/9', '7/6', '9/4', '9'] -> 9 / 9/4 / (5/9 + 7/9 - 7/6)
[111007] ['1/8', '1/7', '8/9', '9/2', '7'] -> (8/9 * 9/2 - 1/7 * 7) / 1/8
[111008] ['1/4', '1/4', '7/9', '7/4', '4'] -> (7/4 / 7/9 - (1/4 - 4)) / 1/4
[111009] ['3/5', '7/8', '9/8', '5/4', '4'] -> 4 / (7/8 / 5/4 - 3/5 / 9/8)
[111010] ['1/8', '1/2', '9/8', '7/5', '6'] -> 6 / (9/8 - 7/5 * (1/8 + 1/2))
[111011] ['4/9', '4/7', '5/3', '8/3', '3'] -> 8/3 * (5/3 / 4/9 + 3 / 4/7)
[111012] ['3/8', '3/8', '4/9', '4/5', '1'] -> 1 / 4/9 / (3/8 / 4/5 - 3/8)
[111013] ['1/7', '2/9', '2/7', '7/5', '3'] -> (2/7 / 2/9 + 3 / 7/5) / 1/7
[111014] ['1/8', '1/7', '9/8', '7/6', '7'] -> 7 / (7/6 * (9/8 - 1/8 / 1/7))
[111015] ['1/7', '1/6', '1/4', '6/5', '4'] -> 1/6 / 1/4 + 4 / (1/7 * 6/5)
[111016] ['4/9', '4/7', '5/3', '3', '9/2'] -> 4/9 * 9/2 / (3 - 5/3 / 4/7)
[111017] ['1/8', '1/2', '8/7', '7/6', '6'] -> 6 / (1/2 / 8/7 / 7/6 - 1/8)
[111018] ['2/3', '3/4', '7/8', '7/5', '3'] -> 3 / (7/8 / 7/5 - 2/3 * 3/4)
[111019] ['1/5', '3/4', '7/6', '9/7', '9'] -> (9 + 9/7 / 1/5) / (3/4 / 7/6)
[111020] ['3/8', '3/8', '4/9', '6/7', '1'] -> 3/8 / (1 - 3/8 / 4/9 / 6/7)
[111021] ['2/9', '3/7', '8/7', '7/4', '8'] -> 8/7 * (3/7 + 8 / (2/9 * 7/4))
[111022] ['1/4', '1/4', '7/9', '7/2', '4'] -> 7/2 / (7/9 * (1/4 - 1/4 / 4))
[111023] ['1/5', '3/4', '7/6', '4/3', '9'] -> 9 / (1/5 * 3/4) / (7/6 + 4/3)
[111024] ['1/7', '2/9', '2/7', '8/5', '3'] -> 2/7 / 3 / (1/7 - 2/9 / 8/5)
[111025] ['1/5', '9/8', '5/2', '7/2', '7'] -> (5/2 + 7 + 7/2 / 1/5) / 9/8
[111026] ['3/8', '3/7', '2/3', '2', '7/2'] -> (2 / 2/3 - 3/7) / (3/8 / 7/2)
[111027] ['5/9', '7/9', '6/5', '4/3', '9'] -> (9 + 7/9 + 4/3) / (5/9 / 6/5)
[111028] ['3/8', '3/8', '4/9', '8/9', '1'] -> 1 / (3/8 * (4/9 - 3/8 * 8/9))
[111029] ['1/8', '1/7', '9/8', '4/3', '7'] -> 1/7 / (1/8 * 4/3 - 9/8 / 7)
[111030] ['2/7', '4/7', '4/3', '3/2', '7'] -> (7 * 4/3 * 3/2 - 2/7) / 4/7
[111031] ['3/5', '7/8', '9/8', '7/4', '4'] -> 4 / ((7/4 - 9/8) / 3/5 - 7/8)
[111032] ['5/9', '7/9', '6/5', '7/5', '9'] -> 9 * (7/5 + 7/9 / 5/9) - 6/5
[111033] ['3/8', '3/7', '5/7', '5/7', '2'] -> 3/7 / (3/8 - 5/7 + 5/7 / 2)
[111034] ['3/8', '3/8', '4/9', '1', '7/6'] -> 3/8 / (1 - 7/6 * 3/8 / 4/9)
[111035] ['1/7', '2/9', '2/7', '9/4', '3'] -> (2/9 + 2/7) * 3 / (1/7 / 9/4)
[111036] ['1/8', '1/2', '8/7', '8/5', '6'] -> 8/7 + 6 / (1/8 * (1/2 + 8/5))
[111037] ['1/5', '3/4', '7/6', '3/2', '9'] -> (7/6 * 9 + 3/2 / 1/5) / 3/4
[111038] ['1/8', '1/7', '9/8', '7/5', '7'] -> 7/5 * (7 + (1/7 + 9/8) / 1/8)
[111039] ['2/7', '4/7', '4/3', '8/5', '7'] -> (4/7 + 4/3) * (7 + 8/5 / 2/7)
[111040] ['3/5', '3/5', '3/5', '3/4', '5'] -> (3/5 + 3/5 * 5) / (3/4 - 3/5)
[111041] ['4/9', '4/7', '7/4', '7/3', '3'] -> (7/3 + 3) / (7/4 * (4/7 - 4/9))
[111042] ['1/5', '9/8', '8/3', '9/2', '7'] -> 7 / 8/3 - (9/8 - 9/2 / 1/5)
[111043] ['2/3', '3/4', '7/8', '5/2', '3'] -> 3 * (7/8 / (3/4 - 2/3) - 5/2)
[111044] ['3/8', '3/7', '5/7', '4/5', '2'] -> 3/7 / 5/7 / (4/5 / 2 - 3/8)
[111045] ['1/7', '2/9', '2/7', '5/2', '3'] -> (5/2 * 3 - 1/7 / 2/9) / 2/7
[111046] ['3/8', '3/8', '4/9', '1', '5/4'] -> 1 / 4/9 / (3/8 * 5/4 - 3/8)
[111047] ['2/7', '4/7', '4/3', '5/3', '7'] -> 4/7 / (5/3 / 7 - 2/7 / 4/3)
[111048] ['1/7', '1/6', '1/4', '9/4', '4'] -> (1/4 + 9/4 / 1/7) / (1/6 * 4)
[111049] ['1/8', '1/7', '9/8', '8/5', '7'] -> 8/5 * (1/8 + 7 + 9/8 / 1/7)
[111050] ['5/9', '7/9', '6/5', '9/5', '9'] -> (9/5 + 7/9 / 5/9) / (6/5 / 9)
[111051] ['3/5', '3/5', '3/5', '4/5', '5'] -> 5 / (4/5 - 3/5) - 3/5 / 3/5
[111052] ['1/5', '3/4', '7/6', '5/3', '9'] -> 9 / 3/4 / (7/6 / 5/3 - 1/5)
[111053] ['1/4', '1/4', '4/5', '8/7', '4'] -> (1/4 + 4 / 4/5) / (1/4 / 8/7)
[111054] ['1/7', '1/6', '1/4', '7/3', '4'] -> (4 + 7/3 * 1/7 / 1/6) / 1/4
[111055] ['3/5', '7/8', '9/8', '7/3', '4'] -> 4 / (7/8 * 7/3 - 9/8 / 3/5)
[111056] ['1/5', '9/8', '7/2', '9/2', '7'] -> (7 / 1/5 - (7/2 + 9/2)) / 9/8
[111057] ['2/9', '3/7', '7/6', '7/5', '8'] -> 8 / (7/5 * (3/7 - 2/9 / 7/6))
[111058] ['3/5', '7/8', '9/8', '5/2', '4'] -> 4 * 3/5 * 5/2 / (9/8 - 7/8)
[111059] ['5/9', '7/9', '6/5', '7/3', '9'] -> (7/3 - 7/9) / (5/9 / 9) - 6/5
[111060] ['1/7', '2/9', '1/3', '3/8', '3'] -> 1/3 / 1/7 / (2/9 - 3/8 / 3)
[111061] ['2/3', '3/4', '8/9', '5/4', '3'] -> (5/4 + 3) / (3/4 / 8/9 - 2/3)
[111062] ['3/8', '3/8', '4/9', '1', '8/5'] -> 1 / (3/8 * 8/5) / (4/9 - 3/8)
[111063] ['3/8', '3/7', '5/7', '9/8', '2'] -> 3/7 * 2 / (9/8 - (3/8 + 5/7))
[111064] ['4/9', '4/7', '7/4', '3', '9/2'] -> 7/4 * 3 * 9/2 * (4/9 + 4/7)
[111065] ['3/5', '3/5', '3/5', '7/8', '5'] -> 3/5 * 5 / (3/5 / 3/5 - 7/8)
[111066] ['1/5', '8/7', '8/7', '8/7', '7'] -> 7 * (8/7 / 1/5 - (8/7 + 8/7))
[111067] ['2/7', '4/7', '4/3', '7/3', '7'] -> 7/3 * (4/7 + 4/3 * (2/7 + 7))
[111068] ['1/5', '3/4', '7/6', '7/3', '9'] -> (3/4 + 7/6 * 9) * (7/3 - 1/5)
[111069] ['5/9', '7/9', '6/5', '5/2', '9'] -> 6/5 * (5/2 * (9 - 7/9) - 5/9)
[111070] ['3/8', '3/7', '5/7', '7/6', '2'] -> 5/7 / (2 - (7/6 + 3/8 + 3/7))
[111071] ['1/4', '1/4', '4/5', '4/3', '4'] -> 4 / (4/3 * 1/4 / 4/5 - 1/4)
[111072] ['3/5', '7/8', '9/8', '7/2', '4'] -> 4 / (7/2 - (7/8 + 9/8) / 3/5)
[111073] ['3/5', '3/5', '3/5', '9/8', '5'] -> 3/5 * 5 / (9/8 - 3/5 / 3/5)
[111074] ['1/8', '1/7', '8/7', '6/5', '7'] -> (7 - 8/7) / (1/8 + 1/7 / 6/5)
[111075] ['1/8', '1/2', '7/6', '7/5', '6'] -> 6 / (1/2 / 7/5 - 1/8 / 7/6)
[111076] ['5/9', '7/9', '6/5', '8/3', '9'] -> 9 / (5/9 * 6/5 - 7/9 / 8/3)
[111077] ['3/8', '3/8', '4/9', '1', '9/5'] -> 1 / (3/8 / 9/5 - 3/8 * 4/9)
[111078] ['1/5', '8/7', '8/7', '6/5', '7'] -> (7 - (6/5 + 8/7 / 8/7)) / 1/5
[111079] ['2/3', '3/4', '8/9', '3/2', '3'] -> 3 / (3/4 * (3/2 - 8/9 / 2/3))
[111080] ['1/4', '1/4', '4/5', '3/2', '4'] -> (3/2 - 1/4) / (1/4 / (4/5 + 4))
[111081] ['1/8', '1/2', '7/6', '8/5', '6'] -> 1/2 / (1/8 * 6 - 7/6 / 8/5)
[111082] ['1/8', '1/7', '8/7', '9/7', '7'] -> (8/7 / 1/8 + 9/7 - 7) / 1/7
[111083] ['1/5', '3/4', '7/6', '9/2', '9'] -> 9 / (1/5 * 9/2) / (7/6 - 3/4)
[111084] ['2/3', '3/4', '8/9', '5/3', '3'] -> 3 * 2/3 * 5/3 / (8/9 - 3/4)
[111085] ['1/5', '8/7', '8/7', '7/5', '7'] -> 7 / (1/5 * 7/5) - 8/7 / 8/7
[111086] ['1/7', '2/9', '1/3', '5/8', '3'] -> 3 / 1/7 / (1/3 / 2/9 - 5/8)
[111087] ['2/9', '3/7', '7/6', '9/4', '8'] -> 8 / 2/9 / (9/4 / 7/6 - 3/7)
[111088] ['1/5', '8/7', '8/7', '3/2', '7'] -> (8/7 / 8/7 + 7 / 1/5) / 3/2
[111089] ['1/8', '1/2', '7/6', '9/5', '6'] -> (6 - 9/5 * (1/2 + 7/6)) / 1/8
[111090] ['1/4', '1/4', '4/5', '7/4', '4'] -> 7/4 / (1/4 / 4/5 - 1/4) - 4
[111091] ['2/3', '3/4', '8/9', '9/5', '3'] -> 2/3 / (3 / 9/5 - (3/4 + 8/9))
[111092] ['1/7', '2/9', '1/3', '3/4', '3'] -> (1/3 + 3) / (1/7 * (2/9 + 3/4))
[111093] ['1/4', '1/4', '4/5', '9/4', '4'] -> (4 + 4/5 * (1/4 + 9/4)) / 1/4
[111094] ['1/8', '1/7', '8/7', '5/3', '7'] -> 8/7 / 1/8 / (1/7 + 5/3 / 7)
[111095] ['2/7', '4/7', '7/5', '5/3', '7'] -> (5/3 * (7/5 + 7) - 2/7) / 4/7
[111096] ['2/3', '3/4', '8/9', '7/3', '3'] -> 3 / ((3/4 + 8/9) / 2/3 - 7/3)
[111097] ['3/8', '3/7', '5/7', '5/3', '2'] -> 5/7 / (5/3 / 2 - (3/8 + 3/7))
[111098] ['5/9', '7/9', '5/4', '5/3', '9'] -> 9 * (5/9 + 7/9 + 5/3 / 5/4)
[111099] ['3/8', '3/7', '5/7', '7/4', '2'] -> 3/7 / (3/8 * 5/7 + 7/4 - 2)
[111100] ['1/4', '1/4', '4/5', '8/3', '4'] -> 4 / 8/3 / (1/4 / 4/5 - 1/4)
[111101] ['2/9', '3/7', '6/5', '6/5', '8'] -> 8 / 3/7 / (6/5 / 6/5 - 2/9)
[111102] ['1/5', '8/7', '8/7', '7/3', '7'] -> (1/5 + 7) * (7/3 + 8/7 / 8/7)
[111103] ['3/8', '3/8', '1/2', '2/3', '1'] -> 1 / 1/2 / (3/8 + 3/8 - 2/3)
[111104] ['3/8', '3/7', '5/7', '9/5', '2'] -> 9/5 / (3/8 - 3/7 / 5/7 / 2)
[111105] ['4/9', '4/7', '9/4', '7/3', '3'] -> 7/3 * (9/4 + (4/7 + 3) / 4/9)
[111106] ['5/9', '7/9', '5/4', '9/5', '9'] -> 9 * (5/4 * (7/9 + 9/5) - 5/9)
[111107] ['1/8', '1/2', '6/5', '7/3', '6'] -> 6 / (6/5 * (1/2 - 1/8 * 7/3))
[111108] ['1/7', '1/6', '2/7', '9/5', '4'] -> 9/5 * ((4 - 1/7) / 2/7 - 1/6)
[111109] ['3/5', '7/8', '8/7', '3/2', '4'] -> 4 / (8/7 / (3/5 / 7/8) - 3/2)
[111110] ['1/5', '8/7', '8/7', '8/3', '7'] -> (8/7 + 8/3) / (8/7 / (1/5 + 7))
[111111] ['1/8', '1/7', '7/6', '7/6', '7'] -> 7 / (7/6 * (1/7 + 1/8 / 7/6))
[111112] ['1/4', '1/4', '5/6', '8/9', '4'] -> 5/6 / ((1/4 + 8/9) / 4 - 1/4)
[111113] ['1/5', '3/4', '9/7', '4/3', '9'] -> 9/7 * (4/3 / 1/5 + 9 / 3/4)
[111114] ['3/5', '3/5', '3/5', '9/5', '5'] -> (5 / (3/5 / 9/5) - 3/5) / 3/5
[111115] ['1/7', '2/9', '1/3', '7/6', '3'] -> 3 / 2/9 + (1/3 + 7/6) / 1/7
[111116] ['3/8', '3/8', '1/2', '3/4', '1'] -> (1 + 3/4 / 3/8) / (1/2 - 3/8)
[111117] ['1/7', '1/6', '2/7', '5/2', '4'] -> 4 * (1/6 + 5/2 / (1/7 + 2/7))
[111118] ['1/4', '1/4', '5/6', '9/8', '4'] -> 1/4 * 4 / (9/8 - (1/4 + 5/6))
[111119] ['3/8', '3/8', '1/2', '7/9', '1'] -> 1 / (1/2 * (3/8 - 3/8 * 7/9))
[111120] ['4/9', '4/7', '9/4', '3', '7/2'] -> 9/4 * 3 * 7/2 * (4/9 + 4/7)
[111121] ['1/8', '1/7', '7/6', '5/4', '7'] -> 1/7 * 7 / (1/8 + 7/6 - 5/4)
[111122] ['2/9', '3/7', '6/5', '4/3', '8'] -> 4/3 + 6/5 * (2/9 + 8 / 3/7)
[111123] ['2/7', '4/7', '7/5', '7/2', '7'] -> (4/7 + 7) / 2/7 - 7/2 / 7/5
[111124] ['2/3', '3/4', '9/8', '9/5', '3'] -> 3 / (9/8 / 9/5 - 2/3 * 3/4)
[111125] ['1/5', '3/4', '9/7', '8/5', '9'] -> (9/7 + 9) * (1/5 + 8/5 / 3/4)
[111126] ['3/8', '3/8', '1/2', '6/7', '1'] -> (1/2 + 1) / (3/8 / 6/7 - 3/8)
[111127] ['3/5', '3/5', '3/5', '8/3', '5'] -> (3/5 + 3/5 + 3/5) * 8/3 * 5
[111128] ['1/8', '1/7', '7/6', '4/3', '7'] -> 1/7 * 7 / (4/3 - (1/8 + 7/6))
[111129] ['4/9', '4/7', '7/3', '7/3', '3'] -> (7/3 + 7/3 * (4/7 + 3)) / 4/9
[111130] ['2/9', '3/7', '6/5', '8/5', '8'] -> 3/7 * 8 * (8/5 + 6/5 / 2/9)
[111131] ['4/9', '4/7', '7/3', '5/2', '3'] -> 4/7 * 7/3 / (3 - (4/9 + 5/2))
[111132] ['1/8', '1/7', '7/6', '7/5', '7'] -> 1/7 / (1/8 - 7/6 / 7/5 / 7)
[111133] ['1/4', '1/4', '6/7', '7/8', '4'] -> (1/4 + 1/4) / (7/8 - 6/7) - 4
[111134] ['5/9', '7/9', '9/7', '7/4', '9'] -> (9/7 + 9) * 7/4 * (5/9 + 7/9)
[111135] ['3/8', '3/8', '1/2', '1', '6/5'] -> (1/2 + 1) / (3/8 - 3/8 / 6/5)
[111136] ['2/3', '3/4', '8/7', '9/7', '3'] -> 9/7 / 3 / (8/7 - 3/4 / 2/3)
[111137] ['1/8', '1/7', '7/6', '8/5', '7'] -> 8/5 + 7 / (7/6 * (1/8 + 1/7))
[111138] ['4/9', '4/7', '7/3', '3', '9/2'] -> (4/9 + 4/7 * 7/3) * 3 * 9/2
[111139] ['1/5', '3/4', '9/7', '7/3', '9'] -> (9 / (1/5 * 7/3) - 9/7) / 3/4
[111140] ['3/8', '3/8', '1/2', '1', '5/4'] -> (5/4 / (1/2 - 3/8) - 1) / 3/8
[111141] ['1/7', '1/6', '1/3', '8/9', '4'] -> 8/9 / (1/6 * (1/3 - 1/7)) - 4
[111142] ['2/3', '3/4', '8/7', '4/3', '3'] -> 4/3 * 3 / (3/4 - 2/3 / 8/7)
[111143] ['1/4', '1/4', '6/7', '9/8', '4'] -> 1/4 / (1/4 / 6/7 - 9/8 / 4)
[111144] ['2/9', '3/7', '6/5', '9/5', '8'] -> 8 / (6/5 - 3/7 * (2/9 + 9/5))
[111145] ['1/7', '2/9', '1/3', '5/2', '3'] -> 3 * (1/3 / (1/7 * 2/9) - 5/2)
[111146] ['1/5', '8/7', '7/6', '7/4', '7'] -> 8/7 * (1/5 + 7) * (7/6 + 7/4)
[111147] ['3/8', '3/8', '1/2', '1', '9/7'] -> 1 / (1/2 * (3/8 - 3/8 / 9/7))
[111148] ['1/5', '3/4', '9/7', '5/2', '9'] -> (1/5 + 9 / 9/7) / (3/4 / 5/2)
[111149] ['4/9', '4/7', '5/2', '3', '7/2'] -> 5/2 / 4/9 + 7/2 / (4/7 / 3)
[111150] ['1/5', '8/7', '7/6', '9/5', '7'] -> (7 / 7/6 - 9/5) / (1/5 / 8/7)
[111151] ['1/8', '1/7', '7/6', '9/4', '7'] -> 7 / (1/7 * 7/6) - 9/4 / 1/8
[111152] ['1/7', '2/9', '1/3', '8/3', '3'] -> 8/3 / 1/7 / (1/3 * 3 - 2/9)
[111153] ['3/5', '3/5', '5/8', '9/8', '5'] -> 3/5 * (9/8 / (5/8 - 3/5) - 5)
[111154] ['1/8', '1/2', '9/7', '7/3', '6'] -> (6 + 9/7 * 7/3) / (1/2 - 1/8)
