[196991] ['2/9', '3/5', '2/3', '7/5', '3'] -> (((3 * (3/5 + 7/5)) - 2/3) / 2/9)
[206880] ['5/8', '7/9', '8/7', '9/5', '8'] -> (8 / ((7/9 / 8/7) - (5/8 / 9/5)))
[206881] ['3/8', '4/9', '5/4', '8/5', '6'] -> ((6 - (5/4 * 8/5)) / (3/8 * 4/9))
[206882] ['2/5', '8/9', '5/4', '7/3', '7'] -> ((7/3 + 7) / (8/9 - (2/5 * 5/4)))
[206883] ['5/8', '8/9', '8/3', '9/2', '6'] -> ((8/3 / 8/9) / ((9/2 / 6) - 5/8))
[206884] ['3/7', '8/5', '8/5', '9/2', '6'] -> ((8/5 + (3/7 * 8/5)) * (9/2 + 6))
[206885] ['3/4', '8/9', '9/5', '9/5', '2'] -> ((2 / 3/4) / ((9/5 / 9/5) - 8/9))
[206886] ['4/9', '4/9', '1', '5/2', '8/3'] -> (8/3 / (4/9 * (5/2 - (1 / 4/9))))
[206887] ['1/6', '5/7', '9/8', '2', '9/4'] -> (((9/8 + 2) / (1/6 * 5/7)) - 9/4)
[206888] ['5/6', '8/5', '5/3', '9/5', '5'] -> (5 * ((5/6 * 8/5) + (5/3 + 9/5)))
[206889] ['3/7', '8/5', '5/3', '5/3', '6'] -> (8/5 * ((5/3 / 5/3) + (6 / 3/7)))
[206890] ['5/8', '8/9', '9/2', '9/2', '6'] -> (6 / (((5/8 + 9/2) / 9/2) - 8/9))
[206891] ['2/5', '8/9', '5/4', '8/3', '7'] -> ((8/9 * 8/3) * (7 + (5/4 / 2/5)))
[206892] ['5/8', '7/9', '8/7', '5/2', '8'] -> (7/9 * ((8 / (5/8 / 5/2)) - 8/7))
[206893] ['1/7', '7/9', '5/4', '4/3', '7'] -> ((7 + (4/3 / (1/7 / 5/4))) / 7/9)
[206894] ['1/9', '9/8', '6/5', '7/2', '9'] -> (((7/2 / 1/9) - 9) / (9/8 / 6/5))
[206895] ['3/4', '8/9', '9/5', '2', '7/3'] -> (2 / ((7/3 * (3/4 / 9/5)) - 8/9))
[206896] ['1/7', '2/7', '5/6', '8/9', '1'] -> (1/7 / ((1 / 8/9) - (2/7 + 5/6)))
[206897] ['5/8', '9/8', '9/8', '9/8', '6'] -> (6 * ((5/8 + 9/8) + (9/8 + 9/8)))
[206898] ['4/5', '7/6', '8/5', '5/3', '9'] -> (9 / (((4/5 + 5/3) / 8/5) - 7/6))
[206899] ['5/6', '8/5', '5/3', '9/4', '5'] -> (5 / (5/6 * (8/5 - (9/4 / 5/3))))
[206900] ['1/6', '5/7', '9/8', '2', '5/2'] -> ((5/2 / (1/6 * 5/7)) / (2 - 9/8))
[206901] ['1/9', '9/8', '6/5', '9/2', '9'] -> (((9 / 6/5) - 9/2) / (1/9 * 9/8))
[206902] ['3/8', '4/9', '9/7', '4/3', '6'] -> ((9/7 * 6) * ((4/3 / 3/8) - 4/9))
[206903] ['4/9', '4/9', '1', '8/3', '7/2'] -> (8/3 / ((4/9 * 7/2) - (4/9 + 1)))
[206904] ['1/5', '1/2', '1', '8/7', '7/5'] -> ((7/5 / ((1/5 + 1) - 8/7)) - 1/2)
[206905] ['7/9', '8/7', '7/3', '7/2', '8'] -> ((8 - (8/7 * 7/3)) / (7/9 / 7/2))
[206906] ['3/4', '8/9', '9/5', '2', '5/2'] -> (2 / (((5/2 - 3/4) / 9/5) - 8/9))
[206907] ['5/8', '9/8', '9/8', '8/7', '6'] -> (6 / (((9/8 / 9/8) / 8/7) - 5/8))
[206908] ['5/6', '8/5', '5/3', '7/3', '5'] -> ((8/5 * 5) / (7/3 - (5/3 / 5/6)))
[206909] ['3/4', '8/9', '9/5', '2', '8/3'] -> (2 / ((3/4 / 9/5) - (8/9 / 8/3)))
[206910] ['4/5', '7/6', '5/3', '5/3', '9'] -> ((9 * (4/5 * 5/3)) / (5/3 - 7/6))
[206911] ['3/7', '8/5', '5/3', '9/4', '6'] -> (5/3 * (6 + (9/4 / (3/7 / 8/5))))
[206912] ['2/5', '8/9', '9/7', '4/3', '7'] -> ((4/3 / 8/9) + (7 / (2/5 / 9/7)))
[206913] ['5/8', '9/8', '9/8', '6/5', '6'] -> (6 / ((9/8 / 9/8) - (5/8 * 6/5)))
[206914] ['7/9', '8/7', '5/2', '8/3', '8'] -> ((5/2 + 8) * ((8/3 / 7/9) - 8/7))
[206915] ['1/7', '2/7', '5/6', '1', '5/4'] -> (2/7 / ((1/7 * 5/4) + (5/6 - 1)))
[206916] ['5/6', '8/5', '7/4', '7/4', '5'] -> (5 / (5/6 - (7/4 / (8/5 * 7/4))))
[206917] ['4/5', '7/6', '5/3', '7/4', '9'] -> (9 * ((5/3 / 4/5) - (7/6 - 7/4)))
[206918] ['2/5', '8/9', '9/7', '7/5', '7'] -> ((9/7 / (2/5 / 8/9)) * (7/5 + 7))
[206919] ['1/9', '9/8', '5/4', '7/5', '9'] -> ((9 + (7/5 / 1/9)) / (9/8 / 5/4))
[206920] ['5/8', '7/9', '7/6', '6/5', '8'] -> (8 / (5/8 * (6/5 - (7/9 / 7/6))))
[206921] ['3/7', '8/5', '5/3', '5/2', '6'] -> (((6 - 8/5) / (3/7 / 5/2)) - 5/3)
[206922] ['5/6', '8/5', '7/4', '9/5', '5'] -> (5 / ((5/6 - 7/4) + (9/5 / 8/5)))
[206923] ['4/5', '7/6', '5/3', '9/4', '9'] -> ((9 / 9/4) / ((4/5 * 5/3) - 7/6))
[206924] ['1/5', '1/2', '1', '8/7', '9/5'] -> ((9/5 / 1/5) / ((1 / 8/7) - 1/2))
[206925] ['1/9', '9/8', '5/4', '8/5', '9'] -> ((9 + (8/5 / (1/9 / 5/4))) / 9/8)
[206926] ['5/8', '9/8', '9/8', '4/3', '6'] -> (6 / ((5/8 + 9/8) - (9/8 * 4/3)))
[206927] ['3/4', '8/9', '2', '9/4', '9/4'] -> ((2 / 3/4) / ((9/4 / 9/4) - 8/9))
[206928] ['4/5', '7/6', '5/3', '7/3', '9'] -> ((5/3 * 7/3) * (9 * (4/5 / 7/6)))
[206929] ['5/8', '7/9', '7/6', '5/4', '8'] -> ((7/6 * 5/4) * (8 / (5/8 * 7/9)))
[206930] ['3/7', '8/5', '5/3', '7/2', '6'] -> ((5/3 * 7/2) * (6 * (3/7 * 8/5)))
[206931] ['5/8', '9/8', '9/8', '7/5', '6'] -> (6 / (5/8 * (7/5 - (9/8 / 9/8))))
[206932] ['7/9', '8/7', '9/2', '9/2', '8'] -> (7/9 * ((9/2 * 8) - (8/7 * 9/2)))
[206933] ['5/6', '8/5', '7/4', '5/2', '5'] -> ((8/5 * 5) / ((5/6 * 5/2) - 7/4))
[206934] ['4/5', '7/6', '5/3', '7/2', '9'] -> (9 / (7/2 - (5/3 + (7/6 / 4/5))))
[206935] ['1/7', '2/7', '5/6', '1', '5/3'] -> ((1 / (1/7 * 2/7)) - (5/6 / 5/3))
[206936] ['1/7', '7/9', '5/4', '7/3', '7'] -> ((7 + (7/3 / 1/7)) / (7/9 * 5/4))
[206937] ['5/8', '9/8', '9/8', '8/5', '6'] -> ((9/8 + 6) / (5/8 * (8/5 - 9/8)))
[206938] ['5/6', '8/5', '7/4', '7/2', '5'] -> ((8/5 * 5) / (5/6 - (7/4 / 7/2)))
[206939] ['2/5', '8/9', '9/7', '9/5', '7'] -> ((9/5 + (9/7 * 7)) / (2/5 / 8/9))
[206940] ['4/5', '7/6', '7/4', '7/4', '9'] -> ((7/6 * 9) / ((7/4 / 4/5) - 7/4))
[206941] ['5/8', '7/9', '7/6', '3/2', '8'] -> (8 / (5/8 - (7/9 / (7/6 + 3/2))))
[206942] ['3/8', '4/9', '9/7', '9/2', '6'] -> (((9/2 + (6 / 9/7)) / 3/8) - 4/9)
[206943] ['5/6', '8/5', '9/5', '9/4', '5'] -> (5 * (9/5 + (9/4 * (5/6 * 8/5))))
[206944] ['1/9', '9/8', '9/7', '4/3', '9'] -> ((9 + (4/3 / 1/9)) / (9/8 / 9/7))
[206945] ['5/8', '7/9', '7/6', '8/5', '8'] -> (8 / ((5/8 * 8/5) - (7/9 / 7/6)))
[206946] ['4/5', '7/6', '7/4', '7/3', '9'] -> ((7/4 + (9 / (4/5 / 7/3))) / 7/6)
[206947] ['3/4', '8/9', '2', '5/2', '5/2'] -> ((2 / 3/4) / ((5/2 / 5/2) - 8/9))
[206948] ['1/5', '1/2', '1', '7/6', '7/6'] -> ((7/6 + ((1 + 7/6) / 1/5)) / 1/2)
[206949] ['3/7', '8/5', '7/4', '5/2', '6'] -> (5/2 * (8/5 + (6 / (3/7 * 7/4))))
[206950] ['7/9', '7/6', '7/6', '5/3', '8'] -> ((8 / (7/9 / 7/6)) / (5/3 - 7/6))
[206951] ['2/9', '6/7', '8/9', '9/4', '3'] -> ((3 + (9/4 / (6/7 / 8/9))) / 2/9)
[206952] ['5/6', '8/5', '9/5', '7/3', '5'] -> ((8/5 * 9/5) * (7/3 + (5 / 5/6)))
[206953] ['1/9', '9/8', '9/7', '7/5', '9'] -> ((9 / (1/9 * 7/5)) / (9/8 + 9/7))
[206954] ['5/8', '9/8', '9/8', '7/3', '6'] -> (((9/8 / 9/8) + (7/3 * 6)) / 5/8)
[206955] ['2/9', '6/7', '8/9', '5/2', '3'] -> ((5/2 + (3 / 6/7)) / (2/9 / 8/9))
[206956] ['4/5', '7/6', '7/4', '9/2', '9'] -> ((9/2 / 4/5) + (9 * (7/6 * 7/4)))
[206957] ['4/9', '1/2', '1/2', '1', '9/8'] -> ((1/2 + 1) / (9/8 * (1/2 - 4/9)))
[206958] ['1/6', '5/7', '7/6', '9/7', '2'] -> (((5/7 / (9/7 - 7/6)) - 2) / 1/6)
[206959] ['7/9', '7/6', '7/6', '9/2', '8'] -> (9/2 * (8 - (7/6 + (7/6 / 7/9))))
[206960] ['5/8', '9/8', '8/7', '8/7', '6'] -> ((8/7 + 8/7) * (6 * (5/8 + 9/8)))
[206961] ['5/6', '8/5', '9/5', '8/3', '5'] -> (9/5 / ((8/3 / 5/6) - (5 / 8/5)))
[206962] ['1/7', '2/7', '5/6', '1', '8/3'] -> (((1 + 8/3) - (2/7 * 5/6)) / 1/7)
[206963] ['3/4', '8/9', '2', '7/2', '7/2'] -> ((2 / 3/4) / ((7/2 / 7/2) - 8/9))
[206964] ['2/9', '6/7', '8/9', '8/3', '3'] -> (8/3 / (8/9 - (3 * (2/9 / 6/7))))
[206965] ['1/7', '7/9', '9/7', '4/3', '7'] -> (4/3 * ((9/7 / 1/7) + (7 / 7/9)))
[206966] ['1/5', '1/2', '1', '7/6', '4/3'] -> (((7/6 + 4/3) / (1/5 * 1/2)) - 1)
[206967] ['2/5', '8/9', '9/7', '7/2', '7'] -> ((8/9 * 9/7) * (7/2 + (7 / 2/5)))
[206968] ['4/5', '7/6', '9/4', '9/4', '9'] -> ((4/5 * 9) * (9/4 - (7/6 - 9/4)))
[206969] ['4/9', '1/2', '1/2', '1', '6/5'] -> ((1/2 + (1 / 6/5)) / (1/2 - 4/9))
[206970] ['2/9', '6/7', '8/9', '3', '9/2'] -> (3 + ((8/9 * 9/2) / (2/9 * 6/7)))
[206971] ['7/9', '7/6', '6/5', '4/3', '8'] -> (7/9 + ((7/6 + 8) * (6/5 + 4/3)))
[206972] ['1/6', '5/7', '7/6', '7/5', '2'] -> (((7/5 / 7/6) + (2 / 5/7)) / 1/6)
[206973] ['3/7', '8/5', '9/5', '9/4', '6'] -> ((6 / ((3/7 + 8/5) - 9/5)) - 9/4)
[206974] ['2/5', '8/9', '9/7', '9/2', '7'] -> (8/9 * (9/2 + (7 / (2/5 / 9/7))))
[206975] ['1/5', '1/2', '1', '7/6', '3/2'] -> ((3/2 + (1/2 / 1/5)) / (7/6 - 1))
[206976] ['3/4', '9/8', '9/8', '8/7', '2'] -> (3/4 / (2 - ((9/8 + 9/8) / 8/7)))
[206977] ['1/7', '7/9', '9/7', '3/2', '7'] -> ((9/7 * 3/2) * (7 + (7/9 / 1/7)))
[206978] ['1/9', '9/8', '9/7', '9/5', '9'] -> (9 / (((9/8 / 9/7) / 9/5) - 1/9))
[206979] ['5/6', '8/5', '9/4', '8/3', '5'] -> (5 / ((5/6 * 9/4) - (8/3 / 8/5)))
[206980] ['4/9', '1/2', '1/2', '1', '4/3'] -> (4/3 / (1/2 * (1 - (4/9 / 1/2))))
[206981] ['2/5', '8/9', '4/3', '4/3', '7'] -> ((8/9 / 4/3) + (7 / (2/5 / 4/3)))
[206982] ['1/7', '2/7', '6/7', '1', '6/5'] -> (6/5 * ((6/7 / (1/7 * 2/7)) - 1))
[206983] ['3/8', '4/9', '7/5', '3/2', '6'] -> (3/8 + ((3/2 + 6) / (4/9 / 7/5)))
[206984] ['7/9', '7/6', '6/5', '3/2', '8'] -> (8 * (7/9 + ((7/6 + 3/2) / 6/5)))
[206985] ['1/6', '5/7', '7/6', '8/5', '2'] -> ((8/5 + (2 / (5/7 * 7/6))) / 1/6)
[206986] ['5/8', '9/8', '8/7', '4/3', '6'] -> ((6 / 8/7) / ((9/8 / 4/3) - 5/8))
[206987] ['2/9', '6/7', '9/8', '8/7', '3'] -> ((6/7 + 8/7) * (3 / (2/9 * 9/8)))
[206988] ['1/9', '9/8', '9/7', '9/4', '9'] -> ((9/8 + 9/4) * (1/9 + (9 / 9/7)))
[206989] ['4/5', '7/6', '7/3', '7/3', '9'] -> ((7/3 * 9) / (7/3 - (7/6 / 4/5)))
[206990] ['3/4', '9/8', '9/8', '6/5', '2'] -> (2 / (((9/8 / 9/8) / 6/5) - 3/4))
[206991] ['5/8', '7/9', '6/5', '5/4', '8'] -> (8 / (6/5 * (7/9 - (5/8 / 5/4))))
[206992] ['1/7', '2/7', '6/7', '1', '4/3'] -> ((2/7 + 6/7) / (1/7 * (4/3 - 1)))
[206993] ['1/6', '5/7', '7/6', '7/4', '2'] -> (2 / ((1/6 + 7/6) - (5/7 * 7/4)))
[206994] ['7/9', '7/6', '6/5', '7/4', '8'] -> (8 * (7/4 + (7/6 / (7/9 * 6/5))))
[206995] ['5/6', '8/5', '7/3', '7/3', '5'] -> (5 / (5/6 - (7/3 / (8/5 * 7/3))))
[206996] ['1/5', '1/2', '1', '7/6', '9/4'] -> (9/4 * ((7/6 / (1/5 * 1/2)) - 1))
[206997] ['4/5', '7/6', '7/3', '8/3', '9'] -> ((8/3 + (4/5 * 7/6)) * (9 - 7/3))
[206998] ['2/5', '8/9', '4/3', '8/5', '7'] -> ((8/9 + 4/3) * ((8/5 * 7) - 2/5))
[206999] ['1/5', '1/2', '1', '7/6', '7/3'] -> (7/3 + ((1 + 7/6) / (1/5 * 1/2)))
[207000] ['1/7', '7/9', '9/7', '9/4', '7'] -> (((7 / 7/9) - 9/7) / (1/7 * 9/4))
[207001] ['1/9', '9/8', '9/7', '8/3', '9'] -> ((1/9 + (9/8 * 8/3)) * (9 - 9/7))
[207002] ['3/8', '4/9', '7/5', '9/4', '6'] -> ((9/4 / (4/9 - 3/8)) - (7/5 * 6))
[207003] ['5/8', '7/9', '6/5', '9/7', '8'] -> ((8 / (5/8 * (9/7 - 7/9))) - 6/5)
[207004] ['3/4', '9/8', '9/8', '7/5', '2'] -> (7/5 / (9/8 - (2 / (3/4 + 9/8))))
[207005] ['5/8', '9/8', '8/7', '8/5', '6'] -> (6 / (9/8 - (8/5 * (5/8 / 8/7))))
[207006] ['7/9', '7/6', '6/5', '9/4', '8'] -> (8 / ((7/6 / (9/4 - 6/5)) - 7/9))
[207007] ['3/7', '8/5', '9/4', '9/4', '6'] -> (8/5 * ((9/4 / 9/4) + (6 / 3/7)))
[207008] ['3/8', '4/9', '7/5', '7/3', '6'] -> (6 * ((7/3 / (3/8 * 7/5)) - 4/9))
[207009] ['1/9', '9/8', '9/7', '7/2', '9'] -> ((9 / 1/9) / ((9/7 * 7/2) - 9/8))
[207010] ['1/7', '7/9', '9/7', '5/2', '7'] -> ((5/2 + (7/9 * 9/7)) * (7 - 1/7))
[207011] ['5/6', '5/3', '5/3', '5/3', '5'] -> ((5/3 + 5) / (5/3 - (5/6 * 5/3)))
[207012] ['1/5', '1/2', '1', '7/6', '8/3'] -> (((8/3 + (7/6 / 1/2)) / 1/5) - 1)
[207013] ['3/7', '8/5', '9/4', '7/3', '6'] -> (7/3 * (6 + (8/5 * (3/7 + 9/4))))
[207014] ['1/7', '2/7', '6/7', '1', '5/3'] -> (6/7 / (1/7 - (2/7 / (1 + 5/3))))
[207015] ['7/9', '7/6', '6/5', '7/3', '8'] -> (8 / (6/5 * (7/9 - (7/6 / 7/3))))
[207016] ['4/5', '7/6', '5/2', '8/3', '9'] -> ((((5/2 * 9) - 7/6) / 4/5) - 8/3)
[207017] ['4/9', '1/2', '1/2', '1', '7/3'] -> (1 / ((1/2 * 7/3) - (1/2 / 4/9)))
[207018] ['5/6', '5/3', '5/3', '9/5', '5'] -> ((5/3 + 5) * (9/5 / (5/6 / 5/3)))
[207019] ['1/6', '5/7', '7/6', '2', '8/3'] -> ((2 - 5/7) * (8/3 / (1/6 / 7/6)))
[207020] ['3/4', '9/8', '9/8', '5/3', '2'] -> (2 / ((3/4 - 5/3) + (9/8 / 9/8)))
[207021] ['1/5', '1/2', '1', '7/6', '7/2'] -> ((1 + 7/2) * ((7/6 / 1/5) - 1/2))
[207022] ['1/7', '7/9', '4/3', '4/3', '7'] -> (((4/3 / 1/7) + (4/3 * 7)) / 7/9)
[207023] ['4/9', '1/2', '1/2', '1', '5/2'] -> ((1/2 + 5/2) / ((1/2 / 4/9) - 1))
[207024] ['3/4', '9/8', '9/8', '9/5', '2'] -> (2 / (9/8 - ((3/4 + 9/8) / 9/5)))
[207025] ['5/8', '9/8', '8/7', '9/4', '6'] -> (6 / (9/4 - (8/7 * (5/8 + 9/8))))
[207026] ['5/6', '5/3', '5/3', '9/4', '5'] -> (5 / ((9/4 * (5/3 - 5/6)) - 5/3))
[207027] ['7/9', '7/6', '6/5', '5/2', '8'] -> (8 / (((5/2 - 7/6) / 6/5) - 7/9))
[207028] ['3/7', '8/5', '9/4', '7/2', '6'] -> (8/5 * ((3/7 * 7/2) + (9/4 * 6)))
[207029] ['1/7', '2/7', '6/7', '1', '7/3'] -> (((6/7 / 2/7) + (1 / 7/3)) / 1/7)
[207030] ['1/9', '9/8', '4/3', '8/5', '9'] -> (4/3 / ((9/8 / 9) - (1/9 / 8/5)))
[207031] ['5/8', '9/8', '8/7', '7/3', '6'] -> (6 / ((5/8 / 7/3) + (9/8 - 8/7)))
[207032] ['4/5', '7/6', '8/3', '7/2', '9'] -> (4/5 * ((7/6 - 8/3) + (7/2 * 9)))
[207033] ['3/4', '9/8', '9/8', '2', '7/3'] -> (7/3 / ((3/4 + 9/8) - (2 / 9/8)))
[207034] ['1/6', '5/7', '6/5', '5/4', '2'] -> ((2 / 5/7) / ((1/6 + 6/5) - 5/4))
[207035] ['2/5', '8/9', '4/3', '9/2', '7'] -> (9/2 * (7 - (8/9 / (2/5 * 4/3))))
[207036] ['4/5', '7/6', '7/2', '7/2', '9'] -> ((4/5 / 7/6) * (7/2 + (7/2 * 9)))
[207037] ['1/9', '9/8', '4/3', '9/5', '9'] -> ((9/5 * (9/8 * 4/3)) * (9 - 1/9))
[207038] ['7/9', '7/6', '5/4', '5/4', '8'] -> (8 / ((5/4 / 5/4) - (7/9 / 7/6)))
[207039] ['5/6', '5/3', '7/4', '7/4', '5'] -> ((5 / 7/4) / ((5/3 / 7/4) - 5/6))
[207040] ['1/7', '7/9', '4/3', '5/3', '7'] -> ((5/3 + (7 / 1/7)) / (7/9 + 4/3))
[207041] ['4/9', '1/2', '5/9', '4/7', '1'] -> (1 / (((1/2 * 5/9) / 4/7) - 4/9))
[207042] ['1/6', '5/7', '6/5', '4/3', '2'] -> (4/3 * (6/5 + (2 / (1/6 * 5/7))))
[207043] ['4/5', '7/6', '9/2', '9/2', '9'] -> (9 / ((9/2 / 4/5) - (7/6 * 9/2)))
[207044] ['2/9', '6/7', '9/8', '5/3', '3'] -> (5/3 / ((9/8 / (6/7 + 3)) - 2/9))
[207045] ['3/7', '8/5', '7/3', '8/3', '6'] -> (8/5 * ((8/3 * 6) - (3/7 * 7/3)))
[207046] ['1/7', '2/7', '7/8', '7/8', '1'] -> (((7/8 / (1 - 7/8)) - 1/7) / 2/7)
[207047] ['3/8', '4/9', '3/2', '9/5', '6'] -> ((3/2 + (6 / (4/9 * 9/5))) / 3/8)
[207048] ['4/9', '1/2', '5/9', '3/5', '1'] -> ((1 + (5/9 * 3/5)) / (1/2 - 4/9))
[207049] ['1/6', '5/7', '6/5', '3/2', '2'] -> (((3/2 * 2) / (1/6 * 5/7)) - 6/5)
[207050] ['1/5', '1/2', '1', '5/4', '5/4'] -> (((5/4 + 5/4) / (1/5 * 1/2)) - 1)
[207051] ['5/6', '5/3', '7/4', '7/3', '5'] -> (5 / (7/4 * (5/6 - (5/3 / 7/3))))
[207052] ['5/8', '9/8', '8/7', '9/2', '6'] -> ((8/7 / (9/8 - 5/8)) * (9/2 + 6))
[207053] ['4/9', '1/2', '5/9', '5/8', '1'] -> (1 / ((5/9 / 1/2) - (4/9 + 5/8)))
[207054] ['7/9', '7/6', '5/4', '7/5', '8'] -> ((7/5 + (7/6 / 5/4)) / (7/9 / 8))
[207055] ['3/4', '9/8', '8/7', '6/5', '2'] -> (2 * ((3/4 / (6/5 - 8/7)) - 9/8))
[207056] ['5/8', '7/9', '6/5', '7/2', '8'] -> ((8 + (7/2 / 7/9)) / (5/8 / 6/5))
[207057] ['5/6', '5/3', '7/4', '8/3', '5'] -> ((5 / 5/6) / ((5/3 * 7/4) - 8/3))
[207058] ['2/9', '6/7', '9/8', '7/4', '3'] -> ((7/4 * (6/7 + (3 / 2/9))) - 9/8)
[207059] ['1/9', '9/8', '7/5', '5/3', '9'] -> (7/5 / ((9/8 / 9) - (1/9 / 5/3)))
[207060] ['4/5', '6/5', '6/5', '7/2', '9'] -> ((4/5 * (6/5 + 6/5)) * (7/2 + 9))
[207061] ['5/8', '9/8', '7/6', '9/7', '6'] -> (6 / ((5/8 + 9/8) - (7/6 * 9/7)))
[207062] ['1/6', '5/7', '6/5', '7/4', '2'] -> ((6/5 + 2) * (7/4 / (1/6 / 5/7)))
[207063] ['1/7', '2/7', '7/8', '1', '5/4'] -> ((2/7 + 1) / (1/7 * (5/4 - 7/8)))
[207064] ['7/9', '7/6', '5/4', '8/5', '8'] -> ((5/4 * 8/5) * (8 / (7/9 / 7/6)))
[207065] ['3/8', '4/9', '8/5', '9/5', '6'] -> (9/5 + (8/5 * (3/8 + (6 / 4/9))))
[207066] ['1/5', '1/2', '1', '5/4', '3/2'] -> (3/2 + ((1 + 5/4) / (1/5 * 1/2)))
[207067] ['2/5', '8/9', '7/5', '9/5', '7'] -> (((9/5 * (7 - 8/9)) - 7/5) / 2/5)
[207068] ['1/7', '2/7', '7/8', '1', '9/7'] -> ((9/7 / (1/7 + 2/7)) / (1 - 7/8))
[207069] ['5/8', '9/8', '7/6', '7/5', '6'] -> ((7/5 / (7/6 - 9/8)) - (6 / 5/8))
[207070] ['1/5', '1/2', '1', '5/4', '8/5'] -> ((8/5 + (1 / 5/4)) / (1/5 * 1/2))
[207071] ['7/9', '7/6', '5/4', '9/5', '8'] -> (8 * (9/5 + (7/6 / (7/9 * 5/4))))
[207072] ['3/7', '8/5', '8/3', '7/2', '6'] -> ((8/3 - 8/5) * (7/2 * (3/7 + 6)))
[207073] ['4/5', '6/5', '5/4', '9/7', '9'] -> ((9 / ((9/7 / 4/5) - 5/4)) - 6/5)
[207074] ['1/9', '9/8', '7/5', '9/5', '9'] -> (9 / (1/9 * (9/5 + (9/8 * 7/5))))
[207075] ['5/8', '7/9', '5/4', '9/7', '8'] -> (8 * ((7/9 * 9/7) + (5/4 / 5/8)))
[207076] ['2/9', '6/7', '9/8', '9/4', '3'] -> ((3 + (9/4 / (6/7 * 9/8))) / 2/9)
[207077] ['3/8', '4/9', '8/5', '5/2', '6'] -> ((8/5 + (6 / 5/2)) / (3/8 * 4/9))
[207078] ['5/6', '5/3', '9/5', '9/4', '5'] -> ((5 / 9/4) / ((5/3 / 9/5) - 5/6))
[207079] ['1/7', '7/9', '7/5', '3/2', '7'] -> (3/2 + (7 / (1/7 * (7/9 + 7/5))))
[207080] ['1/5', '1/2', '1', '5/4', '5/3'] -> ((1 / (1/5 * 1/2)) / (5/3 - 5/4))
[207081] ['7/9', '7/6', '5/4', '7/3', '8'] -> ((7/9 / 7/6) + (8 * (5/4 * 7/3)))
[207082] ['4/9', '1/2', '5/9', '1', '9/8'] -> ((4/9 + (1 / 9/8)) / (5/9 - 1/2))
[207083] ['2/9', '6/7', '9/8', '5/2', '3'] -> ((5/2 + (3 / 6/7)) / (2/9 * 9/8))
[207084] ['3/4', '9/8', '8/7', '8/5', '2'] -> (3/4 / (9/8 - (2 / (8/7 * 8/5))))
[207085] ['1/5', '1/2', '1', '5/4', '7/4'] -> ((1 + (7/4 / 5/4)) / (1/5 * 1/2))
[207086] ['4/5', '6/5', '9/7', '9/7', '9'] -> (((4/5 + 9) * (9/7 + 9/7)) - 6/5)
[207087] ['3/7', '8/5', '7/2', '7/2', '6'] -> (8/5 * ((7/2 / 7/2) + (6 / 3/7)))
[207088] ['7/9', '7/6', '5/4', '5/2', '8'] -> ((8 / (7/9 / 7/6)) / (5/4 / 5/2))
[207089] ['2/5', '8/9', '7/5', '5/2', '7'] -> (8/9 * (5/2 + (7 / (2/5 / 7/5))))
[207090] ['5/6', '5/3', '9/4', '9/4', '5'] -> (5 / (9/4 * (5/6 - (5/3 / 9/4))))
[207091] ['3/4', '9/8', '8/7', '5/3', '2'] -> (((3/4 / (8/7 - 9/8)) - 2) / 5/3)
[207092] ['1/6', '5/7', '6/5', '2', '7/2'] -> ((2 - (5/7 * 6/5)) / (1/6 / 7/2))
[207093] ['1/5', '1/2', '1', '5/4', '7/3'] -> ((1 / 5/4) / (1/2 - (1/5 * 7/3)))
[207094] ['4/9', '1/2', '5/9', '1', '6/5'] -> ((1 / 5/9) / (6/5 - (1/2 / 4/9)))
[207095] ['5/8', '7/9', '5/4', '5/3', '8'] -> ((5/3 + (5/4 * 8)) / (5/8 * 7/9))
[207096] ['2/9', '6/7', '9/8', '3', '7/2'] -> ((3 + (6/7 * 7/2)) / (2/9 * 9/8))
[207097] ['7/9', '7/6', '9/7', '4/3', '8'] -> ((7/9 + (7/6 * 4/3)) * (9/7 * 8))
[207098] ['3/7', '5/3', '5/3', '5/3', '6'] -> (6 * (5/3 + (5/3 / (3/7 * 5/3))))
[207099] ['5/6', '5/3', '5/2', '5/2', '5'] -> ((5/2 + (5/2 / 5/3)) / (5/6 / 5))
[207100] ['2/9', '6/7', '8/7', '8/7', '3'] -> ((8/7 + (8/7 * 3)) / (2/9 * 6/7))
[207101] ['5/8', '7/9', '5/4', '7/4', '8'] -> (8 / ((5/4 / (7/4 - 5/8)) - 7/9))
[207102] ['1/5', '1/2', '1', '5/4', '8/3'] -> ((1 / 5/4) / ((1/5 * 8/3) - 1/2))
[207103] ['4/5', '6/5', '9/7', '8/5', '9'] -> ((6/5 * 9) * (8/5 + (4/5 / 9/7)))
[207104] ['1/6', '5/7', '5/4', '5/4', '2'] -> ((2 / 1/6) / ((5/4 / 5/7) - 5/4))
[207105] ['3/8', '4/9', '7/4', '7/4', '6'] -> (7/4 * ((3/8 / 7/4) + (6 / 4/9)))
[207106] ['4/9', '1/2', '5/9', '1', '9/7'] -> ((5/9 + (1 / 9/7)) / (1/2 - 4/9))
[207107] ['5/8', '9/8', '6/5', '4/3', '6'] -> ((6/5 + (9/8 / 5/8)) * (4/3 * 6))
[207108] ['3/7', '5/3', '5/3', '7/4', '6'] -> (6 / ((5/3 / 5/3) - (3/7 * 7/4)))
