[39399] ['8/7', '6/5', '4/3', '9/4', '6'] -> ((6 / (6/5 * (4/3 - 8/7))) - 9/4)
[49948] ['2/5', '2/5', '7/8', '7/8', '3'] -> (3 / (7/8 - (2/5 + (2/5 * 7/8))))
[49949] ['9/5', '9/4', '8/3', '8/3', '6'] -> (6 / ((9/4 / 9/5) - (8/3 / 8/3)))
[49950] ['1/2', '4/7', '4/7', '3/5', '4'] -> (4 / ((4/7 / 4/7) - (1/2 / 3/5)))
[49951] ['1/7', '1/7', '2/3', '7/3', '5'] -> ((1/7 + (5 / 7/3)) / (1/7 * 2/3))
[49952] ['1/5', '1/5', '4/9', '7/4', '6'] -> (6 * (7/4 + (1/5 / (1/5 * /9)))
)[49953] ['2/5', '2/5', '7/8', '8/9', '3'] -> (2/5 / (2/5 * 3) * (8/9 - 7/8)))
[49954] ['1/6', '1/6', '1/4', '5/6', '9'] -> ((9 + (1/6 + 5/6)) / (1/6 + 1/4))
[49955] ['1/9', '1/5', '3/7', '9/4', '5'] -> ((3/7 * 9/4) * ((5 / 1/5) - 1/9))
[49956] ['1/5', '5/9', '6/7', '5/3', '4'] -> (4 / (5/9 - (5/3 * (1/5 / 6/7))))
[49957] ['3/8', '6/7', '7/3', '7/3', '4'] -> (((7/3 * (6/7 + 4)) - 7/3) / 3/8)
[49958] ['2/7', '3/7', '4/9', '7/9', '2'] -> ((2/7 + 2) / ((3/7 + 4/9) - 7/9))
[49959] ['1/5', '1/5', '4/9', '7/3', '6'] -> (((4/9 * 6) - (1/5 - 7/3)) / 1/5)
[49960] ['1/2', '4/7', '4/7', '7/9', '4'] -> ((4 / ((4/7 / 7/9) - 4/7)) - 1/2)
[49961] ['1/9', '1/3', '7/5', '5/2', '4'] -> (((4 / 5/2) - (1/3 - 7/5)) / 1/9)
[49962] ['1/5', '2/9', '9/7', '9/5', '5'] -> (1/5 + ((9/5 + 5) / (2/9 * 9/7)))
[49963] ['1/6', '1/6', '1/4', '6/7', '9'] -> (((1/4 + (1/6 / 6/7)) * 9) / 1/6)
[49964] ['1/5', '5/9', '6/7', '7/4', '4'] -> (4 / ((1/5 * 5/9) * 6/7) * 7/4))
[49965] ['2/5', '2/5', '7/8', '5/4', '3'] -> (3 / ((5/4 * (2/5 + 2/5)) - 7/8))
[49966] ['5/9', '4/5', '1', '3/2', '3/2'] -> ((3/2 / (3/2 - (4/5 / 5/9))) - 1)
[49967] ['3/8', '6/7', '7/3', '5/2', '4'] -> ((4 + (5/2 * (6/7 * 7/3))) / 3/8)
[49968] ['1/5', '1/5', '4/9', '7/2', '6'] -> (6 / ((1/5 * 7/2) - (1/5 / 4/9)))
[49969] ['1/3', '5/8', '8/7', '9/4', '8'] -> ((((8 / 8/7) - 1/3) * 9/4) / 5/8)
[49970] ['1/9', '5/9', '4/7', '9/7', '3'] -> ((((3 * 5/9) / 1/9) - 9/7) / 4/7)
[49971] ['2/5', '2/5', '7/8', '9/7', '3'] -> (3 / ((7/8 * 9/7) - (2/5 / 2/5)))
[49972] ['1/4', '2/5', '5/8', '5/7', '5'] -> (((2/5 + (5 / 5/8)) * 5/7) / 1/4)
[49973] ['1/5', '1/5', '1/2', '4/7', '6'] -> (6 / ((1/5 / 4/7) - (1/5 * 1/2)))
[49974] ['1/9', '1/5', '3/7', '7/2', '5'] -> ((7/2 * 5) * ((1/5 / 1/9) - 3/7))
[49975] ['1/5', '2/9', '9/7', '7/3', '5'] -> (((9/7 + (1/5 * 5)) * 7/3) / 2/9)
[49976] ['2/5', '2/5', '7/8', '4/3', '3'] -> (3 / (7/8 - (2/5 / (2/5 * /3)))
)[49977] ['1/6', '1/6', '1/4', '9/7', '9'] -> (((9 / 9/7) - (1/6 / 1/6)) / 1/4)
[49978] ['5/9', '4/5', '1', '3/2', '7/4'] -> ((4/5 * 3/2) / ((1 / 5/9) - 7/4))
[49979] ['9/5', '7/3', '7/3', '7/2', '6'] -> (9/5 * ((7/3 * 6) - (7/3 / 7/2)))
[49980] ['3/8', '6/7', '5/2', '8/3', '4'] -> ((((4 * 5/2) / 6/7) - 8/3) / 3/8)
[49981] ['1/4', '2/5', '5/8', '5/6', '5'] -> (2/5 / ((5/6 / (5/8 * 5)) - 1/4))
[49982] ['1/7', '1/7', '5/7', '7/6', '5'] -> (((5 / 7/6) - (1/7 + 5/7)) / 1/7)
[49983] ['1/9', '1/3', '3/2', '8/5', '4'] -> (((1/3 + (4 / 8/5)) / 1/9) - 3/2)
[49984] ['3/8', '6/7', '5/2', '7/2', '4'] -> (4 + (((5/2 * 7/2) * 6/7) / 3/8))
[49985] ['1/5', '2/9', '9/7', '8/3', '5'] -> (8/3 / ((1/5 / 9/7) - (2/9 / 5)))
[49986] ['1/5', '1/5', '1/2', '8/9', '6'] -> (6 / ((1/5 / (1/2 * /9)) - 1/5))
[49987] ['9/5', '7/3', '5/2', '5/2', '6'] -> (9/5 * ((7/3 + 5/2) + (5/2 + 6)))
[49988] ['2/5', '2/5', '7/8', '5/3', '3'] -> (3 / (5/3 * (7/8 - (2/5 + 2/5))))
[49989] ['1/7', '1/7', '5/7', '9/7', '5'] -> (((5 / 1/7) - 5/7) / (1/7 + 9/7))
[49990] ['1/2', '4/7', '4/7', '7/5', '4'] -> ((4 / (4/7 - (4/7 / 7/5))) - 1/2)
[49991] ['1/6', '1/6', '2/7', '2/7', '9'] -> ((9 - (2/7 / 2/7)) / (1/6 + 1/6))
[49992] ['1/5', '2/9', '9/7', '7/2', '5'] -> ((5 / 1/5) - (7/2 * (2/9 * 9/7)))
[49993] ['3/8', '6/7', '8/3', '8/3', '4'] -> (4 / (3/8 * (8/3 / 6/7)) - 8/3))
[49994] ['1/5', '1/5', '1/2', '8/7', '6'] -> (((6 * (1/5 + 1/2)) * 8/7) / 1/5)
[49995] ['9/5', '7/3', '5/2', '7/2', '6'] -> ((9/5 * 5/2) * (6 - (7/3 / 7/2)))
[49996] ['1/9', '1/5', '4/9', '5/7', '5'] -> ((1/5 + (4/9 / 1/9)) * (5/7 + 5))
[49997] ['2/5', '2/5', '7/8', '9/4', '3'] -> ((9/4 + (3 / (2/5 * 2/5))) / 7/8)
[49998] ['1/9', '1/3', '8/5', '9/5', '4'] -> ((4 - ((1/3 + 9/5) / 8/5)) / 1/9)
[49999] ['3/8', '6/7', '8/3', '7/2', '4'] -> ((6/7 * 7/2) * ((4 / 3/8) - 8/3))
[50000] ['9/5', '7/3', '5/2', '9/2', '6'] -> (9/2 + (9/5 * (6 + (7/3 + 5/2))))
[50001] ['1/7', '1/7', '5/7', '3/2', '5'] -> ((5/7 + 5) / (1/7 + (1/7 / 3/2)))
[50002] ['1/3', '5/8', '7/6', '7/4', '8'] -> (8 * ((1/3 + 5/8) + (7/6 * 7/4)))
[50003] ['1/9', '5/9', '4/7', '9/4', '3'] -> ((3 / (4/7 * (1/9 / 5/9))) - 9/4)
[50004] ['1/9', '1/5', '4/9', '7/9', '5'] -> (((7/9 + (1/5 - 4/9)) * 5) / 1/9)
[50005] ['2/5', '2/5', '7/8', '3', '9/2'] -> (9/2 / (((2/5 + 7/8) / 2/5) - 3))
[50006] ['1/9', '1/3', '8/5', '7/3', '4'] -> ((7/3 + 4) / (1/3 - (1/9 / 8/5)))
[50007] ['1/7', '1/7', '5/7', '7/4', '5'] -> (((5 / 7/4) - (1/7 - 5/7)) / 1/7)
[50008] ['2/7', '3/7', '4/9', '7/4', '2'] -> (2 / (3/7 * (7/4 - (4/9 / 2/7))))
[50009] ['1/5', '1/5', '1/2', '5/3', '6'] -> (((6 * (1/2 * 5/3)) - 1/5) / 1/5)
[50010] ['1/5', '2/9', '4/3', '5/3', '5'] -> ((5/3 + (5 / 1/5)) / (4/3 - 2/9))
[50011] ['1/6', '1/6', '2/7', '1/2', '9'] -> (9 / (1/2 * (1/6 + (1/6 / 2/7))))
[50012] ['2/5', '2/5', '8/9', '8/9', '3'] -> ((8/9 * 3) / ((2/5 / 2/5) - 8/9))
[50013] ['2/5', '2/5', '8/9', '9/8', '3'] -> (3 / (9/8 * (2/5 / 2/5)) - 8/9))
[50014] ['1/2', '4/7', '3/5', '2/3', '4'] -> (2/3 + (4 / (3/5 * (1/2 * 4/7))))
[50015] ['1/4', '2/5', '5/8', '7/4', '5'] -> ((7/4 + (2/5 * 5)) / (1/4 * 5/8))
[50016] ['3/8', '7/8', '7/8', '8/7', '4'] -> (((8/7 + 4) * (7/8 + 7/8)) / 3/8)
[50017] ['9/5', '7/3', '7/2', '9/2', '6'] -> (6 * ((7/2 / 7/3) + (9/2 / 9/5)))
[50018] ['1/5', '2/9', '4/3', '9/4', '5'] -> (4/3 / (2/9 * (9/4 / 5)) - 1/5))
[50019] ['1/2', '4/7', '3/5', '5/7', '4'] -> ((3/5 * 5/7) * (4 / (4/7 - 1/2)))
[50020] ['3/8', '7/8', '7/8', '7/6', '4'] -> (7/8 / ((3/8 * 7/8) - (7/6 / 4)))
[50021] ['1/9', '5/9', '3/5', '5/7', '3'] -> (((3/5 + (3 / 5/7)) * 5/9) / 1/9)
[50022] ['2/5', '2/5', '8/9', '7/6', '3'] -> (3 / ((7/6 * (2/5 / 8/9)) - 2/5))
[50023] ['1/7', '1/7', '5/7', '9/2', '5'] -> ((1/7 + 5/7) + (9/2 * (1/7 + 5)))
[50024] ['9/5', '5/2', '5/2', '5/2', '6'] -> ((9/5 * (5/2 + 5/2)) + (5/2 * 6))
[50025] ['3/8', '7/8', '7/8', '6/5', '4'] -> (4 / (((3/8 + 7/8) / 6/5) - 7/8))
[50026] ['1/9', '1/3', '7/4', '9/5', '4'] -> (((1/3 / (9/5 - 7/4)) - 4) / 1/9)
[50027] ['1/3', '5/8', '6/5', '7/3', '8'] -> (8 * ((6/5 + 7/3) - (1/3 / 5/8)))
[50028] ['1/9', '1/5', '4/9', '7/6', '5'] -> (4/9 / (1/9 * 7/6) - (1/5 * 5)))
[50029] ['1/9', '5/9', '3/5', '3/4', '3'] -> ((3/5 + 3) / (3/4 * (1/9 / 5/9)))
[50030] ['2/5', '2/5', '8/9', '6/5', '3'] -> ((6/5 / (2/5 - (2/5 * 8/9))) - 3)
[50031] ['1/7', '1/7', '3/4', '3/4', '5'] -> ((1/7 + 5) / (1/7 * (3/4 + 3/4)))
[50032] ['3/8', '7/8', '7/8', '5/4', '4'] -> (((5/4 + (7/8 / 7/8)) * 4) / 3/8)
[50033] ['1/4', '2/5', '5/8', '7/3', '5'] -> (5 / ((2/5 * (7/3 - 1/4)) - 5/8))
[50034] ['2/5', '2/5', '8/9', '5/4', '3'] -> (3 / (5/4 - (2/5 / (2/5 * /9)))
)[50035] ['1/3', '5/8', '6/5', '9/2', '8'] -> ((6/5 - (1/3 / 5/8)) * (9/2 * 8))
[50036] ['1/9', '5/9', '3/5', '5/6', '3'] -> ((1/9 + 3) / (5/9 * (5/6 - 3/5)))
[50037] ['1/9', '1/3', '9/5', '9/4', '4'] -> (4 / (9/4 * (1/3 / 9/5)) - 1/9))
[50038] ['3/8', '7/8', '7/8', '9/7', '4'] -> ((7/8 + 7/8) * ((4 * 9/7) / 3/8))
[50039] ['1/5', '2/9', '7/5', '7/5', '5'] -> ((7/5 + 5) / (2/9 * (7/5 - 1/5)))
[50040] ['1/6', '1/6', '2/7', '4/5', '9'] -> (9 / ((1/6 / 2/7) - (1/6 / 4/5)))
[50041] ['1/5', '5/9', '7/8', '7/5', '4'] -> ((1/5 + 4) / ((7/8 / 5/9) - 7/5))
[50042] ['1/4', '2/5', '2/3', '5/7', '5'] -> (5 / ((1/4 / (2/5 * /7)) - 2/3))
[50043] ['2/5', '2/5', '8/9', '4/3', '3'] -> (2/5 / ((3 * (2/5 / 8/9)) - 4/3))
[50044] ['1/9', '5/9', '3/5', '7/8', '3'] -> (3 / (3/5 * (7/8 - (1/9 + 5/9))))
[50045] ['9/5', '8/3', '8/3', '8/3', '6'] -> ((9/5 * 8/3) * (6 - (8/3 / 8/3)))
[50046] ['1/5', '2/9', '7/5', '8/5', '5'] -> ((((8/5 / 2/9) - 7/5) / 1/5) - 5)
[50047] ['2/5', '2/5', '8/9', '7/5', '3'] -> (2/5 / ((7/5 / 3) - (2/5 / 8/9)))
[50048] ['1/5', '5/9', '7/8', '3/2', '4'] -> ((((4 * 7/8) / 5/9) - 3/2) / 1/5)
[50049] ['3/8', '7/8', '7/8', '3/2', '4'] -> (3/2 / (((7/8 + 7/8) / 4) - 3/8))
[50050] ['1/2', '4/7', '3/5', '8/9', '4'] -> (((4 / (8/9 - 4/7)) - 3/5) / 1/2)
[50051] ['1/9', '5/9', '3/5', '8/9', '3'] -> (((3 + (5/9 + 8/9)) * 3/5) / 1/9)
[50052] ['1/7', '1/7', '3/4', '8/9', '5'] -> ((1/7 + 5) * ((8/9 * 3/4) / 1/7))
[50053] ['9/5', '8/3', '7/2', '7/2', '6'] -> ((9/5 * 8/3) * (6 - (7/2 / 7/2)))
[50054] ['1/6', '1/6', '2/7', '9/8', '9'] -> (9 / (9/8 - (1/6 + (1/6 / 2/7))))
[50055] ['1/2', '4/7', '3/5', '9/8', '4'] -> (4 / (4/7 * (9/8 - (1/2 / 3/5))))
[50056] ['5/9', '4/5', '1', '5/3', '7/2'] -> (4/5 / (7/2 - (5/3 + (1 / 5/9))))
[50057] ['1/9', '1/5', '4/9', '7/2', '5'] -> (((1/9 + 5) / 1/5) - (4/9 * 7/2))
[50058] ['1/6', '1/6', '2/7', '8/7', '9'] -> ((9 - (8/7 + (1/6 / 1/6))) / 2/7)
[50059] ['1/4', '2/5', '2/3', '7/8', '5'] -> (((7/8 / 1/4) + (5 / 2/5)) / 2/3)
[50060] ['3/8', '7/8', '7/8', '7/4', '4'] -> ((7/8 + (7/4 * 4)) / (3/8 * 7/8))
[50061] ['1/5', '2/9', '7/5', '9/4', '5'] -> ((5 + (7/5 / 1/5)) / (2/9 * 9/4))
[50062] ['1/2', '4/7', '3/5', '7/6', '4'] -> (4 / ((1/2 / 3/5) - (4/7 * 7/6)))
[50063] ['1/5', '1/5', '5/9', '9/8', '6'] -> (6 / ((1/5 + 1/5) * 5/9) * 9/8))
[50064] ['1/3', '5/8', '9/7', '3/2', '8'] -> ((((3/2 * 8) - 1/3) * 9/7) / 5/8)
[50065] ['3/8', '7/8', '7/8', '9/5', '4'] -> (((4 + (7/8 / 7/8)) * 9/5) / 3/8)
[50066] ['2/7', '3/7', '1/2', '8/5', '2'] -> (2 / (1/2 - (2/7 / (3/7 * /5)))
)[50067] ['1/9', '3/8', '3/8', '3/8', '4'] -> ((3/8 + 4) / (3/8 * (1/9 + 3/8)))
[50068] ['1/6', '1/6', '2/7', '9/7', '9'] -> ((9 + (2/7 - 9/7)) / (1/6 + 1/6))
[50069] ['1/7', '1/7', '3/4', '5/4', '5'] -> ((((3/4 * 5) - 1/7) / 1/7) - 5/4)
[50070] ['1/5', '5/9', '7/8', '9/5', '4'] -> (((5/9 * 9/5) + (4 / 1/5)) / 7/8)
[50071] ['9/4', '9/4', '9/4', '9/4', '6'] -> (6 / (9/4 - ((9/4 + 9/4) / 9/4)))
[50072] ['2/5', '2/5', '8/9', '9/4', '3'] -> (2/5 / ((8/9 * 3) - (2/5 + 9/4)))
[50073] ['1/9', '3/8', '3/8', '2/5', '4'] -> (4 / (2/5 * (3/8 + (1/9 * 3/8))))
[50074] ['1/9', '1/5', '1/2', '5/9', '5'] -> ((1/9 - (5/9 / 1/2)) + (5 / 1/5))
[50075] ['1/7', '1/7', '3/4', '9/7', '5'] -> (((1/7 + 5) - (9/7 / 3/4)) / 1/7)
[50076] ['2/7', '3/7', '1/2', '9/5', '2'] -> (2/7 / ((1/2 / 2) - (3/7 / 9/5)))
[50077] ['1/5', '5/9', '7/8', '9/4', '4'] -> (((4 * 9/4) / 5/9) / (7/8 - 1/5))
[50078] ['1/3', '5/8', '9/7', '9/5', '8'] -> ((9/7 * 8) * (9/5 + (1/3 / 5/8)))
[50079] ['2/5', '2/5', '8/9', '5/2', '3'] -> (3 / (5/2 * (2/5 / 8/9)) - 2/5))
[50080] ['9/4', '9/4', '7/3', '5/2', '6'] -> ((9/4 + 5/2) + (7/3 * (9/4 + 6)))
[50081] ['5/9', '4/5', '1', '7/4', '9/4'] -> ((5/9 / (4/5 - (7/4 / 9/4))) - 1)
[50082] ['1/9', '3/8', '3/8', '4/7', '4'] -> (3/8 + (4 / (4/7 * (1/9 / 3/8))))
[50083] ['3/8', '7/8', '7/8', '7/2', '4'] -> ((4 + ((7/8 + 7/2) / 7/8)) / 3/8)
[50084] ['1/6', '1/6', '2/7', '3/2', '9'] -> (9 * (3/2 + ((1/6 + 1/6) / 2/7)))
[50085] ['1/5', '1/5', '5/9', '4/3', '6'] -> (4/3 + (((1/5 + 5/9) * 6) / 1/5))
[50086] ['2/7', '3/7', '1/2', '2', '7/3'] -> (((7/3 + (2 / 3/7)) / 2/7) - 1/2)
[50087] ['1/9', '1/5', '1/2', '5/8', '5'] -> (5 / (1/9 * (1/2 / 1/5)) - 5/8))
[50088] ['1/7', '1/7', '3/4', '3/2', '5'] -> ((((5 - 1/7) * 3/4) / 1/7) - 3/2)
[50089] ['1/4', '2/5', '2/3', '7/4', '5'] -> (2/5 / (1/4 - ((2/3 * 7/4) / 5)))
[50090] ['1/9', '5/9', '3/5', '9/4', '3'] -> ((3/5 + (3 / 5/9)) / (1/9 * 9/4))
[50091] ['1/5', '5/9', '7/8', '8/3', '4'] -> (4 / ((5/9 / (1/5 * 8/3)) - 7/8))
[50092] ['1/3', '5/8', '9/7', '5/2', '8'] -> ((9/7 * 5/2) * (8 - (1/3 / 5/8)))
[50093] ['1/5', '1/5', '5/9', '7/5', '6'] -> ((5/9 * 6) * (1/5 + (7/5 / 1/5)))
[50094] ['9/4', '7/3', '7/3', '7/3', '6'] -> (6 / (9/4 - ((7/3 + 7/3) / 7/3)))
[50095] ['1/2', '4/7', '3/5', '7/4', '4'] -> (4 / ((4/7 * 7/4) - (1/2 / 3/5)))
[50096] ['1/6', '1/6', '2/7', '5/3', '9'] -> (9 / (1/6 * (5/3 + (1/6 / 2/7))))
[50097] ['2/7', '3/7', '1/2', '2', '8/3'] -> (8/3 * (1/2 + ((3/7 + 2) / 2/7)))
[50098] ['1/7', '1/7', '3/4', '8/5', '5'] -> ((8/5 * 5) / (1/7 + (1/7 / 3/4)))
[50099] ['3/8', '7/8', '8/9', '9/8', '4'] -> ((7/8 + 9/8) * (4 / (3/8 * 8/9)))
[50100] ['1/4', '2/5', '2/3', '9/4', '5'] -> (((2/3 + (2/5 * 5)) * 9/4) / 1/4)
[50101] ['1/9', '5/9', '3/5', '7/3', '3'] -> ((7/3 + 3) / ((5/9 * 3/5) - 1/9))
[50102] ['1/3', '5/8', '9/7', '7/2', '8'] -> ((1/3 + (5/8 * 8)) * (9/7 * 7/2))
[50103] ['1/5', '1/5', '5/9', '3/2', '6'] -> (((6 * (5/9 * 3/2)) - 1/5) / 1/5)
[50104] ['1/9', '5/9', '3/5', '5/2', '3'] -> ((((5/9 * 3) - 3/5) * 5/2) / 1/9)
[50105] ['1/6', '1/6', '2/7', '9/4', '9'] -> (9 * ((1/6 / 2/7) - (1/6 - 9/4)))
[50106] ['1/4', '2/5', '5/7', '5/7', '5'] -> (((2/5 * 5/7) + (5/7 + 5)) / 1/4)
[50107] ['1/7', '1/7', '3/4', '7/4', '5'] -> ((1/7 + ((3/4 + 5) / 7/4)) / 1/7)
[50108] ['2/5', '2/5', '9/8', '7/6', '3'] -> (3 / ((7/6 * (2/5 * 9/8)) - 2/5))
[50109] ['1/5', '2/9', '8/5', '9/4', '5'] -> ((8/5 * (5 + (9/4 / 2/9))) - 1/5)
[50110] ['1/5', '5/9', '8/9', '8/9', '4'] -> (((8/9 * 4) - 8/9) / (1/5 * 5/9))
[50111] ['1/6', '1/6', '2/7', '7/3', '9'] -> (7/3 * ((1/6 / 1/6) + (2/7 + 9)))
[50112] ['1/9', '1/5', '1/2', '7/8', '5'] -> (((5 * 1/5) / 1/9) / (7/8 - 1/2))
[50113] ['2/5', '2/5', '9/8', '6/5', '3'] -> ((6/5 / (2/5 - (2/5 / 9/8))) - 3)
[50114] ['1/5', '5/9', '8/9', '9/8', '4'] -> (((4 / 9/8) - 8/9) / (1/5 * 5/9))
[50115] ['1/6', '1/6', '2/7', '5/2', '9'] -> ((9 / 2/7) - (5/2 / (1/6 + 1/6)))
[50116] ['1/9', '5/9', '5/8', '5/8', '3'] -> (((5/9 * 3) + (5/8 / 5/8)) / 1/9)
[50117] ['2/5', '2/5', '9/8', '9/7', '3'] -> (3 / ((2/5 / 2/5) - (9/8 / 9/7)))
[50118] ['1/7', '1/7', '3/4', '7/3', '5'] -> ((5 / 3/4) + ((1/7 + 7/3) / 1/7))
[50119] ['3/8', '7/8', '8/9', '9/7', '4'] -> (4 / ((3/8 - 8/9) + (7/8 / 9/7)))
[50120] ['1/6', '1/6', '2/7', '7/2', '9'] -> ((9 - (2/7 * 7/2)) / (1/6 + 1/6))
[50121] ['1/9', '1/5', '1/2', '8/9', '5'] -> (((5 - 1/9) / 1/5) - (1/2 * 8/9))
[50122] ['1/5', '2/9', '5/3', '7/4', '5'] -> ((5 * (1/5 + 5/3)) / (2/9 * 7/4))
[50123] ['1/9', '3/8', '3/8', '6/5', '4'] -> ((1/9 + (4 / (3/8 * 6/5))) / 3/8)
[50124] ['2/7', '3/7', '5/9', '7/9', '2'] -> ((2/7 + 2) / (3/7 * (7/9 - 5/9)))
[50125] ['2/5', '2/5', '9/8', '4/3', '3'] -> (2/5 / ((3 * (2/5 * 9/8)) - 4/3))
[50126] ['1/4', '2/5', '5/7', '4/5', '5'] -> ((2/5 + ((5 * 4/5) / 5/7)) / 1/4)
[50127] ['1/9', '1/5', '1/2', '9/8', '5'] -> (((5 - 1/9) / 1/5) - (1/2 / 9/8))
[50128] ['7/3', '7/3', '7/3', '8/3', '6'] -> (6 * ((7/3 + 8/3) - (7/3 / 7/3)))
[50129] ['1/9', '3/8', '3/8', '9/7', '4'] -> (((3/8 + (3/8 / 9/7)) * 4) / 1/9)
[50130] ['1/3', '5/8', '7/5', '9/4', '8'] -> (9/4 * ((7/5 * 8) - (1/3 / 5/8)))
[50131] ['1/9', '5/9', '5/8', '5/6', '3'] -> ((5/9 + 3) / (5/6 * (1/9 / 5/8)))
[50132] ['1/4', '2/5', '5/7', '5/6', '5'] -> (2/5 / (1/4 - (5/6 / (5/7 * 5))))
[50133] ['7/3', '7/3', '7/3', '9/2', '6'] -> (6 * (9/2 - (7/3 / (7/3 + 7/3))))
[50134] ['1/7', '1/7', '7/9', '7/9', '5'] -> ((1/7 + 5) * ((7/9 / 1/7) - 7/9))
[50135] ['7/3', '7/3', '5/2', '5/2', '6'] -> (6 * ((5/2 + 5/2) - (7/3 / 7/3)))
[50136] ['1/2', '4/7', '5/8', '5/6', '4'] -> (4 / (4/7 * (1/2 + 5/8)) - 5/6))
[50137] ['1/4', '2/5', '5/7', '7/8', '5'] -> (((2/5 * 5/7) + (5 / 7/8)) / 1/4)
[50138] ['1/6', '1/6', '1/3', '8/7', '9'] -> (8/7 * (9 + (1/3 / (1/6 * 1/6))))
[50139] ['7/3', '7/3', '5/2', '9/2', '6'] -> (((9/2 + (7/3 + 5/2)) * 6) / 7/3)
[50140] ['1/9', '3/8', '3/8', '9/5', '4'] -> (4 / ((3/8 / 9/5) - (1/9 * 3/8)))
[50141] ['1/6', '1/6', '1/3', '6/5', '9'] -> (((1/6 + (1/3 / 6/5)) * 9) / 1/6)
[50142] ['7/3', '7/3', '8/3', '8/3', '6'] -> (8/3 * ((7/3 * 6) - (7/3 + 8/3)))
[50143] ['1/5', '2/9', '7/4', '9/4', '5'] -> ((5 / 1/5) - (2/9 + (7/4 / 9/4)))
[50144] ['1/3', '5/8', '3/2', '7/4', '8'] -> (8 * (7/4 + (5/8 / (1/3 * 3/2))))
[50145] ['1/5', '5/9', '8/9', '9/4', '4'] -> ((8/9 + (4 / 9/4)) / (1/5 * 5/9))
[50146] ['1/2', '4/7', '5/8', '8/9', '4'] -> ((1/2 / ((4/7 / 8/9) - 5/8)) - 4)
[50147] ['2/7', '3/7', '5/9', '7/6', '2'] -> (2/7 / (3/7 * (7/6 / 2)) - 5/9))
[50148] ['1/6', '1/6', '1/3', '9/7', '9'] -> (((1/6 / 1/6) + (9 / 9/7)) / 1/3)
[50149] ['1/7', '1/7', '7/9', '6/7', '5'] -> ((1/7 + 5) * ((6/7 * 7/9) / 1/7))
[50150] ['1/9', '1/5', '1/2', '7/5', '5'] -> (7/5 + (1/2 * (1/5 + (5 / 1/9))))
[50151] ['1/5', '2/9', '7/4', '7/3', '5'] -> ((7/3 + 5) / (1/5 * (7/4 - 2/9)))
[50152] ['1/9', '5/9', '5/8', '7/5', '3'] -> (3 / ((1/9 * 5/9) * 5/8) + 7/5))
[50153] ['1/5', '1/5', '4/7', '7/9', '6'] -> (6 / ((1/5 / (4/7 * /9)) - 1/5))
[50154] ['2/7', '3/7', '5/9', '6/5', '2'] -> ((2 / (5/9 * (3/7 - 2/7))) - 6/5)
[50155] ['1/4', '2/5', '5/7', '7/6', '5'] -> (5 / ((5/7 * 7/6) - (1/4 / 2/5)))
[50156] ['1/2', '4/7', '5/8', '9/8', '4'] -> ((1/2 / ((4/7 * 9/8) - 5/8)) - 4)
[50157] ['1/7', '1/7', '7/9', '7/8', '5'] -> (5 / (7/9 * (1/7 + (1/7 * 7/8))))
[50158] ['3/8', '7/8', '8/9', '7/3', '4'] -> ((7/3 * 4) / (8/9 + (3/8 - 7/8)))
[50159] ['2/5', '2/5', '8/7', '9/7', '3'] -> (3 / ((9/7 / 8/7) - (2/5 / 2/5)))
[50160] ['1/5', '5/9', '8/9', '4', '9/2'] -> (4 / ((1/5 * (9/2 - 8/9)) - 5/9))
[50161] ['1/2', '4/7', '5/8', '7/6', '4'] -> (4 / (7/6 * (1/2 - (4/7 * 5/8))))
[50162] ['2/7', '3/7', '5/9', '9/7', '2'] -> (((2 / 2/7) - 9/7) / (3/7 * 5/9))
[50163] ['1/9', '5/9', '5/8', '8/5', '3'] -> (((5/9 * 3) + (5/8 * 8/5)) / 1/9)
[50164] ['1/5', '1/5', '4/7', '7/8', '6'] -> (((4/7 + (1/5 / 7/8)) * 6) / 1/5)
[50165] ['1/4', '2/5', '5/7', '5/4', '5'] -> ((2/5 + (5 / (5/7 * 5/4))) / 1/4)
[50166] ['2/5', '2/5', '8/7', '3/2', '3'] -> (3 / ((3/2 * (2/5 / 8/7)) - 2/5))
[50167] ['1/7', '1/7', '7/9', '8/7', '5'] -> (5 / (7/9 * (1/7 + (1/7 / 8/7))))
[50168] ['1/9', '5/9', '5/8', '7/4', '3'] -> (3 / ((1/9 * 7/4) + (5/9 - 5/8)))
[50169] ['1/4', '2/5', '5/7', '9/7', '5'] -> (((9/7 + 5) - (2/5 * 5/7)) / 1/4)
[50170] ['1/9', '1/5', '1/2', '7/3', '5'] -> ((7/3 - (1/5 * 5)) / (1/9 * 1/2))
[50171] ['5/2', '5/2', '5/2', '5/2', '6'] -> (6 * ((5/2 + 5/2) - (5/2 / 5/2)))
[50172] ['5/9', '4/5', '1', '7/3', '8/3'] -> (1 / (5/9 * (7/3 / 8/3)) - 4/5))
[50173] ['1/5', '2/9', '9/5', '9/5', '5'] -> (((2/9 + 9/5) + (5 / 9/5)) / 1/5)
[50174] ['2/7', '3/7', '5/9', '3/2', '2'] -> (2/7 / (3/7 - ((5/9 * 3/2) / 2)))
[50175] ['5/2', '5/2', '5/2', '9/2', '6'] -> (6 * (9/2 - (5/2 / (5/2 + 5/2))))
[50176] ['1/2', '4/7', '5/8', '4/3', '4'] -> (4 / ((1/2 / 4/7) + (5/8 - 4/3)))
