[276714] ['(2-i)', '(3-6i)', '3', '(4+9i)'] -> ((2-i) + ((4+9i) * ((3-6i) / 3)))
[319403] ['(2-i)', '(5-6i)', '(5+i)', '(8+9i)'] -> (((2-i) * (5+i)) + ((5-6i) + (8+9i)))
[319414] ['(2-i)', '(5-6i)', '(5+2i)', '(7+7i)'] -> ((6+3i) + ((6-3i) / ((1-3i) / (5-7i))))
[319420] ['(2-i)', '(5-6i)', '(5+2i)', '(8+8i)'] -> (((2-i) * (8+8i)) + ((5-6i) - (5+2i)))
[319425] ['(2-i)', '(5-6i)', '(5+2i)', '(9-3i)'] -> (((5-6i) * ((5+2i) - (2-i))) - (9-3i))
[319426] ['(2-i)', '(5-6i)', '(5+3i)', '(5+4i)'] -> (((2-i) * (5+4i)) + ((5-6i) + (5+3i)))
[319429] ['(2-i)', '(5-6i)', '(5+3i)', '(6+5i)'] -> (((2-i) * (5+3i)) + ((5-6i) + (6+5i)))
[319512] ['(2-i)', '(5-6i)', '(5+8i)', '(6+2i)'] -> (((2-i) * (6+2i)) + ((5-6i) + (5+8i)))
[319565] ['(2-i)', '(5-6i)', '(6-7i)', '(9+5i)'] -> (((2-7i) * ((9+9i) - (7+6i))) - (1-8i))
[319571] ['(2-i)', '(5-6i)', '(6-6i)', '(9-5i)'] -> ((6-6i) * ((9-5i) - ((2-i) + (5-6i))))
[319581] ['(2-i)', '(5-6i)', '(6-5i)', '8'] -> (8 * ((6-5i) + ((2-i) - (5-6i))))
[319626] ['(2-i)', '(5-6i)', '(6-i)', '(9+7i)'] -> (((2-i) * (9+7i)) + ((5-6i) - (6-i)))
[319629] ['(2-i)', '(5-6i)', '6', '(7-5i)'] -> (6 * ((7-5i) + ((2-i) - (5-6i))))
[319640] ['(2-i)', '(5-6i)', '(6+i)', '(8-6i)'] -> (((2-i) + (6+i)) * ((8-6i) - (5-6i)))
[319646] ['(2-i)', '(5-6i)', '(6+2i)', '(6+2i)'] -> (((6+2i) + ((5-6i) * (6+2i))) / (2-i))
[319667] ['(2-i)', '(5-6i)', '(6+4i)', '(6+8i)'] -> ((((5-6i) * (6+4i)) - (6+8i)) / (2-i))
[319675] ['(2-i)', '(5-6i)', '(6+4i)', '(8+9i)'] -> (((2-i) * (8+9i)) + ((5-6i) - (6+4i)))
[319698] ['(2-i)', '(5-6i)', '(6+6i)', '(9-9i)'] -> ((6+6i) * ((9-9i) - ((2-i) + (5-6i))))
[319754] ['(2-i)', '(5-6i)', '(7-8i)', '(9+9i)'] -> ((2-2i) * ((3+6i) + (-6i / -2i)))
[319788] ['(2-i)', '(5-6i)', '(7-5i)', '(9+4i)'] -> ((4 * (8-2i)) - ((1-6i) + (7-2i)))
[319838] ['(2-i)', '(5-6i)', '(7+i)', '(9+8i)'] -> (((2-i) * (9+8i)) + ((5-6i) - (7+i)))
[319911] ['(2-i)', '(5-6i)', '(8-8i)', '(8+5i)'] -> (((2-i) * (8+5i)) - ((5-6i) - (8-8i)))
[319952] ['(2-i)', '(5-6i)', '(8-3i)', '(9+3i)'] -> (((2-i) * (9+3i)) - ((5-6i) - (8-3i)))
[319960] ['(2-i)', '(5-6i)', '(8-2i)', '(9+9i)'] -> (((2-i) + (5-6i)) + ((8-2i) + (9+9i)))
[319966] ['(2-i)', '(5-6i)', '(8-i)', '(9+8i)'] -> ((-6i * -2i) * ((2+6i) - (4+6i)))
[319972] ['(2-i)', '(5-6i)', '8', '(9+7i)'] -> (((2-i) + (5-6i)) + (8 + (9+7i)))
[319974] ['(2-i)', '(5-6i)', '(8+i)', '(9+6i)'] -> (((2-i) + (5-6i)) + ((8+i) + (9+6i)))
[319980] ['(2-i)', '(5-6i)', '(8+2i)', '(9+5i)'] -> (((2-i) + (5-6i)) + ((8+2i) + (9+5i)))
[319982] ['(2-i)', '(5-6i)', '(8+3i)', '(9+4i)'] -> (((2-i) + (5-6i)) + ((8+3i) + (9+4i)))
[319983] ['(2-i)', '(5-6i)', '(8+3i)', '(9+9i)'] -> (((2-i) * (9+9i)) + ((5-6i) - (8+3i)))
[319985] ['(2-i)', '(5-6i)', '(8+4i)', '(9-6i)'] -> (((2-i) * (8+4i)) - ((5-6i) - (9-6i)))
[319986] ['(2-i)', '(5-6i)', '(8+4i)', '(9+3i)'] -> (((2-i) + (5-6i)) + ((8+4i) + (9+3i)))
[319990] ['(2-i)', '(5-6i)', '(8+5i)', '(9+2i)'] -> (((2-i) + (5-6i)) + ((8+5i) + (9+2i)))
[319994] ['(2-i)', '(5-6i)', '(8+6i)', '(9+i)'] -> (((2-i) + (5-6i)) + ((8+6i) + (9+i)))
[320000] ['(2-i)', '(5-6i)', '(8+7i)', '9'] -> (((2-i) + (5-6i)) + ((8+7i) + 9))
[320005] ['(2-i)', '(5-6i)', '(8+8i)', '(9-i)'] -> (((2-i) + (5-6i)) + ((8+8i) + (9-i)))
[320006] ['(2-i)', '(5-6i)', '(8+9i)', '(9-2i)'] -> (((2-i) + (5-6i)) + ((8+9i) + (9-2i)))
[320034] ['(2-i)', '(5-6i)', '(9-3i)', '(9+3i)'] -> (-6i * ((2+8i) - ((8-4i) / -2i)))
[320039] ['(2-i)', '(5-6i)', '(9-i)', '(9+2i)'] -> ((6+6i) * (9 - ((2-3i) + (5+5i))))
[320069] ['(2-i)', '(5-5i)', '(5-4i)', '(5+i)'] -> (((5-6i) - (5+6i)) / ((1-3i) / (6+2i)))
[320078] ['(2-i)', '(5-5i)', '(5-4i)', '(6+6i)'] -> ((6+6i) * (((2-i) + (5-5i)) - (5-4i)))
[320096] ['(2-i)', '(5-5i)', '(5-3i)', '(6+6i)'] -> ((6+6i) * ((5-3i) - ((5-5i) / (2-i))))
[320104] ['(2-i)', '(5-5i)', '(5-3i)', '(8+i)'] -> (((5-5i) + ((5-3i) * (8+i))) / (2-i))
[320106] ['(2-i)', '(5-5i)', '(5-3i)', '(9+2i)'] -> (((9+2i) / ((2-i) / (5-5i))) - (5-3i))
[320110] ['(2-i)', '(5-5i)', '(5-2i)', '(6-6i)'] -> ((6-6i) * ((5-2i) + ((2-i) - (5-5i))))
[320119] ['(2-i)', '(5-5i)', '(5-2i)', '(9+6i)'] -> ((-6i - -2i) * ((3-i) - (3-7i)))
[320132] ['(2-i)', '(5-5i)', '(5-i)', '(9-2i)'] -> (((5-5i) + ((5-i) * (9-2i))) / (2-i))
[320148] ['(2-i)', '(5-5i)', '5', '(8+8i)'] -> ((8+8i) * ((2-i) - (5 / (5-5i))))
[320155] ['(2-i)', '(5-5i)', '(5+i)', '(6-6i)'] -> ((6-6i) * ((5+i) - ((5-5i) / (2-i))))
[320159] ['(2-i)', '(5-5i)', '(5+i)', '(8+2i)'] -> ((8+2i) + ((5+i) / ((2-i) / (5-5i))))
[320161] ['(2-i)', '(5-5i)', '(5+i)', '(8+8i)'] -> (((2-i) * (5+i)) + ((5-5i) + (8+8i)))
[320171] ['(2-i)', '(5-5i)', '(5+2i)', '(5+4i)'] -> (((2-i) * (5+4i)) + ((5-5i) + (5+2i)))
[320175] ['(2-i)', '(5-5i)', '(5+2i)', '6'] -> (((5-5i) * ((5+2i) - (2-i))) - 6)
[320181] ['(2-i)', '(5-5i)', '(5+2i)', '(7-i)'] -> ((6+6i) * ((6-5i) + ((1-3i) - (5-6i))))
[320184] ['(2-i)', '(5-5i)', '(5+2i)', '(7+6i)'] -> (((2-i) * (5+2i)) + ((5-5i) + (7+6i)))
[320198] ['(2-i)', '(5-5i)', '(5+3i)', '(6-4i)'] -> (-6i * ((3-2i) - (-2i + (3-4i))))
[320202] ['(2-i)', '(5-5i)', '(5+3i)', '(6+i)'] -> ((5+3i) + ((6+i) / ((2-i) / (5-5i))))
[320203] ['(2-i)', '(5-5i)', '(5+3i)', '(6+4i)'] -> (((2-i) * (5+3i)) + ((5-5i) + (6+4i)))
[320212] ['(2-i)', '(5-5i)', '(5+3i)', '(8+8i)'] -> (((2-i) * (8+8i)) + ((5-5i) - (5+3i)))
[320225] ['(2-i)', '(5-5i)', '(5+4i)', '(7-8i)'] -> (((5+4i) * ((5-5i) - (2-i))) - (7-8i))
[320242] ['(2-i)', '(5-5i)', '(5+5i)', '(5+9i)'] -> ((5+5i) * ((2-i) - ((5+9i) / (5-5i))))
[320272] ['(2-i)', '(5-5i)', '(5+7i)', '(6+2i)'] -> (-6i - ((8+2i) * (-2i - (3-2i))))
[320288] ['(2-i)', '(5-5i)', '(5+7i)', '(8+5i)'] -> (((8+5i) / ((2-i) / (5-5i))) - (5+7i))
[320394] ['(2-i)', '(5-5i)', '(6-6i)', '(8+4i)'] -> (((2-i) / (5-5i)) * ((6-6i) * (8+4i)))
[320399] ['(2-i)', '(5-5i)', '(6-6i)', '(9-4i)'] -> (-3i * ((1+7i) - ((9-5i) / (7+2i))))
[320401] ['(2-i)', '(5-5i)', '(6-6i)', '(9+5i)'] -> (((2-i) * (9+5i)) - ((5-5i) - (6-6i)))
[320414] ['(2-i)', '(5-5i)', '(6-5i)', '(8+9i)'] -> (((2-i) * ((5-5i) + (8+9i))) - (6-5i))
[320425] ['(2-i)', '(5-5i)', '(6-4i)', '8'] -> (8 * ((6-4i) + ((2-i) - (5-5i))))
[320459] ['(2-i)', '(5-5i)', '(6-i)', '(7+9i)'] -> ((7+9i) + ((6-i) / ((2-i) / (5-5i))))
[320461] ['(2-i)', '(5-5i)', '(6-i)', '8'] -> (8 * ((6-i) - ((5-5i) / (2-i))))
[320468] ['(2-i)', '(5-5i)', '6', '(6+6i)'] -> (((4+i) * ((1-6i) + (6+5i))) - (5+3i))
[320472] ['(2-i)', '(5-5i)', '6', '(7-4i)'] -> ((1-6i) - ((7-8i) * ((4+i) - (5+3i))))
[320473] ['(2-i)', '(5-5i)', '6', '(7-i)'] -> (6 * ((7-i) - ((5-5i) / (2-i))))
[320483] ['(2-i)', '(5-5i)', '6', '(9+3i)'] -> (((9+3i) / ((2-i) / (5-5i))) - 6)
[320484] ['(2-i)', '(5-5i)', '6', '(9+7i)'] -> (((2-i) * (9+7i)) + ((5-5i) - 6))
[320487] ['(2-i)', '(5-5i)', '(6+i)', '(6+9i)'] -> (((2-i) * (6+i)) + ((5-5i) + (6+9i)))
[320491] ['(2-i)', '(5-5i)', '(6+i)', '(8-5i)'] -> (((2-i) + (6+i)) * ((8-5i) - (5-5i)))
[320502] ['(2-i)', '(5-5i)', '(6+2i)', '(7-9i)'] -> ((6+2i) * ((2-i) + ((7-9i) / (5-5i))))
[320510] ['(2-i)', '(5-5i)', '(6+2i)', '(8-4i)'] -> (((8-4i) + ((5-5i) * (6+2i))) / (2-i))
[320536] ['(2-i)', '(5-5i)', '(6+5i)', '(8+9i)'] -> (((2-i) * (8+9i)) + ((5-5i) - (6+5i)))
[320546] ['(2-i)', '(5-5i)', '(6+6i)', '(9-8i)'] -> ((-6i / -2i) * ((3+9i) + (5-9i)))
[320585] ['(2-i)', '(5-5i)', '(7-9i)', '(8+5i)'] -> ((2-i) * ((8+5i) + ((7-9i) / (5-5i))))
[320586] ['(2-i)', '(5-5i)', '(7-9i)', '(8+6i)'] -> (((2-i) * (8+6i)) - ((5-5i) - (7-9i)))
[320595] ['(2-i)', '(5-5i)', '(7-8i)', '(9+8i)'] -> (((2-i) * ((5-5i) + (9+8i))) - (7-8i))
[320614] ['(2-i)', '(5-5i)', '(7-4i)', '(9+4i)'] -> (((2-i) * (9+4i)) - ((5-5i) - (7-4i)))
[320631] ['(2-i)', '(5-5i)', '(7-i)', '(8-3i)'] -> ((((7-i) * (8-3i)) - (5-5i)) / (2-i))
[320634] ['(2-i)', '(5-5i)', '(7-i)', '(8+3i)'] -> (-3i * ((1+9i) + ((7-9i) / (1+8i))))
[320652] ['(2-i)', '(5-5i)', '(7+i)', '(8+6i)'] -> (((8+6i) + ((5-5i) * (7+i))) / (2-i))
[320656] ['(2-i)', '(5-5i)', '(7+i)', '(9+4i)'] -> (((4+i) * ((8-8i) - (1-6i))) - (6-i))
[320660] ['(2-i)', '(5-5i)', '(7+2i)', '(9+8i)'] -> (((2-i) * (9+8i)) + ((5-5i) - (7+2i)))
[320670] ['(2-i)', '(5-5i)', '(7+3i)', '(9+4i)'] -> (((9+4i) / ((2-i) / (5-5i))) - (7+3i))
[320672] ['(2-i)', '(5-5i)', '(7+4i)', '(7+9i)'] -> ((((5-5i) * (7+4i)) - (7+9i)) / (2-i))
[320748] ['(2-i)', '(5-5i)', '(8-7i)', '(8+5i)'] -> (((2-i) * (8+5i)) - ((5-5i) - (8-7i)))
[320760] ['(2-i)', '(5-5i)', '(8-6i)', '(9+9i)'] -> (((2-i) * ((5-5i) + (9+9i))) - (8-6i))
[320778] ['(2-i)', '(5-5i)', '(8-3i)', '(9+9i)'] -> (((2-i) + (5-5i)) + ((8-3i) + (9+9i)))
[320781] ['(2-i)', '(5-5i)', '(8-2i)', '(9+3i)'] -> (((2-i) * (9+3i)) - ((5-5i) - (8-2i)))
[320782] ['(2-i)', '(5-5i)', '(8-2i)', '(9+8i)'] -> (((2-i) + (5-5i)) + ((8-2i) + (9+8i)))
[320791] ['(2-i)', '(5-5i)', '(8-i)', '(9+7i)'] -> (((2-i) + (5-5i)) + ((8-i) + (9+7i)))
[320795] ['(2-i)', '(5-5i)', '8', '(9-3i)'] -> (((2-i) / (5-5i)) * (8 * (9-3i)))
[320797] ['(2-i)', '(5-5i)', '8', '(9+6i)'] -> (((2-i) + (5-5i)) + (8 + (9+6i)))
[320799] ['(2-i)', '(5-5i)', '(8+i)', '(9+5i)'] -> (((2-i) + (5-5i)) + ((8+i) + (9+5i)))
[320804] ['(2-i)', '(5-5i)', '(8+2i)', '(9+4i)'] -> (((2-i) + (5-5i)) + ((8+2i) + (9+4i)))
[320807] ['(2-i)', '(5-5i)', '(8+3i)', '(9+3i)'] -> (((2-i) + (5-5i)) + ((8+3i) + (9+3i)))
[320810] ['(2-i)', '(5-5i)', '(8+4i)', '(9-5i)'] -> (((2-i) * (8+4i)) - ((5-5i) - (9-5i)))
[320811] ['(2-i)', '(5-5i)', '(8+4i)', '(9+2i)'] -> (((2-i) + (5-5i)) + ((8+4i) + (9+2i)))
[320813] ['(2-i)', '(5-5i)', '(8+4i)', '(9+9i)'] -> (((2-i) * (9+9i)) + ((5-5i) - (8+4i)))
[320816] ['(2-i)', '(5-5i)', '(8+5i)', '(9+i)'] -> (((2-i) + (5-5i)) + ((8+5i) + (9+i)))
[320821] ['(2-i)', '(5-5i)', '(8+6i)', '9'] -> (((2-i) + (5-5i)) + ((8+6i) + 9))
[320823] ['(2-i)', '(5-5i)', '(8+6i)', '(9+5i)'] -> (((9+5i) / ((2-i) / (5-5i))) - (8+6i))
[320829] ['(2-i)', '(5-5i)', '(8+7i)', '(9-i)'] -> ((-6i * -2i) * ((4+6i) - (6+6i)))
[320831] ['(2-i)', '(5-5i)', '(8+8i)', '(9-2i)'] -> (((2-i) + (5-5i)) + ((8+8i) + (9-2i)))
[320837] ['(2-i)', '(5-5i)', '(8+9i)', '(9-3i)'] -> (((2-i) + (5-5i)) + ((8+9i) + (9-3i)))
[320842] ['(2-i)', '(5-5i)', '(9-9i)', '(9+3i)'] -> (((9-9i) - (5-5i)) / ((2-i) / (9+3i)))
[320865] ['(2-i)', '(5-5i)', '9', '(9+2i)'] -> ((-3i * ((1+8i) - (2-2i))) - (6+3i))
[320871] ['(2-i)', '(5-5i)', '(9+6i)', '(9+9i)'] -> (((9+6i) / ((2-i) / (5-5i))) - (9+9i))
[320887] ['(2-i)', '(5-4i)', '(5-3i)', '(5+2i)'] -> (((5-3i) * (5+2i)) - ((2-i) + (5-4i)))
[320892] ['(2-i)', '(5-4i)', '(5-3i)', '(6+6i)'] -> ((6+6i) * (((2-i) + (5-4i)) - (5-3i)))
[320907] ['(2-i)', '(5-4i)', '(5-2i)', '(7+9i)'] -> (((2-i) * ((5-4i) + (7+9i))) - (5-2i))
[320911] ['(2-i)', '(5-4i)', '(5-2i)', '(8+i)'] -> ((5-4i) + ((8+i) / ((2-i) / (5-2i))))
[320918] ['(2-i)', '(5-4i)', '(5-i)', '(6-6i)'] -> ((6-6i) * ((5-i) + ((2-i) - (5-4i))))
[320930] ['(2-i)', '(5-4i)', '(5-i)', '(9+6i)'] -> (((2-i) * (9+6i)) + ((5-4i) - (5-i)))
[320946] ['(2-i)', '(5-4i)', '5', '(9+9i)'] -> (((2-i) * 5) + ((5-4i) + (9+9i)))
[320947] ['(2-i)', '(5-4i)', '(5+i)', '(5+4i)'] -> ((-6i * -2i) * ((5-6i) - (7-6i)))
[320958] ['(2-i)', '(5-4i)', '(5+i)', '(8+7i)'] -> (((2-i) * (5+i)) + ((5-4i) + (8+7i)))
[320965] ['(2-i)', '(5-4i)', '(5+2i)', '(7-9i)'] -> (((5-4i) * (5+2i)) - ((2-i) + (7-9i)))
[320967] ['(2-i)', '(5-4i)', '(5+2i)', '(7+5i)'] -> ((6-6i) * (6 + ((1-3i) - (5-5i))))
[320980] ['(2-i)', '(5-4i)', '(5+3i)', '(6+3i)'] -> (((2-i) * (5+3i)) + ((5-4i) + (6+3i)))
[320984] ['(2-i)', '(5-4i)', '(5+3i)', '(7+8i)'] -> (((5-4i) * ((5+3i) - (2-i))) - (7+8i))
[321001] ['(2-i)', '(5-4i)', '(5+4i)', '(8+8i)'] -> (((2-i) * (8+8i)) + ((5-4i) - (5+4i)))
[321011] ['(2-i)', '(5-4i)', '(5+5i)', '6'] -> (((5+5i) * ((5-4i) - (2-i))) - 6)
[321027] ['(2-i)', '(5-4i)', '(5+6i)', '(6+2i)'] -> (((2-i) * (6+2i)) + ((5-4i) + (5+6i)))
[321036] ['(2-i)', '(5-4i)', '(5+6i)', '(8+9i)'] -> ((8+3i) - ((2-7i) * ((7-8i) - (8-6i))))
[321039] ['(2-i)', '(5-4i)', '(5+6i)', '(9+3i)'] -> (((5+6i) * ((5-4i) - (2-i))) - (9+3i))
[321044] ['(2-i)', '(5-4i)', '(5+7i)', '(7-i)'] -> ((5+7i) + ((7-i) / ((2-i) / (5-4i))))
[321101] ['(2-i)', '(5-4i)', '(6-6i)', '(6+4i)'] -> (((6+4i) * ((5-4i) - (2-i))) - (6-6i))
[321110] ['(2-i)', '(5-4i)', '(6-6i)', '(9-3i)'] -> ((6-6i) * ((9-3i) - ((2-i) + (5-4i))))
[321116] ['(2-i)', '(5-4i)', '(6-5i)', '(8+8i)'] -> (((2-i) * ((5-4i) + (8+8i))) - (6-5i))
[321117] ['(2-i)', '(5-4i)', '(6-5i)', '(9+5i)'] -> (((2-i) * (9+5i)) - ((5-4i) - (6-5i)))
[321128] ['(2-i)', '(5-4i)', '(6-3i)', '(6+i)'] -> ((6-3i) * ((6+i) - ((5-4i) / (2-i))))
[321132] ['(2-i)', '(5-4i)', '(6-3i)', '8'] -> (8 * ((6-3i) + ((2-i) - (5-4i))))
[321135] ['(2-i)', '(5-4i)', '(6-2i)', '(6+2i)'] -> ((-3i * (1+8i)) - ((3-9i) - (3-6i)))
[321144] ['(2-i)', '(5-4i)', '6', '(7-3i)'] -> (6 * ((7-3i) + ((2-i) - (5-4i))))
[321152] ['(2-i)', '(5-4i)', '(6+i)', '(6+8i)'] -> ((-3i + (6+3i)) * ((1+8i) + (3-8i)))
[321160] ['(2-i)', '(5-4i)', '(6+i)', '(8-4i)'] -> (((2-i) + (6+i)) * ((8-4i) - (5-4i)))
[321163] ['(2-i)', '(5-4i)', '(6+i)', '(9+i)'] -> ((9+i) * ((2-i) + ((6+i) / (5-4i))))
[321164] ['(2-i)', '(5-4i)', '(6+i)', '(9+7i)'] -> (((2-i) * (9+7i)) + ((5-4i) - (6+i)))
[321172] ['(2-i)', '(5-4i)', '(6+2i)', '(8-i)'] -> (((5-4i) * ((6+2i) - (2-i))) - (8-i))
[321188] ['(2-i)', '(5-4i)', '(6+3i)', '9'] -> (((5-4i) * (6+3i)) - ((2-i) * 9))
[321215] ['(2-i)', '(5-4i)', '(6+5i)', '(9-3i)'] -> (((6+5i) * ((5-4i) - (2-i))) - (9-3i))
[321222] ['(2-i)', '(5-4i)', '(6+6i)', '(8+9i)'] -> (((2-7i) + (7-7i)) + ((7+5i) + (8+9i)))
[321224] ['(2-i)', '(5-4i)', '(6+6i)', '(9-7i)'] -> ((6+6i) * ((9-7i) - ((2-i) + (5-4i))))
[321269] ['(2-i)', '(5-4i)', '(7-8i)', '(8+6i)'] -> (((2-i) * (8+6i)) - ((5-4i) - (7-8i)))
[321273] ['(2-i)', '(5-4i)', '(7-8i)', '(9+7i)'] -> (((2-i) * ((5-4i) + (9+7i))) - (7-8i))
[321305] ['(2-i)', '(5-4i)', '(7-3i)', '(8+9i)'] -> (((2-i) * ((5-4i) + (8+9i))) - (7-3i))
[321308] ['(2-i)', '(5-4i)', '(7-3i)', '(9+4i)'] -> (((2-i) * (9+4i)) - ((5-4i) - (7-3i)))
[321337] ['(2-i)', '(5-4i)', '(7+i)', '(9-i)'] -> (((9-i) + ((5-4i) * (7+i))) / (2-i))
[321347] ['(2-i)', '(5-4i)', '(7+3i)', '(9+8i)'] -> (((2-i) * (9+8i)) + ((5-4i) - (7+3i)))
[321354] ['(2-i)', '(5-4i)', '(7+4i)', '(9-9i)'] -> (((7+4i) * ((5-4i) - (2-i))) - (9-9i))
[321369] ['(2-i)', '(5-4i)', '(7+6i)', '(9-9i)'] -> (((2-i) * (7+6i)) - ((5-4i) - (9-9i)))
[321400] ['(2-i)', '(5-4i)', '(8-8i)', '9'] -> ((-6i - -2i) * ((7+2i) - (7-4i)))
[321410] ['(2-i)', '(5-4i)', '(8-6i)', '(8+5i)'] -> (((2-i) * (8+5i)) - ((5-4i) - (8-6i)))
[321414] ['(2-i)', '(5-4i)', '(8-6i)', '(9+8i)'] -> (((2-i) * ((5-4i) + (9+8i))) - (8-6i))
[321425] ['(2-i)', '(5-4i)', '(8-4i)', '(9+9i)'] -> (((2-i) + (5-4i)) + ((8-4i) + (9+9i)))
[321432] ['(2-i)', '(5-4i)', '(8-3i)', '(9+8i)'] -> (((2-i) + (5-4i)) + ((8-3i) + (9+8i)))
[321441] ['(2-i)', '(5-4i)', '(8-2i)', '(9+7i)'] -> (((2-i) + (5-4i)) + ((8-2i) + (9+7i)))
[321449] ['(2-i)', '(5-4i)', '(8-i)', '(9+3i)'] -> (((2-i) * (9+3i)) - ((5-4i) - (8-i)))
[321452] ['(2-i)', '(5-4i)', '(8-i)', '(9+6i)'] -> (((2-i) + (5-4i)) + ((8-i) + (9+6i)))
[321453] ['(2-i)', '(5-4i)', '8', '(8+8i)'] -> (((8+8i) + ((5-4i) * 8)) / (2-i))
[321454] ['(2-i)', '(5-4i)', '8', '(9-9i)'] -> ((8 * (9-9i)) / ((5-4i) - (2-i)))
[321459] ['(2-i)', '(5-4i)', '8', '(9+i)'] -> (8 * ((2-i) + ((9+i) / (5-4i))))
[321462] ['(2-i)', '(5-4i)', '8', '(9+5i)'] -> (((2-i) + (5-4i)) + (8 + (9+5i)))
[321466] ['(2-i)', '(5-4i)', '(8+i)', '(9+4i)'] -> (((2-i) + (5-4i)) + ((8+i) + (9+4i)))
[321470] ['(2-i)', '(5-4i)', '(8+2i)', '(9+3i)'] -> (-6i * ((7+4i) - (-2i + (7+2i))))
[321473] ['(2-i)', '(5-4i)', '(8+3i)', '(9+2i)'] -> (((2-i) + (5-4i)) + ((8+3i) + (9+2i)))
[321474] ['(2-i)', '(5-4i)', '(8+4i)', '(9-4i)'] -> (((2-i) * (8+4i)) - ((5-4i) - (9-4i)))
[321477] ['(2-i)', '(5-4i)', '(8+4i)', '(9+i)'] -> (((2-i) + (5-4i)) + ((8+4i) + (9+i)))
[321482] ['(2-i)', '(5-4i)', '(8+5i)', '9'] -> (-3i * ((1+8i) - ((3+8i) / (3+8i))))
[321483] ['(2-i)', '(5-4i)', '(8+5i)', '(9+9i)'] -> (((2-i) * (9+9i)) + ((5-4i) - (8+5i)))
[321485] ['(2-i)', '(5-4i)', '(8+6i)', '(9-i)'] -> (((2-i) + (5-4i)) + ((8+6i) + (9-i)))
[321490] ['(2-i)', '(5-4i)', '(8+7i)', '(9-2i)'] -> (((2-i) + (5-4i)) + ((8+7i) + (9-2i)))
[321491] ['(2-i)', '(5-4i)', '(8+8i)', '(9-3i)'] -> (((2-i) + (5-4i)) + ((8+8i) + (9-3i)))
[321495] ['(2-i)', '(5-4i)', '(8+9i)', '(9-4i)'] -> (((2-i) + (5-4i)) + ((8+9i) + (9-4i)))
[321498] ['(2-i)', '(5-4i)', '(9-8i)', '(9+3i)'] -> (((9-8i) - (5-4i)) / ((2-i) / (9+3i)))
[321513] ['(2-i)', '(5-4i)', '(9-4i)', '(9+9i)'] -> (((2-i) * ((5-4i) + (9+9i))) - (9-4i))
[321519] ['(2-i)', '(5-4i)', '(9+i)', '(9+2i)'] -> (((2-i) * (9+2i)) - ((5-4i) - (9+i)))
[321522] ['(2-i)', '(5-4i)', '(9+3i)', '(9+3i)'] -> ((((5-4i) * (9+3i)) - (9+3i)) / (2-i))
[321526] ['(2-i)', '(5-4i)', '(9+4i)', '(9+9i)'] -> (((2-i) * (5-4i)) + ((9+4i) + (9+9i)))
[321528] ['(2-i)', '(5-4i)', '(9+5i)', '(9+8i)'] -> (((2-i) * (5-4i)) + ((9+5i) + (9+8i)))
[321529] ['(2-i)', '(5-4i)', '(9+6i)', '(9+7i)'] -> ((8+3i) - ((2-7i) * ((7-6i) - (8-4i))))
[321552] ['(2-i)', '(5-3i)', '(5-2i)', '(6+6i)'] -> ((6+6i) * (((2-i) + (5-3i)) - (5-2i)))
[321556] ['(2-i)', '(5-3i)', '(5-2i)', '(7+4i)'] -> (((7+4i) * ((5-3i) - (2-i))) - (5-2i))
[321559] ['(2-i)', '(5-3i)', '(5-2i)', '(7+8i)'] -> ((4-8i) * (((6+9i) / (1+8i)) - -3i))
[321562] ['(2-i)', '(5-3i)', '(5-2i)', '(9+2i)'] -> (((9+2i) * ((5-2i) - (2-i))) - (5-3i))
[321571] ['(2-i)', '(5-3i)', '(5-i)', '(8+2i)'] -> ((8+2i) * ((2-i) + ((5-i) / (5-3i))))
[321572] ['(2-i)', '(5-3i)', '(5-i)', '(9+3i)'] -> ((9+3i) * ((5-i) - ((5-3i) / (2-i))))
[321575] ['(2-i)', '(5-3i)', '5', '(5+4i)'] -> (((2-i) * (5+4i)) + ((5-3i) + 5))
[321577] ['(2-i)', '(5-3i)', '5', '(6-6i)'] -> (((1-3i) * (6+6i)) - ((5-4i) - (5+8i)))
[321594] ['(2-i)', '(5-3i)', '5', '(9+6i)'] -> ((-6i - -2i) * ((8+7i) - (8+i)))
[321595] ['(2-i)', '(5-3i)', '5', '(9+8i)'] -> (((2-i) * 5) + ((5-3i) + (9+8i)))
[321602] ['(2-i)', '(5-3i)', '(5+i)', '(8-4i)'] -> ((8-4i) * ((5+i) - ((5-3i) / (2-i))))
[321606] ['(2-i)', '(5-3i)', '(5+i)', '(8+6i)'] -> (((2-i) * (5+i)) + ((5-3i) + (8+6i)))
[321613] ['(2-i)', '(5-3i)', '(5+2i)', '(7+4i)'] -> (((2-i) * (5+2i)) + ((5-3i) + (7+4i)))
[321616] ['(2-i)', '(5-3i)', '(5+2i)', '(9-6i)'] -> (((2-i) - (9-6i)) + ((5-3i) * (5+2i)))
[321620] ['(2-i)', '(5-3i)', '(5+3i)', '(6-4i)'] -> (((5+3i) * ((6-4i) - (2-i))) - (5-3i))
[321626] ['(2-i)', '(5-3i)', '(5+3i)', '(8+i)'] -> (((5-3i) * (5+3i)) - ((2-i) + (8+i)))
[321650] ['(2-i)', '(5-3i)', '(5+5i)', '(6+2i)'] -> ((-6i + -2i) * (9 - (9-3i)))
