[26596] ['7/6', '6/5', '8/3', '8/3', '4'] -> ((8/3 + 8/3) * (7/6 + (4 / 6/5)))
[31823] ['3/8', '5/9', '5/4', '7/4', '3'] -> (3 / ((5/4 / 5/9) - (3/8 + 7/4)))
[31824] ['2/9', '3/4', '8/5', '8/5', '5'] -> ((5 - (8/5 / 8/5)) / (2/9 * 3/4))
[31825] ['1/4', '7/9', '5/6', '9/8', '2'] -> (5/6 / ((1/4 - 7/9) + (9/8 / 2)))
[31826] ['2/7', '4/5', '7/8', '5/3', '8'] -> ((8 / (2/7 * 4/5)) / (7/8 * 5/3))
[31827] ['1/6', '4/7', '5/3', '5/3', '5'] -> ((5 / 1/6) / ((5/3 / 4/7) - 5/3))
[31828] ['1/2', '8/9', '1', '8/7', '9/7'] -> (8/7 / ((8/9 * (1/2 + 1)) - 9/7))
[31829] ['2/9', '3/4', '8/5', '5/3', '5'] -> (8/5 * (5 + (5/3 / (2/9 * 3/4))))
[31830] ['3/8', '3/7', '4/9', '5/6', '4'] -> ((5/6 / (3/7 * (4/9 - 3/8))) - 4)
[31831] ['1/8', '5/9', '9/8', '7/2', '5'] -> (((7/2 / 9/8) - (5/9 / 5)) / 1/8)
[31832] ['3/8', '5/9', '5/4', '7/3', '3'] -> ((3 + (7/3 / 5/9)) / (3/8 / 5/4))
[31833] ['4/9', '3/5', '8/7', '7/5', '4'] -> ((8/7 * 7/5) * (4 / (4/9 * 3/5)))
[31834] ['1/7', '4/7', '4/7', '5/4', '9'] -> (5/4 + ((9 + (4/7 / 1/7)) / 4/7))
[31835] ['1/9', '1/8', '1/5', '1/2', '4'] -> (((1/2 / (1/5 - 1/8)) - 4) / 1/9)
[31836] ['1/4', '7/9', '5/6', '7/6', '2'] -> (2 / ((1/4 - 5/6) + (7/9 / 7/6)))
[31837] ['9/7', '4/3', '7/5', '7/5', '4'] -> ((7/5 / (4/3 - 9/7)) - (7/5 + 4))
[31838] ['1/2', '8/9', '1', '8/7', '3/2'] -> ((1/2 / 3/2) / (8/9 - (1 / 8/7)))
[31839] ['4/9', '3/5', '8/7', '8/5', '4'] -> ((8/7 / (4/9 * 3/5)) * (8/5 + 4))
[31840] ['1/6', '4/7', '5/3', '9/4', '5'] -> (((5 + (5/3 / 1/6)) / 4/7) - 9/4)
[31841] ['2/7', '4/5', '7/8', '7/3', '8'] -> ((8 / (2/7 * 4/5)) / (7/3 - 7/8))
[31842] ['3/8', '3/7', '4/9', '6/7', '4'] -> (((4 / 3/8) - (4/9 * 6/7)) / 3/7)
[31843] ['1/5', '2/9', '3/8', '4', '9/2'] -> ((4 + (9/2 / (1/5 / 2/9))) / 3/8)
[31844] ['1/9', '1/8', '1/5', '4/7', '4'] -> ((4 - 1/9) / (1/8 / (1/5 + 4/7)))
[31845] ['1/8', '5/9', '8/7', '8/7', '5'] -> (8/7 + (5/9 * (8/7 + (5 / 1/8))))
[31846] ['1/6', '3/7', '4/5', '9/4', '6'] -> ((9/4 / (1/6 * 3/7)) - (6 / 4/5))
[31847] ['1/4', '7/9', '5/6', '6/5', '2'] -> (6/5 / ((5/6 / (7/9 + 2)) - 1/4))
[31848] ['3/8', '5/9', '9/7', '9/7', '3'] -> ((9/7 + ((9/7 + 3) / 5/9)) / 3/8)
[31849] ['9/7', '4/3', '7/5', '5/3', '4'] -> ((7/5 * 4) * (5/3 + (9/7 + 4/3)))
[31850] ['1/6', '3/7', '4/5', '7/3', '6'] -> ((6 - (3/7 * 7/3)) / (1/6 / 4/5))
[31851] ['1/4', '7/9', '5/6', '9/7', '2'] -> (2 / ((1/4 + 5/6) - (7/9 * 9/7)))
[31852] ['1/7', '4/7', '4/7', '9/5', '9'] -> ((4/7 + (9 * (4/7 / 9/5))) / 1/7)
[31853] ['2/9', '3/4', '8/5', '7/3', '5'] -> ((3/4 + ((7/3 + 5) / 8/5)) / 2/9)
[31854] ['3/8', '5/9', '9/7', '4/3', '3'] -> (3 / ((5/9 / 4/3) - (3/8 / 9/7)))
[31855] ['3/8', '3/7', '4/9', '8/9', '4'] -> (3/8 + (4 / (8/9 * (3/7 * 4/9))))
[31856] ['1/9', '1/8', '1/5', '5/8', '4'] -> ((5/8 / (1/9 * 1/5)) - (1/8 + 4))
[31857] ['1/7', '4/7', '4/7', '9/4', '9'] -> ((9 + (4/7 * 9/4)) / (4/7 - 1/7))
[31858] ['1/5', '2/9', '2/5', '4/7', '4'] -> (4 / (2/9 * (2/5 + (1/5 / 4/7))))
[31859] ['1/6', '3/7', '4/5', '7/2', '6'] -> ((4/5 * 7/2) * (6 + (3/7 / 1/6)))
[31860] ['1/6', '4/7', '5/3', '9/2', '5'] -> (4/7 * (5 + ((5/3 + 9/2) / 1/6)))
[31861] ['1/8', '5/9', '8/7', '9/7', '5'] -> (5 / ((8/7 / 9/7) - (1/8 + 5/9)))
[31862] ['1/5', '2/9', '2/5', '5/8', '4'] -> ((2/5 + 4) / (2/9 * (1/5 + 5/8)))
[31863] ['9/7', '4/3', '7/5', '7/3', '4'] -> (4 * (7/3 + (7/5 * (9/7 + 4/3))))
[31864] ['1/9', '1/5', '3/4', '9/4', '3'] -> ((9/4 + (3/4 / 1/9)) + (3 / 1/5))
[31865] ['8/9', '8/7', '3/2', '8/3', '6'] -> ((8/9 + 8/3) * (3/2 + (6 / 8/7)))
[31866] ['3/8', '5/9', '9/7', '8/5', '3'] -> ((8/5 + (3 / 5/9)) / (3/8 / 9/7))
[31867] ['1/6', '3/7', '4/5', '9/2', '6'] -> ((3/7 + 6) * (4/5 * (1/6 + 9/2)))
[31868] ['9/7', '4/3', '7/5', '8/3', '4'] -> (7/5 * (4/3 + (4 * (9/7 + 8/3))))
[31869] ['1/6', '4/7', '7/4', '9/5', '5'] -> ((9/5 - (4/7 * 7/4)) / (1/6 / 5))
[31870] ['4/9', '3/5', '8/7', '5/2', '4'] -> ((8/7 * 5/2) * ((4 / 4/9) - 3/5))
[31871] ['1/7', '4/7', '3/5', '5/8', '9'] -> ((3/5 + 9) * (5/8 / (1/7 / 4/7)))
[31872] ['2/9', '3/4', '5/3', '9/5', '5'] -> (5 / ((3/4 / (2/9 * 9/5)) - 5/3))
[31873] ['2/7', '4/5', '8/9', '6/5', '8'] -> ((8 / (8/9 * (2/7 / 4/5))) - 6/5)
[31874] ['8/9', '8/7', '3/2', '9/2', '6'] -> ((8/7 * 9/2) * (6 - (8/9 * 3/2)))
[31875] ['1/8', '5/9', '8/7', '7/5', '5'] -> ((7/5 / (1/8 / 5/9)) * (5 - 8/7))
[31876] ['9/7', '4/3', '7/5', '7/2', '4'] -> (4 / ((7/5 * (9/7 + 4/3)) - 7/2))
[31877] ['1/6', '3/7', '5/6', '5/6', '6'] -> ((6 / 3/7) + ((5/6 + 5/6) / 1/6))
[31878] ['1/2', '8/9', '1', '8/7', '8/3'] -> (8/3 / (1/2 * (1 - (8/9 / 8/7))))
[31879] ['4/9', '3/5', '8/7', '8/3', '4'] -> ((8/3 + (4 / 3/5)) / (4/9 / 8/7))
[31880] ['1/5', '2/9', '2/5', '6/7', '4'] -> ((1/5 + ((2/5 + 4) / 6/7)) / 2/9)
[31881] ['1/4', '7/9', '5/6', '2', '5/2'] -> ((5/6 + 5/2) / ((7/9 / 2) - 1/4))
[31882] ['2/7', '4/5', '8/9', '5/4', '8'] -> (8/9 * ((8 / 2/7) - (4/5 * 5/4)))
[31883] ['1/8', '5/9', '8/7', '3/2', '5'] -> (8/7 * ((3/2 / 1/8) + (5 / 5/9)))
[31884] ['1/7', '4/7', '3/5', '3/4', '9'] -> ((4/7 / 1/7) + (9 / (3/5 * 3/4)))
[31885] ['1/9', '1/8', '1/5', '7/8', '4'] -> (4 / (1/9 * (7/8 + (1/8 / 1/5))))
[31886] ['1/6', '3/7', '5/6', '8/9', '6'] -> (8/9 / (1/6 - (5/6 / (3/7 + 6))))
[31887] ['3/8', '3/7', '4/9', '8/5', '4'] -> (3/7 * ((4 / (4/9 - 3/8)) - 8/5))
[31888] ['1/5', '2/9', '2/5', '9/8', '4'] -> ((4 + (2/5 / 1/5)) / (2/9 * 9/8))
[31889] ['2/9', '3/4', '5/3', '5/2', '5'] -> (((5/2 + (5 / 5/3)) / 2/9) - 3/4)
[31890] ['1/9', '1/8', '1/5', '8/9', '4'] -> (((8/9 * 4) - (1/9 / 1/5)) / 1/8)
[31891] ['1/6', '4/7', '7/4', '9/2', '5'] -> (((5 - 4/7) / 1/6) - (9/2 / 7/4))
[31892] ['9/7', '4/3', '3/2', '5/3', '4'] -> (4/3 / ((3/2 + 5/3) - (4 / 9/7)))
[31893] ['1/9', '1/5', '7/9', '7/9', '3'] -> ((7/9 / (1/9 * 7/9)) + (3 / 1/5))
[31894] ['3/8', '3/7', '4/9', '5/3', '4'] -> ((5/3 / (3/8 + 4)) / (4/9 - 3/7))
[31895] ['3/8', '5/9', '9/7', '7/3', '3'] -> (3 / ((7/3 * (3/8 / 9/7)) - 5/9))
[31897] ['2/9', '3/4', '7/4', '7/4', '5'] -> ((5 - (7/4 / 7/4)) / (2/9 * 3/4))
[31896] ['2/7', '4/5', '8/9', '3/2', '8'] -> (4/5 * ((8 / (2/7 * 8/9)) - 3/2))
[31898] ['1/8', '5/9', '8/7', '5/3', '5'] -> (5/3 / ((5/9 / 1/8) - (5 / 8/7)))
[31899] ['1/4', '7/9', '6/7', '8/9', '2'] -> ((7/9 / (8/9 - 6/7)) - (1/4 * 2))
[31900] ['1/9', '1/8', '1/5', '9/8', '4'] -> (((4 / 9/8) - (1/9 / 1/5)) / 1/8)
[31901] ['1/7', '4/7', '3/5', '5/6', '9'] -> ((3/5 + 9) / (4/7 - (1/7 / 5/6)))
[31902] ['4/9', '3/5', '7/6', '6/5', '4'] -> (4 / ((3/5 * 7/6) - (4/9 * 6/5)))
[31903] ['9/7', '4/3', '3/2', '7/4', '4'] -> (4 / ((7/4 * (9/7 / 3/2)) - 4/3))
[31904] ['1/2', '8/9', '1', '7/6', '6/5'] -> ((1 / 1/2) / ((7/6 / 6/5) - 8/9))
[31905] ['1/6', '3/7', '5/6', '5/4', '6'] -> (6 / (3/7 * (5/4 + (1/6 - 5/6))))
[31906] ['1/4', '7/9', '6/7', '9/8', '2'] -> (2 / (6/7 * (9/8 - (1/4 + 7/9))))
[31907] ['3/8', '3/7', '4/9', '7/4', '4'] -> ((4 / 4/9) / ((3/7 * 7/4) - 3/8))
[31908] ['1/2', '8/9', '1', '7/6', '5/4'] -> ((1/2 + 1) / ((7/6 / 8/9) - 5/4))
[31909] ['4/9', '3/5', '7/6', '5/4', '4'] -> ((7/6 / 5/4) * (4 / (3/5 - 4/9)))
[31910] ['3/8', '5/9', '9/7', '8/3', '3'] -> ((8/3 + (3 / 9/7)) / (3/8 * 5/9))
[31911] ['1/9', '1/5', '7/9', '7/8', '3'] -> (3 / ((7/9 * 7/8) - (1/9 / 1/5)))
[31912] ['1/5', '2/9', '2/5', '7/5', '4'] -> ((4 * ((7/5 / 2/9) - 1/5)) - 2/5)
[31913] ['1/9', '1/8', '1/5', '7/6', '4'] -> ((4 + (7/6 / 1/8)) / (1/9 / 1/5))
[31914] ['9/7', '4/3', '3/2', '9/4', '4'] -> (4 / (4/3 - (9/4 / (9/7 * 3/2))))
[31915] ['4/9', '3/5', '7/6', '9/7', '4'] -> (4 / ((7/6 / 9/7) - (4/9 / 3/5)))
[31916] ['1/2', '8/9', '1', '7/6', '9/7'] -> (1/2 / ((7/6 / (8/9 * 9/7)) - 1))
[31917] ['8/9', '8/7', '8/5', '5/2', '6'] -> ((8/9 + 8/5) * (6 + (8/7 + 5/2)))
[31918] ['1/6', '3/7', '5/6', '8/5', '6'] -> (8/5 * ((1/6 + 5/6) + (6 / 3/7)))
[31919] ['1/7', '4/7', '3/5', '6/5', '9'] -> ((3/5 + 9) / (4/7 - (1/7 * 6/5)))
[31920] ['2/7', '4/5', '8/9', '9/4', '8'] -> (4/5 * ((8/9 * 9/4) + (8 / 2/7)))
[31921] ['3/8', '3/7', '4/9', '5/2', '4'] -> (4 * ((3/8 * 4/9) + (5/2 / 3/7)))
[31922] ['4/9', '3/5', '7/6', '7/5', '4'] -> (3/5 / ((7/6 / 4/9) + (7/5 - 4)))
[31923] ['2/9', '3/4', '9/5', '9/5', '5'] -> ((5 - (9/5 / 9/5)) / (2/9 * 3/4))
[31924] ['1/5', '2/9', '2/5', '9/5', '4'] -> (((2/9 * 9/5) + (2/5 + 4)) / 1/5)
[31925] ['1/9', '1/5', '7/9', '8/7', '3'] -> (3 / ((7/9 / 8/7) - (1/9 / 1/5)))
[31926] ['1/6', '3/7', '5/6', '7/4', '6'] -> (6 / ((1/6 + 5/6) - (3/7 * 7/4)))
[31927] ['2/9', '3/4', '9/5', '9/4', '5'] -> ((9/5 / 9/4) * (5 / (2/9 * 3/4)))
[31928] ['4/9', '3/5', '7/6', '3/2', '4'] -> (4 * ((7/6 / (3/5 - 4/9)) - 3/2))
[31929] ['3/8', '3/7', '4/9', '8/3', '4'] -> ((4 / (3/7 - 3/8)) / (4/9 + 8/3))
[31930] ['1/5', '2/9', '2/5', '9/4', '4'] -> ((4 + (2/5 / (2/9 * 9/4))) / 1/5)
[31931] ['9/7', '4/3', '8/5', '5/3', '4'] -> ((8/5 + 4) * (5/3 + (9/7 + 4/3)))
[31932] ['1/6', '4/7', '9/5', '9/2', '5'] -> ((4/7 * 9/5) * (5 * (1/6 + 9/2)))
[31933] ['4/9', '3/5', '7/6', '8/5', '4'] -> (4 / (8/5 - (7/6 + (4/9 * 3/5))))
[31934] ['2/7', '4/5', '8/9', '5/2', '8'] -> ((8/9 * 5/2) * (8 + (4/5 / 2/7)))
[31935] ['1/7', '4/7', '3/5', '3/2', '9'] -> ((3/5 + 9) * ((4/7 / 1/7) - 3/2))
[31936] ['1/5', '2/9', '2/5', '7/3', '4'] -> (7/3 / (2/9 - ((1/5 / 2/5) / 4)))
[31937] ['1/9', '1/5', '7/9', '5/4', '3'] -> (((7/9 * 3) - 1/5) / (1/9 / 5/4))
[31938] ['9/7', '4/3', '8/5', '7/4', '4'] -> (7/4 * ((4 / (8/5 - 4/3)) - 9/7))
[31939] ['2/9', '3/4', '9/5', '8/3', '5'] -> ((8/3 / 2/9) + (5 / (3/4 / 9/5)))
[31940] ['1/7', '4/7', '3/5', '5/3', '9'] -> ((3/5 + (9 / 5/3)) / (1/7 / 4/7))
[31941] ['1/6', '3/7', '5/6', '9/2', '6'] -> (6 / (3/7 - (5/6 / (1/6 + 9/2))))
[31942] ['1/6', '4/7', '9/4', '7/3', '5'] -> (5 / ((1/6 / 4/7) + (9/4 - 7/3)))
[31943] ['3/8', '3/7', '1/2', '1/2', '4'] -> (4 / ((1/2 / 3/8) - (1/2 / 3/7)))
[31944] ['1/9', '1/8', '1/5', '7/4', '4'] -> ((4 / (1/8 + 7/4)) / (1/5 - 1/9))
[31945] ['4/9', '3/5', '7/6', '9/5', '4'] -> (4 / ((9/5 * (4/9 / 3/5)) - 7/6))
[31946] ['3/8', '5/9', '4/3', '7/3', '3'] -> ((3 / (3/8 / 7/3)) / (4/3 - 5/9))
[31947] ['1/7', '4/7', '3/5', '7/2', '9'] -> ((3/5 + 9) * (7/2 * (1/7 + 4/7)))
[31948] ['9/7', '4/3', '8/5', '9/5', '4'] -> (9/7 * ((4 / (9/5 - 8/5)) - 4/3))
[31949] ['1/2', '8/9', '1', '7/6', '9/2'] -> (9/2 / ((1/2 + 1) - (7/6 / 8/9)))
[31950] ['2/7', '4/5', '8/9', '9/2', '8'] -> ((9/2 / (2/7 / 8/9)) + (8 / 4/5))
[31951] ['1/4', '7/9', '6/7', '7/4', '2'] -> ((6/7 + (2 / 7/9)) / (1/4 / 7/4))
[31952] ['1/6', '4/7', '9/4', '8/3', '5'] -> (1/6 + (8/3 * (5 + (9/4 / 4/7))))
[31953] ['1/9', '1/8', '1/5', '9/4', '4'] -> (4 / (((1/8 / 1/5) / 9/4) - 1/9))
[31954] ['1/9', '1/5', '7/9', '9/4', '3'] -> (((7/9 * 3) / (1/5 - 1/9)) - 9/4)
[31955] ['8/9', '8/7', '5/3', '7/3', '6'] -> (8/7 * (5/3 + (6 * (8/9 + 7/3))))
[31956] ['9/7', '4/3', '8/5', '9/4', '4'] -> ((9/7 + (4/3 * 9/4)) * (8/5 + 4))
[31957] ['3/8', '3/7', '1/2', '5/8', '4'] -> (4 / ((1/2 / 3/7) - (3/8 + 5/8)))
[31958] ['1/9', '1/5', '7/9', '7/3', '3'] -> ((7/3 + 3) / (7/9 - (1/9 / 1/5)))
[31959] ['3/8', '5/9', '4/3', '3', '7/2'] -> (((4/3 * 3) + (7/2 / 3/8)) / 5/9)
[31960] ['1/8', '5/9', '7/6', '5/4', '5'] -> (((7/6 / 1/8) + (5 / 5/4)) / 5/9)
[31961] ['1/9', '1/8', '1/5', '5/2', '4'] -> ((5/2 / (1/5 - 1/9)) - (1/8 + 4))
[31962] ['1/6', '4/7', '7/3', '5/2', '5'] -> ((7/3 / (1/6 * 4/7)) - (5/2 / 5))
[31963] ['3/8', '3/7', '1/2', '2/3', '4'] -> (((4 / 3/7) - (1/2 * 2/3)) / 3/8)
[31964] ['9/7', '4/3', '8/5', '5/2', '4'] -> ((8/5 + 4) * (5/2 * (9/7 * 4/3)))
[31965] ['1/9', '1/5', '7/9', '5/2', '3'] -> (((3 - (7/9 / 5/2)) / 1/9) - 1/5)
[31966] ['8/9', '8/7', '5/3', '8/3', '6'] -> ((8/7 * 8/3) * (6 + (5/3 / 8/9)))
[31967] ['2/9', '3/4', '8/3', '8/3', '5'] -> ((5 - (8/3 / 8/3)) / (2/9 * 3/4))
[31968] ['1/2', '8/9', '1', '6/5', '4/3'] -> (6/5 / (1/2 - (1 / (8/9 + 4/3))))
[31969] ['1/7', '4/7', '5/8', '6/7', '9'] -> (9 / ((1/7 * 5/8) - (4/7 - 6/7)))
[31970] ['3/8', '5/9', '7/5', '7/5', '3'] -> (7/5 / ((5/9 * (3 - 3/8)) - 7/5))
[31971] ['2/7', '4/5', '9/8', '6/5', '8'] -> (((9/8 * 8) / (2/7 / 4/5)) - 6/5)
[31972] ['8/9', '8/7', '5/3', '7/2', '6'] -> ((6 * (7/2 + (8/9 / 8/7))) - 5/3)
[31973] ['1/5', '2/9', '3/7', '4/7', '4'] -> ((4/7 / (2/9 - 1/5)) - (3/7 * 4))
[31974] ['2/9', '3/4', '7/2', '7/2', '5'] -> ((5 - (7/2 / 7/2)) / (2/9 * 3/4))
[31975] ['1/6', '4/7', '5/2', '5/2', '5'] -> ((5/2 / 1/6) / (5 - (5/2 / 4/7)))
[31976] ['9/7', '4/3', '8/5', '7/2', '4'] -> ((8/5 * 7/2) * (9/7 + (4 / 4/3)))
[31977] ['2/7', '4/5', '9/8', '5/4', '8'] -> (((8 / 2/7) - (4/5 * 5/4)) / 9/8)
[31978] ['1/9', '1/5', '7/9', '3', '7/2'] -> ((7/2 * (3 + (7/9 / 1/5))) - 1/9)
[31979] ['4/9', '3/5', '6/5', '9/7', '4'] -> ((6/5 / 9/7) * (4 / (3/5 - 4/9)))
[31980] ['1/2', '8/9', '1', '6/5', '8/5'] -> ((8/5 / (1/2 * 6/5)) / (1 - 8/9))
[31981] ['1/6', '3/7', '7/8', '7/8', '6'] -> (((7/8 * (6 - 3/7)) - 7/8) / 1/6)
[31982] ['1/6', '4/7', '5/2', '8/3', '5'] -> ((5/2 * (5 + (8/3 / 4/7))) - 1/6)
[31983] ['9/7', '4/3', '8/5', '4', '9/2'] -> ((4/3 * (8/5 + 4)) * (9/2 - 9/7))
[31984] ['1/4', '7/9', '7/8', '7/6', '2'] -> ((7/6 / (1/4 * 2)) / (7/8 - 7/9))
[31985] ['4/9', '3/5', '6/5', '7/5', '4'] -> (3/5 + ((6/5 + 7/5) / (4/9 / 4)))
[31986] ['3/8', '3/7', '1/2', '8/9', '4'] -> ((4 / (3/8 - (3/7 * 1/2))) - 8/9)
[31987] ['2/7', '4/5', '9/8', '4/3', '8'] -> ((4/5 * 9/8) * ((8 / 2/7) - 4/3))
[31988] ['1/9', '1/8', '2/9', '3/7', '4'] -> (1/9 / (((2/9 / 3/7) / 4) - 1/8))
[31989] ['1/8', '5/9', '7/6', '9/4', '5'] -> (5 / ((1/8 - 7/6) + (5/9 * 9/4)))
[31990] ['9/7', '4/3', '5/3', '5/3', '4'] -> ((9/7 * 4) * (5/3 + (4/3 + 5/3)))
[31991] ['1/6', '4/7', '5/2', '9/2', '5'] -> ((5 - (5/2 - 9/2)) / (1/6 / 4/7))
[31992] ['3/8', '5/9', '7/5', '7/4', '3'] -> (3 / ((7/5 / 7/4) - (3/8 / 5/9)))
[31993] ['1/7', '4/7', '5/8', '4/3', '9'] -> ((4/3 * 9) / (1/7 + (4/7 * 5/8)))
[31994] ['2/7', '4/5', '9/8', '3/2', '8'] -> (4/5 * ((8 / (2/7 / 9/8)) - 3/2))
[31995] ['1/2', '8/9', '1', '6/5', '9/5'] -> (8/9 / (1/2 - ((1 / 6/5) / 9/5)))
[31996] ['2/9', '7/9', '7/9', '6/7', '5'] -> ((7/9 + (7/9 * (6/7 + 5))) / 2/9)
[31997] ['3/8', '3/7', '1/2', '6/5', '4'] -> ((1/2 / (3/8 - (3/7 / 6/5))) - 4)
[31998] ['1/7', '4/7', '5/8', '8/5', '9'] -> (((1/7 + 9) / (4/7 * 5/8)) - 8/5)
[31999] ['3/8', '5/9', '7/5', '9/4', '3'] -> (((3 / 5/9) - 7/5) / (3/8 / 9/4))
[32000] ['9/7', '4/3', '5/3', '9/4', '4'] -> ((9/7 * 4) * (5/3 + (4/3 * 9/4)))
[32001] ['1/2', '8/9', '1', '6/5', '9/4'] -> ((9/4 + (1/2 / 6/5)) / (1 - 8/9))
[32002] ['2/9', '7/9', '7/9', '7/8', '5'] -> ((7/9 + (7/9 * 5)) / (2/9 * 7/8))
[32003] ['1/7', '4/7', '5/8', '5/3', '9'] -> (5/3 / ((1/7 / 9) - (4/7 - 5/8)))
[32004] ['1/6', '4/7', '7/2', '7/2', '5'] -> ((7/2 / 1/6) + (5 - (4/7 * 7/2)))
[32005] ['1/9', '1/8', '2/9', '6/7', '4'] -> ((4 - (1/9 / 2/9)) / (1/8 / 6/7))
[32006] ['2/9', '7/9', '7/9', '8/9', '5'] -> ((5 + (7/9 / 7/9)) / (2/9 / 8/9))
[32007] ['4/9', '3/5', '6/5', '7/3', '4'] -> (4/9 + ((6/5 + 7/3) / (3/5 / 4)))
[32008] ['1/2', '8/9', '1', '6/5', '5/2'] -> (6/5 / (1/2 - (1 / (8/9 * 5/2))))
[32009] ['1/6', '4/7', '9/2', '9/2', '5'] -> ((4/7 * 9/2) * (5 - (1/6 - 9/2)))
[32010] ['1/4', '7/9', '7/8', '5/3', '2'] -> ((5/3 + 2) / ((1/4 + 7/9) - 7/8))
[32011] ['2/9', '7/9', '7/9', '8/7', '5'] -> ((7/9 + (7/9 * 5)) / (2/9 / 8/7))
[32012] ['3/8', '5/9', '7/5', '8/3', '3'] -> (((7/5 * 3) + (8/3 / 5/9)) / 3/8)
[32013] ['1/2', '8/9', '1', '6/5', '8/3'] -> ((1/2 * 8/3) / (8/9 - (1 / 6/5)))
[32014] ['1/6', '3/7', '7/8', '5/3', '6'] -> ((5/3 - 1/6) * (6 / (3/7 * 7/8)))
[32015] ['1/9', '1/8', '2/9', '9/7', '4'] -> (((1/9 - 2/9) + (4 / 9/7)) / 1/8)
[32016] ['1/9', '1/5', '4/5', '5/2', '3'] -> ((4/5 / 1/9) / (3 - (1/5 + 5/2)))
[32017] ['2/9', '7/9', '7/9', '7/6', '5'] -> ((7/6 + (5 / (2/9 / 7/9))) / 7/9)
[32018] ['2/7', '4/5', '9/8', '9/4', '8'] -> (4/5 * ((9/4 / 9/8) + (8 / 2/7)))
[32019] ['1/6', '3/5', '3/5', '5/7', '5'] -> ((3/5 + (3/5 / 1/6)) * (5/7 + 5))
[32020] ['1/5', '2/9', '3/7', '8/7', '4'] -> ((8/7 / (1/5 * 2/9)) - (3/7 * 4))
[32021] ['4/9', '3/5', '5/4', '5/4', '4'] -> ((5/4 + 5/4) * (3/5 + (4 / 4/9)))
[32022] ['9/7', '4/3', '7/4', '8/3', '4'] -> ((8/3 / 4) / ((7/4 / 9/7) - 4/3))
[32023] ['1/6', '3/5', '3/5', '3/4', '5'] -> (3/5 / ((5 * (1/6 * 3/4)) - 3/5))
[32024] ['1/8', '5/9', '6/5', '7/4', '5'] -> ((7/4 / ((1/8 * 5) - 5/9)) - 6/5)
[32025] ['3/8', '3/7', '1/2', '7/4', '4'] -> ((4 * (3/7 * 7/4)) / (1/2 - 3/8))
[32026] ['1/7', '4/7', '2/3', '4/5', '9'] -> ((4/5 * 9) * ((4/7 / 1/7) - 2/3))
[32027] ['1/9', '1/5', '5/6', '7/8', '3'] -> ((3 - 1/5) / (7/8 * (1/9 / 5/6)))
[32028] ['1/9', '1/8', '2/9', '9/5', '4'] -> ((1/9 + (4 / 9/5)) / (2/9 - 1/8))
[32029] ['1/8', '5/9', '6/5', '9/4', '5'] -> ((9/4 / (1/8 * 6/5)) + (5 / 5/9))
[32030] ['3/8', '5/9', '3/2', '3/2', '3'] -> ((3/2 / 3/8) / ((5/9 * 3) - 3/2))
[32031] ['1/6', '3/5', '3/5', '6/7', '5'] -> (5 * (3/5 + (3/5 / (1/6 * 6/7))))
[32032] ['4/9', '3/5', '5/4', '7/5', '4'] -> ((7/5 + (5/4 * 4)) / (4/9 * 3/5))
[32033] ['1/7', '4/7', '2/3', '8/9', '9'] -> (9 * ((4/7 / 1/7) - (8/9 / 2/3)))
[32034] ['1/2', '8/9', '1', '5/4', '9/7'] -> ((1 / 1/2) / ((5/4 / 9/7) - 8/9))
[32035] ['1/5', '2/9', '3/7', '9/7', '4'] -> ((4 / 2/9) - (3/7 - (9/7 / 1/5)))
[32036] ['3/8', '5/9', '3/2', '8/5', '3'] -> (3/2 * (8/5 + (3 / (3/8 * 5/9))))
[32037] ['1/4', '7/9', '7/8', '2', '7/2'] -> ((7/2 / 7/9) / ((7/8 / 2) - 1/4))
[32038] ['3/8', '3/7', '1/2', '8/3', '4'] -> (4 / ((1/2 / 3/7) - (3/8 * 8/3)))
[32039] ['9/7', '4/3', '9/5', '9/5', '4'] -> ((9/5 / ((9/5 / 4/3) - 9/7)) - 4)
[32040] ['2/7', '4/5', '9/8', '9/2', '8'] -> ((9/2 / (2/7 * 9/8)) + (8 / 4/5))
[32041] ['1/6', '3/7', '8/9', '8/9', '6'] -> ((6 / (3/7 - (1/6 / 8/9))) - 8/9)
[32042] ['1/9', '1/5', '5/6', '8/7', '3'] -> ((8/7 / (1/9 / 5/6)) * (3 - 1/5))
[32043] ['1/5', '2/9', '3/7', '4/3', '4'] -> (3/7 * ((4/3 / (2/9 - 1/5)) - 4))
[32044] ['1/4', '7/9', '7/8', '2', '9/2'] -> ((2 + (9/2 * (7/9 / 7/8))) / 1/4)
[32045] ['4/9', '3/5', '5/4', '5/3', '4'] -> ((4 / 5/3) / ((3/5 / 4/9) - 5/4))
[32046] ['8/9', '8/7', '9/4', '7/2', '6'] -> (7/2 * ((8/9 * 9/4) - (8/7 - 6)))
[32047] ['1/6', '3/7', '8/9', '9/8', '6'] -> ((6 / (3/7 - (1/6 * 9/8))) - 8/9)
[32048] ['1/6', '3/5', '3/5', '8/7', '5'] -> ((3/5 + (3/5 / 1/6)) * (8/7 * 5))
[32049] ['3/8', '5/9', '3/2', '9/4', '3'] -> (3 / ((3/8 - 3/2) + (5/9 * 9/4)))
[32050] ['1/4', '7/9', '8/9', '8/9', '2'] -> (((8/9 / (8/9 - 7/9)) - 2) / 1/4)
