[124111] ['1/8', '1/3', '4/5', '3/2', '7'] -> (((3/2 / (1/8 * 4/5)) - 7) / 1/3)
[128428] ['5/8', '5/8', '7/9', '7/4', '5'] -> (5 / (7/9 * (5/8 - (5/8 / 7/4))))
[128429] ['4/7', '7/9', '7/8', '7/6', '9'] -> ((7/8 + ((7/6 + 9) / 4/7)) / 7/9)
[128430] ['3/8', '2/3', '1', '5/4', '7/2'] -> ((1 / 2/3) / ((3/8 * 7/2) - 5/4))
[128431] ['2/7', '9/4', '5/2', '9/2', '7'] -> ((7 / 2/7) - (5/2 - (9/2 / 9/4)))
[128432] ['2/9', '8/7', '7/5', '7/3', '8'] -> (((8 / 8/7) - (7/3 / 7/5)) / 2/9)
[128433] ['1/7', '1/7', '1/2', '3/5', '6'] -> ((6 - (1/7 / 1/2)) / (1/7 / 3/5))
[128434] ['4/9', '4/3', '7/3', '7/3', '3'] -> (((4/3 + 7/3) + (7/3 * 3)) / 4/9)
[128435] ['1/8', '3/7', '4/9', '4/5', '7'] -> (7 / (3/7 * (1/8 + (4/9 / 4/5))))
[128436] ['5/8', '6/5', '5/3', '9/4', '4'] -> (4 / ((5/8 * 6/5) + (5/3 - 9/4)))
[128437] ['2/9', '1/3', '8/7', '6/5', '9'] -> ((9 / ((1/3 / 2/9) - 8/7)) - 6/5)
[128438] ['2/9', '8/7', '7/5', '5/2', '8'] -> ((2/9 + 5/2) * (8 + (8/7 / 7/5)))
[128439] ['5/8', '5/8', '7/9', '9/4', '5'] -> (5 / ((5/8 * 7/9) - (5/8 / 9/4)))
[128440] ['1/7', '1/7', '1/2', '4/5', '6'] -> (6 / ((1/7 * 1/2) + (1/7 / 4/5)))
[128441] ['5/8', '6/5', '5/3', '7/3', '4'] -> ((6/5 * 4) * (7/3 + (5/3 / 5/8)))
[128442] ['1/8', '3/7', '4/9', '7/8', '7'] -> (7 / (1/8 + (7/8 * (3/7 * 4/9))))
[128443] ['2/7', '7/3', '7/3', '7/3', '7'] -> ((7 / 2/7) - (7/3 / (7/3 + 7/3)))
[128444] ['4/7', '7/9', '7/8', '9/7', '9'] -> ((9 / 7/8) / ((7/9 * 9/7) - 4/7))
[128445] ['2/9', '1/3', '8/7', '9/7', '9'] -> (9 / ((1/3 / 2/9) - (9/7 / 8/7)))
[128446] ['3/8', '2/3', '1', '9/7', '5/3'] -> (9/7 / ((1 / (2/3 + 5/3)) - 3/8))
[128447] ['2/9', '8/7', '7/5', '9/2', '8'] -> ((8/7 + (2/9 * 9/2)) * (7/5 * 8))
[128448] ['2/7', '7/3', '7/3', '5/2', '7'] -> ((2/7 * 7/3) + (5/2 * (7/3 + 7)))
[128449] ['1/7', '1/7', '1/2', '8/9', '6'] -> ((6 * (1/7 + 1/2)) / (1/7 / 8/9))
[128450] ['1/7', '1/2', '4/5', '7/4', '3'] -> ((3 / (1/7 * 4/5)) - (1/2 + 7/4))
[128451] ['5/8', '6/5', '5/3', '8/3', '4'] -> (5/3 / (5/8 - (8/3 / (6/5 * 4))))
[128452] ['2/9', '1/3', '8/7', '7/5', '9'] -> (((9 / 7/5) - 1/3) / (2/9 * 8/7))
[128453] ['1/7', '1/2', '4/5', '9/5', '3'] -> (((9/5 / 1/7) - 3) / (1/2 * 4/5))
[128454] ['5/8', '6/5', '5/3', '7/2', '4'] -> ((5/3 / (5/8 / 6/5)) * (7/2 + 4))
[128455] ['1/7', '1/7', '1/2', '6/5', '6'] -> (((1/2 * 6) - 1/7) / (1/7 / 6/5))
[128456] ['2/9', '8/7', '3/2', '8/5', '8'] -> (8/7 * ((8 / (2/9 * 8/5)) - 3/2))
[128457] ['3/8', '4/5', '7/8', '9/8', '2'] -> ((3/8 * 2) / (9/8 - (7/8 / 4/5)))
[128458] ['1/7', '1/2', '4/5', '9/4', '3'] -> (((9/4 / 1/7) - (3 / 4/5)) / 1/2)
[128459] ['1/7', '1/7', '1/2', '7/5', '6'] -> ((6 / (1/7 + (1/7 / 7/5))) - 1/2)
[128460] ['2/9', '1/3', '8/7', '8/5', '9'] -> (((9 / 8/5) - (1/3 / 8/7)) / 2/9)
[128461] ['2/9', '2/5', '7/8', '7/2', '7'] -> (7 / (2/9 * (7/2 - (7/8 / 2/5))))
[128462] ['3/8', '2/3', '1', '9/7', '7/3'] -> ((7/3 / (3/8 / 9/7)) / (1 - 2/3))
[128463] ['2/7', '5/2', '5/2', '5/2', '7'] -> ((7 / 2/7) - (5/2 / (5/2 + 5/2)))
[128464] ['1/7', '1/2', '4/5', '7/3', '3'] -> (3 / (((1/2 / 4/5) / 7/3) - 1/7))
[128465] ['1/7', '1/7', '1/2', '5/3', '6'] -> ((6 - (1/7 / 1/2)) / (1/7 * 5/3))
[128466] ['1/7', '2/5', '6/5', '7/4', '4'] -> (((6/5 + (4 / 7/4)) / 1/7) - 2/5)
[128467] ['2/9', '1/3', '8/7', '7/4', '9'] -> (9 * ((2/9 / 1/3) + (8/7 * 7/4)))
[128468] ['2/9', '8/7', '3/2', '9/5', '8'] -> ((9/5 * (8/7 * 3/2)) * (8 - 2/9))
[128469] ['5/8', '6/5', '7/4', '7/3', '4'] -> (4 / ((5/8 * 6/5) + (7/4 - 7/3)))
[128470] ['1/7', '2/5', '6/5', '9/5', '4'] -> ((4 / (1/7 / 6/5)) / (9/5 - 2/5))
[128471] ['2/7', '5/2', '5/2', '8/3', '7'] -> ((2/7 + (5/2 / 5/2)) * (8/3 * 7))
[128472] ['2/9', '1/3', '8/7', '9/5', '9'] -> (((9 / 9/5) - 1/3) / (2/9 / 8/7))
[128473] ['3/8', '2/3', '1', '9/7', '8/3'] -> (1 / ((3/8 / 9/7) - (2/3 / 8/3)))
[128474] ['3/8', '2/3', '1', '9/7', '7/2'] -> (9/7 / ((1 / (2/3 * 7/2)) - 3/8))
[128475] ['1/7', '1/2', '4/5', '8/3', '3'] -> (3 / ((1/2 / (8/3 - 4/5)) - 1/7))
[128476] ['1/4', '5/7', '4/5', '7/6', '4'] -> ((4 / (1/4 * 5/7)) / (4/5 * 7/6))
[128477] ['2/9', '1/3', '8/7', '9/4', '9'] -> ((((9 - 1/3) / 8/7) - 9/4) / 2/9)
[128478] ['5/8', '6/5', '7/4', '4', '9/2'] -> (6/5 / ((9/2 / (5/8 * 4)) - 7/4))
[128479] ['2/9', '8/7', '3/2', '5/2', '8'] -> (((8 / 8/7) - (5/2 / 3/2)) / 2/9)
[128480] ['2/7', '5/2', '8/3', '8/3', '7'] -> ((5/2 + (2/7 * 7)) * (8/3 + 8/3))
[128481] ['1/4', '5/7', '4/5', '6/5', '4'] -> (((4 / 5/7) - (4/5 - 6/5)) / 1/4)
[128482] ['2/9', '1/3', '8/7', '5/2', '9'] -> (8/7 * ((5/2 * 9) - (1/3 / 2/9)))
[128483] ['4/7', '7/9', '7/8', '5/2', '9'] -> ((7/9 * 9) * (4/7 + (5/2 / 7/8)))
[128484] ['1/7', '2/5', '5/4', '9/7', '4'] -> (9/7 / (5/4 * (1/7 - (2/5 / 4))))
[128485] ['3/8', '2/3', '1', '4/3', '7/5'] -> (((2/3 / (7/5 - 4/3)) - 1) / 3/8)
[128486] ['1/4', '5/7', '4/5', '5/4', '4'] -> (((4 / 5/7) - 4/5) / (1/4 / 5/4))
[128487] ['5/8', '6/5', '9/5', '7/3', '4'] -> (9/5 / (((6/5 * 7/3) / 4) - 5/8))
[128488] ['1/7', '1/7', '5/9', '5/8', '6'] -> (6 / (5/8 * (1/7 + (1/7 / 5/9))))
[128489] ['5/8', '5/8', '4/5', '3/2', '5'] -> ((5 / (5/8 * 5/8)) / (4/5 / 3/2))
[128490] ['5/7', '8/9', '8/5', '5/2', '3'] -> ((8/9 + 8/5) * (3 * (5/7 + 5/2)))
[128491] ['3/8', '4/5', '7/8', '5/3', '2'] -> (2 / ((4/5 * 5/3) - (3/8 + 7/8)))
[128492] ['1/7', '2/5', '5/4', '4/3', '4'] -> ((4 / (1/7 * 5/4)) / (4/3 - 2/5))
[128493] ['5/8', '6/5', '9/5', '8/3', '4'] -> (4 / ((5/8 * 8/3) - (9/5 / 6/5)))
[128494] ['3/8', '2/3', '1', '4/3', '8/5'] -> (1 / (((4/3 - 2/3) / 8/5) - 3/8))
[128495] ['1/4', '5/7', '4/5', '9/7', '4'] -> (4/5 + ((4 + (9/7 / 5/7)) / 1/4))
[128496] ['1/7', '2/5', '5/4', '7/5', '4'] -> ((4 + (2/5 / 7/5)) / (1/7 * 5/4))
[128497] ['2/9', '1/3', '7/6', '5/4', '9'] -> ((7/6 - (2/9 * 5/4)) / (1/3 / 9))
[128498] ['3/8', '4/5', '7/8', '9/5', '2'] -> (2 / ((7/8 / 3/8) - (9/5 / 4/5)))
[128499] ['4/9', '7/5', '3/2', '9/5', '3'] -> ((3 * (4/9 * 9/5)) / (3/2 - 7/5))
[128500] ['4/7', '7/9', '8/9', '9/8', '9'] -> (9 / (7/9 * (9/8 - (4/7 / 8/9))))
[128501] ['1/7', '2/5', '5/4', '7/4', '4'] -> (((2/5 / 7/4) + (4 / 5/4)) / 1/7)
[128502] ['2/7', '8/3', '9/2', '9/2', '7'] -> ((8/3 * 7) * (2/7 + (9/2 / 9/2)))
[128503] ['5/8', '5/8', '4/5', '7/3', '5'] -> (4/5 / (5/8 - ((5/8 + 7/3) / 5)))
[128504] ['3/8', '2/3', '1', '4/3', '8/3'] -> (1 / (3/8 - ((2/3 * 4/3) / 8/3)))
[128505] ['1/7', '1/7', '5/9', '5/6', '6'] -> ((6 + (1/7 / 5/6)) / (1/7 / 5/9))
[128506] ['5/8', '6/5', '7/3', '5/2', '4'] -> (4 / (5/8 * (6/5 - (7/3 / 5/2))))
[128507] ['1/4', '5/7', '4/5', '8/5', '4'] -> (((4/5 + (4 / 5/7)) / 1/4) - 8/5)
[128508] ['3/8', '4/5', '7/8', '2', '8/3'] -> ((7/8 + (2 / 4/5)) / (3/8 / 8/3))
[128509] ['4/7', '7/9', '8/9', '7/6', '9'] -> (9 / ((7/6 / 4/7) - (7/9 + 8/9)))
[128510] ['5/8', '5/8', '5/6', '5/6', '5'] -> (5 / ((5/6 * (5/8 + 5/8)) - 5/6))
[128511] ['2/9', '1/3', '7/6', '9/5', '9'] -> ((1/3 + 7/6) + (9 / (2/9 * 9/5)))
[128512] ['3/8', '2/3', '1', '7/5', '3/2'] -> (1 / (3/2 - (7/5 * (3/8 + 2/3))))
[128513] ['4/9', '7/5', '3/2', '5/2', '3'] -> (3 / ((7/5 * 5/2) - (3/2 / 4/9)))
[128514] ['2/9', '2/5', '8/9', '7/2', '7'] -> (((7 + (8/9 / 2/9)) / 2/5) - 7/2)
[128515] ['2/7', '7/2', '7/2', '9/2', '7'] -> ((2/7 * (7/2 + 9/2)) * (7/2 + 7))
[128516] ['5/8', '5/8', '5/6', '6/7', '5'] -> (5 / ((5/8 / 6/7) - (5/8 * 5/6)))
[128517] ['1/8', '3/7', '1/2', '5/8', '7'] -> ((3/7 / 1/2) / (1/8 - (5/8 / 7)))
[128518] ['2/9', '1/3', '6/5', '6/5', '9'] -> ((6/5 / (2/9 * 1/3)) - (6/5 - 9))
[128519] ['4/9', '7/5', '3/2', '8/3', '3'] -> ((3 / (3/2 - 7/5)) - (8/3 / 4/9))
[128520] ['5/8', '6/5', '7/3', '4', '9/2'] -> (9/2 * (7/3 + (4 * (5/8 * 6/5))))
[128521] ['3/8', '4/5', '7/8', '2', '9/2'] -> ((7/8 + ((2 + 9/2) / 4/5)) / 3/8)
[128522] ['1/7', '2/5', '5/4', '8/3', '4'] -> ((4 / 5/4) / ((2/5 / 1/7) - 8/3))
[128523] ['1/8', '3/7', '1/2', '2/3', '7'] -> (3/7 / (1/8 - ((1/2 / 2/3) / 7)))
[128524] ['5/8', '5/8', '5/6', '6/5', '5'] -> (5 / (((5/8 + 5/8) / 6/5) - 5/6))
[128525] ['2/7', '9/2', '9/2', '9/2', '7'] -> ((7 / 2/7) - (9/2 / (9/2 + 9/2)))
[128526] ['1/7', '1/7', '5/9', '9/8', '6'] -> (6 / (9/8 * (1/7 + (1/7 * 5/9))))
[128527] ['1/3', '1/3', '1/3', '2/5', '7'] -> ((2/5 / (1/3 * 1/3)) * (7 - 1/3))
[128528] ['3/8', '2/3', '1', '7/5', '9/5'] -> ((1 / 3/8) / ((7/5 / 9/5) - 2/3))
[128529] ['2/9', '8/7', '5/3', '5/3', '8'] -> ((8 - (5/3 + 5/3)) / (2/9 / 8/7))
[128530] ['3/8', '4/5', '8/9', '8/9', '2'] -> ((2 / 3/8) / ((8/9 / 4/5) - 8/9))
[128531] ['4/9', '7/5', '8/5', '8/5', '3'] -> ((7/5 + (8/5 / 4/9)) * (8/5 * 3))
[128532] ['1/4', '5/7', '4/5', '5/2', '4'] -> ((4 + (5/2 / 5/7)) / (1/4 / 4/5))
[128533] ['5/7', '8/9', '5/3', '5/2', '3'] -> (3 / ((5/3 / (5/7 * 8/9)) - 5/2))
[128534] ['1/7', '1/2', '6/7', '7/5', '3'] -> (((3 / (1/2 * 7/5)) - 6/7) / 1/7)
[128535] ['5/8', '5/8', '5/6', '7/5', '5'] -> ((5 / 5/6) / ((5/8 * 7/5) - 5/8))
[128536] ['1/7', '1/7', '5/9', '6/5', '6'] -> ((6 + (1/7 * 6/5)) / (1/7 / 5/9))
[128537] ['5/8', '6/5', '7/2', '7/2', '4'] -> (6/5 * (7/2 + (4 * (5/8 + 7/2))))
[128538] ['2/9', '2/5', '9/8', '5/4', '7'] -> ((2/5 + (7 / 5/4)) / (2/9 * 9/8))
[128539] ['3/8', '2/3', '1', '7/5', '5/2'] -> ((1 + 7/5) * (5/2 / (3/8 * 2/3)))
[128540] ['4/7', '7/9', '8/9', '3/2', '9'] -> (9 / (((3/2 - 7/9) / 4/7) - 8/9))
[128541] ['1/3', '1/3', '1/3', '5/7', '7'] -> ((5/7 - 1/3) * (7 / (1/3 * 1/3)))
[128542] ['5/7', '8/9', '5/3', '8/3', '3'] -> (8/3 / (8/9 - (5/3 / (5/7 * 3))))
[128543] ['5/8', '5/4', '5/4', '5/4', '4'] -> ((5/4 + (5/4 + 5/4)) / (5/8 / 4))
[128544] ['1/4', '5/7', '4/5', '4', '9/2'] -> ((9/2 / (1/4 + 4/5)) / (5/7 / 4))
[128545] ['1/3', '1/3', '1/3', '3/4', '7'] -> ((7 - (1/3 / 1/3)) / (1/3 * 3/4))
[128546] ['1/7', '1/7', '5/9', '4/3', '6'] -> (4/3 / ((1/7 * 5/9) - (1/7 / 6)))
[128547] ['3/8', '2/3', '1', '7/5', '8/3'] -> ((2/3 / (7/5 - (3/8 + 1))) - 8/3)
[128548] ['1/7', '1/2', '6/7', '7/3', '3'] -> ((6/7 + (3 / (1/2 * 7/3))) / 1/7)
[128549] ['1/4', '5/7', '5/6', '7/8', '4'] -> (4 / ((1/4 / 7/8) + (5/7 - 5/6)))
[128550] ['2/9', '1/3', '5/4', '9/7', '9'] -> (((9 / 9/7) - 1/3) / (2/9 * 5/4))
[128551] ['5/8', '5/8', '6/7', '7/8', '5'] -> (5 / (((5/8 / 6/7) / 7/8) - 5/8))
[128552] ['1/7', '1/7', '5/9', '3/2', '6'] -> (((1/7 / 3/2) + (5/9 * 6)) / 1/7)
[128553] ['1/3', '1/3', '1/3', '4/5', '7'] -> ((((7 - 1/3) / 4/5) - 1/3) / 1/3)
[128554] ['2/9', '2/5', '9/8', '7/5', '7'] -> ((7 + (2/5 - 7/5)) / (2/9 * 9/8))
[128555] ['1/7', '1/7', '5/9', '8/5', '6'] -> ((8/5 * 6) / (1/7 + (1/7 / 5/9)))
[128556] ['1/3', '1/3', '1/3', '5/6', '7'] -> (((7 / 1/3) - (1/3 / 1/3)) / 5/6)
[128557] ['1/7', '1/2', '7/8', '8/9', '3'] -> ((3 / (1/7 * 8/9)) - (1/2 - 7/8))
[128558] ['1/4', '5/7', '5/6', '9/8', '4'] -> ((1/4 * 4) / ((5/6 / 5/7) - 9/8))
[128559] ['2/9', '1/3', '5/4', '7/5', '9'] -> ((1/3 + 9) / (7/5 * (2/9 * 5/4)))
[128560] ['2/9', '8/7', '7/4', '9/4', '8'] -> ((8 - 8/7) / (9/4 * (2/9 / 7/4)))
[128561] ['1/8', '3/7', '1/2', '5/3', '7'] -> (((7 + (1/2 / 1/8)) / 3/7) - 5/3)
[128562] ['5/8', '5/4', '5/4', '8/5', '4'] -> ((5/4 + 4) / (5/8 * (8/5 - 5/4)))
[128563] ['5/8', '5/8', '6/7', '8/7', '5'] -> (5 / ((8/7 * (5/8 / 6/7)) - 5/8))
[128564] ['1/3', '1/3', '1/3', '6/7', '7'] -> (((7 * (1/3 + 6/7)) - 1/3) / 1/3)
[128565] ['5/8', '5/4', '5/4', '7/4', '4'] -> ((5/4 + 7/4) * (4 / (5/8 / 5/4)))
[128566] ['4/9', '7/5', '5/3', '5/3', '3'] -> ((7/5 + (5/3 * 3)) / (4/9 / 5/3))
[128567] ['3/8', '2/3', '1', '3/2', '8/5'] -> (3/2 / ((1 / 8/5) - (3/8 / 2/3)))
[128568] ['2/9', '8/7', '7/4', '5/2', '8'] -> (8/7 * ((7/4 + 8) + (5/2 / 2/9)))
[128569] ['2/9', '2/5', '9/8', '5/3', '7'] -> ((5/3 + 7) / (2/5 * (9/8 - 2/9)))
[128570] ['4/7', '7/9', '8/9', '9/4', '9'] -> (((7/9 + 8/9) / (4/7 / 9)) - 9/4)
[128571] ['1/7', '1/7', '5/9', '9/4', '6'] -> (6 / ((5/9 * 9/4) - (1/7 / 1/7)))
[128572] ['1/7', '2/5', '9/7', '5/3', '4'] -> ((9/7 * 5/3) * (4 / (1/7 / 2/5)))
[128573] ['1/3', '1/3', '1/3', '6/5', '7'] -> (6/5 * ((7 / 1/3) - (1/3 / 1/3)))
[128574] ['5/8', '5/8', '6/7', '6/5', '5'] -> (5 / ((5/8 / 6/7) - (5/8 / 6/5)))
[128575] ['1/4', '5/7', '5/6', '5/4', '4'] -> (4 / ((1/4 - 5/4) + (5/6 / 5/7)))
[128576] ['1/7', '1/2', '7/8', '7/5', '3'] -> (3 / (((7/8 - 1/2) / 7/5) - 1/7))
[128577] ['1/8', '3/7', '1/2', '9/4', '7'] -> ((9/4 / 1/8) + (7 * (3/7 / 1/2)))
[128578] ['1/7', '1/7', '5/9', '7/3', '6'] -> ((6 - (1/7 + 1/7)) / (5/9 / 7/3))
[128579] ['2/9', '1/3', '5/4', '9/5', '9'] -> (9 / (5/4 * (9/5 - (1/3 / 2/9))))
[128580] ['3/8', '4/5', '8/9', '9/5', '2'] -> (9/5 / (((4/5 / 8/9) / 2) - 3/8))
[128581] ['5/8', '5/4', '5/4', '9/4', '4'] -> ((9/4 * 4) / ((5/4 / 5/4) - 5/8))
[128582] ['1/3', '1/3', '1/3', '9/7', '7'] -> (((9/7 * 7) - (1/3 / 1/3)) / 1/3)
[128583] ['2/9', '8/7', '7/4', '9/2', '8'] -> (8 * ((2/9 * 9/2) + (8/7 * 7/4)))
[128584] ['4/7', '7/9', '8/9', '5/2', '9'] -> (9 * ((4/7 * 7/9) + (8/9 * 5/2)))
[128585] ['5/7', '8/9', '7/4', '7/3', '3'] -> (3 / ((7/3 * (5/7 / 8/9)) - 7/4))
[128586] ['1/8', '3/7', '1/2', '8/3', '7'] -> ((7 / (1/8 + (3/7 / 8/3))) - 1/2)
[128587] ['5/8', '5/8', '6/7', '7/5', '5'] -> ((6/7 * 5) / (5/8 - (5/8 / 7/5)))
[128588] ['2/9', '2/5', '9/8', '9/5', '7'] -> (((7 / 2/9) - (9/5 / 2/5)) / 9/8)
[128589] ['2/9', '1/3', '9/7', '9/7', '9'] -> (((2/9 * 9/7) - (9/7 - 9)) / 1/3)
[128590] ['1/4', '5/7', '5/6', '8/5', '4'] -> ((8/5 + (4 / 5/7)) / (1/4 / 5/6))
[128591] ['5/8', '5/4', '5/4', '5/2', '4'] -> ((5/4 + 5/2) * (4 / (5/4 - 5/8)))
[128592] ['1/7', '2/5', '9/7', '7/4', '4'] -> ((9/7 / 1/7) / ((7/4 / 2/5) - 4))
[128593] ['5/8', '5/8', '6/7', '3/2', '5'] -> (5 / ((5/8 * 3/2) - (5/8 / 6/7)))
[128594] ['2/9', '8/7', '9/5', '9/5', '8'] -> ((8/7 / 9/5) * (9/5 + (8 / 2/9)))
[128595] ['1/3', '1/3', '1/3', '3/2', '7'] -> ((7 + (3/2 * (1/3 + 1/3))) / 1/3)
[128596] ['1/8', '3/7', '5/9', '4/7', '7'] -> (7 / (((3/7 * 5/9) / 4/7) - 1/8))
[128597] ['1/4', '5/7', '5/6', '5/3', '4'] -> (((5/3 / 5/7) - 5/6) / (1/4 / 4))
[128598] ['2/9', '1/3', '9/7', '4/3', '9'] -> (((9 / 9/7) - (1/3 + 4/3)) / 2/9)
[128599] ['4/9', '7/5', '5/3', '5/2', '3'] -> ((3 + (5/2 * (7/5 + 5/3))) / 4/9)
[128600] ['4/7', '7/9', '8/9', '9/2', '9'] -> ((7/9 * 9) * ((8/9 * 9/2) - 4/7))
[128601] ['1/3', '1/3', '1/3', '8/5', '7'] -> (7 / (((1/3 / 1/3) / 8/5) - 1/3))
[128602] ['5/7', '8/9', '7/4', '8/3', '3'] -> (8/3 / ((3 / 7/4) - (5/7 + 8/9)))
[128603] ['1/7', '2/5', '9/7', '9/5', '4'] -> (((4 + (9/7 - 9/5)) / 1/7) - 2/5)
[128604] ['1/7', '1/7', '4/7', '5/8', '6'] -> (1/7 / ((4/7 / 6) - (1/7 * 5/8)))
[128605] ['3/8', '4/5', '8/9', '2', '8/3'] -> (8/3 / (4/5 * (8/9 - (3/8 * 2))))
[128606] ['5/8', '5/8', '6/7', '5/3', '5'] -> (5 / (5/3 - ((5/8 + 5/8) / 6/7)))
[128607] ['4/9', '7/5', '5/3', '8/3', '3'] -> (8/3 / (5/3 * (7/5 - (4/9 * 3))))
[128608] ['4/7', '7/9', '9/8', '9/8', '9'] -> (9 / (7/9 * (9/8 - (4/7 * 9/8))))
[128609] ['2/9', '1/3', '9/7', '7/5', '9'] -> ((1/3 + (9 / (9/7 * 7/5))) / 2/9)
[128610] ['3/8', '2/3', '1', '8/5', '9/5'] -> (2/3 / (3/8 - ((1 / 8/5) / 9/5)))
[128611] ['2/9', '2/5', '9/8', '8/3', '7'] -> ((7 / 2/9) - (8/3 / (2/5 / 9/8)))
[128612] ['5/8', '5/8', '6/7', '7/4', '5'] -> (5 / (5/8 - ((5/8 / 6/7) / 7/4)))
[128613] ['1/7', '1/7', '4/7', '5/7', '6'] -> (6 / ((5/7 / 4/7) - (1/7 / 1/7)))
[128614] ['2/9', '8/7', '9/5', '5/2', '8'] -> ((8/7 * 5/2) * (8 + (2/9 * 9/5)))
[128615] ['1/4', '5/7', '5/6', '7/3', '4'] -> ((4 + (7/3 * (5/7 / 5/6))) / 1/4)
[128616] ['4/9', '7/5', '5/3', '3', '9/2'] -> (5/3 * (9/2 + ((7/5 + 3) / 4/9)))
[128617] ['1/7', '1/2', '8/9', '8/9', '3'] -> (3 * ((8/9 / 1/7) + (8/9 / 1/2)))
[128618] ['1/8', '3/7', '5/9', '3/4', '7'] -> (7 / (3/7 * (3/4 - (1/8 * 5/9))))
[128619] ['2/9', '1/3', '9/7', '5/3', '9'] -> ((9/7 + 9) * (5/3 + (2/9 / 1/3)))
[128620] ['1/3', '1/3', '3/8', '2/5', '7'] -> (7 / ((3/8 / 1/3) - (1/3 / 2/5)))
[128621] ['4/7', '7/9', '9/8', '5/4', '9'] -> (9 / ((4/7 + 5/4) - (9/8 / 7/9)))
[128622] ['5/8', '5/4', '9/7', '8/5', '4'] -> (((5/8 * 8/5) / (9/7 - 5/4)) - 4)
[128623] ['1/7', '1/7', '4/7', '8/9', '6'] -> (6 / (4/7 - ((1/7 + 1/7) / 8/9)))
[128624] ['1/4', '5/7', '5/6', '7/2', '4'] -> (4 / ((7/2 * (5/6 - 5/7)) - 1/4))
[128625] ['5/8', '5/8', '6/7', '7/3', '5'] -> (5 / (7/3 * (5/8 - (5/8 * 6/7))))
[128626] ['2/9', '1/3', '9/7', '7/4', '9'] -> ((9 / 7/4) / ((1/3 / 2/9) - 9/7))
[128627] ['1/3', '1/3', '3/8', '3/7', '7'] -> ((7 * (1/3 * 3/7)) / (3/8 - 1/3))
[128628] ['5/8', '5/4', '9/7', '5/3', '4'] -> ((5/4 + 5/3) * (4 / (5/8 / 9/7)))
[128629] ['1/7', '2/5', '4/3', '3/2', '4'] -> ((3/2 / (1/7 / 4/3)) + (4 / 2/5))
[128630] ['3/8', '2/3', '1', '8/5', '5/2'] -> ((1 + 8/5) / (3/8 - (2/3 / 5/2)))
[128631] ['4/9', '7/5', '7/4', '9/4', '3'] -> ((7/4 / (7/5 - (4/9 * 3))) - 9/4)
[128632] ['4/7', '7/9', '9/8', '9/7', '9'] -> (9 / (9/8 * (7/9 - (4/7 / 9/7))))
[128633] ['1/7', '1/7', '4/7', '9/8', '6'] -> (6 / (4/7 - (9/8 * (1/7 + 1/7))))
[128634] ['2/9', '8/7', '9/4', '7/3', '8'] -> (7/3 * (8 + (8/7 / (2/9 * 9/4))))
[128635] ['1/4', '5/7', '6/7', '9/8', '4'] -> (((4 / (1/4 / 9/8)) - 6/7) / 5/7)
[128636] ['5/8', '5/8', '6/7', '7/2', '5'] -> (7/2 * ((5/8 / 5/8) + (6/7 + 5)))
[128637] ['3/8', '2/3', '1', '8/5', '7/2'] -> (8/5 * (1 + (7/2 / (3/8 * 2/3))))
[128638] ['2/9', '2/5', '8/7', '6/5', '7'] -> ((8/7 * 7) * (6/5 + (2/5 / 2/9)))
[128639] ['1/3', '1/3', '3/8', '3/5', '7'] -> (7 / (3/5 * (3/8 + (1/3 * 1/3))))
[128640] ['1/8', '3/7', '5/9', '6/7', '7'] -> ((7 / (1/8 + 5/9)) / (6/7 - 3/7))
[128641] ['1/7', '1/7', '4/7', '7/6', '6'] -> (((6 * (7/6 - 4/7)) - 1/7) / 1/7)
[128642] ['3/8', '2/3', '1', '8/5', '9/2'] -> ((2/3 + (1 / 3/8)) * (8/5 * 9/2))
[128643] ['1/7', '2/5', '4/3', '9/4', '4'] -> ((2/5 * 9/4) * ((4 / 1/7) - 4/3))
[128644] ['1/4', '5/7', '6/7', '7/5', '4'] -> ((7/5 + (4 / 5/7)) / (1/4 / 6/7))
[128645] ['4/7', '7/9', '9/8', '3/2', '9'] -> (9/8 + ((3/2 + (9 / 7/9)) / 4/7))
[128646] ['1/3', '1/3', '3/8', '6/7', '7'] -> ((7 / (1/3 + 1/3)) / (3/8 / 6/7))
[128647] ['2/9', '1/3', '9/7', '9/2', '9'] -> (((2/9 * 9/2) + (9 / 9/7)) / 1/3)
[128648] ['1/7', '1/7', '4/7', '6/5', '6'] -> ((6 - 6/5) / (1/7 / (1/7 + 4/7)))
[128649] ['2/9', '8/7', '7/3', '5/2', '8'] -> (8/7 * ((7/3 / 2/9) + (5/2 + 8)))
[128650] ['3/8', '2/3', '1', '5/3', '9/4'] -> ((1 + 5/3) * (9/4 / (3/8 * 2/3)))
[128651] ['5/8', '5/8', '7/8', '9/8', '5'] -> ((5 + (5/8 / 5/8)) / (9/8 - 7/8))
[128652] ['4/9', '7/5', '7/4', '3', '9/2'] -> (9/2 / (3 - (7/4 / (4/9 * 7/5))))
[128653] ['3/8', '4/5', '9/8', '7/5', '2'] -> (7/5 / (9/8 - (4/5 / (3/8 * 2))))
[128654] ['1/4', '5/7', '6/7', '5/3', '4'] -> ((4 + (5/3 / (5/7 / 6/7))) / 1/4)
[128655] ['2/9', '1/3', '4/3', '7/5', '9'] -> ((((1/3 + 9) / 7/5) - 4/3) / 2/9)
[128656] ['5/8', '5/4', '9/7', '7/3', '4'] -> ((9/7 * 7/3) * (4 / (5/8 / 5/4)))
