[44326] ['1/3', '3/7', '3/2', '7/4', '8'] -> (8 * (3/7 + (3/2 / (1/3 * 7/4))))
[48147] ['3/8', '4/5', '7/4', '7/2', '4'] -> (3/8 + (7/2 * (7/4 + (4 / 4/5))))
[48148] ['1/9', '4/9', '9/8', '7/4', '3'] -> (3 / (4/9 - (1/9 * (9/8 + 7/4))))
[48149] ['1/4', '3/8', '5/9', '8/5', '5'] -> ((3/8 + (5 / (5/9 * 8/5))) / 1/4)
[48150] ['1/5', '1/2', '2/3', '9/7', '4'] -> (9/7 * ((4 / 1/5) - (2/3 / 1/2)))
[48151] ['7/5', '7/5', '5/2', '5/2', '6'] -> (6 * ((5/2 + 5/2) - (7/5 / 7/5)))
[48152] ['1/9', '4/9', '9/8', '9/5', '3'] -> (3 / (9/8 - (9/5 * (1/9 + 4/9))))
[48153] ['3/8', '5/3', '7/4', '3', '9/2'] -> ((3 / (7/4 - 5/3)) - (9/2 / 3/8))
[48154] ['1/9', '1/6', '3/4', '9/7', '5'] -> (5 / (1/9 + ((1/6 * 3/4) / 9/7)))
[48155] ['1/9', '2/7', '6/5', '9/4', '4'] -> ((4 / (2/7 - (1/9 * 6/5))) - 9/4)
[48156] ['1/7', '9/7', '9/5', '8/3', '9'] -> ((9/5 * (9/7 - 1/7)) * (8/3 + 9))
[48157] ['1/6', '5/4', '7/5', '7/3', '6'] -> (6 / ((7/3 / 7/5) - (1/6 + 5/4)))
[48158] ['7/5', '7/5', '5/2', '9/2', '6'] -> ((9/2 - (7/5 - 5/2)) / (7/5 / 6))
[48159] ['1/9', '1/6', '3/4', '7/5', '5'] -> (7/5 / (3/4 * (1/9 - (1/6 / 5))))
[48160] ['1/2', '1/2', '9/8', '9/5', '4'] -> (4 / ((1/2 / 9/8) - (1/2 / 9/5)))
[48161] ['1/9', '2/7', '6/5', '7/3', '4'] -> (((4 / 6/5) - (2/7 * 7/3)) / 1/9)
[48162] ['3/8', '4/5', '7/3', '7/3', '4'] -> (4 / (7/3 - (4/5 * (3/8 + 7/3))))
[48163] ['1/4', '3/8', '5/9', '7/2', '5'] -> (5 * ((7/2 / 5/9) - (3/8 / 1/4)))
[48164] ['1/7', '1/7', '1/7', '1/4', '5'] -> ((1/7 + (1/7 * 5)) / (1/7 * 1/4))
[48165] ['1/3', '4/7', '4/3', '7/5', '8'] -> (8 * (1/3 + (7/5 * (4/7 + 4/3))))
[48166] ['1/5', '1/2', '5/7', '3/4', '4'] -> (4 / (5/7 * (1/2 - (1/5 / 3/4))))
[48167] ['1/7', '9/7', '9/4', '9/4', '9'] -> (((9 / 9/4) - (9/7 / 9/4)) / 1/7)
[48168] ['1/6', '5/4', '7/5', '7/2', '6'] -> ((6 - (7/2 / (5/4 * 7/5))) / 1/6)
[48169] ['1/9', '2/7', '6/5', '5/2', '4'] -> (((5/2 * 4) / (1/9 + 2/7)) - 6/5)
[48170] ['1/9', '4/9', '8/7', '5/4', '3'] -> ((3 / (5/4 - 8/7)) - (4/9 / 1/9))
[48171] ['5/9', '7/9', '8/9', '1', '9/8'] -> ((7/9 + 8/9) / (5/9 * (9/8 - 1)))
[48172] ['7/5', '7/5', '7/2', '7/2', '6'] -> ((7/2 - (7/5 - 7/2)) / (7/5 / 6))
[48173] ['1/5', '1/2', '5/7', '7/9', '4'] -> ((4 / (1/2 - 1/5)) / (5/7 * 7/9))
[48174] ['1/3', '4/7', '4/3', '9/5', '8'] -> ((4/7 + 8) * (9/5 - (1/3 - 4/3)))
[48175] ['3/8', '4/5', '7/3', '7/2', '4'] -> (4 / ((4/5 * (7/2 - 3/8)) - 7/3))
[48176] ['2/7', '2/5', '2/3', '5/3', '2'] -> (2/3 + ((5/3 + (2 / 2/5)) / 2/7))
[48177] ['1/7', '9/7', '9/4', '7/2', '9'] -> (7/2 + (9/4 * (9 + (1/7 / 9/7))))
[48178] ['1/4', '3/8', '4/7', '5/8', '5'] -> (((5 + (5/8 / 4/7)) / 1/4) - 3/8)
[48179] ['1/2', '1/2', '8/7', '7/5', '4'] -> (7/5 * (8/7 + (4 / (1/2 * 1/2))))
[48180] ['2/7', '2/5', '2/3', '7/4', '2'] -> ((2 / 7/4) / ((2/7 / 2/5) - 2/3))
[48181] ['7/5', '3/2', '3/2', '7/4', '6'] -> (6 / ((7/4 / 7/5) - (3/2 / 3/2)))
[48182] ['5/9', '7/9', '8/9', '1', '9/7'] -> (8/9 / (((5/9 + 7/9) / 9/7) - 1))
[48183] ['1/9', '1/6', '7/9', '7/8', '5'] -> ((5 - (1/9 + (7/9 / 7/8))) / 1/6)
[48184] ['7/5', '3/2', '3/2', '9/4', '6'] -> (9/4 + ((7/5 + 3/2) * (3/2 + 6)))
[48185] ['1/9', '2/7', '5/4', '5/4', '4'] -> ((4 / 2/7) - (5/4 - (5/4 / 1/9)))
[48186] ['1/9', '4/9', '8/7', '5/3', '3'] -> ((8/7 + (4/9 / 1/9)) * (5/3 + 3))
[48187] ['3/8', '5/3', '8/3', '3', '7/2'] -> (3 / (((7/2 - 8/3) / 5/3) - 3/8))
[48188] ['1/5', '2/9', '4/9', '4/9', '5'] -> ((4/9 + (4/9 / 5)) / (2/9 - 1/5))
[48189] ['1/2', '1/2', '8/7', '5/3', '4'] -> (1/2 / ((1/2 / 8/7) - (5/3 / 4)))
[48190] ['1/4', '3/8', '4/7', '7/9', '5'] -> ((4/7 + 5) / ((3/8 / 7/9) - 1/4))
[48191] ['2/7', '2/5', '2/3', '2', '7/3'] -> (2/3 + ((7/3 + (2 / 2/7)) / 2/5))
[48192] ['5/9', '7/9', '8/9', '1', '8/5'] -> ((7/9 + 8/9) / ((1 / 8/5) - 5/9))
[48193] ['1/5', '1/2', '5/7', '7/6', '4'] -> ((1/2 / 7/6) + ((5/7 + 4) / 1/5))
[48194] ['1/9', '4/9', '8/7', '9/4', '3'] -> ((8/7 / (1/9 / 4/9)) * (9/4 + 3))
[48195] ['1/7', '1/7', '1/7', '2/3', '5'] -> (2/3 * ((1/7 / 1/7) + (5 / 1/7)))
[48196] ['1/2', '1/2', '8/7', '9/4', '4'] -> ((1/2 / (8/7 - (1/2 * 9/4))) - 4)
[48197] ['1/7', '9/7', '8/3', '8/3', '9'] -> (9 / (((8/3 - 9/7) / 8/3) - 1/7))
[48198] ['1/5', '2/9', '4/9', '4/7', '5'] -> ((5 / 1/5) - (2/9 + (4/9 / 4/7)))
[48199] ['1/7', '1/7', '1/7', '3/4', '5'] -> ((1/7 + 5) / (3/4 * (1/7 + 1/7)))
[48200] ['2/7', '2/5', '2/3', '2', '8/3'] -> ((2/5 + 2) * (2/3 + (8/3 / 2/7)))
[48201] ['1/5', '1/2', '5/7', '6/5', '4'] -> ((6/5 / (1/5 * (5/7 - 1/2))) - 4)
[48202] ['3/8', '7/4', '7/4', '5/2', '3'] -> (((7/4 + 7/4) + (5/2 + 3)) / 3/8)
[48203] ['1/9', '2/7', '5/4', '3/2', '4'] -> (4 * ((5/4 / 1/9) - (3/2 / 2/7)))
[48204] ['1/2', '1/2', '8/7', '8/3', '4'] -> (4 / (8/3 * (1/2 - (1/2 / 8/7))))
[48205] ['1/7', '9/7', '7/2', '9/2', '9'] -> (((7/2 * 9) - (1/7 * 9/2)) / 9/7)
[48206] ['1/3', '4/7', '7/5', '9/2', '8'] -> ((8 / (7/5 / 9/2)) - (4/7 / 1/3))
[48207] ['3/8', '5/6', '5/6', '7/8', '4'] -> (4 / (5/6 - (5/6 / (3/8 + 7/8))))
[48208] ['1/7', '9/7', '9/2', '9/2', '9'] -> ((9/2 / (1/7 * 9/7)) - (9/2 / 9))
[48209] ['1/9', '4/9', '8/7', '8/3', '3'] -> (8/7 * ((3 / 1/9) - (8/3 / 4/9)))
[48210] ['3/8', '7/4', '9/5', '9/5', '3'] -> (9/5 / ((3/8 / 3) + (7/4 - 9/5)))
[48211] ['2/7', '2/5', '2/3', '2', '9/2'] -> (9/2 * ((2 / 2/7) - (2/3 / 2/5)))
[48212] ['1/2', '1/2', '7/6', '7/6', '4'] -> (4 / (((7/6 - 1/2) / 1/2) - 7/6))
[48213] ['1/5', '1/2', '5/7', '4/3', '4'] -> (4 / (5/7 * (1/2 - (1/5 * 4/3))))
[48214] ['7/5', '3/2', '7/4', '7/4', '6'] -> (6 * (3/2 + ((7/4 + 7/4) / 7/5)))
[48215] ['1/4', '3/8', '4/7', '7/6', '5'] -> (5 / (3/8 - (7/6 * (1/4 * 4/7))))
[48216] ['1/2', '1/2', '7/6', '6/5', '4'] -> (4 / ((1/2 * 7/6) - (1/2 / 6/5)))
[48217] ['3/8', '5/6', '5/6', '9/8', '4'] -> (4 / ((5/6 - 9/8) - (3/8 - 5/6)))
[48218] ['1/7', '4/3', '4/3', '3/2', '9'] -> (3/2 * (9 + (4/3 / (1/7 * 4/3))))
[48219] ['1/5', '2/9', '4/9', '5/6', '5'] -> (((4/9 / 5/6) - (1/5 - 5)) / 2/9)
[48220] ['1/6', '9/7', '9/7', '9/7', '6'] -> ((6 - ((9/7 + 9/7) / 9/7)) / 1/6)
[48221] ['7/5', '3/2', '7/4', '9/4', '6'] -> (6 / ((9/4 / 3/2) - (7/4 / 7/5)))
[48222] ['1/9', '1/6', '4/5', '4/5', '5'] -> (((4/5 / (1/9 * 4/5)) - 5) / 1/6)
[48223] ['1/3', '4/7', '3/2', '9/4', '8'] -> ((4/7 * 8) * ((9/4 / 1/3) - 3/2))
[48224] ['1/2', '1/2', '7/6', '8/5', '4'] -> (1/2 / ((1/2 / 8/5) - (7/6 / 4)))
[48225] ['5/9', '7/9', '8/9', '1', '9/2'] -> ((9/2 * (7/9 + 1)) / (8/9 - 5/9))
[48226] ['1/9', '2/7', '5/4', '9/5', '4'] -> ((4 / 2/7) / ((5/4 / 9/5) - 1/9))
[48227] ['1/6', '9/7', '9/7', '4/3', '6'] -> (6 + ((9/7 + (9/7 * 4/3)) / 1/6))
[48228] ['3/8', '7/4', '9/5', '3', '9/2'] -> (3/8 + ((7/4 * 9/5) * (3 + 9/2)))
[48229] ['1/2', '1/2', '7/6', '9/5', '4'] -> ((4 * (1/2 + 7/6)) / (1/2 / 9/5))
[48230] ['7/5', '3/2', '7/4', '8/3', '6'] -> (8/3 * (3/2 + (6 / (7/5 / 7/4))))
[48231] ['1/9', '2/7', '5/4', '9/4', '4'] -> (4 / ((5/4 / 9/4) - (1/9 / 2/7)))
[48232] ['1/5', '2/9', '4/9', '7/8', '5'] -> (5 / ((4/9 + 7/8) - (2/9 / 1/5)))
[48233] ['5/9', '7/9', '1', '9/8', '8/7'] -> (1 / (((5/9 + 7/9) / 8/7) - 9/8))
[48234] ['1/7', '1/7', '1/7', '7/6', '5'] -> ((5 - (1/7 / 1/7)) / (1/7 * 7/6))
[48235] ['1/9', '1/6', '4/5', '7/8', '5'] -> (((4/5 * 7/8) - 1/6) / (1/9 / 5))
[48236] ['1/4', '3/8', '4/7', '3/2', '5'] -> ((1/4 + 5) * (4/7 + (3/2 / 3/8)))
[48237] ['5/9', '7/9', '1', '9/8', '7/6'] -> (1 / ((7/9 / 7/6) - (5/9 * 9/8)))
[48238] ['1/9', '4/9', '7/6', '8/5', '3'] -> ((7/6 - (4/9 / 8/5)) / (1/9 / 3))
[48239] ['3/8', '5/6', '5/6', '7/5', '4'] -> ((7/5 + 4) / (3/8 / (5/6 + 5/6)))
[48240] ['7/5', '3/2', '9/5', '7/3', '6'] -> (7/3 * ((3/2 * 6) + (9/5 / 7/5)))
[48241] ['1/5', '1/2', '5/7', '8/3', '4'] -> (4 / ((1/2 / 5/7) - (1/5 * 8/3)))
[48242] ['5/9', '7/9', '1', '9/8', '6/5'] -> (1 / ((7/9 / (5/9 * 6/5)) - 9/8))
[48243] ['1/7', '1/7', '1/7', '9/7', '5'] -> ((5 - (9/7 + (1/7 + 1/7))) / 1/7)
[48244] ['1/9', '2/7', '5/4', '7/2', '4'] -> ((2/7 / 1/9) / (5/4 - (4 / 7/2)))
[48245] ['1/9', '1/6', '4/5', '8/7', '5'] -> (((4/5 / 8/7) - 1/6) / (1/9 / 5))
[48246] ['1/5', '2/9', '4/9', '7/6', '5'] -> (5 * ((7/6 / 2/9) - (1/5 / 4/9)))
[48247] ['1/2', '1/2', '6/5', '7/4', '4'] -> (1/2 / ((7/4 / 4) - (1/2 / 6/5)))
[48248] ['1/7', '4/3', '4/3', '7/2', '9'] -> (7/2 * ((1/7 / 4/3) + (9 / 4/3)))
[48249] ['1/7', '1/7', '1/7', '4/3', '5'] -> ((1/7 + 5) * (4/3 / (1/7 + 1/7)))
[48250] ['2/7', '2/5', '5/7', '9/8', '2'] -> (2 / (9/8 - (5/7 / (2/7 + 2/5))))
[48251] ['3/8', '7/4', '5/2', '8/3', '3'] -> ((5/2 * (7/4 + (8/3 * 3))) - 3/8)
[48252] ['1/6', '9/7', '4/3', '4/3', '6'] -> ((9/7 * 4/3) * (6 + (4/3 / 1/6)))
[48253] ['1/7', '1/7', '1/7', '3/2', '5'] -> (((1/7 / 1/7) + (5 / 1/7)) / 3/2)
[48254] ['1/9', '1/6', '4/5', '5/4', '5'] -> (((5/4 / (1/9 / 4/5)) - 5) / 1/6)
[48255] ['1/2', '1/2', '6/5', '9/4', '4'] -> ((6/5 * 4) * (1/2 + (9/4 / 1/2)))
[48256] ['2/7', '2/5', '5/7', '8/7', '2'] -> (((5/7 + 8/7) + (2 / 2/5)) / 2/7)
[48257] ['1/5', '1/2', '3/4', '6/7', '4'] -> ((1/2 / 3/4) + (4 / (1/5 * 6/7)))
[48258] ['1/2', '1/2', '6/5', '7/3', '4'] -> ((7/3 / (1/2 - (1/2 / 6/5))) - 4)
[48259] ['3/8', '5/6', '5/6', '9/5', '4'] -> ((4 + (5/6 / 5/6)) / (3/8 / 9/5))
[48260] ['7/5', '3/2', '7/3', '5/2', '6'] -> (5/2 * ((7/5 / 7/3) + (3/2 * 6)))
[48261] ['1/6', '9/7', '4/3', '5/3', '6'] -> (((6 / 9/7) - 5/3) / (1/6 / 4/3))
[48262] ['1/5', '1/2', '3/4', '8/9', '4'] -> ((3/4 / 1/2) + (4 / (1/5 * 8/9)))
[48263] ['1/4', '3/8', '4/7', '7/3', '5'] -> (5 / ((7/3 * (4/7 - 3/8)) - 1/4))
[48264] ['1/2', '1/2', '6/5', '5/2', '4'] -> (1/2 / ((5/2 / (6/5 * 4)) - 1/2))
[48265] ['1/7', '1/7', '1/7', '7/4', '5'] -> ((5 + (1/7 / 1/7)) / (1/7 * 7/4))
[48266] ['2/7', '2/5', '5/7', '6/5', '2'] -> ((5/7 + (2 / 2/5)) / (2/7 / 6/5))
[48267] ['5/9', '7/9', '1', '9/8', '8/5'] -> ((8/5 + (7/9 / 5/9)) / (9/8 - 1))
[48268] ['3/8', '5/6', '5/6', '4', '9/2'] -> (4 + ((5/6 + 5/6) / (3/8 / 9/2)))
[48269] ['1/5', '2/9', '4/9', '7/4', '5'] -> ((5 / 1/5) - (2/9 + (4/9 * 7/4)))
[48270] ['1/6', '9/7', '4/3', '9/4', '6'] -> (6 / ((9/4 / 9/7) - (1/6 + 4/3)))
[48271] ['1/9', '2/7', '9/7', '7/4', '4'] -> (((7/4 * 4) - (1/9 * 9/7)) / 2/7)
[48272] ['3/8', '5/6', '6/7', '6/7', '4'] -> ((6/7 / (3/8 * 4)) / (6/7 - 5/6))
[48273] ['1/9', '4/9', '6/5', '4/3', '3'] -> (4/3 / ((4/9 / 3) - (1/9 / 6/5)))
[48274] ['3/8', '9/5', '9/5', '3', '7/2'] -> (9/5 + (9/5 * (3 + (7/2 / 3/8))))
[48275] ['1/7', '4/3', '7/5', '7/3', '9'] -> ((((9 - 7/3) / 7/5) - 4/3) / 1/7)
[48276] ['1/2', '1/2', '5/4', '5/4', '4'] -> ((5/4 + (1/2 + 5/4)) / (1/2 / 4))
[48277] ['1/4', '3/8', '3/5', '5/7', '5'] -> (5 / (((1/4 / 3/5) / 5/7) - 3/8))
[48278] ['1/5', '1/2', '3/4', '5/3', '4'] -> ((1/2 / 5/3) / (1/5 - (3/4 / 4)))
[48279] ['1/7', '1/7', '1/7', '5/2', '5'] -> ((1/7 + 5) / ((1/7 * 5/2) - 1/7))
[48280] ['1/3', '4/7', '5/3', '9/4', '8'] -> (8 / ((5/3 / 4/7) - (1/3 + 9/4)))
[48281] ['5/9', '7/9', '1', '9/8', '9/4'] -> ((9/4 * (5/9 + 7/9)) / (9/8 - 1))
[48282] ['3/8', '9/5', '9/4', '9/4', '3'] -> (9/4 / ((9/4 / (9/5 + 3)) - 3/8))
[48283] ['1/7', '4/3', '7/5', '8/3', '9'] -> ((4/3 * (1/7 + 7/5)) * (8/3 + 9))
[48284] ['2/7', '2/5', '5/7', '7/5', '2'] -> ((2/7 + 2/5) / ((5/7 * 2) - 7/5))
[48285] ['7/5', '3/2', '8/3', '9/2', '6'] -> (8/3 * (3/2 + ((9/2 + 6) / 7/5)))
[48286] ['1/9', '4/9', '6/5', '3/2', '3'] -> (3 + ((4/9 + 3/2) / (1/9 / 6/5)))
[48287] ['5/9', '7/9', '1', '9/8', '7/3'] -> (7/3 / ((1 - 9/8) - (5/9 - 7/9)))
[48288] ['1/5', '2/9', '4/9', '7/2', '5'] -> (((5 + (2/9 / 4/9)) / 1/5) - 7/2)
[48289] ['1/9', '1/6', '5/6', '6/7', '5'] -> ((5/6 + (5 / 6/7)) / (1/9 + 1/6))
[48290] ['1/6', '9/7', '7/5', '7/5', '6'] -> ((((7/5 + 6) / 7/5) - 9/7) / 1/6)
[48291] ['1/2', '1/2', '5/4', '7/4', '4'] -> (4 * ((5/4 / 1/2) + (7/4 / 1/2)))
[48292] ['1/4', '3/8', '3/5', '4/5', '5'] -> (5 * ((3/5 / 3/8) + (4/5 / 1/4)))
[48293] ['1/9', '4/9', '6/5', '5/3', '3'] -> ((6/5 * 5/3) * (3 / (1/9 / 4/9)))
[48294] ['5/9', '7/9', '1', '9/8', '5/2'] -> (1 / (5/2 - (9/8 + (5/9 + 7/9))))
[48295] ['1/3', '4/7', '5/3', '9/2', '8'] -> ((4/7 * 9/2) * (8 - (1/3 - 5/3)))
[48296] ['1/9', '2/7', '4/3', '4/3', '4'] -> (4/3 / ((1/9 / 2/7) - (4/3 / 4)))
[48297] ['2/7', '2/5', '5/7', '8/5', '2'] -> (((2 / 2/5) - 5/7) / (2/7 / 8/5))
[48298] ['1/4', '3/8', '3/5', '5/6', '5'] -> (5 / (((1/4 + 3/8) / 3/5) - 5/6))
[48299] ['7/5', '3/2', '9/2', '9/2', '6'] -> (3/2 + ((9/2 + (9/2 * 6)) / 7/5))
[48300] ['5/9', '7/9', '1', '9/8', '8/3'] -> ((1 + 8/3) / (7/9 - (5/9 * 9/8)))
[48301] ['1/9', '4/9', '6/5', '7/4', '3'] -> ((3 - (4/9 * 7/4)) / (1/9 / 6/5))
[48302] ['3/8', '5/6', '6/7', '8/7', '4'] -> (8/7 / (((5/6 + 6/7) / 4) - 3/8))
[48303] ['1/7', '4/3', '7/5', '9/2', '9'] -> (9/2 * (((9 - 4/3) / 7/5) - 1/7))
[48304] ['1/7', '1/7', '1/6', '2/9', '5'] -> ((1/7 / 1/6) + ((1/7 + 5) / 2/9))
[48305] ['1/9', '1/6', '5/6', '8/7', '5'] -> ((5/6 + 5) * (8/7 / (1/9 + 1/6)))
[48306] ['1/6', '9/7', '7/5', '8/5', '6'] -> ((8/5 / 7/5) / ((9/7 / 6) - 1/6))
[48307] ['1/2', '1/2', '9/7', '9/7', '4'] -> (9/7 / (1/2 - ((1/2 + 9/7) / 4)))
[48308] ['1/5', '1/2', '7/9', '6/7', '4'] -> ((4 / (1/5 * 7/9)) - (6/7 / 1/2))
[48309] ['5/9', '7/9', '1', '9/8', '7/2'] -> (1 / ((5/9 * 7/2) - (7/9 + 9/8)))
[48310] ['1/5', '2/9', '1/2', '3/5', '5'] -> ((3/5 / (1/5 / 1/2)) + (5 / 2/9))
[48311] ['3/8', '5/6', '6/7', '7/6', '4'] -> (5/6 / (3/8 - (7/6 / (6/7 * 4))))
[48312] ['1/6', '9/7', '7/5', '5/3', '6'] -> (6 + ((7/5 * 5/3) / (1/6 / 9/7)))
[48313] ['1/9', '2/7', '4/3', '9/5', '4'] -> ((4/3 / ((2/7 / 9/5) - 1/9)) - 4)
[48314] ['1/9', '4/9', '6/5', '3', '7/2'] -> ((7/2 + (3 / 6/5)) / (1/9 / 4/9))
[48315] ['1/5', '2/9', '1/2', '2/3', '5'] -> ((2/3 + (1/5 / 1/2)) / (2/9 / 5))
[48316] ['1/9', '1/6', '5/6', '7/5', '5'] -> (((5 * (7/5 - 5/6)) - 1/6) / 1/9)
[48317] ['1/7', '1/7', '1/6', '1/2', '5'] -> ((1/6 + 1/2) / (1/7 / (1/7 + 5)))
[48318] ['1/3', '4/7', '9/5', '7/3', '8'] -> ((1/3 + (4/7 * 7/3)) * (9/5 * 8))
[48319] ['7/5', '8/5', '5/3', '9/5', '6'] -> ((8/5 * 9/5) * (6 + (7/5 * 5/3)))
[48320] ['1/2', '1/2', '9/7', '7/4', '4'] -> ((9/7 * 4) / (1/2 - (1/2 / 7/4)))
[48321] ['5/9', '7/9', '1', '8/7', '6/5'] -> ((8/7 / 5/9) / ((1 / 7/9) - 6/5))
[48322] ['3/8', '9/5', '8/3', '3', '7/2'] -> (9/5 * (3 + (8/3 * (3/8 + 7/2))))
[48323] ['1/6', '9/7', '7/5', '9/4', '6'] -> ((9/7 * 7/5) * ((9/4 * 6) - 1/6))
[48324] ['1/9', '1/6', '5/6', '7/4', '5'] -> (5 / (5/6 * (7/4 - (1/6 / 1/9))))
[48325] ['1/7', '4/3', '3/2', '9/4', '9'] -> ((3/2 + (9/4 / 1/7)) + (9 / 4/3))
[48326] ['7/5', '8/5', '5/3', '5/2', '6'] -> (8/5 / ((6 / 5/2) - (7/5 * 5/3)))
[48327] ['3/8', '9/5', '8/3', '3', '9/2'] -> ((3 / (9/5 - (3/8 * 9/2))) - 8/3)
[48328] ['1/2', '1/2', '9/7', '9/4', '4'] -> (4 / ((1/2 / 9/7) - (1/2 / 9/4)))
[48329] ['1/5', '2/9', '1/2', '7/9', '5'] -> (((1/2 + 5) / 1/5) - (7/9 / 2/9))
[48330] ['1/4', '3/8', '3/5', '4/3', '5'] -> ((3/5 / 4/3) * (5 / (1/4 * 3/8)))
[48331] ['5/9', '7/9', '1', '8/7', '4/3'] -> (8/7 / (1 - (4/3 * (5/9 / 7/9))))
[48332] ['1/9', '4/9', '5/4', '3/2', '3'] -> (3/2 / (((1/9 + 5/4) / 4/9) - 3))
[48333] ['1/7', '4/3', '3/2', '5/2', '9'] -> ((9 * (4/3 + 5/2)) - (3/2 / 1/7))
[48334] ['1/9', '1/6', '6/7', '7/8', '5'] -> ((5 / (1/9 + 1/6)) / (6/7 * 7/8))
[48335] ['1/2', '1/2', '9/7', '7/3', '4'] -> (7/3 * (9/7 + ((1/2 + 4) / 1/2)))
[48336] ['5/9', '7/9', '1', '8/7', '7/5'] -> (8/7 / (1 - ((5/9 + 7/9) / 7/5)))
[48337] ['1/9', '4/9', '5/4', '9/5', '3'] -> ((5/4 / (1/9 / 4/9)) * (9/5 + 3))
[48338] ['7/5', '8/5', '9/5', '8/3', '6'] -> (9/5 * ((7/5 * 8/3) + (8/5 * 6)))
[48339] ['1/9', '2/7', '7/5', '5/3', '4'] -> ((7/5 * 5/3) * (4 / (1/9 / 2/7)))
[48340] ['5/9', '7/9', '1', '8/7', '3/2'] -> (8/7 / ((5/9 / 7/9) - (1 / 3/2)))
[48341] ['1/9', '1/6', '6/7', '8/9', '5'] -> ((8/9 - 1/9) * (6/7 + (5 / 1/6)))
[48342] ['1/6', '9/7', '7/5', '7/2', '6'] -> ((6 / 7/5) - (9/7 - (7/2 / 1/6)))
[48343] ['1/5', '1/2', '7/9', '8/5', '4'] -> ((8/5 + 4) / (7/9 * (1/2 - 1/5)))
[48344] ['1/3', '4/7', '9/4', '7/3', '8'] -> (((8 + (7/3 / 1/3)) / 4/7) - 9/4)
[48345] ['1/2', '1/2', '9/7', '4', '9/2'] -> (((9/2 / 9/7) - 1/2) / (1/2 / 4))
[48346] ['1/9', '4/9', '5/4', '5/2', '3'] -> ((3 / (1/9 / 4/9)) / (5/4 / 5/2))
[48347] ['5/9', '7/9', '1', '8/7', '5/3'] -> (8/7 / ((5/9 / 7/9) + (1 - 5/3)))
[48348] ['2/7', '2/5', '3/4', '5/6', '2'] -> ((2 / (2/7 * 5/6)) / (3/4 - 2/5))
[48349] ['1/4', '3/8', '3/5', '7/2', '5'] -> ((5 / (1/4 * 3/5)) - (7/2 / 3/8))
[48350] ['1/3', '4/7', '9/4', '9/2', '8'] -> ((4/7 * 8) * (9/2 + (1/3 * 9/4)))
[48351] ['1/9', '2/7', '7/5', '9/5', '4'] -> ((9/5 * (1/9 + (4 / 2/7))) - 7/5)
[48352] ['1/7', '1/7', '1/6', '3/2', '5'] -> ((5 + (1/7 / 1/7)) / (1/6 * 3/2))
[48353] ['3/8', '7/3', '7/3', '5/2', '3'] -> (3 + (7/3 * (7/3 + (5/2 / 3/8))))
[48354] ['7/5', '5/3', '5/3', '5/3', '6'] -> ((7/5 + (5/3 / 5/3)) * (5/3 * 6))
[48355] ['1/9', '4/9', '5/4', '8/3', '3'] -> ((5/4 / 1/9) + ((8/3 + 3) / 4/9))
[48356] ['5/9', '7/9', '1', '8/7', '7/4'] -> (1 / ((5/9 / 8/7) - (7/9 / 7/4)))
[48357] ['1/5', '1/2', '7/9', '9/5', '4'] -> (4 / (7/9 - (1/2 + (1/5 / 9/5))))
[48358] ['1/9', '2/7', '7/5', '9/4', '4'] -> ((2/7 + 4) / (9/4 * (1/9 / 7/5)))
[48359] ['3/8', '5/6', '6/7', '5/2', '4'] -> ((5/2 / (3/8 + 4)) / (6/7 - 5/6))
[48360] ['1/7', '4/3', '8/5', '9/5', '9'] -> (8/5 / ((9/5 / (1/7 * 9)) - 4/3))
[48361] ['3/8', '7/3', '7/3', '3', '9/2'] -> ((3 - (7/3 / 7/3)) / (3/8 / 9/2))
[48362] ['1/5', '2/9', '1/2', '5/4', '5'] -> ((5/4 - (1/2 / 2/9)) + (5 / 1/5))
[48363] ['7/5', '5/3', '5/3', '9/5', '6'] -> (5/3 * (7/5 + (5/3 * (9/5 + 6))))
[48364] ['1/9', '4/9', '9/7', '7/5', '3'] -> ((9/7 + 3) * (7/5 / (1/9 / 4/9)))
[48365] ['1/7', '1/7', '1/6', '9/5', '5'] -> ((9/5 - (1/7 / 1/7)) / (1/6 / 5))
[48366] ['3/8', '7/3', '5/2', '5/2', '3'] -> (3 / ((5/2 / 5/2) - (3/8 * 7/3)))
[48367] ['1/5', '1/2', '7/9', '7/3', '4'] -> (4 / (1/5 * (1/2 + (7/9 / 7/3))))
[48368] ['1/3', '4/7', '5/2', '8/3', '8'] -> ((4/7 + 8) * (8/3 + (1/3 / 5/2)))
[48369] ['2/7', '2/5', '3/4', '7/6', '2'] -> (2 / ((7/6 * (2/7 / 2/5)) - 3/4))
[48370] ['1/9', '1/6', '6/7', '4/3', '5'] -> (6/7 * (((5 - 1/9) / 1/6) - 4/3))
[48371] ['1/9', '2/7', '7/5', '5/2', '4'] -> ((4 / 1/9) / ((5/2 / 7/5) - 2/7))
[48372] ['7/5', '5/3', '5/3', '7/3', '6'] -> ((5/3 * (7/5 + (7/3 * 6))) - 5/3)
[48373] ['3/8', '5/6', '6/7', '4', '9/2'] -> ((6/7 * 9/2) * (4 + (5/6 / 3/8)))
[48374] ['1/7', '4/3', '8/5', '7/3', '9'] -> ((4/3 + (1/7 * 7/3)) * (8/5 * 9))
[48375] ['1/5', '2/9', '1/2', '3/2', '5'] -> ((3/2 + (1/5 / 2/9)) / (1/2 / 5))
