[35461] ['3/8', '4/9', '7/4', '7/3', '4'] -> ((4 / 4/9) / ((7/4 / 7/3) - 3/8))
[39880] ['1/4', '9/5', '2', '5/2', '9/2'] -> ((2 + (9/5 / 9/2)) / (1/4 / 5/2))
[39881] ['1/9', '1/8', '1/7', '9/8', '5'] -> (((5 - 1/8) / 1/7) - (9/8 / 1/9))
[39882] ['1/5', '1/3', '8/7', '9/7', '4'] -> ((4 / (1/5 / 8/7)) / (9/7 - 1/3))
[39883] ['1/9', '1/5', '2/7', '4/9', '4'] -> (4 / (1/5 * (4/9 + (1/9 / 2/7))))
[39884] ['1/6', '6/7', '8/7', '8/5', '5'] -> ((5 / (1/6 / 8/5)) / (6/7 + 8/7))
[39885] ['1/7', '7/9', '5/6', '4/3', '9'] -> ((9 / 7/9) / ((5/6 / 4/3) - 1/7))
[39886] ['1/9', '1/3', '3/5', '9/7', '3'] -> ((1/3 + 3/5) * ((3 / 1/9) - 9/7))
[39887] ['5/9', '4/7', '1', '6/5', '9/7'] -> ((1 + 9/7) / ((5/9 * 6/5) - 4/7))
[39888] ['3/8', '4/7', '7/4', '9/5', '4'] -> ((4 + (4/7 * 7/4)) / (3/8 / 9/5))
[39889] ['1/4', '9/5', '2', '8/3', '7/2'] -> (9/5 * ((2 - 8/3) + (7/2 / 1/4)))
[39890] ['1/5', '1/3', '8/7', '7/5', '4'] -> ((8/7 * 4) / (1/3 - (1/5 / 7/5)))
[39891] ['8/7', '5/4', '9/5', '9/5', '6'] -> ((9/5 + 6) / ((9/5 / 8/7) - 5/4))
[39892] ['1/8', '7/9', '6/7', '8/9', '5'] -> ((5 - (6/7 + (8/9 / 7/9))) / 1/8)
[39893] ['1/9', '1/3', '3/5', '7/4', '3'] -> (((3 / 3/5) - 1/3) / (1/9 * 7/4))
[39894] ['1/7', '7/9', '5/6', '3/2', '9'] -> (((3/2 / 1/7) - (5/6 - 9)) / 7/9)
[39895] ['1/9', '1/8', '1/7', '9/7', '5'] -> ((9/7 / 1/9) / ((1/8 * 5) - 1/7))
[39896] ['1/9', '1/5', '2/7', '4/7', '4'] -> (((4/7 / (2/7 - 1/5)) - 4) / 1/9)
[39897] ['1/6', '5/8', '9/7', '5/3', '6'] -> ((5/3 + 6) / ((5/8 / 9/7) - 1/6))
[39898] ['8/7', '5/4', '9/5', '7/3', '6'] -> ((7/3 * (8/7 + 6)) / (5/4 / 9/5))
[39899] ['1/5', '1/3', '8/7', '7/4', '4'] -> (((8/7 / 1/5) + (4 / 7/4)) / 1/3)
[39900] ['4/9', '5/6', '6/7', '5/4', '4'] -> (4 / ((4/9 - 5/4) + (5/6 / 6/7)))
[39901] ['1/9', '1/5', '2/7', '3/5', '4'] -> ((2/7 + 4) * (1/5 + (3/5 / 1/9)))
[39902] ['8/7', '5/4', '9/5', '5/2', '6'] -> ((8/7 * 5/4) * (9/5 + (5/2 * 6)))
[39903] ['1/9', '1/3', '3/5', '8/3', '3'] -> (((1/3 - 8/3) + (3 / 3/5)) / 1/9)
[39904] ['1/4', '2', '9/4', '9/4', '7/3'] -> (((9/4 * 7/3) - 9/4) / (1/4 / 2))
[39905] ['1/3', '1/3', '8/9', '9/7', '8'] -> ((9/7 * 8) * ((8/9 / 1/3) - 1/3))
[39906] ['2/9', '5/4', '9/7', '3/2', '5'] -> (5/4 + ((3/2 + 5) / (2/9 * 9/7)))
[39907] ['5/9', '4/7', '1', '6/5', '7/4'] -> ((6/5 / 7/4) / ((4/7 / 5/9) - 1))
[39908] ['1/5', '1/3', '8/7', '9/4', '4'] -> ((4 / (8/7 * (1/3 - 1/5))) - 9/4)
[39909] ['1/7', '7/9', '5/6', '7/4', '9'] -> (((9 / 7/9) - 1/7) / (5/6 / 7/4))
[39910] ['1/4', '2', '9/4', '9/4', '5/2'] -> (((2 * 5/2) + (9/4 / 9/4)) / 1/4)
[39911] ['3/8', '7/9', '5/6', '5/6', '3'] -> (5/6 / ((3/8 * (3 - 5/6)) - 7/9))
[39912] ['5/9', '4/7', '1', '6/5', '9/5'] -> ((6/5 / 9/5) / (1 - (5/9 / 4/7)))
[39913] ['1/6', '5/8', '9/7', '5/2', '6'] -> ((6 / (1/6 * 9/7)) - (5/2 / 5/8))
[39914] ['4/9', '5/6', '6/7', '3/2', '4'] -> (((4/9 * 3/2) / (6/7 - 5/6)) - 4)
[39915] ['8/7', '5/4', '9/5', '7/2', '6'] -> (7/2 * ((8/7 * 9/5) + (6 / 5/4)))
[39916] ['1/6', '6/7', '7/6', '5/3', '5'] -> (((6/7 * 7/6) + (5 / 5/3)) / 1/6)
[39917] ['1/3', '1/3', '8/9', '8/5', '8'] -> ((8/5 * (1/3 + 8)) / (8/9 - 1/3))
[39918] ['2/9', '5/4', '9/7', '5/3', '5'] -> ((2/9 * 5) / ((5/3 / 9/7) - 5/4))
[39919] ['3/8', '7/9', '5/6', '6/7', '3'] -> (3 / ((7/9 * (3/8 + 6/7)) - 5/6))
[39920] ['1/6', '5/8', '9/7', '8/3', '6'] -> (6 / ((5/8 / (1/6 * 9/7)) - 8/3))
[39921] ['1/6', '6/7', '7/6', '7/4', '5'] -> ((7/6 + (5 / 6/7)) / (1/6 * 7/4))
[39922] ['1/7', '7/9', '5/6', '9/4', '9'] -> ((9 - (1/7 * 7/9)) / (5/6 / 9/4))
[39923] ['3/8', '4/7', '9/5', '7/2', '4'] -> (3/8 + ((7/2 + 4) / (4/7 / 9/5)))
[39924] ['1/6', '6/7', '7/6', '9/5', '5'] -> ((9/5 - (6/7 * 7/6)) / (1/6 / 5))
[39925] ['1/7', '7/9', '5/6', '7/3', '9'] -> ((7/3 - (1/7 * 7/9)) / (5/6 / 9))
[39926] ['5/9', '4/7', '1', '6/5', '5/2'] -> (((1 / 5/2) / (4/7 - 5/9)) - 6/5)
[39927] ['1/9', '1/8', '1/7', '7/4', '5'] -> (((5 / (7/4 - 1/7)) - 1/9) / 1/8)
[39928] ['1/8', '7/9', '6/7', '8/5', '5'] -> (5 * ((6/7 / 1/8) - (8/5 / 7/9)))
[39929] ['3/8', '7/9', '5/6', '9/8', '3'] -> (((3/8 + 9/8) / (5/6 - 7/9)) - 3)
[39930] ['1/9', '1/5', '2/7', '4/5', '4'] -> (4 / (1/9 * (4/5 + (1/5 / 2/7))))
[39931] ['1/6', '6/7', '7/6', '9/4', '5'] -> (5 / (1/6 * (9/4 - (6/7 * 7/6))))
[39932] ['1/5', '1/3', '7/6', '7/6', '4'] -> ((7/6 + 7/6) + ((1/3 + 4) / 1/5))
[39933] ['1/7', '7/9', '5/6', '8/3', '9'] -> ((5/6 + 8/3) * ((7/9 * 9) - 1/7))
[39934] ['3/8', '4/7', '9/4', '9/4', '4'] -> (9/4 / ((3/8 / 4/7) - (9/4 / 4)))
[39935] ['1/9', '1/3', '5/8', '6/7', '3'] -> (3 / (5/8 - (1/9 + (1/3 / 6/7))))
[39937] ['4/9', '5/6', '6/7', '7/3', '4'] -> (4 / ((4/9 / 7/3) + (5/6 - 6/7)))
[39936] ['3/8', '4/7', '9/4', '7/3', '4'] -> ((4 / 4/7) / ((3/8 + 9/4) - 7/3))
[39938] ['8/7', '5/4', '5/2', '5/2', '6'] -> ((5/4 * 6) / (5/2 - (5/2 / 8/7)))
[39939] ['1/9', '1/8', '1/7', '9/4', '5'] -> (((1/9 / 1/7) + (5 / 9/4)) / 1/8)
[39940] ['1/5', '1/3', '7/6', '9/7', '4'] -> (4 / ((1/3 / 1/5) - (7/6 * 9/7)))
[39941] ['1/9', '1/3', '5/8', '7/6', '3'] -> (3 / (5/8 - (1/9 + (1/3 * 7/6))))
[39942] ['3/8', '4/7', '9/4', '5/2', '4'] -> ((4/7 + 4) * ((9/4 * 5/2) - 3/8))
[39943] ['8/7', '5/4', '5/2', '9/2', '6'] -> ((5/2 * (8/7 / 5/4)) * (9/2 + 6))
[39944] ['1/4', '2', '5/2', '5/2', '5/2'] -> (((2 * 5/2) + (5/2 / 5/2)) / 1/4)
[39945] ['1/6', '5/8', '7/5', '3/2', '6'] -> (((6 / 1/6) - (3/2 / 5/8)) / 7/5)
[39946] ['4/9', '5/6', '6/7', '8/3', '4'] -> (4 * ((8/3 / (5/6 - 4/9)) - 6/7))
[39947] ['1/3', '1/3', '9/8', '7/4', '8'] -> ((1/3 / 1/3) + (8 * (9/8 + 7/4)))
[39948] ['1/9', '1/3', '5/8', '6/5', '3'] -> (3 / (5/8 * (1/3 - (1/9 * 6/5))))
[39949] ['1/4', '2', '5/2', '5/2', '8/3'] -> (8/3 * ((2 / 1/4) + (5/2 / 5/2)))
[39950] ['1/5', '1/3', '7/6', '7/4', '4'] -> (4 / ((1/3 / 1/5) - (7/4 / 7/6)))
[39951] ['2/9', '5/4', '9/7', '7/2', '5'] -> ((7/2 / (2/9 / 9/7)) - (5/4 - 5))
[39952] ['1/8', '7/9', '6/7', '7/3', '5'] -> (5 / (1/8 * (7/3 - (7/9 * 6/7))))
[39953] ['3/8', '4/7', '9/4', '7/2', '4'] -> (3/8 + (9/4 * (7/2 + (4 / 4/7))))
[39954] ['8/7', '5/4', '8/3', '9/2', '6'] -> (8/7 * (6 + (9/2 * (5/4 * 8/3))))
[39955] ['1/6', '6/7', '6/5', '4/3', '5'] -> (((6/5 * 5) - 4/3) / (1/6 / 6/7))
[39956] ['4/9', '5/6', '6/7', '7/2', '4'] -> (4 / (4/9 - ((5/6 / 6/7) / 7/2)))
[39957] ['1/5', '1/3', '7/6', '9/5', '4'] -> ((4 / (1/5 / 9/5)) / (1/3 + 7/6))
[39958] ['1/6', '5/8', '7/5', '5/3', '6'] -> ((1/6 + (7/5 * 5/3)) / (5/8 / 6))
[39959] ['5/9', '4/7', '1', '5/4', '4/3'] -> (4/3 / ((5/9 + 5/4) - (1 / 4/7)))
[39960] ['1/9', '1/8', '1/6', '1/5', '5'] -> (1/5 / (((1/9 / 1/6) / 5) - 1/8))
[39961] ['1/8', '7/9', '6/7', '7/2', '5'] -> (((5 / 6/7) - 7/2) / (1/8 * 7/9))
[39962] ['1/7', '7/9', '6/7', '7/6', '9'] -> (((7/6 / 1/7) + (9 / 6/7)) / 7/9)
[39963] ['8/7', '5/4', '7/2', '9/2', '6'] -> ((5/4 * 9/2) + (6 / (8/7 / 7/2)))
[39964] ['1/6', '5/8', '7/5', '7/4', '6'] -> ((6 - (7/4 / (5/8 * 7/5))) / 1/6)
[39965] ['1/4', '2', '8/3', '7/2', '7/2'] -> (8/3 * ((2 / 1/4) + (7/2 / 7/2)))
[39966] ['3/8', '7/9', '5/6', '5/3', '3'] -> (5/3 / ((3/8 / 3) + (7/9 - 5/6)))
[39967] ['1/8', '7/9', '6/7', '9/2', '5'] -> (((5 / (7/9 * 6/7)) - 9/2) / 1/8)
[39968] ['8/7', '5/4', '9/2', '9/2', '6'] -> ((8/7 / 5/4) * (6 + (9/2 * 9/2)))
[39969] ['1/3', '1/3', '8/7', '7/5', '8'] -> ((8/7 + (1/3 / 1/3)) * (7/5 * 8))
[39970] ['1/6', '6/7', '6/5', '5/3', '5'] -> (6/7 * ((5 / 1/6) - (6/5 * 5/3)))
[39971] ['1/4', '2', '9/2', '9/2', '9/2'] -> (2 + ((9/2 + (9/2 / 9/2)) / 1/4))
[39972] ['1/8', '7/9', '7/8', '7/8', '5'] -> ((5 - (7/8 + (7/8 / 7/9))) / 1/8)
[39973] ['1/7', '7/9', '6/7', '5/4', '9'] -> (6/7 / ((5/4 / (7/9 * 9)) - 1/7))
[39974] ['2/9', '5/4', '4/3', '7/2', '5'] -> ((4/3 / 2/9) / (5 - (5/4 + 7/2)))
[39975] ['1/6', '5/8', '7/5', '7/3', '6'] -> (6 * ((1/6 / 5/8) + (7/5 + 7/3)))
[39976] ['8/7', '9/7', '9/7', '4/3', '6'] -> (8/7 * ((9/7 / (4/3 - 9/7)) - 6))
[39977] ['1/6', '6/7', '6/5', '7/4', '5'] -> ((6/5 / 7/4) * (5 / (1/6 * 6/7)))
[39978] ['1/8', '7/9', '7/8', '8/9', '5'] -> (5 / ((1/8 * 8/9) - (7/9 - 7/8)))
[39979] ['2/7', '2/7', '2/7', '3/8', '2'] -> ((2 + (2/7 + 2/7)) / (2/7 * 3/8))
[39980] ['1/9', '1/8', '1/6', '4/7', '5'] -> ((5 - (1/6 / (1/8 * 4/7))) / 1/9)
[39981] ['4/9', '5/6', '7/8', '7/6', '4'] -> (4 / ((7/8 + 7/6) - (5/6 / 4/9)))
[39982] ['1/8', '7/9', '7/8', '9/8', '5'] -> (5 / ((1/8 / 9/8) - (7/9 - 7/8)))
[39983] ['8/7', '9/7', '9/7', '3/2', '6'] -> ((6 + (9/7 + 9/7)) / (3/2 - 8/7))
[39984] ['1/6', '5/8', '3/2', '9/5', '6'] -> ((6 - 3/2) / (9/5 * (1/6 * 5/8)))
[39985] ['3/8', '4/7', '5/2', '4', '9/2'] -> (((4 / 4/7) - (5/2 - 9/2)) / 3/8)
[39986] ['2/7', '2/7', '2/7', '3/7', '2'] -> (((2/7 - 3/7) + (2 / 2/7)) / 2/7)
[39987] ['1/3', '1/3', '8/7', '9/4', '8'] -> (8/7 * (1/3 + (8 * (1/3 + 9/4))))
[39988] ['1/5', '1/3', '5/4', '9/7', '4'] -> ((4 - (1/3 / 5/4)) / (1/5 / 9/7))
[39989] ['4/9', '5/6', '7/8', '5/4', '4'] -> (4 / ((7/8 / 5/4) - (4/9 / 5/6)))
[39990] ['3/8', '4/7', '8/3', '7/2', '4'] -> (8/3 + ((7/2 * 4) / (3/8 / 4/7)))
[39991] ['1/9', '1/3', '2/3', '7/4', '3'] -> ((2/3 / 1/9) / ((7/4 / 3) - 1/3))
[39992] ['1/8', '7/9', '7/8', '6/5', '5'] -> (5 / ((6/5 * (1/8 + 7/9)) - 7/8))
[39993] ['3/8', '7/9', '6/7', '7/8', '3'] -> (((3/8 / 7/9) / (7/8 - 6/7)) - 3)
[39994] ['1/7', '7/9', '6/7', '5/3', '9'] -> ((1/7 + (5/3 / 7/9)) / (6/7 / 9))
[39995] ['2/7', '2/7', '2/7', '4/7', '2'] -> ((2 / (2/7 * 2/7)) - (2/7 / 4/7))
[39996] ['1/8', '7/9', '7/8', '5/4', '5'] -> (5 + ((5/4 + (7/8 / 7/9)) / 1/8))
[39997] ['3/8', '4/7', '7/2', '7/2', '4'] -> (7/2 * (((4/7 + 7/2) / 3/8) - 4))
[39998] ['8/7', '9/7', '9/7', '9/4', '6'] -> ((9/7 / 9/4) * (6 / (9/7 - 8/7)))
[39999] ['1/6', '6/7', '5/4', '4/3', '5'] -> (4/3 / ((5/4 / 5) - (1/6 / 6/7)))
[40000] ['3/8', '7/9', '6/7', '8/7', '3'] -> (8/7 / ((7/9 * 3) - (6/7 / 3/8)))
[40001] ['2/9', '5/4', '7/5', '7/3', '5'] -> ((5 + (7/3 / 7/5)) / (2/9 * 5/4))
[40002] ['1/7', '7/9', '6/7', '9/5', '9'] -> (((9 / 7/9) - 1/7) / (6/7 / 9/5))
[40003] ['1/8', '7/9', '7/8', '9/7', '5'] -> (((5 / 9/7) - (7/9 / 7/8)) / 1/8)
[40004] ['8/7', '9/7', '9/7', '7/3', '6'] -> ((8/7 * 7/3) * (9/7 + (9/7 * 6)))
[40005] ['1/5', '1/3', '9/7', '4/3', '4'] -> (9/7 * ((4/3 / 1/5) + (4 / 1/3)))
[40006] ['1/9', '1/8', '1/6', '5/4', '5'] -> (((5 / 5/4) - (1/6 / 1/8)) / 1/9)
[40007] ['3/8', '7/9', '6/7', '6/5', '3'] -> ((3 / (3/8 + 6/5)) / (6/7 - 7/9))
[40008] ['1/8', '7/9', '7/8', '4/3', '5'] -> (4/3 / ((7/9 * 7/8) - (1/8 * 5)))
[40009] ['1/3', '1/3', '6/5', '3/2', '8'] -> ((6/5 * 8) * (3/2 + (1/3 / 1/3)))
[40010] ['2/9', '5/4', '7/5', '5/2', '5'] -> (5/4 + (7/5 * (5 + (5/2 / 2/9))))
[40011] ['8/7', '9/7', '9/7', '8/3', '6'] -> (8/7 + (8/3 * (6 + (9/7 + 9/7))))
[40012] ['1/5', '1/3', '9/7', '7/5', '4'] -> ((1/5 + (9/7 * 7/5)) / (1/3 / 4))
[40013] ['1/7', '7/9', '6/7', '5/2', '9'] -> (9 * ((6/7 * (7/9 + 5/2)) - 1/7))
[40014] ['1/6', '6/7', '5/4', '8/5', '5'] -> (6/7 * ((5 / 1/6) - (5/4 * 8/5)))
[40015] ['1/9', '1/8', '1/6', '7/5', '5'] -> (7/5 / ((1/8 / (1/9 * 5)) - 1/6))
[40016] ['2/7', '2/7', '2/7', '7/8', '2'] -> ((2 - 2/7) / (7/8 * (2/7 * 2/7)))
[40017] ['2/9', '5/4', '7/5', '8/3', '5'] -> (((5/4 * (7/5 + 5)) - 8/3) / 2/9)
[40018] ['3/8', '7/9', '6/7', '9/7', '3'] -> ((3 / (3/8 * 7/9)) / (9/7 - 6/7))
[40019] ['4/9', '5/6', '7/8', '7/3', '4'] -> (4 / ((7/8 * 7/3) - (5/6 / 4/9)))
[40020] ['1/7', '7/9', '6/7', '8/3', '9'] -> (8/3 / (7/9 - (6/7 / (1/7 * 9))))
[40021] ['8/7', '9/7', '4/3', '7/4', '6'] -> (6 / (7/4 - (4/3 / (8/7 / 9/7))))
[40022] ['1/3', '1/3', '6/5', '7/3', '8'] -> (1/3 / ((7/3 / 8) - (1/3 / 6/5)))
[40023] ['1/8', '7/9', '7/8', '5/3', '5'] -> (((5 - 7/8) / (1/8 / 7/9)) - 5/3)
[40024] ['1/5', '1/3', '9/7', '5/3', '4'] -> (9/7 * ((1/3 - 5/3) + (4 / 1/5)))
[40025] ['3/8', '7/9', '6/7', '4/3', '3'] -> (3 / (((7/9 * 6/7) / 4/3) - 3/8))
[40026] ['2/9', '5/4', '7/5', '7/2', '5'] -> ((5/4 + (7/5 * 5)) + (7/2 / 2/9))
[40027] ['1/9', '1/8', '1/6', '5/3', '5'] -> (5/3 / (1/8 - ((1/9 + 1/6) / 5)))
[40028] ['8/7', '9/7', '4/3', '9/5', '6'] -> ((4/3 + (8/7 / 9/7)) * (9/5 * 6))
[40029] ['1/6', '6/7', '5/4', '9/5', '5'] -> (9/5 * ((5/4 / 1/6) + (5 / 6/7)))
[40030] ['1/9', '1/5', '1/3', '1/3', '4'] -> (((1/3 + 4) - (1/3 / 1/5)) / 1/9)
[40031] ['1/6', '5/8', '9/5', '7/3', '6'] -> (6 / (7/3 - (5/8 / (1/6 * 9/5))))
[40032] ['4/9', '5/6', '7/8', '7/2', '4'] -> ((4 - (5/6 / 7/8)) / (4/9 / 7/2))
[40033] ['8/7', '9/7', '4/3', '9/4', '6'] -> (8/7 / ((6 / 9/4) - (9/7 + 4/3)))
[40034] ['1/9', '1/8', '1/6', '7/4', '5'] -> ((5 - (7/4 / (1/8 / 1/6))) / 1/9)
[40035] ['1/6', '6/7', '5/4', '9/4', '5'] -> (((5 - 5/4) / (1/6 * 6/7)) - 9/4)
[40036] ['1/6', '5/8', '9/5', '8/3', '6'] -> (6 + ((9/5 * 8/3) / (1/6 / 5/8)))
[40037] ['3/8', '3/5', '3/5', '9/8', '4'] -> ((3/5 + (9/8 / 3/8)) / (3/5 / 4))
[40038] ['1/9', '1/5', '1/3', '3/7', '4'] -> (1/9 + ((4 + (1/3 / 3/7)) / 1/5))
[40039] ['3/8', '7/9', '6/7', '3/2', '3'] -> (3 / ((7/9 * (3/2 - 6/7)) - 3/8))
[40040] ['8/7', '9/7', '7/5', '7/5', '6'] -> ((8/7 * 6) / (9/7 - (7/5 / 7/5)))
[40041] ['1/6', '6/7', '5/4', '7/3', '5'] -> ((6/7 * 7/3) / ((5/4 / 5) - 1/6))
[40042] ['2/9', '5/4', '3/2', '8/5', '5'] -> (((5/4 * 8/5) + (5 / 3/2)) / 2/9)
[40043] ['1/3', '1/3', '5/4', '7/5', '8'] -> ((5/4 * 8) * (7/5 + (1/3 / 1/3)))
[40044] ['1/6', '5/8', '9/5', '7/2', '6'] -> ((6 + (7/2 / 1/6)) / (5/8 * 9/5))
[40045] ['1/8', '7/9', '7/8', '5/2', '5'] -> (((5/2 + (7/8 / 7/9)) / 1/8) - 5)
[40046] ['1/6', '6/7', '5/4', '5/2', '5'] -> (6/7 * ((5 / 1/6) - (5/2 / 5/4)))
[40047] ['1/9', '1/3', '5/7', '5/3', '3'] -> ((3 + (5/3 / 5/7)) / (1/3 - 1/9))
[40048] ['1/9', '1/5', '1/3', '5/8', '4'] -> ((1/3 / 5/8) * (4 / (1/5 - 1/9)))
[40049] ['2/7', '2/7', '2/7', '7/4', '2'] -> ((2 / (2/7 * 2/7)) - (2/7 * 7/4))
[40050] ['4/9', '5/6', '8/9', '9/7', '4'] -> ((8/9 + 4) / ((5/6 / 9/7) - 4/9))
[40051] ['8/7', '9/7', '7/5', '9/4', '6'] -> ((6 / 7/5) / ((8/7 + 9/7) - 9/4))
[40052] ['1/3', '1/3', '5/4', '9/2', '8'] -> (8 * (((9/2 - 1/3) / 5/4) - 1/3))
[40053] ['1/9', '1/3', '5/7', '7/4', '3'] -> ((1/3 + 3) / (7/4 * (1/9 * 5/7)))
[40054] ['3/8', '7/9', '6/7', '9/4', '3'] -> (6/7 + ((9/4 * 3) / (3/8 * 7/9)))
[40055] ['4/9', '5/6', '8/9', '7/5', '4'] -> (4 / ((4/9 + 8/9) - (5/6 * 7/5)))
[40056] ['1/8', '7/9', '8/9', '8/9', '5'] -> (((8/9 / (8/9 - 7/9)) - 5) / 1/8)
[40057] ['3/8', '3/5', '3/5', '7/5', '4'] -> (((7/5 / 3/5) + (4 / 3/5)) / 3/8)
[40058] ['1/6', '6/7', '5/4', '7/2', '5'] -> ((((5 / 6/7) - 5/4) / 1/6) - 7/2)
[40059] ['1/9', '1/5', '1/3', '6/7', '4'] -> (4 / ((1/9 / 1/5) - (1/3 / 6/7)))
[40060] ['1/3', '1/3', '9/7', '4/3', '8'] -> ((9/7 * 8) * (4/3 + (1/3 / 1/3)))
[40061] ['1/7', '7/9', '7/8', '4/3', '9'] -> ((9 + (4/3 / (1/7 * 7/9))) / 7/8)
[40062] ['1/8', '7/9', '8/9', '9/8', '5'] -> ((5 - (9/8 + (7/9 / 8/9))) / 1/8)
[40063] ['2/9', '5/4', '8/5', '5/3', '5'] -> (((5/4 * 8/5) - (5/3 - 5)) / 2/9)
[40064] ['1/9', '1/8', '1/5', '1/2', '5'] -> ((5 / (1/9 / 1/5)) / (1/2 - 1/8))
[40065] ['1/9', '1/3', '5/7', '9/5', '3'] -> ((1/3 + (3 / (5/7 * 9/5))) / 1/9)
[40066] ['3/8', '3/5', '3/5', '5/3', '4'] -> ((3/5 / 3/5) / ((5/3 / 4) - 3/8))
[40067] ['3/8', '7/9', '6/7', '8/3', '3'] -> (3 / (3/8 - ((7/9 * 6/7) / 8/3)))
[40068] ['1/6', '5/8', '7/2', '7/2', '6'] -> (7/2 / ((5/8 * (6 - 1/6)) - 7/2))
[40069] ['2/7', '2/7', '2/7', '2', '8/3'] -> ((2 + (2/7 + 2/7)) / (2/7 / 8/3))
[40070] ['1/9', '1/5', '1/3', '8/7', '4'] -> ((4 - (1/3 / 1/5)) / (1/9 / 8/7))
[40071] ['3/8', '3/5', '3/5', '7/4', '4'] -> (3/5 / (7/4 - (3/8 * (3/5 + 4))))
[40072] ['4/9', '5/6', '8/9', '7/4', '4'] -> ((8/9 / ((5/6 / 7/4) - 4/9)) - 4)
[40073] ['1/7', '7/9', '7/8', '7/5', '9'] -> ((9 / 7/9) / ((7/8 / 7/5) - 1/7))
[40074] ['3/8', '7/9', '6/7', '3', '7/2'] -> ((7/2 + (3 / 6/7)) / (3/8 * 7/9))
[40075] ['8/7', '9/7', '3/2', '8/5', '6'] -> ((8/7 + (9/7 * 8/5)) * (3/2 + 6))
[40076] ['2/9', '5/4', '8/5', '9/4', '5'] -> ((8/5 * 5) / ((5/4 / 9/4) - 2/9))
[40077] ['1/6', '6/7', '9/7', '7/4', '5'] -> (((9/7 + (5 / 7/4)) / 1/6) - 6/7)
[40078] ['2/7', '2/7', '1/3', '2/5', '2'] -> (2 / ((2/7 / (2/7 + 2/5)) - 1/3))
[40079] ['1/9', '1/8', '1/5', '3/4', '5'] -> ((1/5 * 5) / (1/8 - (1/9 * 3/4)))
[40080] ['4/9', '5/6', '9/8', '9/8', '4'] -> (4 / ((4/9 * (9/8 + 9/8)) - 5/6))
[40081] ['2/9', '5/4', '8/5', '5/2', '5'] -> (8/5 * ((5/2 / 2/9) - (5/4 - 5)))
[40082] ['1/5', '1/3', '3/2', '7/4', '4'] -> ((4 / 1/5) / ((7/4 / 3/2) - 1/3))
[40083] ['3/8', '7/9', '7/8', '7/6', '3'] -> (((7/6 / (7/8 - 7/9)) - 3) / 3/8)
[40084] ['1/7', '7/9', '7/8', '5/3', '9'] -> ((9 * (7/9 + (5/3 / 7/8))) - 1/7)
[40085] ['3/8', '3/5', '5/8', '5/7', '4'] -> ((3/5 * 4) / (5/8 - (3/8 / 5/7)))
[40086] ['2/7', '2/7', '1/3', '4/9', '2'] -> (2/7 / (1/3 - ((2/7 / 4/9) / 2)))
[40087] ['1/3', '1/3', '9/7', '9/4', '8'] -> (9/7 * ((1/3 + 1/3) + (9/4 * 8)))
[40088] ['1/6', '6/7', '9/7', '9/4', '5'] -> ((9/7 / 9/4) / (6/7 - (1/6 * 5)))
[40089] ['1/5', '1/3', '3/2', '9/4', '4'] -> (4 / ((1/3 / 1/5) - (9/4 / 3/2)))
[40090] ['1/8', '7/9', '8/9', '9/5', '5'] -> (9/5 / (1/8 * (7/9 - (8/9 / 5))))
[40091] ['3/8', '3/5', '5/8', '7/9', '4'] -> ((3/5 + (4 / 5/8)) / (3/8 * 7/9))
[40092] ['5/9', '4/7', '1', '4/3', '9/4'] -> (4/3 / ((5/9 - 9/4) + (1 / 4/7)))
[40093] ['1/9', '1/3', '3/4', '7/8', '3'] -> (3 / (1/9 * (7/8 + (1/3 * 3/4))))
[40094] ['1/7', '7/9', '7/8', '7/4', '9'] -> (9 / ((7/9 * (7/4 - 1/7)) - 7/8))
[40095] ['1/3', '1/3', '9/7', '5/2', '8'] -> ((9/7 + (1/3 / 1/3)) * (5/2 + 8))
[40096] ['1/9', '1/8', '1/5', '5/6', '5'] -> (5 / ((1/9 / 5/6) - (1/8 - 1/5)))
[40097] ['1/7', '7/9', '7/8', '9/5', '9'] -> (9 / ((7/8 / 9/5) - (1/7 * 7/9)))
[40098] ['1/9', '1/5', '1/3', '4', '9/2'] -> (4 / (1/5 * (1/3 + (1/9 * 9/2))))
[40099] ['4/9', '5/6', '9/8', '9/7', '4'] -> ((4 / (4/9 * 9/7)) / (9/8 - 5/6))
[40100] ['1/3', '1/3', '9/7', '8/3', '8'] -> ((9/7 * 8/3) * (8 - (1/3 / 1/3)))
[40101] ['2/7', '2/7', '1/3', '7/9', '2'] -> (((2 / 7/9) - 2/7) / (2/7 * 1/3))
[40102] ['8/7', '9/7', '8/5', '7/4', '6'] -> (6 / ((8/7 / 8/5) + (9/7 - 7/4)))
[40103] ['1/5', '1/3', '8/5', '9/4', '4'] -> ((8/5 * 9/4) * (4 / (1/5 / 1/3)))
[40104] ['5/9', '4/7', '1', '4/3', '5/2'] -> ((4/3 / (4/7 - 5/9)) / (1 + 5/2))
[40105] ['1/9', '1/3', '3/4', '7/6', '3'] -> ((3 / (1/9 * 3/4)) / (1/3 + 7/6))
[40106] ['2/7', '2/7', '1/3', '4/5', '2'] -> ((2/7 * 2) / ((2/7 / 4/5) - 1/3))
[40107] ['3/8', '3/5', '5/8', '8/9', '4'] -> (4 / (5/8 * (3/5 - (3/8 * 8/9))))
[40108] ['1/9', '1/5', '3/8', '2/5', '4'] -> ((4 - ((1/5 / 3/8) / 2/5)) / 1/9)
