[70921] ['1/5', '4/7', '9/7', '9/7', '6'] -> (((9/7 / 1/5) + (9/7 + 6)) / 4/7)
[76271] ['4/7', '1', '6/5', '8/5', '9/2'] -> (6/5 / (((1 + 8/5) / 4/7) - 9/2))
[76272] ['1/5', '3/7', '5/6', '8/9', '8'] -> ((8/9 / (1/5 * 5/6)) + (8 / 3/7))
[76273] ['4/7', '1', '6/5', '5/3', '5/3'] -> ((6/5 * 5/3) / ((1 / 4/7) - 5/3))
[76274] ['1/7', '1/2', '1/2', '8/5', '5'] -> ((8/5 * 5) * ((1/2 / 1/7) - 1/2))
[76275] ['2/7', '3/8', '3/8', '6/7', '5'] -> (((3/8 / 3/8) + (6/7 + 5)) / 2/7)
[76276] ['2/7', '4/3', '7/5', '2', '9/2'] -> (9/2 * (2 + (4/3 / (2/7 * 7/5))))
[76277] ['1/9', '2/3', '9/7', '7/5', '6'] -> (((6 / (9/7 * 7/5)) - 2/3) / 1/9)
[76278] ['2/5', '9/8', '4/3', '7/3', '4'] -> ((7/3 / (2/5 * (4/3 - 9/8))) - 4)
[76279] ['1/8', '1/5', '2/3', '2/3', '4'] -> ((2/3 / (1/8 * 1/5)) - (2/3 * 4))
[76280] ['5/9', '7/8', '7/8', '4', '9/2'] -> (4 / (5/9 - ((7/8 + 7/8) / 9/2)))
[76281] ['4/7', '1', '6/5', '5/3', '7/4'] -> ((6/5 / 7/4) / ((1 / 5/3) - 4/7))
[76282] ['1/9', '2/3', '9/7', '3/2', '6'] -> (((6 / 9/7) - 2/3) / (1/9 * 3/2))
[76283] ['1/8', '1/8', '1/8', '1/5', '4'] -> ((1/8 + (1/8 / 1/5)) / (1/8 / 4))
[76284] ['1/7', '1/2', '1/2', '5/3', '5'] -> (((1/2 + (5 / 5/3)) / 1/7) - 1/2)
[76285] ['2/5', '3/2', '7/4', '8/3', '3'] -> (8/3 * ((3/2 / 2/5) + (7/4 * 3)))
[76286] ['2/5', '9/8', '4/3', '8/3', '4'] -> ((9/8 * 4) * ((8/3 / 2/5) - 4/3))
[76287] ['1/9', '5/8', '7/9', '8/9', '5'] -> ((7/9 + 8/9) / (5/8 - (1/9 * 5)))
[76288] ['1/8', '1/5', '2/3', '5/7', '4'] -> (1/5 / ((1/8 / 5/7) - (2/3 / 4)))
[76289] ['1/8', '2/9', '8/9', '5/2', '3'] -> ((3 + (8/9 * (1/8 + 5/2))) / 2/9)
[76290] ['1/5', '3/4', '7/5', '7/3', '5'] -> ((((5 / 3/4) - 7/5) / 1/5) - 7/3)
[76291] ['1/7', '1/2', '1/2', '9/5', '5'] -> (5 * ((1/2 / 1/7) - (1/2 - 9/5)))
[76292] ['5/9', '7/8', '8/9', '9/8', '4'] -> ((4 * (7/8 + 9/8)) / (8/9 - 5/9))
[76293] ['2/5', '9/8', '4/3', '7/2', '4'] -> (7/2 / ((9/8 / 2/5) + (4/3 - 4)))
[76294] ['2/7', '4/3', '3/2', '5/3', '2'] -> (2 * (3/2 + ((4/3 + 5/3) / 2/7)))
[76295] ['1/9', '5/8', '7/9', '9/8', '5'] -> ((5 + (7/9 / 1/9)) / (9/8 - 5/8))
[76296] ['1/8', '1/8', '1/8', '2/7', '4'] -> (((1/8 / 2/7) / (1/8 * 1/8)) - 4)
[76297] ['1/6', '4/5', '7/8', '9/2', '9'] -> (9 / ((9/2 / 4/5) - (7/8 / 1/6)))
[76298] ['1/5', '3/4', '7/5', '5/2', '5'] -> ((1/5 + (7/5 * 5)) / (3/4 / 5/2))
[76299] ['1/5', '3/7', '5/6', '4/3', '8'] -> ((4/3 + 8) / (5/6 * (1/5 / 3/7)))
[76300] ['1/7', '1/2', '1/2', '7/3', '5'] -> (7/3 * ((1/7 / 1/2) + (5 / 1/2)))
[76301] ['1/9', '2/3', '9/7', '9/5', '6'] -> (2/3 + (6 / (9/5 * (1/9 * 9/7))))
[76302] ['1/8', '1/8', '1/8', '2/5', '4'] -> (4 + ((1/8 / 2/5) / (1/8 * 1/8)))
[76303] ['5/9', '7/8', '8/9', '7/6', '4'] -> (4 / ((5/9 - 7/6) + (7/8 * 8/9)))
[76304] ['1/8', '2/9', '8/9', '3', '9/2'] -> ((9/2 / 1/8) - (3 / (2/9 / 8/9)))
[76305] ['1/9', '5/8', '7/9', '7/6', '5'] -> (5 / (((7/9 - 5/8) / 1/9) - 7/6))
[76306] ['1/7', '1/2', '1/2', '8/3', '5'] -> (8/3 * ((1/2 / 1/7) + (1/2 + 5)))
[76307] ['2/7', '4/3', '3/2', '2', '9/4'] -> (2 * (3/2 + (9/4 / (2/7 / 4/3))))
[76308] ['1/5', '3/7', '5/6', '3/2', '8'] -> (((3/2 + (8 / 3/7)) / 5/6) - 1/5)
[76309] ['1/8', '2/9', '9/8', '7/6', '3'] -> ((7/6 / (1/8 / 9/8)) + (3 / 2/9))
[76310] ['1/8', '1/8', '1/8', '4/9', '4'] -> (4 / (4/9 * (1/8 + (1/8 + 1/8))))
[76311] ['1/5', '3/7', '5/6', '8/5', '8'] -> ((8/5 + (8 / 5/6)) / (1/5 / 3/7))
[76312] ['2/5', '3/2', '9/4', '9/4', '3'] -> (3/2 + ((9/4 + (9/4 * 3)) / 2/5))
[76313] ['1/7', '1/2', '1/2', '7/2', '5'] -> (((1/2 / 1/7) + (7/2 + 5)) / 1/2)
[76314] ['1/5', '3/4', '3/2', '7/3', '5'] -> ((7/3 - 1/5) * (5 * (3/4 + 3/2)))
[76315] ['2/5', '9/8', '7/5', '9/5', '4'] -> ((7/5 + 4) / ((9/8 / 9/5) - 2/5))
[76316] ['1/9', '5/8', '7/9', '7/5', '5'] -> (5 / ((1/9 - 7/9) + (5/8 * 7/5)))
[76317] ['1/9', '2/3', '4/3', '7/5', '6'] -> ((((6 - 4/3) / 7/5) - 2/3) / 1/9)
[76318] ['5/9', '7/8', '8/9', '9/7', '4'] -> ((4 / (7/8 - (5/9 * 9/7))) - 8/9)
[76319] ['1/7', '1/2', '1/2', '9/2', '5'] -> ((5 + (9/2 / (1/7 + 1/2))) / 1/2)
[76320] ['1/9', '5/8', '7/9', '3/2', '5'] -> (5 / ((1/9 - 5/8) - (7/9 - 3/2)))
[76321] ['2/5', '9/8', '7/5', '9/4', '4'] -> ((7/5 + 4) / (9/8 - (2/5 * 9/4)))
[76322] ['2/7', '3/8', '3/8', '5/3', '5'] -> (5 / ((2/7 * (3/8 + 5/3)) - 3/8))
[76323] ['1/7', '1/2', '5/9', '5/9', '5'] -> ((5 + (5/9 / (1/7 * 5/9))) / 1/2)
[76324] ['1/8', '1/8', '1/8', '3/5', '4'] -> ((4 + (1/8 / 1/8)) / (1/8 / 3/5))
[76325] ['1/8', '1/5', '2/3', '8/3', '4'] -> (((2/3 + 4) / 1/8) - (8/3 / 1/5))
[76326] ['1/9', '2/5', '2/5', '3/2', '7'] -> (3/2 * (7 + (2/5 / (1/9 * 2/5))))
[76327] ['1/6', '4/5', '8/9', '7/5', '9'] -> (((8/9 * 7/5) - 4/5) / (1/6 / 9))
[76328] ['1/7', '1/2', '5/9', '4/7', '5'] -> (4/7 / (5/9 * (1/7 - (1/2 / 5))))
[76329] ['1/5', '3/4', '8/5', '9/5', '5'] -> ((9/5 + (1/5 + 8/5)) / (3/4 / 5))
[76330] ['2/7', '4/3', '8/5', '5/3', '2'] -> (2 / (2/7 * (4/3 - (5/3 / 8/5))))
[76331] ['2/5', '9/8', '7/5', '7/2', '4'] -> ((7/2 / ((2/5 + 9/8) - 7/5)) - 4)
[76332] ['2/5', '3/2', '7/3', '3', '7/2'] -> (7/2 * ((3 / 2/5) - (3/2 / 7/3)))
[76333] ['1/5', '3/7', '5/6', '5/2', '8'] -> (8 / ((5/2 * (1/5 / 3/7)) - 5/6))
[76334] ['1/9', '5/8', '7/9', '7/4', '5'] -> ((5 / 5/8) / ((7/9 / 7/4) - 1/9))
[76335] ['1/8', '2/9', '9/8', '7/4', '3'] -> ((9/8 + (7/4 / 2/9)) / (1/8 * 3))
[76336] ['2/7', '3/8', '3/8', '9/4', '5'] -> (5 / ((3/8 / (2/7 * 9/4)) - 3/8))
[76337] ['1/8', '1/8', '1/8', '4/5', '4'] -> ((4 - (1/8 + 1/8)) / (1/8 / 4/5))
[76338] ['2/5', '3/2', '7/3', '3', '9/2'] -> (9/2 * ((7/3 / 2/5) - (3/2 / 3)))
[76339] ['1/5', '3/7', '5/6', '8/3', '8'] -> ((8 + (8/3 / 5/6)) / (1/5 / 3/7))
[76340] ['1/5', '3/4', '8/5', '5/2', '5'] -> ((8/5 + (5 / 5/2)) / (1/5 * 3/4))
[76341] ['1/9', '5/8', '7/9', '9/5', '5'] -> ((9/5 * 5) / ((5/8 * 7/9) - 1/9))
[76342] ['1/8', '1/5', '5/7', '7/9', '4'] -> ((4 - (1/5 * 5/7)) / (1/8 / 7/9))
[76343] ['1/9', '2/3', '7/5', '9/5', '6'] -> ((9/5 - 7/5) / (1/9 / (2/3 + 6)))
[76344] ['1/8', '1/8', '1/8', '5/6', '4'] -> ((1/8 * 4) / (1/8 - (1/8 * 5/6)))
[76345] ['1/5', '3/7', '5/6', '7/2', '8'] -> ((5/6 * 7/2) * (8 - (1/5 - 3/7)))
[76346] ['1/8', '2/9', '9/8', '5/2', '3'] -> ((3 + ((1/8 + 5/2) / 9/8)) / 2/9)
[76347] ['1/7', '1/2', '5/9', '2/3', '5'] -> (((5 / (1/2 - 1/7)) - 2/3) / 5/9)
[76348] ['2/7', '4/3', '8/5', '2', '7/3'] -> (8/5 * ((7/3 / (2/7 / 2)) - 4/3))
[76349] ['1/9', '2/5', '2/5', '5/2', '7'] -> (((7 + (2/5 / 1/9)) / 2/5) - 5/2)
[76350] ['1/5', '3/4', '5/3', '9/5', '5'] -> ((5 / 3/4) + ((5/3 + 9/5) / 1/5))
[76351] ['4/7', '1', '6/5', '7/4', '9/2'] -> ((9/2 / (7/4 - (4/7 + 1))) - 6/5)
[76352] ['1/9', '2/3', '7/5', '8/3', '6'] -> (2/3 + ((1/9 + 8/3) * (7/5 * 6)))
[76353] ['1/8', '2/9', '8/7', '7/6', '3'] -> (((7/6 / (2/9 / 8/7)) - 3) / 1/8)
[76354] ['5/9', '7/8', '8/9', '7/2', '4'] -> ((4 + (7/2 / 7/8)) / (8/9 - 5/9))
[76355] ['1/8', '1/8', '1/8', '6/5', '4'] -> ((1/8 * 4) / (1/8 - (1/8 / 6/5)))
[76356] ['2/7', '3/8', '3/8', '9/2', '5'] -> ((9/2 * 5) / ((3/8 / 2/7) - 3/8))
[76357] ['2/7', '4/3', '8/5', '2', '8/3'] -> (8/5 * (((2 + 8/3) / 2/7) - 4/3))
[76358] ['1/9', '2/3', '7/5', '7/2', '6'] -> ((2/3 + 6) / (7/2 * (1/9 / 7/5)))
[76359] ['5/9', '7/8', '9/8', '9/8', '4'] -> (4 / (5/9 - (7/8 / (9/8 + 9/8))))
[76360] ['2/5', '9/8', '8/5', '5/3', '4'] -> (4 / (((2/5 + 5/3) / 8/5) - 9/8))
[76361] ['1/7', '1/2', '5/9', '6/7', '5'] -> ((6/7 / 1/7) + (5 / (1/2 * 5/9)))
[76362] ['1/9', '5/8', '4/5', '7/8', '5'] -> ((5 / (1/9 / 4/5)) / (5/8 + 7/8))
[76363] ['1/8', '1/8', '1/8', '5/3', '4'] -> ((4 + (1/8 / 1/8)) / (1/8 * 5/3))
[76364] ['5/9', '7/8', '9/8', '7/6', '4'] -> (4 / ((5/9 - 7/6) + (7/8 / 9/8)))
[76365] ['1/9', '2/5', '3/7', '1/2', '7'] -> (7 * ((1/2 / 1/9) - (3/7 / 2/5)))
[76366] ['1/8', '2/9', '8/7', '3/2', '3'] -> ((3/2 / (1/8 * 8/7)) + (3 / 2/9))
[76367] ['1/8', '1/5', '5/7', '6/5', '4'] -> ((4 - (5/7 * (1/5 + 6/5))) / 1/8)
[76368] ['1/5', '3/7', '6/7', '7/6', '8'] -> (8 / (1/5 * (7/6 + (3/7 / 6/7))))
[76369] ['2/7', '4/3', '5/3', '7/4', '2'] -> (2 / (7/4 * (5/3 - (2/7 + 4/3))))
[76370] ['4/7', '1', '6/5', '9/5', '8/3'] -> (1 / (8/3 - (9/5 / (4/7 * 6/5))))
[76371] ['1/7', '1/2', '5/9', '7/8', '5'] -> (5 / (5/9 * (1/2 - (1/7 * 7/8))))
[76372] ['1/9', '5/8', '4/5', '8/9', '5'] -> ((5 + (8/9 / (1/9 * 4/5))) / 5/8)
[76373] ['1/9', '2/3', '8/5', '7/4', '6'] -> (((2/3 - 7/4) + (6 / 8/5)) / 1/9)
[76374] ['1/8', '1/5', '5/7', '5/4', '4'] -> ((5/4 - 1/5) * (4 / (1/8 / 5/7)))
[76375] ['1/8', '1/8', '1/8', '7/3', '4'] -> (4 / (1/8 * (7/3 - (1/8 / 1/8))))
[76376] ['2/5', '8/5', '5/3', '9/4', '3'] -> (8/5 / ((2/5 - 5/3) + (3 / 9/4)))
[76377] ['4/7', '1', '6/5', '9/5', '7/2'] -> (6/5 / ((1 / 4/7) + (9/5 - 7/2)))
[76378] ['2/7', '4/3', '5/3', '9/5', '2'] -> (9/5 * (5/3 + ((4/3 + 2) / 2/7)))
[76379] ['1/5', '3/4', '9/5', '5/2', '5'] -> ((9/5 / 5/2) * (5 / (1/5 * 3/4)))
[76380] ['1/5', '3/7', '6/7', '9/7', '8'] -> (((6/7 / 1/5) - 3/7) / (9/7 / 8))
[76381] ['2/7', '3/8', '2/5', '4/7', '5'] -> ((4/7 + (2/5 * 5)) / (2/7 * 3/8))
[76382] ['1/6', '4/5', '9/8', '7/4', '9'] -> (9 * ((9/8 + 7/4) - (1/6 / 4/5)))
[76383] ['1/8', '1/8', '1/7', '2/9', '4'] -> ((4 / 2/9) / ((1/8 / 1/7) - 1/8))
[76384] ['1/7', '1/2', '5/9', '8/7', '5'] -> (5 / (5/9 * (1/2 - (1/7 / 8/7))))
[76385] ['1/9', '2/3', '8/5', '9/2', '6'] -> ((8/5 * 9/2) * (6 * (2/3 - 1/9)))
[76386] ['4/7', '1', '6/5', '9/4', '9/4'] -> ((1 / (4/7 - (6/5 / 9/4))) - 9/4)
[76387] ['2/5', '8/5', '7/4', '7/4', '3'] -> (8/5 / (2/5 - ((7/4 / 7/4) / 3)))
[76388] ['1/8', '1/8', '1/7', '1/3', '4'] -> (4 / ((1/3 * (1/8 / 1/7)) - 1/8))
[76389] ['1/8', '1/5', '5/7', '3/2', '4'] -> ((3/2 / (5/7 * (1/5 - 1/8))) - 4)
[76390] ['2/7', '3/8', '2/5', '2/3', '5'] -> ((5 / (2/7 / 2/5)) / (2/3 - 3/8))
[76391] ['2/5', '8/5', '7/4', '9/5', '3'] -> ((2/5 + 8/5) / (7/4 - (3 / 9/5)))
[76392] ['1/9', '2/3', '7/4', '7/4', '6'] -> (6 * (7/4 + (7/4 / (1/9 + 2/3))))
[76393] ['1/5', '3/7', '6/7', '7/3', '8'] -> ((7/3 * 8) * ((3/7 / 1/5) - 6/7))
[76394] ['2/7', '4/3', '5/3', '2', '9/2'] -> ((5/3 / 4/3) + ((2 + 9/2) / 2/7))
[76395] ['1/8', '1/5', '5/7', '5/3', '4'] -> ((4 / (1/8 * 5/7)) / (1/5 + 5/3))
[76396] ['1/7', '1/2', '5/9', '9/7', '5'] -> ((1/7 + 5) / ((5/9 * 9/7) - 1/2))
[76397] ['2/5', '8/5', '7/4', '5/2', '3'] -> ((2/5 + (8/5 * 7/4)) * (5/2 * 3))
[76398] ['1/6', '4/5', '8/7', '7/6', '9'] -> (8/7 / (1/6 - (7/6 / (4/5 + 9))))
[76399] ['1/8', '2/9', '7/6', '6/5', '3'] -> (3 * (2/9 + (7/6 / (1/8 * 6/5))))
[76400] ['2/7', '3/8', '2/5', '7/9', '5'] -> ((2/5 / 7/9) * (5 / (2/7 * 3/8)))
[76401] ['1/9', '2/5', '3/7', '7/9', '7'] -> ((7 - (3/7 * 7/9)) / (1/9 / 2/5))
[76402] ['1/8', '1/5', '5/7', '7/4', '4'] -> (((4 / (5/7 * 7/4)) - 1/5) / 1/8)
[76403] ['2/5', '8/5', '7/4', '8/3', '3'] -> (2/5 / ((8/5 / 8/3) - (7/4 / 3)))
[76404] ['1/6', '4/5', '8/7', '6/5', '9'] -> (8/7 * (9 + ((4/5 + 6/5) / 1/6)))
[76405] ['1/7', '1/2', '5/9', '4/3', '5'] -> (4/3 / (1/7 * (1/2 - (5/9 / 5))))
[76406] ['2/7', '3/8', '2/5', '4/5', '5'] -> (3/8 + ((2/5 + 5) / (2/7 * 4/5)))
[76407] ['1/5', '3/4', '7/3', '9/2', '5'] -> ((5 / 1/5) / ((3/4 * 9/2) - 7/3))
[76408] ['1/8', '1/5', '5/7', '9/4', '4'] -> ((9/4 * 4) / (1/5 + (1/8 / 5/7)))
[76409] ['2/5', '8/5', '9/5', '9/4', '3'] -> (8/5 / ((9/5 - 2/5) - (3 / 9/4)))
[76410] ['1/7', '1/2', '5/9', '3/2', '5'] -> (5 * ((1/2 / (1/7 * 5/9)) - 3/2))
[76411] ['1/5', '3/7', '7/8', '9/8', '8'] -> (8 * (9/8 + (7/8 / (1/5 / 3/7))))
[76412] ['1/8', '1/8', '1/7', '3/4', '4'] -> (4 * (((1/8 + 3/4) / 1/7) - 1/8))
[76413] ['2/7', '3/8', '2/5', '6/7', '5'] -> ((6/7 / (2/7 * 5)) / (2/5 - 3/8))
[76414] ['1/5', '3/4', '8/3', '8/3', '5'] -> ((8/3 * 5) * ((3/4 * 8/3) - 1/5))
[76415] ['1/9', '2/3', '9/5', '7/2', '6'] -> ((9/5 * 6) * ((2/3 * 7/2) - 1/9))
[76416] ['4/7', '1', '6/5', '7/3', '8/3'] -> (8/3 / ((7/3 * (4/7 / 6/5)) - 1))
[76417] ['2/5', '8/5', '9/5', '7/3', '3'] -> (((7/3 * (9/5 + 3)) - 8/5) / 2/5)
[76418] ['1/9', '5/8', '4/5', '9/4', '5'] -> ((4/5 * 5) / ((5/8 / 9/4) - 1/9))
[76419] ['2/7', '4/3', '9/5', '9/5', '2'] -> ((9/5 + 9/5) * (2 + (4/3 / 2/7)))
[76420] ['1/9', '2/5', '3/7', '8/9', '7'] -> ((8/9 / (3/7 - 2/5)) - (1/9 + 7))
[76421] ['1/7', '1/2', '5/9', '5/3', '5'] -> (((5/3 / 1/7) - 5) / (1/2 * 5/9))
[76422] ['1/6', '4/5', '8/7', '7/5', '9'] -> (((9 * (4/5 / 7/5)) - 8/7) / 1/6)
[76423] ['1/8', '2/9', '7/6', '7/3', '3'] -> ((7/3 / (1/8 * 2/9)) / (7/6 * 3))
[76424] ['1/8', '1/5', '5/7', '4', '9/2'] -> (5/7 * (((1/5 + 9/2) / 1/8) - 4))
[76425] ['1/8', '1/8', '1/7', '5/6', '4'] -> (4 / ((1/8 / 1/7) + (1/8 - 5/6)))
[76426] ['1/9', '2/3', '5/2', '7/2', '6'] -> (2/3 / ((5/2 / 6) - (1/9 * 7/2)))
[76427] ['1/5', '7/9', '7/9', '7/9', '5'] -> (((5 / (1/5 / 7/9)) - 7/9) / 7/9)
[76428] ['1/5', '3/7', '7/8', '9/7', '8'] -> ((7/8 * 8) * (9/7 + (3/7 / 1/5)))
[76429] ['2/5', '9/8', '7/4', '8/3', '4'] -> (8/3 / (4 - (7/4 / (2/5 * 9/8))))
[76430] ['1/7', '1/2', '5/9', '9/5', '5'] -> ((5 + (9/5 / (1/7 / 5/9))) / 1/2)
[76431] ['1/6', '4/5', '8/7', '8/5', '9'] -> (8/7 * (9 + (8/5 / (1/6 * 4/5))))
[76432] ['2/5', '8/5', '7/3', '7/3', '3'] -> (8/5 / (2/5 - ((7/3 / 7/3) / 3)))
[76433] ['1/5', '7/9', '7/9', '5/6', '5'] -> ((5 - (7/9 / 7/9)) / (1/5 * 5/6))
[76434] ['1/9', '5/7', '5/7', '5/7', '6'] -> (6 + ((5/7 + 5/7) / (1/9 * 5/7)))
[76435] ['1/9', '5/8', '5/6', '6/7', '5'] -> (5/6 / (((5/8 / 6/7) / 5) - 1/9))
[76436] ['2/5', '8/5', '7/3', '3', '9/2'] -> (3 + ((2/5 + 8/5) * (7/3 * 9/2)))
[76437] ['1/5', '7/9', '7/9', '6/7', '5'] -> (((7/9 / (6/7 - 7/9)) - 5) / 1/5)
[76438] ['2/7', '3/8', '2/5', '5/4', '5'] -> (3/8 + ((2/5 + 5) / (2/7 / 5/4)))
[76439] ['1/6', '4/5', '8/7', '9/4', '9'] -> (9 * ((9/4 / 4/5) - (1/6 / 8/7)))
[76440] ['4/7', '1', '6/5', '5/2', '9/2'] -> (6/5 / ((9/2 / 5/2) - (1 / 4/7)))
[76441] ['5/9', '7/8', '8/7', '3/2', '4'] -> (4 / ((7/8 * 8/7) - (5/9 * 3/2)))
[76442] ['2/7', '4/3', '9/5', '2', '9/2'] -> ((4/3 + 9/2) * (9/5 * (2/7 + 2)))
[76443] ['2/5', '9/8', '9/5', '5/2', '4'] -> (9/5 / ((4 / 5/2) - (2/5 + 9/8)))
[76444] ['1/8', '1/5', '3/4', '8/7', '4'] -> (8/7 + (4 / (1/5 * (1/8 + 3/4))))
[76445] ['1/5', '3/7', '7/8', '8/5', '8'] -> ((7/8 * 8/5) * (8 / (1/5 / 3/7)))
[76446] ['1/6', '4/5', '8/7', '7/3', '9'] -> ((8/7 + (9 / 7/3)) / (1/6 / 4/5))
[76447] ['1/9', '2/5', '3/7', '4/3', '7'] -> (((7 + (4/3 / 2/5)) / 3/7) - 1/9)
[76448] ['5/9', '7/8', '8/7', '8/5', '4'] -> (((4 / (8/7 - 7/8)) - 8/5) / 5/9)
[76449] ['1/6', '4/5', '8/7', '5/2', '9'] -> (8/7 * (9 + (5/2 / (1/6 / 4/5))))
[76450] ['1/8', '2/9', '6/5', '5/3', '3'] -> ((6/5 * 5/3) / (3 * (1/8 * 2/9)))
[76451] ['1/8', '1/5', '3/4', '9/7', '4'] -> (9/7 / ((3/4 / (1/5 + 4)) - 1/8))
[76452] ['4/7', '1', '6/5', '8/3', '9/2'] -> (6/5 * ((9/2 / (4/7 / 8/3)) - 1))
[76453] ['1/9', '2/5', '3/7', '7/5', '7'] -> (((7/5 / 1/9) - (3/7 * 7)) / 2/5)
[76454] ['2/5', '9/8', '9/4', '7/3', '4'] -> (((7/3 * 4) / (2/5 / 9/8)) - 9/4)
[76455] ['2/5', '5/3', '5/3', '9/5', '3'] -> (9/5 * (5/3 + ((5/3 + 3) / 2/5)))
[76456] ['1/7', '1/2', '4/7', '4/7', '5'] -> ((5 + (4/7 / (1/7 * 4/7))) / 1/2)
[76457] ['1/6', '4/5', '8/7', '8/3', '9'] -> ((8/3 + 9) / (1/6 / (8/7 - 4/5)))
[76458] ['2/5', '5/3', '5/3', '9/4', '3'] -> (2/5 / ((5/3 - 3) + (9/4 / 5/3)))
[76459] ['2/5', '9/8', '9/4', '5/2', '4'] -> ((2/5 + (9/4 / 9/8)) * (5/2 * 4))
[76460] ['2/7', '4/3', '2', '7/3', '5/2'] -> (2 * ((4/3 + 5/2) + (7/3 / 2/7)))
[76461] ['1/8', '1/8', '1/7', '7/4', '4'] -> ((4 - ((1/8 / 1/8) / 7/4)) / 1/7)
[76462] ['1/9', '2/5', '3/7', '8/5', '7'] -> (8/5 / (2/5 - (7 * (1/9 * 3/7))))
[76463] ['1/8', '1/5', '3/4', '7/4', '4'] -> ((3/4 - (7/4 / 1/5)) + (4 / 1/8))
[76464] ['2/7', '3/8', '2/5', '5/3', '5'] -> (5 / (2/7 * (5/3 - (3/8 / 2/5))))
[76465] ['1/9', '5/8', '5/6', '7/4', '5'] -> ((5 - (7/4 / (5/8 / 5/6))) / 1/9)
[76466] ['1/5', '7/9', '7/9', '5/4', '5'] -> ((5 + (7/9 / 7/9)) / (1/5 * 5/4))
[76467] ['2/5', '5/3', '5/3', '5/2', '3'] -> (5/2 * ((3 * (5/3 + 5/3)) - 2/5))
[76468] ['2/7', '4/3', '2', '7/3', '7/2'] -> ((2 / 2/7) / ((7/2 / 4/3) - 7/3))
[76469] ['1/8', '2/9', '6/5', '8/3', '3'] -> (((3 - 2/9) / (1/8 / 6/5)) - 8/3)
[76470] ['1/5', '3/7', '7/8', '9/2', '8'] -> (8 * ((9/2 / 7/8) - (3/7 / 1/5)))
[76471] ['1/8', '2/9', '6/5', '3', '7/2'] -> ((2/9 * 3) + (7/2 / (1/8 * 6/5)))
[76472] ['1/7', '1/2', '4/7', '7/6', '5'] -> (5 / (1/2 - (7/6 * (1/7 / 4/7))))
[76473] ['1/9', '5/8', '5/6', '7/2', '5'] -> ((5/6 + 5) / (7/2 * (1/9 * 5/8)))
[76474] ['5/9', '7/8', '7/6', '7/6', '4'] -> ((7/6 * 4) / ((7/8 / 7/6) - 5/9))
[76475] ['1/7', '1/2', '4/7', '6/5', '5'] -> ((6/5 * 5) / (1/2 - (1/7 / 4/7)))
[76476] ['1/8', '1/8', '1/7', '4', '9/2'] -> ((4 * 9/2) / ((1/8 / 1/7) - 1/8))
[76477] ['1/8', '2/9', '5/4', '9/7', '3'] -> (3 * (2/9 + (5/4 / (1/8 * 9/7))))
[76478] ['1/9', '5/7', '5/7', '6/5', '6'] -> ((5/7 + 5/7) * (6 + (6/5 / 1/9)))
[76479] ['2/7', '3/8', '2/5', '5/2', '5'] -> ((5 - (2/5 / 2/7)) / (3/8 / 5/2))
[76480] ['1/6', '4/5', '7/6', '7/4', '9'] -> (9 / (7/4 - (7/6 + (1/6 / 4/5))))
[76481] ['1/5', '3/7', '8/9', '8/7', '8'] -> ((8 + (8/7 / (1/5 * 3/7))) / 8/9)
[76482] ['4/7', '1', '5/4', '5/4', '3/2'] -> (3/2 / ((1 + 5/4) - (5/4 / 4/7)))
[76483] ['2/7', '4/3', '2', '5/2', '9/2'] -> (4/3 / (2 - (5/2 / (2/7 * 9/2))))
[76484] ['1/5', '7/9', '7/9', '8/5', '5'] -> (8/5 / ((1/5 * (5 - 7/9)) - 7/9))
[76485] ['1/8', '2/9', '5/4', '7/5', '3'] -> (3 * (1/8 + (7/5 / (2/9 / 5/4))))
[76486] ['1/9', '5/7', '5/7', '5/4', '6'] -> (6 / (1/9 * (5/4 + (5/7 / 5/7))))
[76487] ['2/7', '3/8', '2/5', '8/3', '5'] -> ((5 / (3/8 * 2/5)) - (8/3 / 2/7))
[76488] ['1/9', '2/5', '3/7', '5/2', '7'] -> (7 * ((2/5 / 1/9) - (3/7 / 5/2)))
[76489] ['1/8', '1/8', '1/5', '2/9', '4'] -> (4 / (2/9 * (1/8 + (1/8 / 1/5))))
[76490] ['1/8', '2/9', '5/4', '8/5', '3'] -> ((5/4 * 8/5) / (3 * (1/8 * 2/9)))
[76491] ['1/9', '2/5', '3/7', '8/3', '7'] -> ((8/3 / 3/7) + ((1/9 + 7) / 2/5))
[76492] ['2/5', '9/8', '8/3', '8/3', '4'] -> (4 + ((8/3 * 8/3) / (2/5 / 9/8)))
[76493] ['2/5', '5/3', '7/4', '8/3', '3'] -> (5/3 * (2/5 + (3 * (7/4 * 8/3))))
[76494] ['1/9', '5/7', '5/7', '4/3', '6'] -> (4/3 / (((5/7 / 5/7) / 6) - 1/9))
[76495] ['2/7', '4/3', '2', '7/2', '9/2'] -> (2 + (7/2 * (2/7 + (4/3 * 9/2))))
[76496] ['1/8', '2/9', '5/4', '9/5', '3'] -> (3 * ((9/5 / 2/9) - (1/8 / 5/4)))
[76497] ['1/7', '1/2', '3/5', '3/5', '5'] -> ((5 + (3/5 / (1/7 * 3/5))) / 1/2)
[76498] ['1/9', '2/5', '3/7', '7/2', '7'] -> ((7/2 / 1/9) - (7 / (2/5 / 3/7)))
[76499] ['1/6', '4/5', '6/5', '6/5', '9'] -> (6/5 / ((1/6 / 6/5) - (4/5 / 9)))
