[336871] ['1/8', '3/5', '5/7', '1', '7/5'] -> ((3/5 + (7/5 * (5/7 + 1))) / 1/8)
[341942] ['2/9', '2/5', '7/9', '5/6', '3'] -> ((3 + (7/9 / (2/5 * 5/6))) / 2/9)
[341943] ['3/5', '4/5', '9/5', '2', '7/2'] -> ((4/5 / 3/5) / (2 - (7/2 / 9/5)))
[341944] ['1/7', '1/6', '7/8', '7/2', '8'] -> (7/2 / ((1/7 * 7/8) + (1/6 / 8)))
[341945] ['3/8', '4/9', '9/8', '9/7', '5'] -> (5 / ((4/9 * 9/8) - (3/8 / 9/7)))
[341946] ['1/6', '5/4', '7/5', '8/3', '8'] -> ((7/5 * 8) + (8/3 / (1/6 * 5/4)))
[341947] ['1/9', '1/9', '2/5', '5/2', '8'] -> (8 / ((1/9 / 5/2) - (1/9 - 2/5)))
[341948] ['2/9', '2/5', '7/9', '7/8', '3'] -> (3 / ((7/9 * 7/8) - (2/9 / 2/5)))
[341949] ['1/2', '4/7', '8/5', '7/3', '5'] -> ((8/5 - 4/7) * (5 / (1/2 / 7/3)))
[341950] ['1/7', '1/6', '7/8', '9/2', '8'] -> (((9/2 / 7/8) - (1/7 * 8)) / 1/6)
[341951] ['3/8', '4/9', '9/8', '7/5', '5'] -> (7/5 / ((9/8 / 5) - (3/8 * 4/9)))
[341952] ['3/5', '9/7', '9/4', '9/4', '7'] -> ((9/4 / 3/5) + (7 * (9/7 * 9/4)))
[341953] ['1/9', '1/9', '2/5', '7/2', '8'] -> (7/2 / (1/9 + ((1/9 / 2/5) / 8)))
[341954] ['1/6', '5/4', '7/5', '9/2', '8'] -> ((5/4 * ((9/2 / 1/6) - 7/5)) - 8)
[341955] ['1/7', '1/6', '8/9', '8/9', '8'] -> ((((8/9 / 1/7) - 8/9) / 1/6) - 8)
[341956] ['3/5', '4/5', '2', '9/4', '7/2'] -> (2 / ((4/5 / 3/5) + (9/4 - 7/2)))
[341957] ['2/9', '2/5', '7/9', '9/8', '3'] -> (3 / ((7/9 / (2/9 + 2/5)) - 9/8))
[341958] ['1/9', '1/9', '3/7', '3/7', '8'] -> (8 / (3/7 - (3/7 * (1/9 + 1/9))))
[341959] ['3/5', '4/5', '2', '9/4', '9/2'] -> ((9/2 / (3/5 / 4/5)) / (9/4 - 2))
[341960] ['6/7', '1', '5/3', '7/3', '9/2'] -> ((1 + 5/3) * (9/2 * (6/7 * 7/3)))
[341961] ['2/9', '2/5', '7/9', '8/7', '3'] -> (3 / ((7/9 / 8/7) - (2/9 / 2/5)))
[341962] ['1/2', '4/7', '5/3', '5/3', '5'] -> (5 / (5/3 - (5/3 * (1/2 / 4/7))))
[341963] ['1/9', '1/9', '3/7', '4/9', '8'] -> ((4/9 * 8) / ((1/9 / 3/7) - 1/9))
[341964] ['3/5', '4/5', '2', '7/3', '8/3'] -> (4/5 / (8/3 - (7/3 + (3/5 / 2))))
[341965] ['1/7', '1/6', '8/9', '6/5', '8'] -> ((8 / 6/5) / ((1/6 / 1/7) - 8/9))
[341966] ['1/9', '1/9', '3/7', '5/9', '8'] -> (8 / (3/7 * (5/9 + (1/9 + 1/9))))
[341967] ['3/8', '4/9', '9/8', '7/2', '5'] -> (((4/9 * 9/8) + (7/2 + 5)) / 3/8)
[341968] ['3/5', '4/5', '2', '7/3', '9/2'] -> ((9/2 * (4/5 + (2 * 7/3))) - 3/5)
[341969] ['1/2', '4/7', '5/3', '8/3', '5'] -> (((1/2 + 5) / (4/7 / 8/3)) - 5/3)
[341970] ['6/7', '1', '5/3', '8/3', '8/3'] -> (8/3 * ((5/3 / (1 - 6/7)) - 8/3))
[341971] ['2/9', '2/5', '7/9', '7/5', '3'] -> ((7/5 - (2/5 - 7/9)) / (2/9 / 3))
[341972] ['6/7', '1', '5/3', '8/3', '9/2'] -> ((8/3 * 9/2) / (5/3 - (1 / 6/7)))
[341973] ['1/7', '1/6', '8/9', '3/2', '8'] -> ((3/2 + (1/6 / 1/7)) / (8/9 / 8))
[341974] ['1/2', '4/7', '5/3', '9/2', '5'] -> (9/2 * (((5 - 5/3) / 4/7) - 1/2))
[341975] ['1/6', '5/4', '9/5', '9/5', '8'] -> ((9/5 * 8) * (9/5 - (1/6 / 5/4)))
[341976] ['3/5', '4/5', '2', '7/2', '7/2'] -> (((2 + 7/2) / (4/5 - 3/5)) - 7/2)
[341977] ['6/7', '1', '5/3', '7/2', '9/2'] -> ((5/3 + (6/7 - 1)) * (7/2 * 9/2))
[341978] ['1/6', '5/4', '9/5', '9/4', '8'] -> ((9/4 - 1/6) * (8 / (5/4 / 9/5)))
[341979] ['6/7', '1', '5/3', '9/2', '9/2'] -> ((9/2 / (1 - 6/7)) - (5/3 * 9/2))
[341980] ['3/5', '5/6', '5/6', '5/6', '2'] -> (2 / (3/5 * (5/6 - (5/6 * 5/6))))
[341981] ['1/2', '4/7', '7/4', '9/5', '5'] -> ((5 * (7/4 + (9/5 / 4/7))) - 1/2)
[341982] ['3/8', '4/9', '8/7', '7/5', '5'] -> ((8/7 + (5 / (3/8 * 7/5))) / 4/9)
[341983] ['3/5', '5/6', '5/6', '6/7', '2'] -> ((2 / 3/5) / ((5/6 / 6/7) - 5/6))
[341984] ['2/9', '2/5', '7/9', '7/4', '3'] -> (7/4 + ((3 + (7/9 / 2/5)) / 2/9))
[341985] ['1/9', '1/9', '3/7', '7/8', '8'] -> ((8 + (1/9 / 1/9)) / (3/7 * 7/8))
[341986] ['1/6', '5/4', '9/5', '7/2', '8'] -> (9/5 * ((5/4 * 8) - (1/6 - 7/2)))
[341987] ['3/5', '5/6', '5/6', '7/8', '2'] -> ((2 * (3/5 * 5/6)) / (7/8 - 5/6))
[341988] ['1/7', '1/6', '8/9', '9/4', '8'] -> ((8 - (8/9 / 1/7)) / (1/6 / 9/4))
[341989] ['1/2', '4/7', '7/4', '8/3', '5'] -> (8/3 * ((5 / 1/2) - (4/7 * 7/4)))
[341990] ['3/8', '4/9', '8/7', '5/3', '5'] -> ((5/3 / 5) / ((4/9 / 8/7) - 3/8))
[341991] ['3/5', '9/7', '8/3', '7/2', '7'] -> (7/2 * (((7 - 9/7) / 3/5) - 8/3))
[341992] ['3/5', '5/6', '5/6', '9/8', '2'] -> (2 / ((3/5 + 5/6) - (9/8 / 5/6)))
[341993] ['2/9', '2/5', '7/9', '8/3', '3'] -> (3 * (7/9 + ((2/9 + 8/3) / 2/5)))
[341994] ['3/8', '4/9', '8/7', '7/4', '5'] -> ((8/7 + (5 / 7/4)) / (3/8 * 4/9))
[341995] ['1/6', '5/4', '8/3', '8/3', '8'] -> (((5/4 * (8 - 8/3)) - 8/3) / 1/6)
[341996] ['6/7', '1', '7/4', '7/4', '8/3'] -> (1 / (8/3 - (7/4 * (6/7 * 7/4))))
[341997] ['3/5', '5/6', '5/6', '7/6', '2'] -> ((2 / 3/5) / ((5/6 * 7/6) - 5/6))
[341998] ['6/7', '1', '7/4', '7/4', '7/2'] -> (1 / ((7/4 / 6/7) - (7/2 / 7/4)))
[341999] ['1/7', '1/6', '8/9', '9/2', '8'] -> (8 / (1/7 + (8/9 / (1/6 + 9/2))))
[342000] ['6/7', '1', '7/4', '7/4', '9/2'] -> ((9/2 / 7/4) / ((6/7 + 1) - 7/4))
[342001] ['1/9', '1/9', '3/7', '4/3', '8'] -> ((8 / 1/9) / ((4/3 / 3/7) - 1/9))
[342002] ['3/8', '4/9', '8/7', '9/4', '5'] -> ((5 / (8/7 * (3/8 * 4/9))) - 9/4)
[342003] ['2/9', '2/5', '4/5', '5/6', '3'] -> (((3 / 2/5) - 5/6) / (2/9 / 4/5))
[342004] ['3/5', '5/6', '5/6', '6/5', '2'] -> (2 / (3/5 * (5/6 - (5/6 / 6/5))))
[342005] ['2/9', '2/5', '4/5', '6/7', '3'] -> ((3 + (4/5 / (2/5 * 6/7))) / 2/9)
[342006] ['3/5', '5/6', '5/6', '5/4', '2'] -> (2 / ((3/5 * 5/6) + (5/6 - 5/4)))
[342007] ['1/9', '1/9', '3/7', '7/5', '8'] -> (8 / ((7/5 * (3/7 - 1/9)) - 1/9))
[342008] ['1/6', '9/7', '9/7', '8/5', '8'] -> (((8 / 8/5) - (9/7 / 9/7)) / 1/6)
[342009] ['1/9', '1/9', '3/7', '3/2', '8'] -> (8 / ((1/9 / 3/7) + (1/9 / 3/2)))
[342010] ['3/5', '4/3', '4/3', '8/5', '7'] -> ((7 - 8/5) / (3/5 / (4/3 + 4/3)))
[342011] ['2/9', '2/5', '4/5', '7/8', '3'] -> (3 / ((2/5 / 2/9) - (4/5 + 7/8)))
[342012] ['3/5', '5/6', '5/6', '4/3', '2'] -> ((2 / 5/6) / ((3/5 + 5/6) - 4/3))
[342013] ['1/6', '9/7', '9/7', '7/4', '8'] -> ((8 - (9/7 / 9/7)) / (1/6 * 7/4))
[342014] ['1/9', '1/9', '3/7', '5/3', '8'] -> ((8 - (1/9 + 5/3)) / (1/9 / 3/7))
[342015] ['1/7', '1/6', '9/8', '5/4', '8'] -> (8 / ((5/4 / (1/7 / 1/6)) - 9/8))
[342016] ['1/2', '4/7', '9/4', '8/3', '5'] -> ((5 / (8/3 * (4/7 - 1/2))) - 9/4)
[342017] ['3/8', '4/9', '8/7', '9/2', '5'] -> (8/7 * (((9/2 + 5) / 4/9) - 3/8))
[342018] ['3/5', '4/3', '4/3', '9/4', '7'] -> (9/4 * ((7 / 3/5) - (4/3 / 4/3)))
[342019] ['1/2', '4/7', '9/4', '9/2', '5'] -> (9/2 / (5 - ((1/2 + 9/4) / 4/7)))
[342020] ['3/5', '5/6', '5/6', '5/3', '2'] -> (2 / (5/6 * (3/5 - (5/6 / 5/3))))
[342021] ['3/5', '4/3', '4/3', '7/3', '7'] -> ((4/3 / 3/5) + (7 * (4/3 * 7/3)))
[342022] ['1/9', '1/9', '3/7', '9/4', '8'] -> ((8 / 9/4) / ((1/9 / 3/7) - 1/9))
[342023] ['3/5', '5/6', '5/6', '7/4', '2'] -> (2 / (7/4 - (5/6 / (3/5 * 5/6))))
[342024] ['3/5', '4/3', '4/3', '5/2', '7'] -> (((3/5 + 7) * (4/3 * 5/2)) - 4/3)
[342025] ['1/7', '1/6', '9/8', '3/2', '8'] -> ((9/8 * 8) * (3/2 + (1/6 / 1/7)))
[342026] ['1/6', '9/7', '4/3', '7/5', '8'] -> (((8 / 7/5) - (9/7 * 4/3)) / 1/6)
[342027] ['6/7', '1', '7/4', '9/4', '9/4'] -> (6/7 / ((1 - 9/4) + (9/4 / 7/4)))
[342028] ['1/9', '1/9', '3/7', '8/3', '8'] -> (8 / (8/3 - ((1/9 / 1/9) / 3/7)))
[342029] ['3/5', '4/3', '4/3', '9/2', '7'] -> (9/2 * (7 - (4/3 / (3/5 * 4/3))))
[342030] ['3/5', '5/6', '5/6', '2', '7/3'] -> ((7/3 / (5/6 - 3/5)) / (5/6 / 2))
[342031] ['1/6', '9/7', '4/3', '5/3', '8'] -> (((8 / 9/7) - (4/3 * 5/3)) / 1/6)
[342032] ['2/9', '2/5', '4/5', '9/5', '3'] -> ((9/5 / (2/9 * 2/5)) + (3 / 4/5))
[342033] ['3/8', '4/9', '7/6', '7/5', '5'] -> (5 * (4/9 + (7/5 / (3/8 / 7/6))))
[342034] ['6/7', '1', '7/4', '9/4', '8/3'] -> ((8/3 / (1 - 6/7)) / (7/4 / 9/4))
[342035] ['1/2', '4/7', '5/2', '9/2', '5'] -> (((9/2 + (5 / 4/7)) / 1/2) - 5/2)
[342036] ['1/6', '9/7', '4/3', '7/4', '8'] -> (7/4 * ((9/7 / 1/6) + (8 / 4/3)))
[342037] ['2/9', '2/5', '4/5', '5/2', '3'] -> ((5/2 * 3) * ((4/5 / 2/9) - 2/5))
[342038] ['3/5', '5/6', '5/6', '2', '8/3'] -> ((2 + 8/3) / (5/6 * (5/6 - 3/5)))
[342039] ['1/2', '4/7', '8/3', '8/3', '5'] -> ((8/3 / (4/7 - 1/2)) - (8/3 * 5))
[342040] ['3/8', '4/9', '7/6', '5/3', '5'] -> ((5/3 * 5) / (7/6 - (3/8 + 4/9)))
[342041] ['6/7', '1', '7/4', '9/4', '9/2'] -> (1 / ((7/4 / 6/7) - (9/2 / 9/4)))
[342042] ['1/2', '4/7', '8/3', '9/2', '5'] -> (9/2 * ((5 / 1/2) - (8/3 / 4/7)))
[342043] ['1/9', '1/9', '4/9', '6/7', '8'] -> (6/7 * ((4/9 / (1/9 * 1/9)) - 8))
[342044] ['1/6', '9/7', '4/3', '5/2', '8'] -> ((9/7 / 5/2) * ((8 / 1/6) - 4/3))
[342045] ['1/9', '1/9', '4/9', '8/7', '8'] -> ((4/9 / (1/9 - (1/9 / 8/7))) - 8)
[342046] ['1/7', '1/6', '9/8', '8/3', '8'] -> ((8 / (1/6 * 9/8)) - (8/3 / 1/7))
[342047] ['1/2', '4/7', '9/2', '9/2', '5'] -> (((5 + (9/2 + 9/2)) / 4/7) - 1/2)
[342048] ['6/7', '1', '7/4', '7/3', '8/3'] -> ((6/7 * 7/3) / ((1 + 7/4) - 8/3))
[342049] ['1/6', '9/7', '7/5', '7/5', '8'] -> (7/5 / (((9/7 * 7/5) / 8) - 1/6))
[342050] ['1/9', '1/9', '4/9', '7/6', '8'] -> (((4/9 / (1/9 * 1/9)) - 8) / 7/6)
[342051] ['3/8', '4/9', '7/6', '5/2', '5'] -> ((7/6 + (5/2 / 5)) / (4/9 - 3/8))
[342052] ['1/7', '1/6', '9/8', '7/2', '8'] -> ((9/8 + (1/7 / 8)) / (1/6 / 7/2))
[342053] ['3/5', '4/3', '7/5', '7/2', '7'] -> (7 / ((7/2 / 4/3) - (7/5 / 3/5)))
[342054] ['1/9', '1/9', '4/9', '6/5', '8'] -> (((8 / 6/5) - (4/9 / 1/9)) / 1/9)
[342055] ['1/2', '3/5', '3/5', '7/9', '5'] -> ((3/5 + 5) / (7/9 * (1/2 * 3/5)))
[342056] ['2/9', '2/5', '5/6', '7/6', '3'] -> ((2/9 / 5/6) / (2/5 - (7/6 / 3)))
[342057] ['3/8', '4/9', '7/6', '7/2', '5'] -> ((7/6 / 7/2) * (5 / (4/9 - 3/8)))
[342058] ['1/6', '9/7', '7/5', '7/4', '8'] -> ((9/7 + (8 / 7/5)) / (1/6 * 7/4))
[342059] ['1/2', '3/5', '3/5', '4/5', '5'] -> ((3/5 * 4/5) * (5 / (3/5 - 1/2)))
[342060] ['1/7', '1/6', '8/7', '6/5', '8'] -> ((8 - 8/7) / (1/6 + (1/7 / 6/5)))
[342061] ['6/7', '1', '7/4', '5/2', '8/3'] -> ((6/7 * 7/4) / (1 - (5/2 / 8/3)))
[342062] ['3/5', '4/3', '3/2', '7/4', '7'] -> ((7/4 + (4/3 * 3/2)) * (7 - 3/5))
[342063] ['1/7', '1/6', '8/7', '5/4', '8'] -> (8 / ((1/7 / 8/7) + (1/6 * 5/4)))
[342064] ['2/9', '2/5', '5/6', '5/4', '3'] -> (((3 / 2/5) - 5/6) / (2/9 * 5/4))
[342065] ['3/5', '5/6', '6/7', '6/5', '2'] -> ((6/5 + 2) / (5/6 - (3/5 / 6/7)))
[342066] ['6/7', '1', '7/4', '5/2', '9/2'] -> (1 / ((7/4 / 6/7) + (5/2 - 9/2)))
[342067] ['1/2', '3/5', '3/5', '8/9', '5'] -> ((3/5 + 5) / (3/5 * (8/9 - 1/2)))
[342068] ['3/5', '5/6', '6/7', '9/7', '2'] -> ((6/7 / 5/6) / ((9/7 / 2) - 3/5))
[342069] ['3/8', '4/9', '6/5', '3/2', '5'] -> ((6/5 / 3/2) * (5 / (3/8 * 4/9)))
[342070] ['1/6', '9/7', '7/5', '8/3', '8'] -> ((8 / (7/5 * (1/6 * 9/7))) - 8/3)
[342071] ['6/7', '1', '7/4', '8/3', '7/2'] -> ((1 / 7/4) / ((6/7 + 8/3) - 7/2))
[342072] ['1/9', '1/9', '1/2', '5/8', '8'] -> (((8 / 1/2) - (1/9 / 1/9)) / 5/8)
[342073] ['3/5', '4/3', '3/2', '7/2', '7'] -> ((7 - 3/5) / (4/3 / (3/2 + 7/2)))
[342074] ['1/6', '9/7', '7/5', '9/2', '8'] -> (8 * ((9/2 / 7/5) - (1/6 * 9/7)))
[342075] ['3/8', '4/9', '6/5', '8/5', '5'] -> (5 * ((4/9 * 6/5) + (8/5 / 3/8)))
[342076] ['1/7', '1/6', '7/6', '7/6', '8'] -> (8 / (7/6 * (1/7 + (1/6 / 7/6))))
[342077] ['6/7', '1', '7/4', '7/2', '7/2'] -> ((7/2 / (1 - 6/7)) - (7/4 / 7/2))
[342078] ['1/2', '3/5', '3/5', '5/4', '5'] -> ((3/5 / 5/4) * (5 / (3/5 - 1/2)))
[342079] ['1/7', '1/6', '7/6', '6/5', '8'] -> (8 / (7/6 * (1/6 + (1/7 / 6/5))))
[342080] ['1/6', '9/7', '3/2', '3/2', '8'] -> (8 + ((3/2 + (3/2 / 9/7)) / 1/6))
[342081] ['1/2', '3/5', '3/5', '9/7', '5'] -> ((3/5 + 5) * (9/7 / (1/2 * 3/5)))
[342082] ['3/5', '4/3', '8/5', '7/4', '7'] -> (7 * ((4/3 / 7/4) + (8/5 / 3/5)))
[342083] ['3/5', '5/6', '6/7', '8/5', '2'] -> ((8/5 * 2) / (5/6 - (3/5 / 6/7)))
[342084] ['1/9', '1/9', '1/2', '6/7', '8'] -> ((1/2 - 1/9) * (8 / (1/9 / 6/7)))
[342085] ['1/6', '9/7', '3/2', '8/5', '8'] -> (8/5 * (8 + (3/2 / (1/6 * 9/7))))
[342086] ['1/2', '3/5', '3/5', '4/3', '5'] -> ((3/5 + 5) / (4/3 - (1/2 + 3/5)))
[342087] ['3/8', '4/9', '6/5', '9/4', '5'] -> (9/4 * ((5 / (3/8 * 6/5)) - 4/9))
[342088] ['3/5', '4/3', '8/5', '7/3', '7'] -> (8/5 / ((3/5 / 7/3) - (4/3 / 7)))
[342089] ['3/5', '5/6', '6/7', '5/3', '2'] -> ((3/5 / (6/7 - 5/6)) - (2 / 5/3))
[342090] ['1/9', '1/9', '1/2', '9/8', '8'] -> (((1/2 / 9/8) - 1/9) / (1/9 / 8))
[342091] ['1/2', '3/5', '3/5', '7/5', '5'] -> ((7/5 + (3/5 / 3/5)) / (1/2 / 5))
[342092] ['2/9', '2/5', '5/6', '3', '7/2'] -> ((3 / 2/9) + (7/2 / (2/5 * 5/6)))
[342093] ['1/6', '9/7', '3/2', '9/4', '8'] -> ((1/6 + (3/2 / 9/7)) * (9/4 * 8))
[342094] ['3/8', '4/9', '6/5', '7/2', '5'] -> (5 * (((7/2 - 6/5) / 4/9) - 3/8))
[342095] ['2/9', '2/5', '6/7', '6/7', '3'] -> (6/7 + ((3 + (6/7 / 2/5)) / 2/9))
[342096] ['1/2', '3/5', '3/5', '7/3', '5'] -> ((3/5 + 5) / (7/3 * (3/5 - 1/2)))
[342097] ['1/9', '1/9', '1/2', '8/5', '8'] -> (8/5 * ((8 / 1/2) - (1/9 / 1/9)))
[342098] ['1/6', '9/7', '3/2', '9/2', '8'] -> ((8 / 1/6) / ((9/2 / 9/7) - 3/2))
[342099] ['3/8', '4/9', '5/4', '4/3', '5'] -> (4/3 / (4/9 * (3/8 - (5/4 / 5))))
[342100] ['3/5', '4/3', '7/4', '9/4', '7'] -> ((4/3 + 9/4) + (7 / (3/5 / 7/4)))
[342101] ['1/7', '1/6', '6/5', '5/4', '8'] -> (8 / ((6/5 * 5/4) - (1/6 / 1/7)))
[342102] ['1/2', '3/5', '5/8', '5/6', '5'] -> (((5 / 3/5) - 5/6) / (1/2 * 5/8))
[342103] ['1/9', '1/9', '1/2', '9/4', '8'] -> ((1/9 + (1/2 / 9/4)) / (1/9 / 8))
[342104] ['1/6', '9/7', '8/5', '5/3', '8'] -> (8/5 + (8 / (5/3 * (1/6 * 9/7))))
[342105] ['1/2', '3/5', '5/8', '6/7', '5'] -> (5 / ((1/2 / 6/7) - (3/5 * 5/8)))
[342106] ['1/7', '1/6', '6/5', '4/3', '8'] -> ((6/5 * 8) * (4/3 + (1/6 / 1/7)))
[342107] ['3/5', '4/3', '7/4', '5/2', '7'] -> ((7 / 7/4) / ((3/5 * 5/2) - 4/3))
[342108] ['1/7', '1/6', '6/5', '7/5', '8'] -> (8 / (1/6 + (7/5 * (1/7 / 6/5))))
[342109] ['3/8', '4/9', '5/4', '5/3', '5'] -> (5 * ((4/9 / 5/4) + (5/3 / 3/8)))
[342110] ['1/2', '3/5', '5/8', '8/9', '5'] -> (5 / ((3/5 * (1/2 + 8/9)) - 5/8))
[342111] ['3/5', '4/3', '7/4', '8/3', '7'] -> ((7/4 + (8/3 / 4/3)) * (7 - 3/5))
[342112] ['1/6', '9/7', '8/5', '9/5', '8'] -> (8/5 / ((9/5 / 9/7) - (1/6 * 8)))
[342113] ['1/9', '1/9', '5/9', '5/8', '8'] -> (((8 * (5/9 * 5/8)) - 1/9) / 1/9)
[342114] ['3/5', '4/3', '7/4', '7/2', '7'] -> (7 / ((7/4 / 3/5) - (7/2 / 4/3)))
[342115] ['6/7', '1', '9/5', '7/3', '8/3'] -> (8/3 / ((7/3 * (6/7 / 9/5)) - 1))
[342116] ['1/2', '3/5', '5/8', '9/7', '5'] -> (5 / (1/2 - ((3/5 * 5/8) / 9/7)))
[342117] ['3/5', '4/3', '7/4', '9/2', '7'] -> (9/2 * ((7 / (3/5 * 7/4)) - 4/3))
[342118] ['1/9', '1/9', '5/9', '4/5', '8'] -> (((5/9 * 4/5) - 1/9) / (1/9 / 8))
[342119] ['6/7', '1', '9/5', '7/3', '7/2'] -> (7/2 * (6/7 + (9/5 * (1 + 7/3))))
[342120] ['3/8', '4/9', '5/4', '7/2', '5'] -> (((5/4 - 7/2) + (5 / 4/9)) / 3/8)
[342121] ['2/9', '2/5', '6/7', '7/5', '3'] -> ((3 + (6/7 / 2/9)) / (2/5 / 7/5))
[342122] ['3/5', '4/3', '9/5', '7/3', '7'] -> ((7 - (4/3 - 7/3)) / (3/5 / 9/5))
[342123] ['1/7', '1/6', '6/5', '9/5', '8'] -> (8 / ((9/5 / 6/5) - (1/6 / 1/7)))
[342124] ['1/2', '3/5', '5/8', '9/4', '5'] -> (5 * ((3/5 / 1/2) + (9/4 / 5/8)))
[342125] ['1/6', '9/7', '8/5', '9/2', '8'] -> (8/5 * (9/2 + (9/7 * (1/6 + 8))))
[342126] ['3/5', '4/3', '9/4', '7/3', '7'] -> (9/4 * ((4/3 - 7/3) + (7 / 3/5)))
[342127] ['1/2', '3/5', '5/8', '8/3', '5'] -> ((5 / (5/8 * (1/2 * 3/5))) - 8/3)
[342128] ['3/5', '4/3', '9/4', '5/2', '7'] -> (5/2 * ((3/5 / 9/4) + (4/3 * 7)))
[342129] ['1/9', '1/9', '5/9', '5/4', '8'] -> (((5/9 / 5/4) - 1/9) / (1/9 / 8))
[342130] ['1/2', '3/5', '2/3', '2/3', '5'] -> (((5 / (1/2 * 3/5)) - 2/3) / 2/3)
[342131] ['1/7', '1/6', '6/5', '5/2', '8'] -> ((8 / 6/5) - (1/6 - (5/2 / 1/7)))
[342132] ['6/7', '1', '9/5', '8/3', '7/2'] -> (9/5 * (1 + (7/2 * (6/7 + 8/3))))
[342133] ['1/6', '9/7', '5/3', '9/4', '8'] -> ((5/3 / 1/6) + (8 / (9/7 / 9/4)))
[342134] ['3/5', '5/6', '7/8', '2', '8/3'] -> (3/5 / ((2 / (5/6 * 8/3)) - 7/8))
[342135] ['1/7', '1/6', '6/5', '8/3', '8'] -> (6/5 * ((1/6 * 8) + (8/3 / 1/7)))
[342136] ['3/5', '4/3', '7/3', '7/3', '7'] -> ((4/3 / 3/5) + (7/3 * (7/3 + 7)))
[342137] ['3/5', '5/6', '7/8', '2', '7/2'] -> ((2 + 7/2) / (5/6 * (7/8 - 3/5)))
[342138] ['2/9', '2/5', '6/7', '8/3', '3'] -> (3 * (2/9 + (8/3 / (2/5 * 6/7))))
[342139] ['1/7', '1/6', '6/5', '7/2', '8'] -> (1/6 + (7/2 * (1/7 + (8 / 6/5))))
[342140] ['1/9', '1/9', '5/9', '9/5', '8'] -> ((9/5 / 1/9) + (8 - (1/9 / 5/9)))
[342141] ['3/5', '5/6', '7/8', '2', '9/2'] -> ((2 * 9/2) / (7/8 - (3/5 * 5/6)))
[342142] ['3/5', '4/3', '7/3', '7/2', '7'] -> ((4/3 * 7) / ((7/3 / 3/5) - 7/2))
[342143] ['1/9', '1/9', '5/9', '9/4', '8'] -> ((9/4 * 8) + ((1/9 + 5/9) / 1/9))
[342144] ['3/8', '4/9', '9/7', '8/3', '5'] -> ((5 + (9/7 * (4/9 + 8/3))) / 3/8)
[342145] ['1/6', '9/7', '7/4', '9/4', '8'] -> (((8 / 7/4) - (9/7 / 9/4)) / 1/6)
[342146] ['1/7', '1/6', '5/4', '5/4', '8'] -> (8 / (1/7 * (5/4 - (1/6 - 5/4))))
[342147] ['3/5', '4/3', '5/2', '5/2', '7'] -> ((7 - 3/5) / (4/3 / (5/2 + 5/2)))
[342148] ['1/6', '9/7', '7/4', '7/3', '8'] -> (7/4 * (((9/7 + 7/3) / 1/6) - 8))
[342149] ['3/8', '4/9', '9/7', '9/2', '5'] -> ((5 + (4/9 * 9/2)) / (3/8 / 9/7))
[342150] ['1/7', '1/6', '5/4', '7/5', '8'] -> (8 / ((1/7 * 7/5) + (1/6 / 5/4)))
[342151] ['1/2', '3/5', '2/3', '5/4', '5'] -> ((5 / 5/4) / ((1/2 / 3/5) - 2/3))
[342152] ['1/9', '1/9', '4/7', '5/8', '8'] -> (((1/9 / 1/9) + (8 / 4/7)) / 5/8)
[342153] ['3/8', '4/9', '4/3', '7/5', '5'] -> ((7/5 + (4/3 / 5)) / (4/9 - 3/8))
[342154] ['1/6', '9/7', '9/5', '9/5', '8'] -> ((9/5 / 9/7) / ((9/5 / 8) - 1/6))
[342155] ['3/5', '5/6', '8/9', '4/3', '2'] -> (4/3 / ((3/5 * 5/6) - (8/9 / 2)))
[342156] ['1/9', '1/9', '4/7', '4/5', '8'] -> (8 / ((1/9 / 4/7) + (1/9 / 4/5)))
[342157] ['1/7', '1/6', '5/4', '5/3', '8'] -> (((8 / (5/3 - 1/7)) - 5/4) / 1/6)
[342158] ['1/2', '3/5', '2/3', '7/4', '5'] -> (3/5 / ((7/4 / (2/3 * 5)) - 1/2))
[342159] ['6/7', '1', '9/4', '7/3', '8/3'] -> (8/3 / (1 - (7/3 * (6/7 / 9/4))))
[342160] ['2/9', '2/5', '7/8', '6/5', '3'] -> ((3 + (6/5 / 2/9)) / (2/5 * 7/8))
[342161] ['3/5', '5/6', '8/9', '7/5', '2'] -> ((7/5 / (8/9 - 5/6)) - (3/5 * 2))
[342162] ['3/5', '5/6', '8/9', '3/2', '2'] -> (3/5 / ((3/2 / (5/6 * 8/9)) - 2))
[342163] ['1/6', '9/7', '9/5', '5/2', '8'] -> (9/5 * ((9/7 * (5/2 + 8)) - 1/6))
[342164] ['2/9', '2/5', '7/8', '9/7', '3'] -> (3 / ((7/8 / 9/7) - (2/9 / 2/5)))
[342165] ['1/9', '1/9', '4/7', '8/9', '8'] -> (8 / ((4/7 * (8/9 - 1/9)) - 1/9))
[342166] ['1/2', '3/5', '2/3', '7/3', '5'] -> ((7/3 - (3/5 - 2/3)) / (1/2 / 5))
[342167] ['3/5', '7/5', '7/5', '8/5', '7'] -> (7 * ((3/5 / 7/5) + (7/5 + 8/5)))
[342168] ['6/7', '1', '9/4', '5/2', '7/2'] -> (6/7 / ((1 / 7/2) + (9/4 - 5/2)))
[342169] ['3/5', '5/6', '8/9', '7/4', '2'] -> (2 / (7/4 - (3/5 + (8/9 / 5/6))))
[342170] ['3/5', '7/5', '7/5', '7/4', '7'] -> ((7/5 + 7) / (7/5 - (3/5 * 7/4)))
