[248221] ['1/4', '2/5', '2/3', '1', '8/7'] -> (1 / ((1/4 / 2/5) - (2/3 / 8/7)))
[253674] ['1/5', '4/5', '6/5', '9/7', '2'] -> ((6/5 + (9/7 * (4/5 + 2))) / 1/5)
[253675] ['8/9', '8/9', '8/7', '7/6', '2'] -> ((8/9 / 7/6) / ((8/9 + 8/7) - 2))
[253676] ['1/6', '7/6', '9/2', '9/2', '7'] -> ((7 + (9/2 * (1/6 + 9/2))) / 7/6)
[253677] ['1/9', '2/5', '1/2', '7/8', '2'] -> ((1/2 / 1/9) / ((7/8 / 2/5) - 2))
[253678] ['1/4', '4/9', '4/9', '8/7', '9'] -> (8/7 * (((4/9 + 9) / 4/9) - 1/4))
[253679] ['1/6', '6/5', '6/5', '6/5', '7'] -> ((6/5 / 1/6) + (7 * (6/5 + 6/5)))
[253680] ['2/5', '7/8', '7/8', '5/2', '8'] -> (5/2 * ((2/5 / 7/8) + (8 / 7/8)))
[253681] ['2/9', '2/5', '7/6', '9/4', '6'] -> (((9/4 + 6) - (7/6 / 2/5)) / 2/9)
[253682] ['1/8', '7/6', '9/5', '7/3', '9'] -> (((9 / 9/5) - (7/3 / 7/6)) / 1/8)
[253683] ['8/9', '8/9', '8/7', '5/4', '2'] -> (2 / ((5/4 * (8/9 / 8/7)) - 8/9))
[253684] ['1/4', '4/9', '4/9', '5/4', '9'] -> (9 * (4/9 + (5/4 / (1/4 / 4/9))))
[253685] ['1/6', '1/4', '4/5', '1', '8/7'] -> ((1 / 4/5) / ((1/4 / 8/7) - 1/6))
[253686] ['1/9', '1/8', '4/5', '7/3', '6'] -> ((1/9 * 6) + (7/3 / (1/8 * 4/5)))
[253687] ['2/7', '3/7', '4/9', '5/8', '3'] -> (((2/7 / (4/9 - 3/7)) - 3) / 5/8)
[253688] ['1/6', '6/5', '6/5', '5/4', '7'] -> ((7 - (5/4 * (6/5 + 6/5))) / 1/6)
[253689] ['2/9', '2/5', '7/6', '7/3', '6'] -> ((7/3 / (2/9 * 7/6)) + (6 / 2/5))
[253690] ['8/9', '8/9', '8/7', '9/7', '2'] -> (8/7 / ((8/9 - 9/7) + (8/9 / 2)))
[253691] ['2/5', '7/8', '7/8', '7/2', '8'] -> ((7/2 + (8 / (2/5 / 7/8))) / 7/8)
[253692] ['1/4', '4/9', '4/9', '9/7', '9'] -> (((9 / 9/7) - (4/9 / 4/9)) / 1/4)
[253693] ['4/9', '5/7', '5/6', '7/3', '7'] -> (7 / ((5/6 / (4/9 * 5/7)) - 7/3))
[253694] ['1/9', '1/8', '1/7', '9/5', '9'] -> (9 / (((1/8 / 1/7) / 9/5) - 1/9))
[253695] ['8/9', '8/9', '8/7', '4/3', '2'] -> ((4/3 * 2) / (8/9 - (8/9 / 8/7)))
[253696] ['2/9', '2/5', '7/6', '5/2', '6'] -> (((2/5 * 5/2) + (6 / 2/9)) / 7/6)
[253697] ['1/4', '4/9', '4/9', '7/5', '9'] -> (((9 - 4/9) / (1/4 * 7/5)) - 4/9)
[253698] ['1/8', '7/6', '9/5', '7/2', '9'] -> ((9 / 9/5) / ((7/6 / 7/2) - 1/8))
[253699] ['2/9', '2/5', '7/6', '8/3', '6'] -> (2/9 + (8/3 * (6 + (7/6 / 2/5))))
[253700] ['2/7', '3/7', '4/9', '5/6', '3'] -> ((3/7 * 4/9) / (2/7 - (5/6 / 3)))
[253701] ['1/9', '1/8', '5/6', '6/7', '6'] -> ((6 / 6/7) / ((1/8 / 1/9) - 5/6))
[253702] ['1/9', '1/8', '1/7', '5/2', '9'] -> (9 / (1/9 * (5/2 + (1/8 / 1/7))))
[253703] ['4/9', '5/7', '5/6', '7/2', '7'] -> ((5/7 + 7) * (7/2 + (4/9 - 5/6)))
[253704] ['1/6', '1/4', '4/5', '1', '5/3'] -> ((5/3 / (4/5 * (1/4 - 1/6))) - 1)
[253705] ['1/4', '4/9', '4/9', '9/4', '9'] -> ((9 - 9/4) / (1/4 / (4/9 + 4/9)))
[253706] ['3/8', '5/8', '7/9', '3/2', '9'] -> ((7/9 + (3/8 + 5/8)) * (3/2 * 9))
[253707] ['1/4', '4/9', '4/9', '7/3', '9'] -> (9 * ((4/9 + 7/3) - (1/4 * 4/9)))
[253708] ['2/5', '7/8', '8/9', '7/6', '8'] -> (((7/6 / 7/8) + (8 / 2/5)) / 8/9)
[253709] ['1/6', '6/5', '6/5', '5/2', '7'] -> (((7 / 6/5) - 5/2) / (1/6 / 6/5))
[253710] ['1/5', '4/5', '9/7', '4/3', '2'] -> ((4/5 + 2) * (4/3 / (1/5 / 9/7)))
[253711] ['1/9', '1/8', '1/7', '7/2', '9'] -> (((1/9 * 9) - 1/7) / (1/8 / 7/2))
[253712] ['8/9', '8/9', '8/7', '7/4', '2'] -> (2 / (7/4 - (8/9 + (8/9 / 8/7))))
[253713] ['1/9', '1/8', '5/6', '9/8', '6'] -> ((5/6 / 1/9) / (1/8 + (9/8 / 6)))
[253714] ['3/8', '5/8', '7/9', '8/5', '9'] -> (((8/5 / 3/8) + (9 / 5/8)) / 7/9)
[253715] ['2/7', '3/7', '4/9', '5/4', '3'] -> ((2/7 / 3/7) / (4/9 - (5/4 / 3)))
[253716] ['1/9', '2/5', '1/2', '9/5', '2'] -> ((2/5 + 2) / (9/5 * (1/9 * 1/2)))
[253717] ['2/9', '5/9', '4/5', '1', '7/2'] -> ((5/9 / (4/5 - (2/9 * 7/2))) - 1)
[253718] ['1/8', '7/6', '7/3', '9/2', '9'] -> (((7/6 + 7/3) - (9/2 / 9)) / 1/8)
[253719] ['1/4', '4/9', '1/2', '1/2', '9'] -> (9 / ((1/2 / 4/9) - (1/4 + 1/2)))
[253720] ['1/6', '6/5', '6/5', '9/2', '7'] -> ((9/2 / (1/6 / 6/5)) - (6/5 * 7))
[253721] ['1/9', '1/8', '5/6', '8/7', '6'] -> ((5/6 / (1/8 - (1/9 / 8/7))) - 6)
[253722] ['1/9', '1/8', '1/7', '9/2', '9'] -> (9 / ((1/8 / 1/7) - (1/9 * 9/2)))
[253723] ['2/9', '2/5', '6/5', '5/3', '6'] -> ((5/3 / (2/9 / 6/5)) + (6 / 2/5))
[253724] ['2/9', '5/9', '4/5', '1', '9/2'] -> ((1 / 4/5) + ((5/9 + 9/2) / 2/9))
[253725] ['2/5', '7/8', '8/9', '5/4', '8'] -> (8 / (8/9 * (7/8 - (2/5 * 5/4))))
[253726] ['1/4', '4/9', '1', '8/5', '8/5'] -> ((8/5 / (1/4 * 4/9)) / (8/5 - 1))
[253727] ['8/9', '8/9', '8/7', '2', '9/4'] -> ((8/9 / ((8/7 * 2) - 9/4)) - 8/9)
[253728] ['1/6', '1/4', '5/6', '1', '9/8'] -> ((1/4 / 1/6) / (1 - (5/6 * 9/8)))
[253729] ['3/8', '5/8', '7/9', '9/4', '9'] -> (9 * (5/8 + (7/9 * (3/8 + 9/4))))
[253730] ['1/9', '1/8', '5/6', '9/7', '6'] -> ((5/6 * 6) / (1/9 + (1/8 / 9/7)))
[253731] ['2/5', '7/8', '8/9', '9/7', '8'] -> ((8/9 * 9/7) + (8 / (2/5 * 7/8)))
[253732] ['2/7', '3/7', '4/9', '8/5', '3'] -> (8/5 * ((2/7 / (4/9 - 3/7)) - 3))
[253733] ['8/9', '8/9', '8/7', '2', '7/3'] -> ((8/9 / 8/9) / ((7/3 / 8/7) - 2))
[253734] ['1/9', '1/8', '1/6', '2/7', '9'] -> ((9 + (1/6 / 1/9)) / (1/8 / 2/7))
[253735] ['1/4', '4/9', '1/2', '3/5', '9'] -> (((9 / 4/9) - 1/4) / (1/2 / 3/5))
[253736] ['1/8', '6/5', '6/5', '6/5', '9'] -> (9 / ((6/5 / (6/5 + 6/5)) - 1/8))
[253737] ['2/9', '5/9', '5/6', '6/7', '1'] -> (1 / ((5/9 / (6/7 - 2/9)) - 5/6))
[253738] ['2/5', '7/8', '8/9', '4/3', '8'] -> (((8 / 2/5) - 4/3) / (7/8 * 8/9))
[253739] ['2/9', '2/5', '5/4', '9/7', '6'] -> (((6 / 9/7) - 2/5) / (2/9 / 5/4))
[253740] ['2/7', '3/7', '4/9', '7/4', '3'] -> (2/7 / ((3/7 - 7/4) + (4/9 * 3)))
[253741] ['1/9', '2/5', '5/9', '5/9', '2'] -> ((5/9 + 5/9) / (1/9 / (2/5 + 2)))
[253742] ['1/9', '1/8', '1/6', '2/5', '9'] -> ((9 - (1/6 / 1/9)) / (1/8 / 2/5))
[253743] ['2/9', '5/9', '5/6', '7/8', '1'] -> ((5/9 / (2/9 * 5/6)) / (1 - 7/8))
[253744] ['1/6', '6/5', '5/4', '7/4', '7'] -> (((7 - 7/4) / (1/6 * 5/4)) - 6/5)
[253745] ['1/9', '1/8', '5/6', '8/5', '6'] -> (6 / (8/5 - (1/8 / (1/9 * 5/6))))
[253746] ['1/8', '6/5', '6/5', '8/5', '9'] -> ((8/5 - 6/5) * (9 / (1/8 * 6/5)))
[253747] ['2/5', '7/8', '8/9', '3/2', '8'] -> (((8 / (2/5 * 8/9)) - 3/2) / 7/8)
[253748] ['2/9', '2/5', '5/4', '7/5', '6'] -> ((5/4 * 6) * (7/5 + (2/5 / 2/9)))
[253749] ['1/6', '6/5', '5/4', '7/3', '7'] -> (5/4 * (6/5 + (7 / (1/6 * 7/3))))
[253750] ['1/4', '4/9', '1', '8/5', '7/3'] -> (7/3 / (((1 - 4/9) / 8/5) - 1/4))
[253751] ['1/6', '1/4', '5/6', '1', '9/5'] -> ((1 / 5/6) / ((1/6 * 9/5) - 1/4))
[253752] ['1/6', '6/5', '5/4', '8/3', '7'] -> ((5/4 * 8/3) * (7 + (1/6 * 6/5)))
[253753] ['1/5', '4/5', '9/7', '2', '7/3'] -> ((9/7 * 2) * (7/3 / (1/5 / 4/5)))
[253754] ['1/6', '1/4', '5/6', '1', '9/4'] -> ((1 + ((1/4 + 9/4) / 5/6)) / 1/6)
[253755] ['1/4', '4/9', '1/2', '8/7', '9'] -> (8/7 * ((1/4 + 1/2) + (9 / 4/9)))
[253756] ['1/4', '4/9', '1', '8/5', '5/2'] -> ((8/5 / 4/9) / ((1 / 5/2) - 1/4))
[253757] ['1/8', '6/5', '6/5', '5/2', '9'] -> ((9 - (5/2 * (6/5 + 6/5))) / 1/8)
[253758] ['2/9', '2/5', '5/4', '7/4', '6'] -> (6 * (7/4 + (5/4 / (2/9 / 2/5))))
[253759] ['2/9', '5/9', '5/6', '1', '5/4'] -> ((5/9 / 5/6) / (5/4 - (2/9 + 1)))
[253760] ['1/9', '1/8', '5/6', '8/3', '6'] -> (((6 * (1/9 + 5/6)) - 8/3) / 1/8)
[253761] ['2/5', '7/8', '8/9', '5/3', '8'] -> ((2/5 / (8/9 - 7/8)) - (8 / 5/3))
[253762] ['2/7', '3/7', '4/9', '3', '7/2'] -> (3 / (7/2 - (3/7 / (2/7 * 4/9))))
[253763] ['8/9', '8/9', '7/6', '7/6', '2'] -> (7/6 / (((2 - 7/6) / 8/9) - 8/9))
[253764] ['1/9', '1/8', '1/6', '9/8', '9'] -> (9 / (1/6 * (9/8 + (1/8 / 1/9))))
[253765] ['2/9', '2/5', '5/4', '9/4', '6'] -> ((6 / (2/9 * 2/5)) / (5/4 * 9/4))
[253766] ['1/9', '1/8', '6/7', '6/7', '6'] -> (((6/7 / (1/9 * 6/7)) - 6) / 1/8)
[253767] ['1/6', '1/4', '6/7', '1', '9/8'] -> (6/7 * (1 + (9/8 / (1/6 * 1/4))))
[253768] ['2/7', '3/7', '1/2', '3/5', '3'] -> ((2/7 + (3 / (1/2 * 3/5))) / 3/7)
[253769] ['8/9', '8/9', '7/6', '9/7', '2'] -> ((8/9 / 2) / ((7/6 / 9/7) - 8/9))
[253770] ['1/5', '4/5', '9/7', '2', '9/2'] -> ((2 + (9/2 * (4/5 / 9/7))) / 1/5)
[253771] ['2/9', '2/5', '5/4', '7/3', '6'] -> ((7/3 + (6 * (2/5 * 5/4))) / 2/9)
[253772] ['1/8', '6/5', '5/4', '4/3', '9'] -> ((5/4 / (1/8 / 6/5)) + (4/3 * 9))
[253773] ['2/7', '3/7', '1/2', '7/9', '3'] -> (((3 / 7/9) - 3/7) / (2/7 * 1/2))
[253774] ['1/6', '6/5', '9/7', '8/5', '7'] -> (((7 - 8/5) / (1/6 * 9/7)) - 6/5)
[253775] ['1/6', '1/4', '6/7', '1', '5/4'] -> (1 / ((1/4 / 1/6) - (5/4 / 6/7)))
[253776] ['1/9', '1/8', '6/7', '8/9', '6'] -> (1/9 / ((8/9 / (6/7 + 6)) - 1/8))
[253777] ['8/9', '8/9', '7/6', '3/2', '2'] -> ((8/9 * 3/2) / ((8/9 + 7/6) - 2))
[253778] ['1/4', '4/9', '1', '5/3', '7/3'] -> ((4/9 + (5/3 * (1 + 7/3))) / 1/4)
[253779] ['1/6', '6/5', '9/7', '5/3', '7'] -> (7 * ((9/7 / (1/6 * 5/3)) - 6/5))
[253780] ['1/9', '2/5', '5/9', '8/7', '2'] -> (2 / (((2/5 * 5/9) / 8/7) - 1/9))
[253781] ['4/9', '5/7', '6/7', '7/2', '7'] -> (((5/7 * 7/2) + (7 / 6/7)) / 4/9)
[253782] ['2/9', '2/5', '9/7', '9/7', '6'] -> ((9/7 / 2/9) + ((9/7 + 6) / 2/5))
[253783] ['1/6', '1/4', '6/7', '1', '7/5'] -> (1 / (((1/4 / 6/7) / 7/5) - 1/6))
[253784] ['3/8', '5/8', '4/5', '5/2', '9'] -> (3/8 + (9 * (5/8 + (4/5 * 5/2))))
[253785] ['8/9', '8/9', '7/6', '8/5', '2'] -> (2 / ((8/9 / (8/5 - 8/9)) - 7/6))
[253786] ['1/5', '4/5', '7/5', '7/5', '2'] -> (((2 * (7/5 + 7/5)) - 4/5) / 1/5)
[253787] ['1/9', '1/8', '6/7', '7/6', '6'] -> (((7/6 / (1/9 / 6/7)) - 6) / 1/8)
[253788] ['1/4', '4/9', '1', '5/3', '7/2'] -> ((7/2 / 1/4) / ((1 / 4/9) - 5/3))
[253789] ['4/9', '5/7', '6/7', '9/2', '7'] -> (((9/2 + 7) - (5/7 / 6/7)) / 4/9)
[253790] ['8/9', '8/9', '7/6', '5/3', '2'] -> (7/6 / ((5/3 / (8/9 * 2)) - 8/9))
[253791] ['1/8', '6/5', '5/4', '8/3', '9'] -> ((5/4 / 1/8) + (6/5 * (8/3 + 9)))
[253792] ['1/9', '1/8', '1/5', '1/3', '9'] -> ((9 * (1/9 / 1/5)) / (1/3 - 1/8))
[253793] ['1/4', '4/9', '5/9', '5/7', '9'] -> (9 * ((5/9 / (1/4 * 5/7)) - 4/9))
[253794] ['1/6', '1/4', '6/7', '1', '7/4'] -> (((6/7 / 1/4) + (1 / 7/4)) / 1/6)
[253795] ['2/5', '7/8', '9/8', '9/8', '8'] -> (((9/8 / 9/8) + (8 / 2/5)) / 7/8)
[253796] ['1/8', '6/5', '9/7', '9/7', '9'] -> (9/7 / ((1/8 * 9) - (9/7 / 6/5)))
[253797] ['1/9', '1/8', '1/5', '3/8', '9'] -> (9 + ((1/8 / 3/8) / (1/9 * 1/5)))
[253798] ['2/9', '2/5', '9/7', '5/3', '6'] -> (((2/5 * 5/3) + (6 / 9/7)) / 2/9)
[253799] ['1/9', '1/8', '6/7', '4/3', '6'] -> (((6 / 6/7) - 4/3) / (1/9 + 1/8))
[253800] ['3/8', '5/8', '5/6', '8/9', '9'] -> (9 * ((5/6 / (3/8 * 5/8)) - 8/9))
[253801] ['1/9', '2/5', '5/9', '9/5', '2'] -> (5/9 * ((2 / (1/9 * 2/5)) - 9/5))
[253802] ['1/5', '4/5', '7/5', '2', '7/3'] -> (4/5 / ((7/5 - 1/5) - (7/3 / 2)))
[253803] ['2/9', '5/9', '5/6', '1', '9/2'] -> ((5/6 + 9/2) / (1 - (2/9 + 5/9)))
[253804] ['8/9', '8/9', '7/6', '2', '7/3'] -> ((8/9 / 7/6) / (8/9 - (2 / 7/3)))
[253805] ['1/9', '2/5', '5/9', '2', '9/4'] -> (2 / (5/9 * (2/5 - (1/9 * 9/4))))
[253806] ['1/9', '1/8', '6/7', '3/2', '6'] -> (6 / (6/7 * (1/8 + (1/9 * 3/2))))
[253807] ['1/5', '4/5', '7/5', '2', '7/2'] -> (((2 * 7/2) - (4/5 + 7/5)) / 1/5)
[253808] ['3/8', '5/8', '5/6', '8/7', '9'] -> ((8/7 * (5/8 + 9)) / (5/6 - 3/8))
[253809] ['1/9', '2/5', '5/9', '2', '7/3'] -> (((2 / 5/9) - (2/5 * 7/3)) / 1/9)
[253810] ['4/9', '5/7', '7/8', '7/6', '7'] -> (7 / (7/8 * (5/7 - (4/9 / 7/6))))
[253811] ['8/9', '8/9', '7/6', '2', '8/3'] -> (8/9 / ((8/9 * 8/3) - (7/6 * 2)))
[253812] ['2/9', '2/5', '9/7', '9/4', '6'] -> ((6 / (9/7 * (2/5 - 2/9))) - 9/4)
[253813] ['2/5', '7/8', '9/8', '9/7', '8'] -> ((9/7 / 9/8) + (8 / (2/5 * 7/8)))
[253814] ['2/9', '5/9', '6/7', '7/8', '1'] -> (1 / ((7/8 * (6/7 - 5/9)) - 2/9))
[253815] ['1/4', '4/9', '1', '7/4', '9/2'] -> (9/2 / (7/4 - (1 + (1/4 / 4/9))))
[253816] ['4/9', '5/7', '7/8', '6/5', '7'] -> ((7 / (7/8 * (4/9 * 5/7))) - 6/5)
[253817] ['1/4', '4/9', '5/9', '7/5', '9'] -> (9 * ((7/5 / (1/4 / 5/9)) - 4/9))
[253818] ['1/9', '1/8', '6/7', '5/3', '6'] -> (((6 / (5/3 - 1/9)) - 6/7) / 1/8)
[253819] ['8/9', '8/9', '7/6', '2', '7/2'] -> (2 / ((7/2 * (7/6 - 8/9)) - 8/9))
[253820] ['2/9', '2/5', '9/7', '7/3', '6'] -> ((2/5 * 7/3) * ((6 / 2/9) - 9/7))
[253821] ['1/9', '1/8', '1/5', '5/8', '9'] -> ((5/8 / (1/8 * 1/5)) - (1/9 * 9))
[253822] ['2/7', '3/7', '5/9', '4/7', '3'] -> ((3/7 + ((4/7 + 3) / 5/9)) / 2/7)
[253823] ['1/8', '6/5', '9/7', '5/3', '9'] -> (((9 / (9/7 * 5/3)) - 6/5) / 1/8)
[253824] ['1/6', '1/4', '7/8', '1', '6/5'] -> (6/5 * ((7/8 / (1/6 * 1/4)) - 1))
[253825] ['1/9', '2/5', '5/9', '2', '9/2'] -> (1/9 + ((5/9 + (2 * 9/2)) / 2/5))
[253826] ['2/9', '2/5', '9/7', '8/3', '6'] -> ((8/3 / ((2/5 / 9/7) - 2/9)) - 6)
[253827] ['1/4', '4/9', '5/9', '9/5', '9'] -> (((4/9 + 5/9) + (9 / 9/5)) / 1/4)
[253828] ['8/9', '8/9', '6/5', '6/5', '2'] -> (6/5 / (((2 - 8/9) / 8/9) - 6/5))
[253829] ['1/9', '1/8', '6/7', '9/4', '6'] -> (((6 / (6/7 * 9/4)) - 1/9) / 1/8)
[253830] ['1/8', '6/5', '9/7', '9/5', '9'] -> (6/5 / ((9/5 / (9/7 + 9)) - 1/8))
[253831] ['1/6', '1/4', '7/8', '1', '7/5'] -> (1 / ((1/6 / 1/4) - (7/8 / 7/5)))
[253832] ['1/9', '1/8', '1/5', '3/4', '9'] -> (9 / (1/5 * (3/4 + (1/8 / 1/9))))
[253833] ['1/6', '6/5', '4/3', '8/3', '7'] -> ((4/3 + 8/3) * (1/6 + (7 / 6/5)))
[253834] ['2/9', '5/9', '6/7', '1', '5/4'] -> (6/7 / ((1 / (2/9 + 5/9)) - 5/4))
[253835] ['4/9', '5/7', '7/8', '3/2', '7'] -> ((5/7 * 7) / (7/8 - (4/9 * 3/2)))
[253836] ['1/6', '1/4', '7/8', '1', '8/5'] -> (((7/8 / 1/4) - 1) / (1/6 / 8/5))
[253837] ['1/9', '1/8', '1/5', '7/9', '9'] -> (9 / ((7/9 * (1/8 / 1/5)) - 1/9))
[253838] ['1/4', '4/9', '1', '9/5', '7/2'] -> (1 / ((7/2 * (1/4 / 9/5)) - 4/9))
[253839] ['2/7', '3/7', '5/9', '3/4', '3'] -> (2/7 / ((3/4 / 3) - (3/7 * 5/9)))
[253840] ['1/6', '6/5', '4/3', '9/2', '7'] -> ((4/3 / (1/6 / 6/5)) * (7 - 9/2))
[253841] ['1/5', '4/5', '5/3', '2', '5/2'] -> ((2 / 1/5) / (5/2 - (5/3 / 4/5)))
[253842] ['2/9', '2/5', '4/3', '4/3', '6'] -> (((4/3 + 4/3) / (2/9 * 2/5)) - 6)
[253843] ['1/6', '1/4', '7/8', '1', '9/5'] -> (1 / (7/8 - (1/4 / (1/6 * 9/5))))
[253844] ['1/9', '1/8', '7/8', '7/8', '6'] -> (((7/8 / (1/9 * 7/8)) - 6) / 1/8)
[253845] ['4/9', '5/7', '7/8', '5/3', '7'] -> ((7 + (5/3 / 5/7)) / (4/9 * 7/8))
[253846] ['1/9', '1/8', '1/5', '7/8', '9'] -> (((7/8 / (1/5 - 1/8)) - 9) / 1/9)
[253847] ['1/9', '1/8', '7/8', '8/7', '6'] -> (((8/7 / (1/9 / 7/8)) - 6) / 1/8)
[253848] ['1/4', '4/9', '4/7', '5/8', '9'] -> ((9 / 4/9) / ((5/8 / 4/7) - 1/4))
[253849] ['1/5', '4/5', '7/4', '7/4', '2'] -> ((2 + (4/5 * (7/4 + 7/4))) / 1/5)
[253850] ['1/8', '6/5', '9/7', '8/3', '9'] -> ((9 / ((9/7 / 8/3) - 1/8)) - 6/5)
[253851] ['3/8', '5/8', '6/7', '7/6', '9'] -> (9 * ((5/8 / 3/8) + (6/7 * 7/6)))
[253852] ['1/9', '2/5', '4/7', '7/9', '2'] -> ((2 + (4/7 / 2/5)) / (1/9 / 7/9))
[253853] ['2/9', '2/5', '4/3', '7/2', '6'] -> (6 * ((4/3 / (2/5 - 2/9)) - 7/2))
[253854] ['2/7', '3/7', '5/9', '6/7', '3'] -> ((3/7 / (6/7 - (2/7 + 5/9))) - 3)
[253855] ['1/4', '4/9', '1', '9/4', '9/2'] -> ((9/4 + 9/2) * ((1 / 1/4) - 4/9))
[253856] ['1/6', '1/4', '8/9', '1', '5/4'] -> ((8/9 / (1/4 - 1/6)) * (1 + 5/4))
[253857] ['2/5', '7/8', '8/7', '5/4', '8'] -> ((8 / (2/5 / 5/4)) - (7/8 * 8/7))
[253858] ['2/7', '3/7', '5/9', '7/8', '3'] -> ((2/7 + 3) / (3/7 * (7/8 - 5/9)))
[253859] ['1/9', '2/5', '4/7', '4/5', '2'] -> (((4/5 / (4/7 - 2/5)) - 2) / 1/9)
[253860] ['1/8', '6/5', '9/7', '7/2', '9'] -> (((9 / 6/5) - (9/7 * 7/2)) / 1/8)
[253861] ['1/9', '1/8', '7/8', '9/7', '6'] -> (6 / (1/8 + (9/7 * (1/9 * 7/8))))
[253862] ['1/5', '4/5', '7/4', '2', '9/2'] -> (((4/5 + 7/4) + (9/2 / 2)) / 1/5)
[253863] ['1/4', '4/9', '4/7', '7/9', '9'] -> ((9 - (4/7 / 4/9)) / (1/4 / 7/9))
[253864] ['2/7', '3/7', '5/9', '8/7', '3'] -> (8/7 / ((3 * (2/7 * 5/9)) - 3/7))
[253865] ['1/4', '4/9', '1', '7/3', '9/2'] -> ((7/3 * 9/2) / (1 - (1/4 / 4/9)))
[253866] ['1/9', '2/5', '4/7', '6/7', '2'] -> (2 * ((4/7 / (1/9 * 2/5)) - 6/7))
[253867] ['1/5', '4/5', '9/5', '2', '9/4'] -> ((4/5 + (2 / 1/5)) / (9/4 - 9/5))
[253868] ['1/9', '1/8', '1/5', '9/7', '9'] -> (9 / (((1/8 / 1/5) / 9/7) - 1/9))
[253869] ['1/6', '6/5', '3/2', '7/2', '7'] -> (((7 - 3/2) / (1/6 * 6/5)) - 7/2)
[253870] ['3/8', '5/8', '6/7', '7/5', '9'] -> (9 / ((7/5 * (5/8 * 6/7)) - 3/8))
[253871] ['4/9', '5/7', '8/9', '8/9', '7'] -> ((8/9 + (5/7 * 8/9)) / (4/9 / 7))
[253872] ['8/9', '8/9', '6/5', '2', '8/3'] -> (8/3 / ((8/9 + 8/9) - (2 / 6/5)))
[253873] ['2/5', '7/8', '8/7', '5/3', '8'] -> (8 / ((7/8 * 8/7) - (2/5 * 5/3)))
[253874] ['1/9', '1/8', '7/8', '5/3', '6'] -> (((7/8 / 1/8) + (5/3 - 6)) / 1/9)
[253875] ['1/4', '4/9', '4/7', '7/8', '9'] -> (4/7 + ((1/4 + (9 / 4/9)) / 7/8))
[253876] ['2/7', '3/7', '5/9', '5/4', '3'] -> (2/7 / ((3/7 + 5/4) - (5/9 * 3)))
[253877] ['1/4', '4/9', '1', '5/2', '9/2'] -> ((1 + (9/2 * (4/9 * 5/2))) / 1/4)
[253878] ['4/9', '5/7', '8/9', '7/6', '7'] -> (7 * ((5/7 / 8/9) + (7/6 / 4/9)))
[253879] ['1/8', '6/5', '4/3', '9/4', '9'] -> ((4/3 * 9) * (1/8 + (9/4 / 6/5)))
[253880] ['1/4', '4/9', '4/7', '8/9', '9'] -> (1/4 + ((9 + (8/9 / 4/7)) / 4/9))
[253881] ['1/6', '1/4', '1', '9/8', '6/5'] -> ((1/4 / 1/6) / (1 - (9/8 / 6/5)))
[253882] ['2/9', '2/5', '3/2', '7/4', '6'] -> ((3/2 / ((2/5 / 2/9) - 7/4)) - 6)
[253883] ['1/9', '1/8', '1/5', '5/3', '9'] -> ((9 * (1/9 / 1/8)) / (1/5 * 5/3))
[253884] ['2/5', '7/8', '8/7', '9/4', '8'] -> (7/8 + ((9/4 + (8 / 8/7)) / 2/5))
[253885] ['2/9', '5/9', '6/7', '1', '9/2'] -> ((1 + (6/7 * (5/9 + 9/2))) / 2/9)
[253886] ['1/4', '4/9', '1', '7/2', '7/2'] -> ((((7/2 / 4/9) - 1) / 1/4) - 7/2)
[253887] ['1/6', '6/5', '8/5', '9/2', '7'] -> (((1/6 + 9/2) * (7 - 8/5)) - 6/5)
[253888] ['1/6', '1/4', '1', '9/8', '9/7'] -> (1 / ((1/4 / (1/6 * 9/7)) - 9/8))
[253889] ['4/9', '5/7', '8/9', '5/4', '7'] -> (((5/7 + 8/9) / (4/9 / 7)) - 5/4)
[253890] ['1/5', '4/5', '2', '9/4', '7/2'] -> (((4/5 + 9/4) + (7/2 / 2)) / 1/5)
[253891] ['2/7', '3/7', '5/9', '3/2', '3'] -> ((5/9 + 3) / (2/7 / (3/7 + 3/2)))
[253892] ['1/8', '6/5', '4/3', '8/3', '9'] -> (8/3 / (9 - (4/3 / (1/8 * 6/5))))
[253893] ['1/4', '4/9', '1', '9/2', '9/2'] -> ((4/9 * 9/2) + ((1 + 9/2) / 1/4))
[253894] ['1/9', '1/8', '1/5', '9/4', '9'] -> (9 / ((1/8 / 1/5) - (1/9 * 9/4)))
[253895] ['1/8', '6/5', '4/3', '7/2', '9'] -> (((9 / 6/5) - 7/2) / (1/8 * 4/3))
[253896] ['1/6', '6/5', '5/3', '7/4', '7'] -> ((6/5 * 5/3) / ((7/4 / 7) - 1/6))
[253897] ['1/9', '1/8', '8/9', '6/5', '6'] -> (((8/9 / 1/9) - (6 / 6/5)) / 1/8)
[253898] ['8/9', '8/9', '5/4', '3/2', '2'] -> (2 / (8/9 * (3/2 - (5/4 / 8/9))))
[253899] ['2/9', '2/5', '8/5', '7/4', '6'] -> ((8/5 / 6) / (2/5 - (2/9 * 7/4)))
[253900] ['1/4', '1/2', '1/2', '1/2', '1'] -> ((1/2 + 1) / (1/2 * (1/4 * 1/2)))
[253901] ['1/4', '1/2', '1/2', '5/9', '1'] -> ((1 / (1/4 + 1/2)) / (5/9 - 1/2))
[253902] ['1/9', '2/5', '4/7', '9/7', '2'] -> ((2 + (4/7 / 2/5)) / (1/9 * 9/7))
